counterparty_id,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
69707,22,2199.12,1,2199.12,NaN,2199.12,2199.12,2199.12,NaN,0.0,NaN,NaN,2199.12,0.0,NaN,NaN
70455,2,390.66,1,390.66,NaN,390.66,390.66,390.66,NaN,0.0,NaN,NaN,390.66,0.0,NaN,NaN
69754,2,244.46,1,244.46,NaN,244.46,244.46,244.46,NaN,0.0,NaN,NaN,244.46,0.0,NaN,NaN
69620,1,22.2,1,22.2,NaN,22.2,22.2,22.2,NaN,0.0,NaN,NaN,22.2,0.0,NaN,NaN
70141,1,22.2,1,22.2,NaN,22.2,22.2,22.2,NaN,0.0,NaN,NaN,22.2,0.0,NaN,NaN
69947,22,2949.28,1,2949.28,NaN,2949.28,2949.28,2949.28,NaN,0.0,NaN,NaN,2949.28,0.0,NaN,NaN
69866,7,2002.5,1,2002.5,NaN,2002.5,2002.5,2002.5,NaN,0.0,NaN,NaN,2002.5,0.0,NaN,NaN
69965,7,2046.0,1,2046.0,NaN,2046.0,2046.0,2046.0,NaN,0.0,NaN,NaN,2046.0,0.0,NaN,NaN
69766,1,259.86,1,259.86,NaN,259.86,259.86,259.86,NaN,0.0,NaN,NaN,259.86,0.0,NaN,NaN
69989,7,8345.2,1,8345.2,NaN,8345.2,8345.2,8345.2,NaN,0.0,NaN,NaN,8345.2,0.0,NaN,NaN
70001,2,244.46,1,244.46,NaN,244.46,244.46,244.46,NaN,0.0,NaN,NaN,244.46,0.0,NaN,NaN
