txn_id,nextReviewTime_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
53747,29,8.5,1,8.5,NaN,8.5,8.5,8.5,NaN,0.0,NaN,NaN,8.5,0.0,NaN,NaN
53750,22,717.02,1,717.02,NaN,717.02,717.02,717.02,NaN,0.0,NaN,NaN,717.02,0.0,NaN,NaN
53838,15,115.68,1,115.68,NaN,115.68,115.68,115.68,NaN,0.0,NaN,NaN,115.68,0.0,NaN,NaN
53853,16,301.28,1,301.28,NaN,301.28,301.28,301.28,NaN,0.0,NaN,NaN,301.28,0.0,NaN,NaN
53941,14,620.14,1,620.14,NaN,620.14,620.14,620.14,NaN,0.0,NaN,NaN,620.14,0.0,NaN,NaN
53956,3,169.65,1,169.65,NaN,169.65,169.65,169.65,NaN,0.0,NaN,NaN,169.65,0.0,NaN,NaN
54067,22,157.02,1,157.02,NaN,157.02,157.02,157.02,NaN,0.0,NaN,NaN,157.02,0.0,NaN,NaN
54163,30,396.45,1,396.45,NaN,396.45,396.45,396.45,NaN,0.0,NaN,NaN,396.45,0.0,NaN,NaN
54458,11,439.3,1,439.3,NaN,439.3,439.3,439.3,NaN,0.0,NaN,NaN,439.3,0.0,NaN,NaN
54508,20,155.52,1,155.52,NaN,155.52,155.52,155.52,NaN,0.0,NaN,NaN,155.52,0.0,NaN,NaN
54696,2,213.9,1,213.9,NaN,213.9,213.9,213.9,NaN,0.0,NaN,NaN,213.9,0.0,NaN,NaN
55047,30,216.58,1,216.58,NaN,216.58,216.58,216.58,NaN,0.0,NaN,NaN,216.58,0.0,NaN,NaN
55452,24,348.57,1,348.57,NaN,348.57,348.57,348.57,NaN,0.0,NaN,NaN,348.57,0.0,NaN,NaN
56034,10,198.51,1,198.51,NaN,198.51,198.51,198.51,NaN,0.0,NaN,NaN,198.51,0.0,NaN,NaN
56477,12,16726.84,1,16726.84,NaN,16726.84,16726.84,16726.84,NaN,0.0,NaN,NaN,16726.84,0.0,NaN,NaN
56673,8,136.77,1,136.77,NaN,136.77,136.77,136.77,NaN,0.0,NaN,NaN,136.77,0.0,NaN,NaN
56782,20,126.65,1,126.65,NaN,126.65,126.65,126.65,NaN,0.0,NaN,NaN,126.65,0.0,NaN,NaN
56827,13,123.35,1,123.35,NaN,123.35,123.35,123.35,NaN,0.0,NaN,NaN,123.35,0.0,NaN,NaN
57090,11,311.07,1,311.07,NaN,311.07,311.07,311.07,NaN,0.0,NaN,NaN,311.07,0.0,NaN,NaN
57191,21,446.8,1,446.8,NaN,446.8,446.8,446.8,NaN,0.0,NaN,NaN,446.8,0.0,NaN,NaN
57395,7,702.8,1,702.8,NaN,702.8,702.8,702.8,NaN,0.0,NaN,NaN,702.8,0.0,NaN,NaN
57525,13,145.55,1,145.55,NaN,145.55,145.55,145.55,NaN,0.0,NaN,NaN,145.55,0.0,NaN,NaN
57912,17,1649.58,1,1649.58,NaN,1649.58,1649.58,1649.58,NaN,0.0,NaN,NaN,1649.58,0.0,NaN,NaN
58176,4,207.21,1,207.21,NaN,207.21,207.21,207.21,NaN,0.0,NaN,NaN,207.21,0.0,NaN,NaN
58547,5,1622.48,1,1622.48,NaN,1622.48,1622.48,1622.48,NaN,0.0,NaN,NaN,1622.48,0.0,NaN,NaN
58566,11,435.0,1,435.0,NaN,435.0,435.0,435.0,NaN,0.0,NaN,NaN,435.0,0.0,NaN,NaN
58573,30,519.96,1,519.96,NaN,519.96,519.96,519.96,NaN,0.0,NaN,NaN,519.96,0.0,NaN,NaN
58673,3,296.2,1,296.2,NaN,296.2,296.2,296.2,NaN,0.0,NaN,NaN,296.2,0.0,NaN,NaN
58894,19,375.16,1,375.16,NaN,375.16,375.16,375.16,NaN,0.0,NaN,NaN,375.16,0.0,NaN,NaN
59199,28,244.5,1,244.5,NaN,244.5,244.5,244.5,NaN,0.0,NaN,NaN,244.5,0.0,NaN,NaN
59687,1,122.91,1,122.91,NaN,122.91,122.91,122.91,NaN,0.0,NaN,NaN,122.91,0.0,NaN,NaN
59866,26,390.6,1,390.6,NaN,390.6,390.6,390.6,NaN,0.0,NaN,NaN,390.6,0.0,NaN,NaN
60124,20,484.25,1,484.25,NaN,484.25,484.25,484.25,NaN,0.0,NaN,NaN,484.25,0.0,NaN,NaN
60237,10,185.08,1,185.08,NaN,185.08,185.08,185.08,NaN,0.0,NaN,NaN,185.08,0.0,NaN,NaN
60340,8,586.9,1,586.9,NaN,586.9,586.9,586.9,NaN,0.0,NaN,NaN,586.9,0.0,NaN,NaN
60700,22,89.1,1,89.1,NaN,89.1,89.1,89.1,NaN,0.0,NaN,NaN,89.1,0.0,NaN,NaN
60842,5,354.72,1,354.72,NaN,354.72,354.72,354.72,NaN,0.0,NaN,NaN,354.72,0.0,NaN,NaN
61221,21,310.78,1,310.78,NaN,310.78,310.78,310.78,NaN,0.0,NaN,NaN,310.78,0.0,NaN,NaN
61248,14,240.6,1,240.6,NaN,240.6,240.6,240.6,NaN,0.0,NaN,NaN,240.6,0.0,NaN,NaN
61792,15,590.95,1,590.95,NaN,590.95,590.95,590.95,NaN,0.0,NaN,NaN,590.95,0.0,NaN,NaN
61836,14,248.02,1,248.02,NaN,248.02,248.02,248.02,NaN,0.0,NaN,NaN,248.02,0.0,NaN,NaN
61880,26,61.95,1,61.95,NaN,61.95,61.95,61.95,NaN,0.0,NaN,NaN,61.95,0.0,NaN,NaN
61892,30,123.52,1,123.52,NaN,123.52,123.52,123.52,NaN,0.0,NaN,NaN,123.52,0.0,NaN,NaN
62080,15,304.8,1,304.8,NaN,304.8,304.8,304.8,NaN,0.0,NaN,NaN,304.8,0.0,NaN,NaN
62094,4,720.0,1,720.0,NaN,720.0,720.0,720.0,NaN,0.0,NaN,NaN,720.0,0.0,NaN,NaN
62205,4,136.9,1,136.9,NaN,136.9,136.9,136.9,NaN,0.0,NaN,NaN,136.9,0.0,NaN,NaN
62375,3,187.42,1,187.42,NaN,187.42,187.42,187.42,NaN,0.0,NaN,NaN,187.42,0.0,NaN,NaN
62639,20,253.8,1,253.8,NaN,253.8,253.8,253.8,NaN,0.0,NaN,NaN,253.8,0.0,NaN,NaN
62828,11,691.54,1,691.54,NaN,691.54,691.54,691.54,NaN,0.0,NaN,NaN,691.54,0.0,NaN,NaN
62914,26,765.28,1,765.28,NaN,765.28,765.28,765.28,NaN,0.0,NaN,NaN,765.28,0.0,NaN,NaN
62973,19,705.21,1,705.21,NaN,705.21,705.21,705.21,NaN,0.0,NaN,NaN,705.21,0.0,NaN,NaN
63063,18,320.48,1,320.48,NaN,320.48,320.48,320.48,NaN,0.0,NaN,NaN,320.48,0.0,NaN,NaN
63126,24,308.61,1,308.61,NaN,308.61,308.61,308.61,NaN,0.0,NaN,NaN,308.61,0.0,NaN,NaN
63194,10,747.24,1,747.24,NaN,747.24,747.24,747.24,NaN,0.0,NaN,NaN,747.24,0.0,NaN,NaN
63312,5,714.77,1,714.77,NaN,714.77,714.77,714.77,NaN,0.0,NaN,NaN,714.77,0.0,NaN,NaN
63812,23,1071.4,1,1071.4,NaN,1071.4,1071.4,1071.4,NaN,0.0,NaN,NaN,1071.4,0.0,NaN,NaN
64052,14,858.93,1,858.93,NaN,858.93,858.93,858.93,NaN,0.0,NaN,NaN,858.93,0.0,NaN,NaN
64098,27,262.11,1,262.11,NaN,262.11,262.11,262.11,NaN,0.0,NaN,NaN,262.11,0.0,NaN,NaN
64304,12,765.82,1,765.82,NaN,765.82,765.82,765.82,NaN,0.0,NaN,NaN,765.82,0.0,NaN,NaN
64523,6,203.98,1,203.98,NaN,203.98,203.98,203.98,NaN,0.0,NaN,NaN,203.98,0.0,NaN,NaN
64778,23,116.76,1,116.76,NaN,116.76,116.76,116.76,NaN,0.0,NaN,NaN,116.76,0.0,NaN,NaN
64866,6,690.34,1,690.34,NaN,690.34,690.34,690.34,NaN,0.0,NaN,NaN,690.34,0.0,NaN,NaN
65336,11,300.1,1,300.1,NaN,300.1,300.1,300.1,NaN,0.0,NaN,NaN,300.1,0.0,NaN,NaN
65362,6,109.96,1,109.96,NaN,109.96,109.96,109.96,NaN,0.0,NaN,NaN,109.96,0.0,NaN,NaN
65787,15,181.45,1,181.45,NaN,181.45,181.45,181.45,NaN,0.0,NaN,NaN,181.45,0.0,NaN,NaN
65837,3,374.4,1,374.4,NaN,374.4,374.4,374.4,NaN,0.0,NaN,NaN,374.4,0.0,NaN,NaN
65951,27,201.24,1,201.24,NaN,201.24,201.24,201.24,NaN,0.0,NaN,NaN,201.24,0.0,NaN,NaN
66249,30,289.1,1,289.1,NaN,289.1,289.1,289.1,NaN,0.0,NaN,NaN,289.1,0.0,NaN,NaN
66403,2,306.33,1,306.33,NaN,306.33,306.33,306.33,NaN,0.0,NaN,NaN,306.33,0.0,NaN,NaN
66473,12,659.08,1,659.08,NaN,659.08,659.08,659.08,NaN,0.0,NaN,NaN,659.08,0.0,NaN,NaN
66706,23,76.95,1,76.95,NaN,76.95,76.95,76.95,NaN,0.0,NaN,NaN,76.95,0.0,NaN,NaN
66740,23,19.8,1,19.8,NaN,19.8,19.8,19.8,NaN,0.0,NaN,NaN,19.8,0.0,NaN,NaN
66764,17,819.0,1,819.0,NaN,819.0,819.0,819.0,NaN,0.0,NaN,NaN,819.0,0.0,NaN,NaN
67015,7,47.55,1,47.55,NaN,47.55,47.55,47.55,NaN,0.0,NaN,NaN,47.55,0.0,NaN,NaN
67129,17,24.38,1,24.38,NaN,24.38,24.38,24.38,NaN,0.0,NaN,NaN,24.38,0.0,NaN,NaN
67167,29,263.38,1,263.38,NaN,263.38,263.38,263.38,NaN,0.0,NaN,NaN,263.38,0.0,NaN,NaN
67492,8,268.76,1,268.76,NaN,268.76,268.76,268.76,NaN,0.0,NaN,NaN,268.76,0.0,NaN,NaN
67519,17,541.43,1,541.43,NaN,541.43,541.43,541.43,NaN,0.0,NaN,NaN,541.43,0.0,NaN,NaN
67553,1,173.39,1,173.39,NaN,173.39,173.39,173.39,NaN,0.0,NaN,NaN,173.39,0.0,NaN,NaN
67641,20,445.74,1,445.74,NaN,445.74,445.74,445.74,NaN,0.0,NaN,NaN,445.74,0.0,NaN,NaN
68209,26,187.2,1,187.2,NaN,187.2,187.2,187.2,NaN,0.0,NaN,NaN,187.2,0.0,NaN,NaN
68401,8,1214.81,1,1214.81,NaN,1214.81,1214.81,1214.81,NaN,0.0,NaN,NaN,1214.81,0.0,NaN,NaN
68607,17,188.02,1,188.02,NaN,188.02,188.02,188.02,NaN,0.0,NaN,NaN,188.02,0.0,NaN,NaN
68642,8,241.62,1,241.62,NaN,241.62,241.62,241.62,NaN,0.0,NaN,NaN,241.62,0.0,NaN,NaN
69186,22,251.26,1,251.26,NaN,251.26,251.26,251.26,NaN,0.0,NaN,NaN,251.26,0.0,NaN,NaN
69372,9,242.84,1,242.84,NaN,242.84,242.84,242.84,NaN,0.0,NaN,NaN,242.84,0.0,NaN,NaN
69900,17,494.17,1,494.17,NaN,494.17,494.17,494.17,NaN,0.0,NaN,NaN,494.17,0.0,NaN,NaN
70045,22,146.19,1,146.19,NaN,146.19,146.19,146.19,NaN,0.0,NaN,NaN,146.19,0.0,NaN,NaN
70105,18,131.85,1,131.85,NaN,131.85,131.85,131.85,NaN,0.0,NaN,NaN,131.85,0.0,NaN,NaN
70350,3,213.5,1,213.5,NaN,213.5,213.5,213.5,NaN,0.0,NaN,NaN,213.5,0.0,NaN,NaN
70394,30,463.82,1,463.82,NaN,463.82,463.82,463.82,NaN,0.0,NaN,NaN,463.82,0.0,NaN,NaN
70599,3,457.92,1,457.92,NaN,457.92,457.92,457.92,NaN,0.0,NaN,NaN,457.92,0.0,NaN,NaN
70620,28,92.3,1,92.3,NaN,92.3,92.3,92.3,NaN,0.0,NaN,NaN,92.3,0.0,NaN,NaN
70882,31,551.03,1,551.03,NaN,551.03,551.03,551.03,NaN,0.0,NaN,NaN,551.03,0.0,NaN,NaN
70962,31,365.78,1,365.78,NaN,365.78,365.78,365.78,NaN,0.0,NaN,NaN,365.78,0.0,NaN,NaN
71296,5,309.45,1,309.45,NaN,309.45,309.45,309.45,NaN,0.0,NaN,NaN,309.45,0.0,NaN,NaN
71558,16,447.62,1,447.62,NaN,447.62,447.62,447.62,NaN,0.0,NaN,NaN,447.62,0.0,NaN,NaN
71656,14,228.84,1,228.84,NaN,228.84,228.84,228.84,NaN,0.0,NaN,NaN,228.84,0.0,NaN,NaN
71785,15,89.64,1,89.64,NaN,89.64,89.64,89.64,NaN,0.0,NaN,NaN,89.64,0.0,NaN,NaN
71956,10,425.2,1,425.2,NaN,425.2,425.2,425.2,NaN,0.0,NaN,NaN,425.2,0.0,NaN,NaN
72108,15,292.24,1,292.24,NaN,292.24,292.24,292.24,NaN,0.0,NaN,NaN,292.24,0.0,NaN,NaN
72166,23,299.34,1,299.34,NaN,299.34,299.34,299.34,NaN,0.0,NaN,NaN,299.34,0.0,NaN,NaN
72256,9,85.0,1,85.0,NaN,85.0,85.0,85.0,NaN,0.0,NaN,NaN,85.0,0.0,NaN,NaN
72589,18,248.07,1,248.07,NaN,248.07,248.07,248.07,NaN,0.0,NaN,NaN,248.07,0.0,NaN,NaN
72701,14,842.5,1,842.5,NaN,842.5,842.5,842.5,NaN,0.0,NaN,NaN,842.5,0.0,NaN,NaN
73057,5,223.08,1,223.08,NaN,223.08,223.08,223.08,NaN,0.0,NaN,NaN,223.08,0.0,NaN,NaN
73459,3,1824.79,1,1824.79,NaN,1824.79,1824.79,1824.79,NaN,0.0,NaN,NaN,1824.79,0.0,NaN,NaN
73812,26,369.54,1,369.54,NaN,369.54,369.54,369.54,NaN,0.0,NaN,NaN,369.54,0.0,NaN,NaN
73982,29,157.66,1,157.66,NaN,157.66,157.66,157.66,NaN,0.0,NaN,NaN,157.66,0.0,NaN,NaN
73993,29,2062.06,1,2062.06,NaN,2062.06,2062.06,2062.06,NaN,0.0,NaN,NaN,2062.06,0.0,NaN,NaN
74252,11,1290.7,1,1290.7,NaN,1290.7,1290.7,1290.7,NaN,0.0,NaN,NaN,1290.7,0.0,NaN,NaN
74834,17,562.47,1,562.47,NaN,562.47,562.47,562.47,NaN,0.0,NaN,NaN,562.47,0.0,NaN,NaN
75142,24,627.12,1,627.12,NaN,627.12,627.12,627.12,NaN,0.0,NaN,NaN,627.12,0.0,NaN,NaN
75172,12,1482.2,1,1482.2,NaN,1482.2,1482.2,1482.2,NaN,0.0,NaN,NaN,1482.2,0.0,NaN,NaN
75280,1,241.74,1,241.74,NaN,241.74,241.74,241.74,NaN,0.0,NaN,NaN,241.74,0.0,NaN,NaN
75303,7,499.32,1,499.32,NaN,499.32,499.32,499.32,NaN,0.0,NaN,NaN,499.32,0.0,NaN,NaN
75429,2,181.09,1,181.09,NaN,181.09,181.09,181.09,NaN,0.0,NaN,NaN,181.09,0.0,NaN,NaN
75488,24,83.75,1,83.75,NaN,83.75,83.75,83.75,NaN,0.0,NaN,NaN,83.75,0.0,NaN,NaN
75728,13,12.97,1,12.97,NaN,12.97,12.97,12.97,NaN,0.0,NaN,NaN,12.97,0.0,NaN,NaN
75772,15,355.78,1,355.78,NaN,355.78,355.78,355.78,NaN,0.0,NaN,NaN,355.78,0.0,NaN,NaN
76246,7,240.68,1,240.68,NaN,240.68,240.68,240.68,NaN,0.0,NaN,NaN,240.68,0.0,NaN,NaN
76383,9,206.6,1,206.6,NaN,206.6,206.6,206.6,NaN,0.0,NaN,NaN,206.6,0.0,NaN,NaN
76438,31,65.8,1,65.8,NaN,65.8,65.8,65.8,NaN,0.0,NaN,NaN,65.8,0.0,NaN,NaN
77123,13,480.8,1,480.8,NaN,480.8,480.8,480.8,NaN,0.0,NaN,NaN,480.8,0.0,NaN,NaN
77291,21,132.67,1,132.67,NaN,132.67,132.67,132.67,NaN,0.0,NaN,NaN,132.67,0.0,NaN,NaN
77422,5,709.79,1,709.79,NaN,709.79,709.79,709.79,NaN,0.0,NaN,NaN,709.79,0.0,NaN,NaN
77735,10,178.48,1,178.48,NaN,178.48,178.48,178.48,NaN,0.0,NaN,NaN,178.48,0.0,NaN,NaN
77894,25,596.91,1,596.91,NaN,596.91,596.91,596.91,NaN,0.0,NaN,NaN,596.91,0.0,NaN,NaN
79146,31,71.25,1,71.25,NaN,71.25,71.25,71.25,NaN,0.0,NaN,NaN,71.25,0.0,NaN,NaN
79241,10,112.4,1,112.4,NaN,112.4,112.4,112.4,NaN,0.0,NaN,NaN,112.4,0.0,NaN,NaN
79340,3,415.55,1,415.55,NaN,415.55,415.55,415.55,NaN,0.0,NaN,NaN,415.55,0.0,NaN,NaN
79365,4,266.92,1,266.92,NaN,266.92,266.92,266.92,NaN,0.0,NaN,NaN,266.92,0.0,NaN,NaN
79616,25,289.19,1,289.19,NaN,289.19,289.19,289.19,NaN,0.0,NaN,NaN,289.19,0.0,NaN,NaN
79669,24,413.12,1,413.12,NaN,413.12,413.12,413.12,NaN,0.0,NaN,NaN,413.12,0.0,NaN,NaN
80157,12,272.63,1,272.63,NaN,272.63,272.63,272.63,NaN,0.0,NaN,NaN,272.63,0.0,NaN,NaN
80403,15,1219.25,1,1219.25,NaN,1219.25,1219.25,1219.25,NaN,0.0,NaN,NaN,1219.25,0.0,NaN,NaN
80498,13,6.96,1,6.96,NaN,6.96,6.96,6.96,NaN,0.0,NaN,NaN,6.96,0.0,NaN,NaN
81153,30,1757.55,1,1757.55,NaN,1757.55,1757.55,1757.55,NaN,0.0,NaN,NaN,1757.55,0.0,NaN,NaN
81281,12,701.97,1,701.97,NaN,701.97,701.97,701.97,NaN,0.0,NaN,NaN,701.97,0.0,NaN,NaN
81320,3,308.74,1,308.74,NaN,308.74,308.74,308.74,NaN,0.0,NaN,NaN,308.74,0.0,NaN,NaN
81445,16,309.36,1,309.36,NaN,309.36,309.36,309.36,NaN,0.0,NaN,NaN,309.36,0.0,NaN,NaN
81746,29,353.03,1,353.03,NaN,353.03,353.03,353.03,NaN,0.0,NaN,NaN,353.03,0.0,NaN,NaN
81774,20,212.85,1,212.85,NaN,212.85,212.85,212.85,NaN,0.0,NaN,NaN,212.85,0.0,NaN,NaN
81776,31,178.47,1,178.47,NaN,178.47,178.47,178.47,NaN,0.0,NaN,NaN,178.47,0.0,NaN,NaN
81803,16,163.2,1,163.2,NaN,163.2,163.2,163.2,NaN,0.0,NaN,NaN,163.2,0.0,NaN,NaN
81905,17,301.14,1,301.14,NaN,301.14,301.14,301.14,NaN,0.0,NaN,NaN,301.14,0.0,NaN,NaN
82061,5,396.14,1,396.14,NaN,396.14,396.14,396.14,NaN,0.0,NaN,NaN,396.14,0.0,NaN,NaN
82524,23,348.35,1,348.35,NaN,348.35,348.35,348.35,NaN,0.0,NaN,NaN,348.35,0.0,NaN,NaN
82859,18,367.75,1,367.75,NaN,367.75,367.75,367.75,NaN,0.0,NaN,NaN,367.75,0.0,NaN,NaN
83260,13,95.85,1,95.85,NaN,95.85,95.85,95.85,NaN,0.0,NaN,NaN,95.85,0.0,NaN,NaN
83391,7,124.01,1,124.01,NaN,124.01,124.01,124.01,NaN,0.0,NaN,NaN,124.01,0.0,NaN,NaN
83752,18,6.31,1,6.31,NaN,6.31,6.31,6.31,NaN,0.0,NaN,NaN,6.31,0.0,NaN,NaN
83874,14,1170.0,1,1170.0,NaN,1170.0,1170.0,1170.0,NaN,0.0,NaN,NaN,1170.0,0.0,NaN,NaN
84195,27,1080.0,1,1080.0,NaN,1080.0,1080.0,1080.0,NaN,0.0,NaN,NaN,1080.0,0.0,NaN,NaN
84327,11,13.9,1,13.9,NaN,13.9,13.9,13.9,NaN,0.0,NaN,NaN,13.9,0.0,NaN,NaN
84557,7,16.15,1,16.15,NaN,16.15,16.15,16.15,NaN,0.0,NaN,NaN,16.15,0.0,NaN,NaN
84599,17,60.0,1,60.0,NaN,60.0,60.0,60.0,NaN,0.0,NaN,NaN,60.0,0.0,NaN,NaN
84607,30,33.9,1,33.9,NaN,33.9,33.9,33.9,NaN,0.0,NaN,NaN,33.9,0.0,NaN,NaN
84839,26,16.5,1,16.5,NaN,16.5,16.5,16.5,NaN,0.0,NaN,NaN,16.5,0.0,NaN,NaN
84872,10,7.65,1,7.65,NaN,7.65,7.65,7.65,NaN,0.0,NaN,NaN,7.65,0.0,NaN,NaN
84989,21,8.5,1,8.5,NaN,8.5,8.5,8.5,NaN,0.0,NaN,NaN,8.5,0.0,NaN,NaN
85040,12,13.2,1,13.2,NaN,13.2,13.2,13.2,NaN,0.0,NaN,NaN,13.2,0.0,NaN,NaN
85086,3,255.0,1,255.0,NaN,255.0,255.0,255.0,NaN,0.0,NaN,NaN,255.0,0.0,NaN,NaN
85140,8,12.75,1,12.75,NaN,12.75,12.75,12.75,NaN,0.0,NaN,NaN,12.75,0.0,NaN,NaN
85214,30,15.9,1,15.9,NaN,15.9,15.9,15.9,NaN,0.0,NaN,NaN,15.9,0.0,NaN,NaN
85364,12,34.8,1,34.8,NaN,34.8,34.8,34.8,NaN,0.0,NaN,NaN,34.8,0.0,NaN,NaN
85528,26,1132.08,1,1132.08,NaN,1132.08,1132.08,1132.08,NaN,0.0,NaN,NaN,1132.08,0.0,NaN,NaN
85600,31,4.95,1,4.95,NaN,4.95,4.95,4.95,NaN,0.0,NaN,NaN,4.95,0.0,NaN,NaN
85967,8,4.25,1,4.25,NaN,4.25,4.25,4.25,NaN,0.0,NaN,NaN,4.25,0.0,NaN,NaN
86126,17,74.1,1,74.1,NaN,74.1,74.1,74.1,NaN,0.0,NaN,NaN,74.1,0.0,NaN,NaN
86200,2,2.93,1,2.93,NaN,2.93,2.93,2.93,NaN,0.0,NaN,NaN,2.93,0.0,NaN,NaN
86607,30,49.35,1,49.35,NaN,49.35,49.35,49.35,NaN,0.0,NaN,NaN,49.35,0.0,NaN,NaN
86645,12,89.9,1,89.9,NaN,89.9,89.9,89.9,NaN,0.0,NaN,NaN,89.9,0.0,NaN,NaN
86749,13,36.43,1,36.43,NaN,36.43,36.43,36.43,NaN,0.0,NaN,NaN,36.43,0.0,NaN,NaN
86820,14,251.75,1,251.75,NaN,251.75,251.75,251.75,NaN,0.0,NaN,NaN,251.75,0.0,NaN,NaN
86865,23,80.75,1,80.75,NaN,80.75,80.75,80.75,NaN,0.0,NaN,NaN,80.75,0.0,NaN,NaN
87264,15,7.5,1,7.5,NaN,7.5,7.5,7.5,NaN,0.0,NaN,NaN,7.5,0.0,NaN,NaN
87733,26,23.8,1,23.8,NaN,23.8,23.8,23.8,NaN,0.0,NaN,NaN,23.8,0.0,NaN,NaN
87917,28,2.75,1,2.75,NaN,2.75,2.75,2.75,NaN,0.0,NaN,NaN,2.75,0.0,NaN,NaN
87919,24,7.5,1,7.5,NaN,7.5,7.5,7.5,NaN,0.0,NaN,NaN,7.5,0.0,NaN,NaN
87972,6,7.63,1,7.63,NaN,7.63,7.63,7.63,NaN,0.0,NaN,NaN,7.63,0.0,NaN,NaN
88274,15,9.6,1,9.6,NaN,9.6,9.6,9.6,NaN,0.0,NaN,NaN,9.6,0.0,NaN,NaN
88625,3,8.1,1,8.1,NaN,8.1,8.1,8.1,NaN,0.0,NaN,NaN,8.1,0.0,NaN,NaN
88896,3,11.75,1,11.75,NaN,11.75,11.75,11.75,NaN,0.0,NaN,NaN,11.75,0.0,NaN,NaN
89272,27,74.88,1,74.88,NaN,74.88,74.88,74.88,NaN,0.0,NaN,NaN,74.88,0.0,NaN,NaN
89318,14,11.31,1,11.31,NaN,11.31,11.31,11.31,NaN,0.0,NaN,NaN,11.31,0.0,NaN,NaN
90326,1,102.0,1,102.0,NaN,102.0,102.0,102.0,NaN,0.0,NaN,NaN,102.0,0.0,NaN,NaN
90499,11,12.75,1,12.75,NaN,12.75,12.75,12.75,NaN,0.0,NaN,NaN,12.75,0.0,NaN,NaN
50048,18,1024.68,1,1024.68,NaN,1024.68,1024.68,1024.68,NaN,0.0,NaN,NaN,1024.68,0.0,NaN,NaN
50732,20,1668.2,1,1668.2,NaN,1668.2,1668.2,1668.2,NaN,0.0,NaN,NaN,1668.2,0.0,NaN,NaN
51365,4,316.82,1,316.82,NaN,316.82,316.82,316.82,NaN,0.0,NaN,NaN,316.82,0.0,NaN,NaN
51427,29,402.32,1,402.32,NaN,402.32,402.32,402.32,NaN,0.0,NaN,NaN,402.32,0.0,NaN,NaN
51645,3,169.47,1,169.47,NaN,169.47,169.47,169.47,NaN,0.0,NaN,NaN,169.47,0.0,NaN,NaN
51831,4,706.25,1,706.25,NaN,706.25,706.25,706.25,NaN,0.0,NaN,NaN,706.25,0.0,NaN,NaN
51915,18,61.05,1,61.05,NaN,61.05,61.05,61.05,NaN,0.0,NaN,NaN,61.05,0.0,NaN,NaN
52048,3,80.64,1,80.64,NaN,80.64,80.64,80.64,NaN,0.0,NaN,NaN,80.64,0.0,NaN,NaN
52241,11,250.46,1,250.46,NaN,250.46,250.46,250.46,NaN,0.0,NaN,NaN,250.46,0.0,NaN,NaN
52568,28,600.72,1,600.72,NaN,600.72,600.72,600.72,NaN,0.0,NaN,NaN,600.72,0.0,NaN,NaN
