txn_id,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
53410,6,45.0,1,45.0,NaN,45.0,45.0,45.0,NaN,0.0,NaN,NaN,45.0,0.0,NaN,NaN
53704,5,120.6,1,120.6,NaN,120.6,120.6,120.6,NaN,0.0,NaN,NaN,120.6,0.0,NaN,NaN
53735,6,19.5,1,19.5,NaN,19.5,19.5,19.5,NaN,0.0,NaN,NaN,19.5,0.0,NaN,NaN
53746,6,8.5,1,8.5,NaN,8.5,8.5,8.5,NaN,0.0,NaN,NaN,8.5,0.0,NaN,NaN
53783,6,424.32,1,424.32,NaN,424.32,424.32,424.32,NaN,0.0,NaN,NaN,424.32,0.0,NaN,NaN
53956,3,169.65,1,169.65,NaN,169.65,169.65,169.65,NaN,0.0,NaN,NaN,169.65,0.0,NaN,NaN
54597,4,160.85,1,160.85,NaN,160.85,160.85,160.85,NaN,0.0,NaN,NaN,160.85,0.0,NaN,NaN
54654,5,207.22,1,207.22,NaN,207.22,207.22,207.22,NaN,0.0,NaN,NaN,207.22,0.0,NaN,NaN
54674,5,170.7,1,170.7,NaN,170.7,170.7,170.7,NaN,0.0,NaN,NaN,170.7,0.0,NaN,NaN
54768,6,1236.73,1,1236.73,NaN,1236.73,1236.73,1236.73,NaN,0.0,NaN,NaN,1236.73,0.0,NaN,NaN
55000,4,29.7,1,29.7,NaN,29.7,29.7,29.7,NaN,0.0,NaN,NaN,29.7,0.0,NaN,NaN
55184,1,233.96,1,233.96,NaN,233.96,233.96,233.96,NaN,0.0,NaN,NaN,233.96,0.0,NaN,NaN
55188,1,230.81,1,230.81,NaN,230.81,230.81,230.81,NaN,0.0,NaN,NaN,230.81,0.0,NaN,NaN
55245,2,298.05,1,298.05,NaN,298.05,298.05,298.05,NaN,0.0,NaN,NaN,298.05,0.0,NaN,NaN
55750,3,108.15,1,108.15,NaN,108.15,108.15,108.15,NaN,0.0,NaN,NaN,108.15,0.0,NaN,NaN
55801,3,440.83,1,440.83,NaN,440.83,440.83,440.83,NaN,0.0,NaN,NaN,440.83,0.0,NaN,NaN
55891,4,322.24,1,322.24,NaN,322.24,322.24,322.24,NaN,0.0,NaN,NaN,322.24,0.0,NaN,NaN
56066,6,812.7,1,812.7,NaN,812.7,812.7,812.7,NaN,0.0,NaN,NaN,812.7,0.0,NaN,NaN
56156,1,486.65,1,486.65,NaN,486.65,486.65,486.65,NaN,0.0,NaN,NaN,486.65,0.0,NaN,NaN
56185,2,626.65,1,626.65,NaN,626.65,626.65,626.65,NaN,0.0,NaN,NaN,626.65,0.0,NaN,NaN
56634,1,346.1,1,346.1,NaN,346.1,346.1,346.1,NaN,0.0,NaN,NaN,346.1,0.0,NaN,NaN
57110,6,572.8,1,572.8,NaN,572.8,572.8,572.8,NaN,0.0,NaN,NaN,572.8,0.0,NaN,NaN
57275,3,317.56,1,317.56,NaN,317.56,317.56,317.56,NaN,0.0,NaN,NaN,317.56,0.0,NaN,NaN
57668,1,171.75,1,171.75,NaN,171.75,171.75,171.75,NaN,0.0,NaN,NaN,171.75,0.0,NaN,NaN
58320,2,215.07,1,215.07,NaN,215.07,215.07,215.07,NaN,0.0,NaN,NaN,215.07,0.0,NaN,NaN
58371,2,116.4,1,116.4,NaN,116.4,116.4,116.4,NaN,0.0,NaN,NaN,116.4,0.0,NaN,NaN
58421,3,317.9,1,317.9,NaN,317.9,317.9,317.9,NaN,0.0,NaN,NaN,317.9,0.0,NaN,NaN
58454,3,283.71,1,283.71,NaN,283.71,283.71,283.71,NaN,0.0,NaN,NaN,283.71,0.0,NaN,NaN
58513,4,2161.32,1,2161.32,NaN,2161.32,2161.32,2161.32,NaN,0.0,NaN,NaN,2161.32,0.0,NaN,NaN
58722,6,180.09,1,180.09,NaN,180.09,180.09,180.09,NaN,0.0,NaN,NaN,180.09,0.0,NaN,NaN
59204,5,366.2,1,366.2,NaN,366.2,366.2,366.2,NaN,0.0,NaN,NaN,366.2,0.0,NaN,NaN
59336,6,306.18,1,306.18,NaN,306.18,306.18,306.18,NaN,0.0,NaN,NaN,306.18,0.0,NaN,NaN
59364,1,423.4,1,423.4,NaN,423.4,423.4,423.4,NaN,0.0,NaN,NaN,423.4,0.0,NaN,NaN
59450,2,293.24,1,293.24,NaN,293.24,293.24,293.24,NaN,0.0,NaN,NaN,293.24,0.0,NaN,NaN
59795,5,42.9,1,42.9,NaN,42.9,42.9,42.9,NaN,0.0,NaN,NaN,42.9,0.0,NaN,NaN
59828,5,636.45,1,636.45,NaN,636.45,636.45,636.45,NaN,0.0,NaN,NaN,636.45,0.0,NaN,NaN
59985,1,345.05,1,345.05,NaN,345.05,345.05,345.05,NaN,0.0,NaN,NaN,345.05,0.0,NaN,NaN
59988,1,232.48,1,232.48,NaN,232.48,232.48,232.48,NaN,0.0,NaN,NaN,232.48,0.0,NaN,NaN
60423,5,526.5,1,526.5,NaN,526.5,526.5,526.5,NaN,0.0,NaN,NaN,526.5,0.0,NaN,NaN
60523,3,314.92,1,314.92,NaN,314.92,314.92,314.92,NaN,0.0,NaN,NaN,314.92,0.0,NaN,NaN
60773,5,209.1,1,209.1,NaN,209.1,209.1,209.1,NaN,0.0,NaN,NaN,209.1,0.0,NaN,NaN
60842,5,354.72,1,354.72,NaN,354.72,354.72,354.72,NaN,0.0,NaN,NaN,354.72,0.0,NaN,NaN
60899,3,108.87,1,108.87,NaN,108.87,108.87,108.87,NaN,0.0,NaN,NaN,108.87,0.0,NaN,NaN
61675,3,314.55,1,314.55,NaN,314.55,314.55,314.55,NaN,0.0,NaN,NaN,314.55,0.0,NaN,NaN
62032,5,392.55,1,392.55,NaN,392.55,392.55,392.55,NaN,0.0,NaN,NaN,392.55,0.0,NaN,NaN
62220,1,25.75,1,25.75,NaN,25.75,25.75,25.75,NaN,0.0,NaN,NaN,25.75,0.0,NaN,NaN
62251,2,134.1,1,134.1,NaN,134.1,134.1,134.1,NaN,0.0,NaN,NaN,134.1,0.0,NaN,NaN
62375,3,187.42,1,187.42,NaN,187.42,187.42,187.42,NaN,0.0,NaN,NaN,187.42,0.0,NaN,NaN
62505,4,157.9,1,157.9,NaN,157.9,157.9,157.9,NaN,0.0,NaN,NaN,157.9,0.0,NaN,NaN
62562,4,732.4,1,732.4,NaN,732.4,732.4,732.4,NaN,0.0,NaN,NaN,732.4,0.0,NaN,NaN
62968,1,240.08,1,240.08,NaN,240.08,240.08,240.08,NaN,0.0,NaN,NaN,240.08,0.0,NaN,NaN
63254,4,157.25,1,157.25,NaN,157.25,157.25,157.25,NaN,0.0,NaN,NaN,157.25,0.0,NaN,NaN
63375,5,57.9,1,57.9,NaN,57.9,57.9,57.9,NaN,0.0,NaN,NaN,57.9,0.0,NaN,NaN
63497,6,670.61,1,670.61,NaN,670.61,670.61,670.61,NaN,0.0,NaN,NaN,670.61,0.0,NaN,NaN
63753,4,421.73,1,421.73,NaN,421.73,421.73,421.73,NaN,0.0,NaN,NaN,421.73,0.0,NaN,NaN
63760,4,340.25,1,340.25,NaN,340.25,340.25,340.25,NaN,0.0,NaN,NaN,340.25,0.0,NaN,NaN
63890,6,17.0,1,17.0,NaN,17.0,17.0,17.0,NaN,0.0,NaN,NaN,17.0,0.0,NaN,NaN
63940,6,241.48,1,241.48,NaN,241.48,241.48,241.48,NaN,0.0,NaN,NaN,241.48,0.0,NaN,NaN
63998,1,302.81,1,302.81,NaN,302.81,302.81,302.81,NaN,0.0,NaN,NaN,302.81,0.0,NaN,NaN
64144,2,181.3,1,181.3,NaN,181.3,181.3,181.3,NaN,0.0,NaN,NaN,181.3,0.0,NaN,NaN
64160,2,129.49,1,129.49,NaN,129.49,129.49,129.49,NaN,0.0,NaN,NaN,129.49,0.0,NaN,NaN
64612,6,105.84,1,105.84,NaN,105.84,105.84,105.84,NaN,0.0,NaN,NaN,105.84,0.0,NaN,NaN
64613,6,105.84,1,105.84,NaN,105.84,105.84,105.84,NaN,0.0,NaN,NaN,105.84,0.0,NaN,NaN
64650,6,197.37,1,197.37,NaN,197.37,197.37,197.37,NaN,0.0,NaN,NaN,197.37,0.0,NaN,NaN
64952,4,420.94,1,420.94,NaN,420.94,420.94,420.94,NaN,0.0,NaN,NaN,420.94,0.0,NaN,NaN
65082,5,542.74,1,542.74,NaN,542.74,542.74,542.74,NaN,0.0,NaN,NaN,542.74,0.0,NaN,NaN
65117,5,88.55,1,88.55,NaN,88.55,88.55,88.55,NaN,0.0,NaN,NaN,88.55,0.0,NaN,NaN
65298,1,624.12,1,624.12,NaN,624.12,624.12,624.12,NaN,0.0,NaN,NaN,624.12,0.0,NaN,NaN
65588,4,600.03,1,600.03,NaN,600.03,600.03,600.03,NaN,0.0,NaN,NaN,600.03,0.0,NaN,NaN
65604,4,406.33,1,406.33,NaN,406.33,406.33,406.33,NaN,0.0,NaN,NaN,406.33,0.0,NaN,NaN
65949,2,510.45,1,510.45,NaN,510.45,510.45,510.45,NaN,0.0,NaN,NaN,510.45,0.0,NaN,NaN
66338,6,100.33,1,100.33,NaN,100.33,100.33,100.33,NaN,0.0,NaN,NaN,100.33,0.0,NaN,NaN
66526,3,351.14,1,351.14,NaN,351.14,351.14,351.14,NaN,0.0,NaN,NaN,351.14,0.0,NaN,NaN
66635,4,647.92,1,647.92,NaN,647.92,647.92,647.92,NaN,0.0,NaN,NaN,647.92,0.0,NaN,NaN
66643,4,127.53,1,127.53,NaN,127.53,127.53,127.53,NaN,0.0,NaN,NaN,127.53,0.0,NaN,NaN
66791,5,1837.92,1,1837.92,NaN,1837.92,1837.92,1837.92,NaN,0.0,NaN,NaN,1837.92,0.0,NaN,NaN
66793,5,97.5,1,97.5,NaN,97.5,97.5,97.5,NaN,0.0,NaN,NaN,97.5,0.0,NaN,NaN
66990,1,111.23,1,111.23,NaN,111.23,111.23,111.23,NaN,0.0,NaN,NaN,111.23,0.0,NaN,NaN
67197,4,178.82,1,178.82,NaN,178.82,178.82,178.82,NaN,0.0,NaN,NaN,178.82,0.0,NaN,NaN
67324,5,521.49,1,521.49,NaN,521.49,521.49,521.49,NaN,0.0,NaN,NaN,521.49,0.0,NaN,NaN
67553,1,173.39,1,173.39,NaN,173.39,173.39,173.39,NaN,0.0,NaN,NaN,173.39,0.0,NaN,NaN
67838,4,348.29,1,348.29,NaN,348.29,348.29,348.29,NaN,0.0,NaN,NaN,348.29,0.0,NaN,NaN
68116,1,133.76,1,133.76,NaN,133.76,133.76,133.76,NaN,0.0,NaN,NaN,133.76,0.0,NaN,NaN
68199,2,294.9,1,294.9,NaN,294.9,294.9,294.9,NaN,0.0,NaN,NaN,294.9,0.0,NaN,NaN
68490,5,707.09,1,707.09,NaN,707.09,707.09,707.09,NaN,0.0,NaN,NaN,707.09,0.0,NaN,NaN
68555,5,111.16,1,111.16,NaN,111.16,111.16,111.16,NaN,0.0,NaN,NaN,111.16,0.0,NaN,NaN
68567,6,14.85,1,14.85,NaN,14.85,14.85,14.85,NaN,0.0,NaN,NaN,14.85,0.0,NaN,NaN
68570,6,337.44,1,337.44,NaN,337.44,337.44,337.44,NaN,0.0,NaN,NaN,337.44,0.0,NaN,NaN
68644,6,151.76,1,151.76,NaN,151.76,151.76,151.76,NaN,0.0,NaN,NaN,151.76,0.0,NaN,NaN
69144,5,18841.48,1,18841.48,NaN,18841.48,18841.48,18841.48,NaN,0.0,NaN,NaN,18841.48,0.0,NaN,NaN
69192,6,155.8,1,155.8,NaN,155.8,155.8,155.8,NaN,0.0,NaN,NaN,155.8,0.0,NaN,NaN
69327,2,175.2,1,175.2,NaN,175.2,175.2,175.2,NaN,0.0,NaN,NaN,175.2,0.0,NaN,NaN
69586,5,595.72,1,595.72,NaN,595.72,595.72,595.72,NaN,0.0,NaN,NaN,595.72,0.0,NaN,NaN
70064,5,21880.44,1,21880.44,NaN,21880.44,21880.44,21880.44,NaN,0.0,NaN,NaN,21880.44,0.0,NaN,NaN
70085,5,1964.85,1,1964.85,NaN,1964.85,1964.85,1964.85,NaN,0.0,NaN,NaN,1964.85,0.0,NaN,NaN
70376,2,531.8,1,531.8,NaN,531.8,531.8,531.8,NaN,0.0,NaN,NaN,531.8,0.0,NaN,NaN
70487,3,351.1,1,351.1,NaN,351.1,351.1,351.1,NaN,0.0,NaN,NaN,351.1,0.0,NaN,NaN
70785,5,190.1,1,190.1,NaN,190.1,190.1,190.1,NaN,0.0,NaN,NaN,190.1,0.0,NaN,NaN
71017,3,291.24,1,291.24,NaN,291.24,291.24,291.24,NaN,0.0,NaN,NaN,291.24,0.0,NaN,NaN
71027,3,762.58,1,762.58,NaN,762.58,762.58,762.58,NaN,0.0,NaN,NaN,762.58,0.0,NaN,NaN
71383,1,305.08,1,305.08,NaN,305.08,305.08,305.08,NaN,0.0,NaN,NaN,305.08,0.0,NaN,NaN
71629,3,549.7,1,549.7,NaN,549.7,549.7,549.7,NaN,0.0,NaN,NaN,549.7,0.0,NaN,NaN
71672,3,16.5,1,16.5,NaN,16.5,16.5,16.5,NaN,0.0,NaN,NaN,16.5,0.0,NaN,NaN
71706,4,189.6,1,189.6,NaN,189.6,189.6,189.6,NaN,0.0,NaN,NaN,189.6,0.0,NaN,NaN
71754,4,637.29,1,637.29,NaN,637.29,637.29,637.29,NaN,0.0,NaN,NaN,637.29,0.0,NaN,NaN
71892,5,78.9,1,78.9,NaN,78.9,78.9,78.9,NaN,0.0,NaN,NaN,78.9,0.0,NaN,NaN
71979,6,165.0,1,165.0,NaN,165.0,165.0,165.0,NaN,0.0,NaN,NaN,165.0,0.0,NaN,NaN
72217,2,395.05,1,395.05,NaN,395.05,395.05,395.05,NaN,0.0,NaN,NaN,395.05,0.0,NaN,NaN
72453,4,466.09,1,466.09,NaN,466.09,466.09,466.09,NaN,0.0,NaN,NaN,466.09,0.0,NaN,NaN
72755,6,168.05,1,168.05,NaN,168.05,168.05,168.05,NaN,0.0,NaN,NaN,168.05,0.0,NaN,NaN
72780,1,12.29,1,12.29,NaN,12.29,12.29,12.29,NaN,0.0,NaN,NaN,12.29,0.0,NaN,NaN
73136,4,4.95,1,4.95,NaN,4.95,4.95,4.95,NaN,0.0,NaN,NaN,4.95,0.0,NaN,NaN
73188,5,317.76,1,317.76,NaN,317.76,317.76,317.76,NaN,0.0,NaN,NaN,317.76,0.0,NaN,NaN
73387,6,340.21,1,340.21,NaN,340.21,340.21,340.21,NaN,0.0,NaN,NaN,340.21,0.0,NaN,NaN
73426,6,511.82,1,511.82,NaN,511.82,511.82,511.82,NaN,0.0,NaN,NaN,511.82,0.0,NaN,NaN
73528,1,1146.8,1,1146.8,NaN,1146.8,1146.8,1146.8,NaN,0.0,NaN,NaN,1146.8,0.0,NaN,NaN
73590,1,191.56,1,191.56,NaN,191.56,191.56,191.56,NaN,0.0,NaN,NaN,191.56,0.0,NaN,NaN
74090,5,53.2,1,53.2,NaN,53.2,53.2,53.2,NaN,0.0,NaN,NaN,53.2,0.0,NaN,NaN
74273,6,227.41,1,227.41,NaN,227.41,227.41,227.41,NaN,0.0,NaN,NaN,227.41,0.0,NaN,NaN
74597,3,306.88,1,306.88,NaN,306.88,306.88,306.88,NaN,0.0,NaN,NaN,306.88,0.0,NaN,NaN
74996,5,320.4,1,320.4,NaN,320.4,320.4,320.4,NaN,0.0,NaN,NaN,320.4,0.0,NaN,NaN
75280,1,241.74,1,241.74,NaN,241.74,241.74,241.74,NaN,0.0,NaN,NaN,241.74,0.0,NaN,NaN
75429,2,181.09,1,181.09,NaN,181.09,181.09,181.09,NaN,0.0,NaN,NaN,181.09,0.0,NaN,NaN
76085,1,303.43,1,303.43,NaN,303.43,303.43,303.43,NaN,0.0,NaN,NaN,303.43,0.0,NaN,NaN
76396,4,532.74,1,532.74,NaN,532.74,532.74,532.74,NaN,0.0,NaN,NaN,532.74,0.0,NaN,NaN
76405,4,111.09,1,111.09,NaN,111.09,111.09,111.09,NaN,0.0,NaN,NaN,111.09,0.0,NaN,NaN
76834,1,391.86,1,391.86,NaN,391.86,391.86,391.86,NaN,0.0,NaN,NaN,391.86,0.0,NaN,NaN
76836,1,300.28,1,300.28,NaN,300.28,300.28,300.28,NaN,0.0,NaN,NaN,300.28,0.0,NaN,NaN
77074,3,166.92,1,166.92,NaN,166.92,166.92,166.92,NaN,0.0,NaN,NaN,166.92,0.0,NaN,NaN
77123,3,480.8,1,480.8,NaN,480.8,480.8,480.8,NaN,0.0,NaN,NaN,480.8,0.0,NaN,NaN
77158,4,1603.06,1,1603.06,NaN,1603.06,1603.06,1603.06,NaN,0.0,NaN,NaN,1603.06,0.0,NaN,NaN
77215,4,522.91,1,522.91,NaN,522.91,522.91,522.91,NaN,0.0,NaN,NaN,522.91,0.0,NaN,NaN
77422,5,709.79,1,709.79,NaN,709.79,709.79,709.79,NaN,0.0,NaN,NaN,709.79,0.0,NaN,NaN
77578,6,249.78,1,249.78,NaN,249.78,249.78,249.78,NaN,0.0,NaN,NaN,249.78,0.0,NaN,NaN
77621,6,40.8,1,40.8,NaN,40.8,40.8,40.8,NaN,0.0,NaN,NaN,40.8,0.0,NaN,NaN
77886,2,272.67,1,272.67,NaN,272.67,272.67,272.67,NaN,0.0,NaN,NaN,272.67,0.0,NaN,NaN
78255,5,226.92,1,226.92,NaN,226.92,226.92,226.92,NaN,0.0,NaN,NaN,226.92,0.0,NaN,NaN
79213,4,8.9,1,8.9,NaN,8.9,8.9,8.9,NaN,0.0,NaN,NaN,8.9,0.0,NaN,NaN
79384,5,185.04,1,185.04,NaN,185.04,185.04,185.04,NaN,0.0,NaN,NaN,185.04,0.0,NaN,NaN
79701,6,343.38,1,343.38,NaN,343.38,343.38,343.38,NaN,0.0,NaN,NaN,343.38,0.0,NaN,NaN
80041,2,134.16,1,134.16,NaN,134.16,134.16,134.16,NaN,0.0,NaN,NaN,134.16,0.0,NaN,NaN
80219,3,265.96,1,265.96,NaN,265.96,265.96,265.96,NaN,0.0,NaN,NaN,265.96,0.0,NaN,NaN
80314,4,148.07,1,148.07,NaN,148.07,148.07,148.07,NaN,0.0,NaN,NaN,148.07,0.0,NaN,NaN
80609,5,412.8,1,412.8,NaN,412.8,412.8,412.8,NaN,0.0,NaN,NaN,412.8,0.0,NaN,NaN
80679,5,447.93,1,447.93,NaN,447.93,447.93,447.93,NaN,0.0,NaN,NaN,447.93,0.0,NaN,NaN
81263,2,359.04,1,359.04,NaN,359.04,359.04,359.04,NaN,0.0,NaN,NaN,359.04,0.0,NaN,NaN
81320,3,308.74,1,308.74,NaN,308.74,308.74,308.74,NaN,0.0,NaN,NaN,308.74,0.0,NaN,NaN
82697,4,350.97,1,350.97,NaN,350.97,350.97,350.97,NaN,0.0,NaN,NaN,350.97,0.0,NaN,NaN
83314,1,246.16,1,246.16,NaN,246.16,246.16,246.16,NaN,0.0,NaN,NaN,246.16,0.0,NaN,NaN
83453,2,202.62,1,202.62,NaN,202.62,202.62,202.62,NaN,0.0,NaN,NaN,202.62,0.0,NaN,NaN
83570,2,348.8,1,348.8,NaN,348.8,348.8,348.8,NaN,0.0,NaN,NaN,348.8,0.0,NaN,NaN
84011,5,426.12,1,426.12,NaN,426.12,426.12,426.12,NaN,0.0,NaN,NaN,426.12,0.0,NaN,NaN
84409,3,75.6,1,75.6,NaN,75.6,75.6,75.6,NaN,0.0,NaN,NaN,75.6,0.0,NaN,NaN
84488,5,13.1,1,13.1,NaN,13.1,13.1,13.1,NaN,0.0,NaN,NaN,13.1,0.0,NaN,NaN
84696,5,2.95,1,2.95,NaN,2.95,2.95,2.95,NaN,0.0,NaN,NaN,2.95,0.0,NaN,NaN
85001,3,8.4,1,8.4,NaN,8.4,8.4,8.4,NaN,0.0,NaN,NaN,8.4,0.0,NaN,NaN
85330,3,3.67,1,3.67,NaN,3.67,3.67,3.67,NaN,0.0,NaN,NaN,3.67,0.0,NaN,NaN
85380,2,14.4,1,14.4,NaN,14.4,14.4,14.4,NaN,0.0,NaN,NaN,14.4,0.0,NaN,NaN
85494,6,45.2,1,45.2,NaN,45.2,45.2,45.2,NaN,0.0,NaN,NaN,45.2,0.0,NaN,NaN
85500,6,7.5,1,7.5,NaN,7.5,7.5,7.5,NaN,0.0,NaN,NaN,7.5,0.0,NaN,NaN
85601,6,4.95,1,4.95,NaN,4.95,4.95,4.95,NaN,0.0,NaN,NaN,4.95,0.0,NaN,NaN
85692,5,12.75,1,12.75,NaN,12.75,12.75,12.75,NaN,0.0,NaN,NaN,12.75,0.0,NaN,NaN
85761,5,19.5,1,19.5,NaN,19.5,19.5,19.5,NaN,0.0,NaN,NaN,19.5,0.0,NaN,NaN
85786,5,10.9,1,10.9,NaN,10.9,10.9,10.9,NaN,0.0,NaN,NaN,10.9,0.0,NaN,NaN
85877,4,12.6,1,12.6,NaN,12.6,12.6,12.6,NaN,0.0,NaN,NaN,12.6,0.0,NaN,NaN
86154,1,18.85,1,18.85,NaN,18.85,18.85,18.85,NaN,0.0,NaN,NaN,18.85,0.0,NaN,NaN
86179,3,45.9,1,45.9,NaN,45.9,45.9,45.9,NaN,0.0,NaN,NaN,45.9,0.0,NaN,NaN
86197,4,10.95,1,10.95,NaN,10.95,10.95,10.95,NaN,0.0,NaN,NaN,10.95,0.0,NaN,NaN
86274,1,39.2,1,39.2,NaN,39.2,39.2,39.2,NaN,0.0,NaN,NaN,39.2,0.0,NaN,NaN
86463,5,6.01,1,6.01,NaN,6.01,6.01,6.01,NaN,0.0,NaN,NaN,6.01,0.0,NaN,NaN
86604,4,3.75,1,3.75,NaN,3.75,3.75,3.75,NaN,0.0,NaN,NaN,3.75,0.0,NaN,NaN
86607,4,49.35,1,49.35,NaN,49.35,49.35,49.35,NaN,0.0,NaN,NaN,49.35,0.0,NaN,NaN
86862,4,179.54,1,179.54,NaN,179.54,179.54,179.54,NaN,0.0,NaN,NaN,179.54,0.0,NaN,NaN
87069,2,9.68,1,9.68,NaN,9.68,9.68,9.68,NaN,0.0,NaN,NaN,9.68,0.0,NaN,NaN
87083,2,3.75,1,3.75,NaN,3.75,3.75,3.75,NaN,0.0,NaN,NaN,3.75,0.0,NaN,NaN
87349,2,32.0,1,32.0,NaN,32.0,32.0,32.0,NaN,0.0,NaN,NaN,32.0,0.0,NaN,NaN
87353,3,8.5,1,8.5,NaN,8.5,8.5,8.5,NaN,0.0,NaN,NaN,8.5,0.0,NaN,NaN
87475,2,12.5,1,12.5,NaN,12.5,12.5,12.5,NaN,0.0,NaN,NaN,12.5,0.0,NaN,NaN
87725,2,15.9,1,15.9,NaN,15.9,15.9,15.9,NaN,0.0,NaN,NaN,15.9,0.0,NaN,NaN
88118,4,3.4,1,3.4,NaN,3.4,3.4,3.4,NaN,0.0,NaN,NaN,3.4,0.0,NaN,NaN
88212,3,10.2,1,10.2,NaN,10.2,10.2,10.2,NaN,0.0,NaN,NaN,10.2,0.0,NaN,NaN
88314,3,9.75,1,9.75,NaN,9.75,9.75,9.75,NaN,0.0,NaN,NaN,9.75,0.0,NaN,NaN
88615,3,4.95,1,4.95,NaN,4.95,4.95,4.95,NaN,0.0,NaN,NaN,4.95,0.0,NaN,NaN
88820,6,30.6,1,30.6,NaN,30.6,30.6,30.6,NaN,0.0,NaN,NaN,30.6,0.0,NaN,NaN
89119,4,2.9,1,2.9,NaN,2.9,2.9,2.9,NaN,0.0,NaN,NaN,2.9,0.0,NaN,NaN
89225,6,36.1,1,36.1,NaN,36.1,36.1,36.1,NaN,0.0,NaN,NaN,36.1,0.0,NaN,NaN
89308,4,29.4,1,29.4,NaN,29.4,29.4,29.4,NaN,0.0,NaN,NaN,29.4,0.0,NaN,NaN
89435,5,29.9,1,29.9,NaN,29.9,29.9,29.9,NaN,0.0,NaN,NaN,29.9,0.0,NaN,NaN
89628,3,29.64,1,29.64,NaN,29.64,29.64,29.64,NaN,0.0,NaN,NaN,29.64,0.0,NaN,NaN
89774,4,2.5,1,2.5,NaN,2.5,2.5,2.5,NaN,0.0,NaN,NaN,2.5,0.0,NaN,NaN
90054,4,10.2,1,10.2,NaN,10.2,10.2,10.2,NaN,0.0,NaN,NaN,10.2,0.0,NaN,NaN
90126,6,14.4,1,14.4,NaN,14.4,14.4,14.4,NaN,0.0,NaN,NaN,14.4,0.0,NaN,NaN
90203,3,39.9,1,39.9,NaN,39.9,39.9,39.9,NaN,0.0,NaN,NaN,39.9,0.0,NaN,NaN
91091,7,9500.0,1,9500.0,NaN,9500.0,9500.0,9500.0,NaN,0.0,NaN,NaN,9500.0,0.0,NaN,NaN
50366,5,210.24,1,210.24,NaN,210.24,210.24,210.24,NaN,0.0,NaN,NaN,210.24,0.0,NaN,NaN
