customer_country,txn_timestamp_quarter,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
GBR,4,628.6019117647064,340,406.66,84.74712132864805,182.88,22104.8,1.45,8.074216077578507,1694.9264605414885,1697.424511212521,1697.424511212521,213724.65000000017,2872775.7066436983,2881249.971265066,2881249.971265066
GRC,1,337.1053312302843,634,204.0,39.425121279438876,6.9,5500.38,0.5,4.935698046865886,456.90286298968516,457.2636233009158,457.2636233009158,213724.78000000026,208760.226208171,209090.02119428184,209090.02119428184
FIN,1,435.5811043872925,661,328.8,104.09788390506078,36.15,13760.02,0.39,8.776247184981873,880.9493875137251,881.6165208069997,881.6165208069997,287919.11000000034,776071.8233608074,777247.689759839,777247.689759839
CAN,1,328.04793157076244,643,204.0,25.10232598058726,52.5,3895.86,0.95,4.181006338953403,409.55840648150775,409.8772530899265,409.8772530899265,210934.82000000024,167738.08831967192,167999.36260054368,167999.36260054368
AUS,4,325.881595441595,351,99.14,27.335201459186845,22.3,3875.88,0.79,3.9611262706808836,368.0127245195209,368.53808199543755,368.53808199543755,114384.43999999984,135433.36540828078,135820.31788087584,135820.31788087584
PRT,1,533.4528438948998,647,426.56,98.51993498458695,32.53,20277.92,1.65,8.726410104834818,1372.2165922606289,1373.278268699727,1373.278268699727,345143.99000000017,1882978.3760753728,1885893.20328292,1885893.20328292
AUT,1,418.2338142620228,603,139.12,138.7341418295342,16.95,15643.77,0.85,9.951811547680867,912.7292833563688,913.4870496000959,913.4870496000959,252194.98999999976,833074.7446962305,834458.5897870881,834458.5897870881
MEX,1,526.1755016181232,618,278.73,30.803920238645254,9500.0,9500.0,0.39,5.427853013176383,1298.581040414163,1299.6329490843543,1299.6329490843543,325176.46000000014,1686312.7185231303,1689045.8023456961,1689045.8023456961
FRA,2,312.598585526316,304,299.92,9.69803786868942,22.5,2271.62,0.55,2.6473573956693395,356.30821445549066,356.8956974833841,356.8956974833841,95029.97000000007,126955.5436884599,127374.5388821512,127374.5388821512
IND,2,376.44498422712957,317,363.66,98.63808133667098,21.8,10065.0,0.55,8.428417604440348,730.4244890587926,731.5793111064605,731.5793111064605,119333.06000000007,533519.9342167982,535208.2884390033,535208.2884390033
AUS,3,374.0806098265891,346,713.8,93.8681522231313,12.75,10999.52,2.08,8.900805552742954,867.4396780119065,868.6959272986787,868.6959272986787,129431.89099999984,752451.5949894,754632.6141053113,754632.6141053113
BRA,2,318.61360103626913,386,368.8,31.60961653135729,21.95,4446.88,0.72,4.828675507234757,464.38907388555833,464.9917854615706,464.9917854615706,122984.84999999987,215657.21194428657,216217.36054673928,216217.36054673928
PRT,3,544.2427725118489,422,201.01,228.21250846444855,153.0,38970.0,0.77,13.914397903053146,2187.522735838872,2190.1192029081267,2190.1192029081267,229670.45000000024,4785255.7198119825,4796622.122946927,4796622.122946927
AUT,3,430.0816890080432,373,244.5,176.12406376101904,835.2,22775.93,1.25,12.459995385056827,1428.5124683829563,1430.4312234027825,1430.4312234027825,160420.47000000012,2040647.8723255664,2046133.4848855813,2046133.4848855813
TUR,3,351.98010362694333,386,244.5,120.59005965699053,3.35,8895.66,0.65,9.023269952957492,582.3385393145245,583.0943326751784,583.0943326751784,135864.32000000012,339118.174370974,339999.0007979116,339999.0007979116
AUS,1,418.034702797203,572,430.6,93.66679731597054,98.75,10584.77,0.38,8.613316186450977,816.966250055537,817.6813191202699,817.6813191202699,239115.85000000012,667433.8537298063,668602.7396382648,668602.7396382648
NOR,3,301.8417261904761,336,259.6,13.466751198838232,18.28,2764.29,1.65,2.826829496779617,327.6901177451856,328.17884302457963,328.17884302457963,101418.81999999996,107380.81326785362,107701.35300895169,107701.35300895169
FRA,4,443.8390489913543,347,30.0,72.04627270521982,17.95,10303.95,1.95,7.306448461305418,806.9663226762798,808.1316176121023,808.1316176121023,154012.14999999994,651194.6459336777,653076.7113843531,653076.7113843531
CHE,3,369.99314070351755,398,266.36,246.37248852316367,14.85,21535.9,1.25,14.726957117457879,1198.8701196084112,1200.3790819672847,1200.3790819672847,147257.27,1437289.5636898861,1440909.9404246213,1440909.9404246213
NOR,2,355.05956810631216,301,510.89,49.38260799872719,102.0,6155.72,1.25,5.890761257976248,550.1999202242434,551.1161571956917,551.1161571956917,106872.92999999996,302719.9522147638,303729.01872214634,303729.01872214634
AUS,2,326.0528660436135,321,284.6,137.2294741201166,8.5,7544.91,0.42,9.906916905993386,496.39916430680665,497.17418298998604,497.17418298998604,104662.96999999993,246412.13032449604,247182.1682317601,247182.1682317601
CHE,4,409.2522400000002,375,154.25,249.7230718790635,9.31,21880.44,1.45,14.726635339394528,1225.226653553721,1226.8635636404533,1226.8635636404533,153469.59000000008,1501180.35257845,1505194.2037885527,1505194.2037885527
DEU,4,397.11916010498703,381,129.64,145.21622020670472,10.95,13031.5,0.65,10.446317371194281,826.0488011346473,827.1349933213211,827.1349933213211,151302.40000000005,682356.6218559882,684152.2971766619,684152.2971766619
ESP,2,387.18943820224706,356,109.3,17.74687368769399,933.92,3978.99,2.84,3.6847433588160077,517.8001201829544,518.5289032602745,518.5289032602745,137839.43999999994,268116.964461482,268872.2235163031,268872.2235163031
NLD,4,415.6624853801172,342,247.25,42.80972711659102,15.0,6591.6,1.45,5.183066071182444,580.4741290460549,581.3246410465839,581.3246410465839,142156.57000000007,336950.214491776,337938.3382879396,337938.3382879396
IND,4,337.39581196581184,351,318.91,68.96070017959961,15.0,7138.12,0.0,7.108464125746733,569.5119239119599,570.3249320687878,570.3249320687878,118425.92999999995,324343.8314779021,325270.52813926747,325270.52813926747
GBR,2,410.97436440677967,236,307.3,30.14595397906276,23.28,6155.72,0.42,5.009214319463291,728.0093524427331,729.5566641828699,729.5566641828699,96989.95,529997.6172440875,532252.9262536368,532252.9262536368
CHN,2,305.7207547169807,265,168.3,26.374974984299275,11.9,3500.5,1.65,4.32534918161304,391.7666830087224,392.50796405570617,392.50796405570617,81015.99999999988,153481.1339156568,154062.5018471555,154062.5018471555
GBR,3,544.3089836065571,305,937.71,54.40287141385146,19.8,16488.0,1.25,6.837074601388082,1513.2913240691305,1515.7782465752505,1515.7782465752505,166014.23999999993,2290050.631502902,2297583.6927907406,2297583.6927907406
CHN,4,408.36653614457816,332,115.75,120.7094564291498,75.0,12341.21,2.1,9.667674256508473,850.6581389662401,851.9421519822919,851.9421519822919,135577.68999999994,723619.2693895071,725805.4303242186,725805.4303242186
FRA,1,428.55634581105187,561,70.05,88.45876425288493,4.25,10901.54,1.45,8.371966970031337,801.4481101689743,802.1633696689144,802.1633696689144,240420.1100000001,642319.0732934204,643466.0716385873,643466.0716385873
JPN,2,505.29201388888873,288,168.3,87.15014728896155,7.95,15160.9,1.25,8.438947660665159,1194.6652401978208,1196.74472869969,1196.74472869969,145524.09999999995,1427225.0361369168,1432197.945670495,1432197.945670495
GBR,1,619.2837234042569,470,259.86,67.26326168009544,6.9,22206.0,0.95,7.461461930009034,1786.6074733686087,1788.5111579506088,1788.5111579506088,291063.35000000073,3191966.2638965636,3198772.162113827,3198772.162113827
DNK,2,696.471050724638,276,871.48,242.7754105396625,74.15,77183.6,1.65,15.333774736198038,4741.228580370539,4749.841173446077,4749.841173446077,192226.01000000007,2.2479248451322433E7,2.2560991172963604E7,2.2560991172963604E7
CHN,1,333.5408286252359,531,34.8,74.3458820290654,224.69,6930.0,1.9,6.899877165214577,484.41099678018605,484.86777292767204,484.86777292767204,177110.18000000028,234654.01380157343,235096.75722384054,235096.75722384054
NLD,3,347.77035911602184,362,127.84,260.87680255710205,23.2,14415.74,0.84,15.145463517890475,800.5347367823432,801.6427438687249,801.6427438687249,125892.86999999991,640855.8647951755,642631.0887973781,642631.0887973781
GRC,2,450.3905633802816,284,215.41,155.22753011259763,48.3,16774.72,1.45,11.20487384091704,1122.892383175093,1124.8745424992655,1124.8745424992655,127910.91999999998,1260887.30419264,1265342.7363629318,1265342.7363629318
IND,3,312.2712664907652,379,189.12,38.57181578652673,3.75,4655.85,1.65,5.0880798318140785,438.9221725447808,439.5023739514654,439.5023739514654,118350.81000000001,192652.67355143029,193162.33670897374,193162.33670897374
AUT,4,462.762037914692,422,223.92,174.47889397440574,84.2,21880.44,0.4,11.879216996171435,1314.0563795669807,1315.6160909522805,1315.6160909522805,195285.58000000002,1726744.168680681,1730845.698772559,1730845.698772559
TUR,1,348.0333272727274,550,362.45,34.65656124805228,3.8,5375.28,0.95,4.769944332645504,466.33088152397664,466.7553976624315,466.7553976624315,191418.33000000005,217464.49106292913,217860.6012470146,217860.6012470146
DEU,3,281.6994936708857,316,903.01,24.154795214195193,37.01,3096.0,1.25,3.621120015582818,307.33804800725244,307.8254996188845,307.8254996188845,89017.03999999989,94456.67575290821,94756.53821561586,94756.53821561586
FIN,4,421.83860674157336,445,346.38,57.93594679436736,7.91,9349.72,1.7,6.544871091828579,766.8407950483717,767.70386881062,767.70386881062,187718.18000000014,588044.8049504188,589369.2301867936,589369.2301867936
RUS,3,434.1461988304095,342,127.84,315.4934760564079,18.28,38970.0,0.65,17.55227197208315,2121.2752540860492,2124.3833513633394,2124.3833513633394,148478.00000000006,4499808.703597833,4513004.623549733,4513004.623549733
AUT,2,490.5111076923082,325,474.66,92.18785014683603,57.51,16726.84,0.72,8.917174442459032,1360.2725523993652,1362.3701211894966,1362.3701211894966,159416.11000000016,1850341.4168110837,1856052.3471098833,1856052.3471098833
ITA,2,306.43833333333316,234,23.8,38.93794368759213,751.9,4400.28,2.1,5.296431984120735,434.60032133598537,435.5319415290455,435.5319415290455,71706.56999999996,188877.43930534174,189688.07209205994,189688.07209205994
USA,3,366.8936626506027,415,704.6,21.683895589281214,12.75,4037.77,0.83,3.9032814286372286,472.7377314321304,473.30832636695897,473.30832636695897,152260.87000000014,223480.96271959704,224020.77180829173,224020.77180829173
RUS,1,658.6635008976665,557,3193.92,545.9291493436102,12.75,168469.6,0.38,23.345466808200147,7136.374216465248,7142.788936157229,7142.788936157229,366875.57000000024,5.092783695742998E7,5.101943378649011E7,5.101943378649011E7
RUS,4,410.69827956989224,372,318.91,244.23873535433734,7.5,18841.48,0.39,14.412308835267579,1059.058780325312,1060.4851227633621,1060.4851227633621,152779.75999999992,1121605.5001841374,1124628.6956024235,1124628.6956024235
RUS,2,288.0539310344824,290,215.41,3.746697486447287,57.51,1622.41,1.25,1.7387304426469474,285.5565404821489,286.05015630516573,286.05015630516573,83535.6399999999,81542.53781213315,81824.69192220973,81824.69192220973
NLD,1,414.72077057793365,571,444.98,309.12637240501004,8.32,22206.0,0.95,15.694133127050982,1062.26090207037,1063.1923015496736,1063.1923015496736,236805.5600000001,1128398.2240673562,1130377.870074492,1130377.870074492
ZAF,4,433.70829736211033,417,770.07,228.0512567103073,59.4,19150.66,0.72,13.743489319693115,1066.922426104372,1068.204015066216,1068.204015066216,180856.36000000002,1138323.4633244392,1141059.8178035845,1141059.8178035845
MEX,2,368.6672756410256,312,190.56,98.11483485913911,22.5,10065.0,1.25,8.351385521521033,733.2921513984137,734.4701315174555,734.4701315174555,115024.18999999997,537717.3793025141,539446.3740912683,539446.3740912683
DNK,4,461.7282479784368,371,86.02,84.8943939840172,4.95,13464.26,1.45,7.7890646832432076,986.7136021756736,988.0460992070529,988.0460992070529,171301.18000000005,973603.7327184936,976235.0941582733,976235.0941582733
CAN,2,859.784177631579,304,299.6,141.31743414982074,74.15,77183.6,1.95,11.884143870579896,6272.168088625682,6282.509675349394,6282.509675349394,261374.39000000004,3.934009253197434E7,3.946992782085874E7,3.946992782085874E7
CHN,3,331.94307210031315,319,713.8,35.73962280735123,37.01,4655.85,0.77,4.877785181128383,432.9479199517677,433.62812134518003,433.62812134518003,105889.8399999999,187443.90139056224,188033.34762135017,188033.34762135017
SWE,4,421.30104683195594,363,462.19,44.76496022072414,10.5,7480.06,1.25,6.031449626209514,739.5060751796123,740.5267879845118,740.5267879845118,152932.28,546869.2352275543,548379.9237226581,548379.9237226581
BRA,4,412.70991285403045,459,272.26,24.466140602187973,7.91,5433.57,0.48,4.41761593663655,638.7906102129936,639.4875996295042,639.4875996295042,189433.84999999998,408053.4436962887,408944.39007990505,408944.39007990505
ESP,1,357.581833084948,671,17.85,120.44350515319255,8.32,10992.96,0.5,8.906290315671113,645.0789492793468,645.5601719865402,645.5601719865402,239937.41000000012,416126.8508033461,416747.9356552914,416747.9356552914
TUR,2,416.78734265734255,286,794.66,138.74518873359466,5.1,12797.52,0.85,10.42440035747539,875.1083336436232,876.6422670445762,876.6422670445762,119201.17999999996,765814.595612519,768501.6643690541,768501.6643690541
SWE,2,361.87154098360645,305,76.32,92.46200344522587,48.3,7837.5,0.85,8.018599760770964,578.800505876765,579.7516988042099,579.7516988042099,110370.81999999996,335010.025603199,336112.0322663674,336112.0322663674
IND,1,325.38661392405106,632,350.4,82.1516638813068,32.53,7271.34,0.95,6.93407794216317,468.1713985488976,468.54222743757197,468.54222743757197,205644.3400000003,219184.45841923077,219531.81889216142,219531.81889216142
