type,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
CHK,8,347.36966400000017,625,326.4,64.67550787726381,38.65,8111.2,0.39,6.449645260632106,569.1714206984457,569.6273049691291,569.6273049691291,217106.0400000001,323956.106139887,324475.26656639326,324475.26656639326
CHK,12,427.64631914893613,470,338.6,41.29608438421822,3.4,8281.12,0.85,5.28510367521168,696.9931895432286,697.7358569777215,697.7358569777215,200993.77,485799.506269643,486835.32611243543,486835.32611243543
SAV,22,400.9686416861835,427,500.0,47.13507776157578,2.55,7138.12,1.66,5.475868023333293,582.4124303066276,583.0956122779306,583.0956122779306,171213.61000000036,339204.2389756723,340000.49305777485,340000.49305777485
MM,3,414.9806149732621,374,215.58,157.57024264870458,50.98,13760.02,2.5,10.906845220341737,856.189970789254,857.3369103132164,857.3369103132164,155202.75000000003,733061.2660801036,735026.5777854122,735026.5777854122
CHK,20,373.98215596330283,436,215.01,19.90212561283966,80.0,3875.88,2.55,3.621134661595741,446.38920453218265,446.90200103042315,446.90200103042315,163056.22000000003,199263.3219228748,199721.39852499636,199721.39852499636
MM,21,403.0882619647355,397,842.9,62.46993918162336,4.25,10584.77,1.25,7.536470861468565,969.5688578928884,970.7922891150841,970.7922891150841,160026.04,940063.77019572,942437.6686053051,942437.6686053051
CHK,26,414.9923199999998,500,326.4,71.78842112593685,491.12,10174.94,2.1,7.495367840055186,815.2676972323986,816.0841898729194,816.0841898729194,207496.1599999999,664661.4181506181,665993.4049605392,665993.4049605392
SAV,7,440.68750000000006,552,151.3,120.66174491350301,14.9,16488.0,0.84,10.282096059001455,1193.0595211184693,1194.141661496148,1194.141661496148,243259.50000000003,1423391.0209314313,1425974.3077207806,1425974.3077207806
CHK,2,407.3565298507466,536,251.62,259.9287852727477,29.17,18841.48,0.65,14.19633786431029,954.2107991814626,955.1021686417623,955.1021686417623,218343.10000000018,910518.2492745254,912220.1525441974,912220.1525441974
SAV,4,389.08571705426397,516,474.66,91.33372119116439,14.85,10992.96,1.25,8.430510625136037,774.8542126081389,775.6061334183634,775.6061334183634,200768.2300000002,600399.050796579,601564.874196184,601564.874196184
CHK,4,405.01255985267017,543,368.8,84.37182024029788,14.85,10992.96,1.25,7.844206593677992,764.366072201571,765.0708820075647,765.0708820075647,219921.8199999999,584255.4923328573,585333.454495833,585333.454495833
MM,5,342.29852670349914,543,256.9,159.8901400238509,1100.44,10999.52,1.65,10.430764967802771,623.480280731325,624.055181988307,624.055181988307,185868.10000000003,388727.6604608118,389444.87016645906,389444.87016645906
SAV,24,327.46567253521135,284,417.31,88.6132900397857,13.9,5518.68,1.65,7.72727419664581,411.59383618125634,412.3203925034675,412.3203925034675,93000.25100000002,169409.48598240287,170008.1060742135,170008.1060742135
CHK,13,412.5203406326035,411,539.2,271.5845993924542,1.25,22775.93,0.83,15.352743161111688,1222.113394372632,1223.6028688978336,1223.6028688978336,169545.86000000004,1493561.1487049966,1497203.980775009,1497203.980775009
SAV,23,375.6728124999996,352,134.55,34.1023935092718,303.96,5513.32,1.45,4.989981958208045,538.8915831738972,539.6586890186962,539.6586890186962,132236.82999999987,290404.1384156694,291231.5006333779,291231.5006333779
MM,14,454.15872164948473,485,15.0,102.48164864751965,27.5,16774.72,1.25,9.468754837076517,1328.1658714321534,1329.5372356296148,1329.5372356296148,220266.9800000001,1764024.5820371313,1767669.2609256378,1767669.2609256378
SAV,17,505.35549636803887,413,357.01,117.8044135229298,9500.0,22998.4,0.77,9.722687238529245,1548.0908129267928,1549.9684252759746,1549.9684252759746,208711.82000000007,2396585.165068338,2402402.1193524846,2402402.1193524846
MM,1,347.80075785582255,541,139.12,86.96607246213519,96.75,8142.75,1.65,7.8656029932415805,570.9131134411398,571.4414921876811,571.4414921876811,188160.21,325941.78309905576,326545.3789936836,326545.3789936836
CHK,24,397.45133623188434,345,165.0,50.29810062497804,13.9,6429.64,0.0,6.279558430072754,656.1290190420751,657.0820028689849,657.0820028689849,137120.7110000001,430505.2896291157,431756.75849431666,431756.75849431666
MM,25,372.664884514436,381,417.69,74.0479611218394,5.98,8322.12,2.55,7.365363737855182,633.1433141986195,633.9758501456272,633.9758501456272,141985.3210000001,400870.4563144118,401925.37856787076,401925.37856787076
CHK,14,356.3359539078157,499,15.0,96.16727823595933,7.5,10389.06,1.25,8.291611915972402,701.4941997090176,702.1981579390508,702.1981579390508,177811.64100000003,492094.11222539505,493082.2530129962,493082.2530129962
SAV,21,365.20505133470255,487,302.95,43.96945551606003,4.25,6936.52,0.4,5.5729100940537055,593.2994123028948,593.9094889805857,593.9094889805857,177854.86000000013,352004.1926389604,352728.4811011805,352728.4811011805
SAV,30,307.96306569343074,274,421.1,14.626947563700853,13.61,2732.92,1.65,3.1736201853250967,350.20780988815756,350.8486298383272,350.8486298383272,84381.88000000002,122645.51010665989,123094.76105943153,123094.76105943153
SAV,18,774.7907366071425,448,440.0,198.8005280607816,59.4,77183.6,1.65,13.945061340108841,5243.176362068995,5249.037936132026,5249.037936132026,347106.2499999999,2.7490898363759067E7,2.7552399254953157E7,2.7552399254953157E7
MM,10,378.3492722371972,371,402.0,184.25192923849372,102.0,14415.74,0.95,12.398995100666426,872.7002429660798,873.8787718527518,873.8787718527518,140367.58000000016,761605.7140730547,763664.1078948738,763664.1078948738
CHK,5,346.3990451388885,576,256.9,34.815987130285436,14.9,5401.98,1.65,4.3532836841477796,434.6216603784207,434.9994280815328,434.9994280815328,199525.84999999977,188895.9876700953,189224.50243126065,189224.50243126065
CHK,23,368.8508635097494,359,134.55,14.732941621894952,303.96,3211.7,1.65,3.1706557874582644,415.27576585504784,415.85535548232434,415.85535548232434,132417.46000000002,172453.9617064965,172935.67668333033,172935.67668333033
MM,12,362.85741648106944,449,338.6,80.76798285502281,13.9,8281.12,0.42,7.246573708005207,585.0827338999177,585.7353640346554,585.7353640346554,162922.98000000019,342321.8055078018,343085.91668081033,343085.91668081033
CHK,30,419.7274061433449,293,421.1,20.671015489629408,25.0,5590.67,0.85,3.9801515673317818,639.8292939442335,640.9239556409807,640.9239556409807,122980.13000000006,409381.52538917644,410783.5169144818,410783.5169144818
CHK,21,422.17080234833674,511,302.95,63.488520843195516,11.1,10584.77,0.4,7.425094953618895,925.306677982666,926.213397139942,926.213397139942,215729.2800000001,856192.4483193171,857871.2570415118,857871.2570415118
CHK,6,341.3508084358525,569,922.4,31.000567645492247,664.86,4414.88,0.72,4.722380738705782,452.3504491121902,452.7484698219375,452.7484698219375,194228.61000000007,204620.92881200017,204981.1769261058,204981.1769261058
SAV,31,340.5319487179483,195,1375.24,24.94194422179941,5.5,4008.62,0.65,4.269341936591644,512.3778174868745,513.696681489673,513.696681489673,66403.72999999992,262531.02785261284,263884.2805735026,263884.2805735026
SAV,25,371.17706730769237,416,585.0,76.67324236281236,19.95,8322.12,1.45,7.271509066343711,608.751295712612,609.4842897116828,609.4842897116828,154409.66000000003,370578.1400317839,371471.0994053545,371471.0994053545
SAV,9,400.4683974358978,468,365.8,204.27812092288298,7.5,19150.66,0.38,13.220182381749115,1097.8139347093793,1098.9886958103066,1098.9886958103066,187419.2100000002,1205195.4352420892,1207776.1535188388,1207776.1535188388
CHK,22,497.727385620915,459,662.9,55.09331857120278,16.95,11956.1,1.06,6.952348288214402,1221.5573552223154,1222.8902059791021,1222.8902059791021,228456.87,1492202.372097738,1495460.455879611,1495460.455879611
CHK,29,368.37843450479266,313,549.26,20.105391342683774,606.0,4257.06,1.65,3.9319677284067462,510.4826964581387,511.3001232370483,511.3001232370483,115302.4500000001,260592.58338317217,261427.8160222208,261427.8160222208
SAV,1,501.6006317689533,554,204.0,81.73574233952804,20.8,16726.84,1.39,7.666501538156779,1154.6893167233413,1155.7328680585374,1155.7328680585374,277886.7500000001,1333307.4181550168,1335718.4623108127,1335718.4623108127
MM,9,1789.2050931677013,483,63.0,115.2160537048091,54.75,168469.6,0.38,10.814760247417125,15249.090659425643,15264.901022054337,15264.901022054337,864186.0599999997,2.3253476593938237E8,2.330172032131155E8,2.330172032131155E8
SAV,26,383.61454157782515,469,561.3,89.38630450744326,987.14,10303.95,0.0,8.411788832695454,767.2957757285014,768.1150987336603,768.1150987336603,179915.22,588742.8074508028,590000.8049026207,590000.8049026207
MM,16,380.36931166347995,523,271.05,321.27742259600547,4.95,21880.44,2.1,16.495034863451355,1061.6351826045022,1062.6515879905853,1062.6515879905853,198933.15000000002,1127069.2609436947,1129228.3974589126,1129228.3974589126
MM,6,353.4275050709945,493,113.48,19.929661356624806,1.65,3895.86,1.46,3.9655984560357593,482.67216339676753,483.162434892787,483.162434892787,174239.7600000003,232972.41731811585,233445.93849152667,233445.93849152667
MM,29,412.5797151898736,316,306.7,126.20757671110636,53.64,13464.26,1.25,9.909114469548074,927.6488242544923,929.120115939148,929.120115939148,130375.19000000005,860532.3411407418,863264.1898427759,863264.1898427759
MM,28,402.8808913649028,359,1131.0,176.1096255120281,20.53,13355.4,1.25,11.654042725572646,814.7580719437731,815.8952086757132,815.8952086757132,144634.2400000001,663830.7157975344,665684.9915399856,665684.9915399856
SAV,16,490.2904819277111,498,314.55,145.22843256402757,21.5,21880.44,1.06,10.753382628601567,1354.3891518852124,1355.751031718361,1355.751031718361,244164.66000000012,1834369.974744345,1838060.8600054001,1838060.8600054001
MM,8,570.7302881355943,590,326.4,167.8183881635659,8.32,38970.0,1.65,12.704547081478767,2837.5439417910347,2839.9517011905614,2839.9517011905614,336730.87000000064,8051655.621595003,8065325.665095164,8065325.665095164
SAV,8,455.92148514851493,606,48.8,385.99079780514774,36.15,38970.0,1.65,18.144391476053727,1750.6670730081596,1752.1133079289116,1752.1133079289116,276288.42000000004,3064835.200514957,3069901.0438215933,3069901.0438215933
CHK,15,435.01460921843676,499,247.38,117.77372362513837,165.0,13031.5,0.79,9.572001254197477,919.8247247209731,920.7477803719307,920.7477803719307,217072.28999999995,846077.5242080139,847776.4750598372,847776.4750598372
MM,20,388.55250000000035,472,1001.52,27.153883049519823,80.0,4936.65,0.39,4.511418290280175,550.1261892658882,550.7098776945443,550.7098776945443,183396.78000000017,302638.82411620783,303281.36939033994,303281.36939033994
SAV,13,404.8817718446604,412,539.2,286.3129357253721,1.25,22775.93,0.72,15.92541808047346,1205.9303601033305,1207.3965373744302,1207.3965373744302,166811.2900000001,1454268.0334189485,1457806.3984637635,1457806.3984637635
SAV,11,364.0870155902001,449,234.0,70.71772998709297,8000.0,8000.0,1.0,7.401559214532954,688.2040818709144,688.9717386426066,688.9717386426066,163475.06999999986,473624.8583037882,474682.05664821627,474682.05664821627
SAV,28,385.4697319034853,373,1131.0,188.57123115396135,20.45,13355.4,1.6,12.11435226604556,794.5628129872634,795.63005700489,795.63005700489,143780.21000000002,631330.0637822329,633027.1876096046,633027.1876096046
SAV,3,439.7528638497654,426,397.5,139.80864199623355,139.13,15643.77,2.5,10.97578552726939,1088.383774272774,1089.663473449979,1089.663473449979,187334.72000000006,1184579.2401002487,1187366.4853710728,1187366.4853710728
SAV,15,457.5356276150623,478,302.78,44.94424818847819,17.85,10065.0,0.95,5.784163766288209,860.0708772575747,860.971947046092,860.971947046092,218702.0299999998,739721.9139066142,741272.6936003388,741272.6936003388
MM,24,366.7480481099656,291,165.0,129.50395568868262,12.75,8980.88,1.0,9.854332342570322,616.3608294442805,617.4226059926341,617.4226059926341,106723.682,379900.6720732415,381210.67439073545,381210.67439073545
CHK,31,345.2272020725387,193,463.0,20.71223111683165,10.2,4008.62,2.08,4.21681687294687,599.950890883549,601.5112339371123,601.5112339371123,66628.84999999998,359941.07147196424,361815.76455254736,361815.76455254736
MM,23,313.2023278688524,305,344.88,75.12603025415142,14.45,5513.32,1.0,6.987926079059354,423.8039460876917,424.50041976393925,424.50041976393925,95526.70999999999,179609.7847194991,180200.6063797606,180200.6063797606
MM,26,438.7350485436892,412,561.3,69.75699121436188,491.12,10303.95,1.45,7.876447505030598,977.1017005532367,978.2896665853557,978.2896665853557,180758.83999999994,954727.7332240271,957050.6717476865,957050.6717476865
SAV,10,595.190666666667,405,370.8,26.660620646636175,100.0,9500.0,0.95,5.063554647041527,1381.43550308314,1383.144143814239,1383.144143814239,241052.22000000012,1908364.0491785682,1913087.7225676242,1913087.7225676242
SAV,20,355.57155875299765,417,215.01,33.830857254005494,36.6,4936.65,0.39,4.890423537662356,484.31743654666593,484.8991994429367,484.8991994429367,148273.34000000003,234563.3793431338,235127.23362040095,235127.23362040095
MM,30,362.40843333333345,300,182.8,42.519456729345066,25.0,5590.67,0.85,5.205636811385539,498.10145250127414,498.9337027934235,498.9337027934235,108722.53000000004,248105.05698387907,248934.83978315626,248934.83978315626
CHK,3,354.70957178841337,397,215.58,23.33335187598075,50.98,4037.77,1.65,3.8242892335435807,400.54911121519496,401.0545361622672,401.0545361622672,140819.7000000001,160439.5904952826,160844.7409763313,160844.7409763313
MM,27,365.78245901639394,366,490.88,21.548358816619537,17.4,4390.56,1.65,4.169701325072257,555.896277761843,556.6572586489276,556.6572586489276,133876.38000000018,309020.6716294721,309867.30360653915,309867.30360653915
MM,31,402.90264423076894,208,463.0,32.15797164811564,39.12,5913.9,0.65,4.757376156514602,630.951480683088,632.4736818837468,632.4736818837468,83803.74999999994,398099.77097618114,400022.958275583,400022.958275583
CHK,16,374.8448034934502,458,391.0,204.39805061665712,4.95,14022.92,1.45,12.535147046208483,781.9384932964746,782.7935383778473,782.7935383778473,171678.9200000002,611427.8072987607,612765.7237261103,612765.7237261103
MM,18,671.0328418803425,468,302.22,224.0095058159968,41.66,77183.6,1.65,14.956861531360962,5039.875728994678,5045.2688559834505,5045.2688559834505,314043.3700000003,2.540034736370964E7,2.5454737829156555E7,2.5454737829156555E7
CHK,9,443.1640613026816,522,213.3,166.53881843004984,7.5,19150.66,1.25,11.522353395168814,1126.8928086703413,1127.9737612533318,1127.9737612533318,231331.6399999998,1269887.4022329305,1272324.806075988,1272324.806075988
CHK,7,559.3079441117759,501,39.6,66.5074890240317,3.18,16488.0,1.65,7.778900972612943,1514.6422761811366,1516.1561618925555,1516.1561618925555,280213.27999999974,2294141.2247951743,2298729.507244765,2298729.507244765
MM,4,353.7557862903224,496,307.3,67.92107757266649,4.15,7480.06,1.25,7.2549423391954155,602.0640695619085,602.6719082523696,602.6719082523696,175462.8699999999,362481.1438574466,363213.42899655254,363213.42899655254
CHK,28,358.4507692307692,390,218.45,10.832943938709207,91.27,2843.29,1.25,2.7969946799220433,380.3579421024804,380.8465202642006,380.8465202642006,139795.8,144672.16412043385,145044.07199735014,145044.07199735014
SAV,29,443.9903636363637,330,626.65,98.38123882363755,606.0,13464.26,1.25,8.583609686245241,978.5167985333666,980.0027778230534,980.0027778230534,146516.82000000004,957495.1250119891,960405.444540901,960405.444540901
MM,17,451.7709048723902,431,198.3,143.05955603639413,29.75,21535.9,0.77,10.86666057073868,1369.958297621386,1371.5503473132967,1371.5503473132967,194713.26000000018,1876785.737221686,1881150.355215225,1881150.355215225
CHK,17,516.0302961275632,439,198.3,119.51072780621055,9500.0,22998.4,1.25,10.245809833041411,1716.9376049500788,1718.8964619533274,1718.8964619533274,226537.30000000028,2947874.739291713,2954605.0469156667,2954605.0469156667
CHK,18,408.8152863436125,454,79.2,195.09672711572657,18.0,20277.92,1.65,12.639705951741538,1166.5153876929687,1167.802222488764,1167.802222488764,185602.14000000007,1360758.149724477,1363762.0308496966,1363762.0308496966
MM,2,494.66424581005634,537,160.6,120.53302582232155,64.7,18841.48,0.65,9.089788549745025,1163.096260871112,1164.1807331448128,1164.1807331448128,265634.70000000024,1352792.912052362,1355316.779425594,1355316.779425594
MM,13,312.51389447236187,398,339.4,39.72225245805345,39.9,4415.44,1.25,5.017255943815561,408.6747974791594,409.1891775411279,409.1891775411279,124380.53000000003,167015.09009463195,167435.7830167847,167435.7830167847
CHK,1,405.77471910112365,623,139.12,143.1080515340651,20.8,16726.84,0.55,10.458712509681675,975.3128405130037,976.0965391854684,976.0965391854684,252797.65000000002,951235.1368695438,952764.4538098485,952764.4538098485
SAV,6,341.14936535162985,583,113.48,58.358623888178805,1.65,7011.38,0.72,6.33477772004519,527.8800762463783,528.3333868290518,528.3333868290518,198890.0800000002,278657.37489788217,279136.1676382565,279136.1676382565
