customer_country,acct_stat_dt_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
DEU,2,320.758897338403,263,15.0,34.78587187782733,4.85,4311.48,1.9,4.855870787206957,430.31789175555303,431.1383269937596,431.1383269937596,84359.59,185173.48796494384,185880.25700297797,185880.25700297797
GRC,4,372.5903686635943,217,255.0,39.80116252911132,381.95,5683.06,1.45,5.4712568913598725,577.9137212229385,579.2499397031991,579.2499397031991,80852.10999999996,333984.2691777443,335530.4926461597,335530.4926461597
GRC,5,532.1623004694833,213,204.0,87.59786606523338,43.2,16488.0,1.25,8.639958048168438,1388.1465207963222,1391.4165995816572,1391.4165995816572,113350.56999999993,1926950.7631989343,1936040.153591382,1936040.153591382
JPN,6,576.9311151079141,278,135.0,83.84227810107657,54.75,22998.4,2.95,8.962881719846768,2126.5867092353037,2130.4218551988383,2130.4218551988383,160386.85000000012,4522371.031896239,4538697.281108861,4538697.281108861
BRA,3,359.0586405529955,434,313.93,97.53043834125383,25.68,9341.26,1.65,8.752017644520091,700.1131564177078,700.921134939807,700.921134939807,155831.45000000004,490158.4317891659,491290.43740530714,491290.43740530714
ITA,6,394.8139068100356,279,540.38,227.39570479566518,55.3,22775.93,1.45,14.581347833115727,1406.0688684042082,1408.5954991363565,1408.5954991363565,110153.07999999993,1977029.6626954908,1984141.2801872012,1984141.2801872012
DEU,7,364.55122377622394,286,272.65,188.67619654396168,98.51,13031.5,2.08,12.730157137505293,828.5520664714418,830.0043937323393,830.0043937323393,104261.65000000005,686498.5268540964,688907.2936149881,688907.2936149881
USA,2,390.7734615384616,338,449.98,7.803514490591965,54.75,2764.29,1.45,2.3966805198553054,416.1540966459149,416.77107859574124,416.77107859574124,132081.43000000002,173184.23215517745,173698.13195385752,173698.13195385752
CHE,2,283.19558073654366,353,4.95,166.04843040889992,16.95,8142.75,1.45,11.226451693225554,503.9579659876936,504.67330767634525,504.67330767634525,99968.03999999992,253973.63148245335,254695.14748098303,254695.14748098303
DEU,5,310.12178770949726,179,313.93,21.58287807861313,14.9,3671.44,1.25,3.858319383321256,436.09161071937723,437.31487149734704,437.31487149734704,55511.80000000001,190175.89293982086,191244.29683274118,191244.29683274118
USA,6,1113.5920093457944,214,286.92,208.60107644308655,168469.6,168469.6,0.83,14.505129934626279,11472.509255760628,11499.408493755353,11499.408493755353,238308.69,1.3161846862351325E8,1.3223639570625275E8,1.3223639570625275E8
ITA,1,377.0109160305343,131,1003.2,46.95238802967222,8.67,7059.54,2.95,6.392408010006028,766.6655370139982,769.6086017205312,769.6086017205312,49388.42999999999,587776.0456449622,592297.3998422312,592297.3998422312
JPN,1,942.8860679611649,206,950.09,8.720966350881561,9500.0,9500.0,1.65,3.2167525830289017,2157.242833225435,2162.4980001677095,2162.4980001677095,194234.52999999997,4653696.6415025005,4676397.600729343,4676397.600729343
NOR,5,367.93788321167875,137,1095.12,70.21632404368826,177.6,6155.72,5.95,7.424677306938721,578.9386172124802,581.0631697364432,581.0631697364432,50407.48999999999,335169.92249989865,337634.4072241626,337634.4072241626
ESP,3,334.78111764705864,323,1919.14,21.71721575523816,3.77,3678.03,1.25,3.8230799701750127,404.564862521437,405.1925818477732,405.1925818477732,108134.30099999995,163672.72798698925,164181.0283844644,164181.0283844644
RUS,7,378.7969953051642,213,22.2,170.0431760486679,12.75,18841.48,0.39,12.62488674621114,1333.3577592409547,1336.4987712713378,1336.4987712713378,80683.75999999998,1777842.9141280598,1786228.9656097959,1786228.9656097959
DEU,6,677.0542487046627,193,406.6,15.203416360203132,1100.44,8935.98,0.65,3.8472748362255196,1472.9666934204554,1476.7975625518,1476.7975625518,130671.46999999988,2169630.8799259895,2180931.0407589376,2180931.0407589376
ZAF,1,377.13435344827565,232,354.23,15.33953710169816,33.2,3155.95,0.85,3.447915617527328,472.1735452300343,473.1944621954002,473.1944621954002,87495.16999999995,222947.85681509922,223912.99905239404,223912.99905239404
CAN,4,385.68435185185183,216,497.0,11.267194907789914,4.15,2949.28,3.75,3.029162723463553,460.89103672040477,461.9616329055771,461.9616329055771,83307.81999999999,212420.54772920947,213408.5502767872,213408.5502767872
ZAF,3,414.18358744394595,223,5.9,40.733153927343615,31.68,6429.64,1.95,5.749030925427272,696.3970949529294,697.9637945595038,697.9637945595038,92362.93999999994,484968.91385887924,487153.45851590123,487153.45851590123
NLD,6,324.1776923076922,104,390.79,18.957387028792667,78.0,2606.4,2.1,3.786406780346193,384.5121582808902,386.3742135213406,386.3742135213406,33714.47999999999,147849.59986582838,149285.0328742345,149285.0328742345
NOR,4,320.3860153256703,261,194.85,12.500413628934494,16.6,2671.27,2.89,2.922559572692161,357.4038643178514,358.090519829489,358.090519829489,83620.74999999996,127737.52222933312,128228.82039175363,128228.82039175363
RUS,5,265.466392694064,219,471.3,27.060857518252778,44.78,3200.0,0.65,4.0876957588400336,336.39008417298777,337.1607382968164,337.1607382968164,58137.14000000001,113158.2887299098,113677.36344885433,113677.36344885433
SWE,3,303.3040314136124,191,42.9,98.4286936259157,109.54,6068.06,1.25,8.837091437429768,489.82503124323785,491.112352862013,491.112352862013,57931.06999999997,239928.56123243895,241191.34313366233,241191.34313366233
PRT,4,416.7644188311686,308,163.76,129.8383852523947,4.15,11134.34,2.17,9.898389736886942,757.6018781384145,758.8347542642206,758.8347542642206,128363.44099999993,573960.605758853,575830.1842792401,575830.1842792401
FRA,3,474.9157462686566,134,358.56,11.19980397376935,12.5,3825.36,1.25,2.9549342233030265,585.9165760499653,588.1151450354902,588.1151450354902,63638.709999999985,343298.2340901148,345879.4238201157,345879.4238201157
ITA,5,406.794135802469,162,163.2,138.2276031847094,172.89,20277.92,1.25,11.569354715693715,1616.4889769305057,1621.5013578808673,1621.5013578808673,65900.64999999998,2613036.612537833,2629266.6536094965,2629266.6536094965
CHE,5,480.9108211143696,341,514.41,138.58514309745584,15.0,21535.9,1.45,11.264908259191825,1533.8508054529839,1536.1048122610891,1536.1048122610891,163990.59000000003,2352698.2933887676,2359617.994251676,2359617.994251676
ESP,4,319.9742857142857,133,375.65,43.783943360951284,23.24,5162.74,2.5,6.06414824794953,568.8730278991142,571.0237842579867,571.0237842579867,42556.58,323616.52187110635,326068.1621883117,326068.1621883117
SWE,7,432.6261842105262,228,160.6,18.160541127383055,2.9,4186.08,1.7,3.6877015721516613,539.4742176707729,540.6611810807822,540.6611810807822,98638.76999999997,291032.4315314924,292314.51272766636,292314.51272766636
GRC,3,383.98343283582096,201,79.6,10.091526751014761,7.65,3226.13,2.1,2.8330932090964875,466.36052296560524,467.52497052848054,467.52497052848054,77180.67000000001,217492.13738075283,218579.5980676566,218579.5980676566
ZAF,2,465.23836909871267,233,308.65,14.427549340410827,33.35,5375.28,0.85,3.527468975058768,743.0012799386506,744.600853975089,744.600853975089,108400.54000000005,552050.9019904729,554430.4317404318,554430.4317404318
ITA,3,496.92652173913035,161,354.54,13.92578462822031,38.65,5296.96,2.1,3.5392807656942185,805.6343630515746,808.1480489197668,808.1480489197668,80005.16999999998,649046.7269295163,653103.2689728258,653103.2689728258
JPN,5,340.2049787234041,235,357.95,117.46526299646901,15.9,8801.51,1.45,9.61165210185272,653.5190841696482,654.9140037592556,654.9140037592556,79948.16999999997,427087.19337393576,428912.35231997824,428912.35231997824
JPN,7,478.1445150501677,299,330.0,38.33200753636372,65.4,10584.77,0.85,5.942194299909455,1177.78043812622,1179.7549247397383,1179.7549247397383,142965.21000000014,1387166.7604327903,1391821.6824476656,1391821.6824476656
CAN,7,817.5289333333334,300,344.2,143.8492287168401,238.0,77183.6,0.48,12.053638894879969,6268.447479071158,6278.921082831161,6278.921082831161,245258.68000000002,3.929343379787356E7,3.942484996442163E7,3.942484996442163E7
ITA,4,293.7236057692308,208,139.12,49.57987251825677,9.95,4105.94,1.65,5.682658431993991,377.7396931559564,378.651008577288,378.651008577288,61094.51,142687.2757855561,143376.5862965974,143376.5862965974
MEX,4,299.1473786407767,206,1024.68,12.978617264240444,37.6,2221.02,1.25,2.7724489785341935,291.8348745935803,292.5458010418903,292.5458010418903,61624.36,85167.59402905076,85583.04570724124,85583.04570724124
CHN,6,366.4639240506327,237,203.3,159.67555990020145,27.15,12341.21,1.65,11.853797077538959,856.0883517878749,857.9001810141508,857.9001810141508,86851.94999999995,732887.2660668803,735992.7205841128,735992.7205841128
JPN,4,305.8216499999999,200,277.65,7.688091564249547,9.9,2210.64,1.25,2.196965025075602,318.17433036273917,318.9727615562993,318.9727615562993,61164.32999999998,101234.90450177749,101743.62261485176,101743.62261485176
FIN,3,309.9345267489711,243,471.3,36.538205622443066,1.65,4008.62,1.65,5.172738926694283,430.71164013838995,431.60062279757955,431.60062279757955,75314.08999999998,185512.51695070195,186279.09759925856,186279.09759925856
CHE,1,319.6663959390864,197,22.2,29.622824386515596,16.45,4117.4,1.65,4.526628452765294,440.0951031746206,441.21636640123853,441.21636640123853,62974.28000000001,193683.69983827992,194671.88198031197,194671.88198031197
TUR,4,251.28945945945952,111,303.97,1.681371782909884,16.5,975.54,1.17,1.2994498202528002,215.06644788323732,216.04181092741302,216.04181092741302,27893.13000000001,46253.577005113235,46674.06406879608,46674.06406879608
NLD,2,398.2264935064933,231,489.6,202.20492767893236,269.96,22206.0,1.95,13.931658081525612,1478.0138609154742,1481.2234496266042,1481.2234496266042,91990.31999999995,2184524.9730582666,2194022.9077237374,2194022.9077237374
ZAF,6,534.5153719008268,363,277.35,115.42704976301707,664.86,19150.66,0.72,9.745050721136662,1364.2178929705092,1366.1008723249247,1366.1008723249247,194029.08000000013,1861090.4595008953,1866231.59336692,1866231.59336692
IND,6,390.90999999999974,194,304.95,85.66626221813051,7.5,10065.0,0.55,8.253563083930821,849.4639925088479,851.6618331616421,851.6618331616421,75836.53999999995,721589.0745690721,725327.8780642487,725327.8780642487
CAN,5,338.4354982817871,291,101.55,125.80535620591374,83.16,8915.52,1.0,9.794732550369993,620.3038523236572,621.3724213367861,621.3724213367861,98484.73000000004,384776.8692075695,386103.6859979404,386103.6859979404
FIN,2,433.5278611111117,360,328.8,11.416035176009048,18.75,4146.34,0.85,2.941751313721328,555.5762932503638,556.3495382915772,556.3495382915772,156070.0300000002,308665.01762181433,309524.8087572511,309524.8087572511
DEU,1,317.902269230769,260,855.86,7.907514189558052,19.9,1991.26,0.79,2.1495450118819206,285.0158034428236,285.5654969206018,285.5654969206018,82654.58999999994,81234.00821215827,81547.65303151023,81547.65303151023
USA,4,364.42308056872054,211,192.6,27.205811670236088,2.08,4379.76,2.08,4.35808243106281,471.12578505590034,472.24618089508,472.24618089508,76893.27000000003,221959.50534453843,223016.4553699886,223016.4553699886
FRA,5,394.54907692307705,130,180.44,84.33617165747256,15.0,8322.12,4.95,8.535623542254056,768.3736456232598,771.3460886205032,771.3460886205032,51291.38000000002,590398.0592883788,594974.7884301492,594974.7884301492
ESP,6,335.7472799999999,250,201.75,13.82209259063777,24.9,2732.92,2.88,3.281690742537843,396.97410077913344,397.770438792667,397.770438792667,83936.81999999996,157588.4366894016,158221.32197731084,158221.32197731084
MEX,6,438.5866577946766,263,51.4,11.94660208894083,16.95,4345.1,1.65,3.166844987822127,647.0352713778502,648.2688955128712,648.2688955128712,115348.29099999995,418654.64240700833,420252.56088947784,420252.56088947784
USA,1,301.36752136752136,234,113.92,27.129641402888495,11.15,3279.36,0.79,4.28489250568515,371.8849483614361,372.6821303016695,372.6821303016695,70520.0,138298.414817788,138891.97024619053,138891.97024619053
PRT,2,340.3783333333333,210,273.3,30.5776519903066,3.75,4279.71,0.77,4.532427426736239,448.18649941055656,449.2574364198645,449.2574364198645,71479.44999999998,200871.13825388884,201832.2441785486,201832.2441785486
DNK,1,345.6317366946777,357,223.9,35.2471208368886,16.6,4400.28,1.65,4.933150071227692,453.5949067610449,454.2315315048787,454.2315315048787,123390.52999999994,205748.339439561,206326.28421326765,206326.28421326765
JPN,3,466.8327156549521,313,202.12,3.509157240566311,25.4,2527.94,0.85,1.8686508641642265,490.30642374680934,491.09154262238116,491.09154262238116,146118.64,240400.3891673858,241170.90323522998,241170.90323522998
ZAF,5,294.1592016806723,238,842.12,140.17644715903504,41.6,7810.56,0.85,10.734977785014673,553.8249167121428,554.9920938059606,554.9920938059606,70009.89000000001,306722.03837121197,308016.22418712423,308016.22418712423
BRA,6,255.20111675126904,197,780.12,11.174158187490256,20.8,2000.33,2.5,2.431305230742051,253.4359662090131,254.08166398470456,254.08166398470456,50274.62,64229.78896829603,64557.49197323632,64557.49197323632
GBR,4,315.1336097560974,205,259.86,26.358379060720345,9.9,3257.4,2.15,3.8440925774345476,340.49724303693006,341.33077486687245,341.33077486687245,64602.38999999998,115938.3725157502,116506.69787121957,116506.69787121957
PRT,5,804.8680706521745,368,306.4,83.25624025679038,32.53,31698.16,1.25,8.168966573143985,2469.8245051097397,2473.187099594219,2473.187099594219,296191.45000000024,6100033.08604057,6116654.429599265,6116654.429599265
ESP,5,389.97268156424565,179,17.85,34.53162742135791,29.17,5727.0,2.1,5.300972696569138,639.3452635711863,641.1386619427286,641.1386619427286,69805.10999999997,408762.3660509096,411058.7838377125,411058.7838377125
AUS,7,383.4507533039647,227,390.79,88.20808536614526,8.3,8980.88,0.42,8.087170591062053,719.874378574901,721.4652631197575,721.4652631197575,87043.32099999998,518219.1209285999,520512.12588846096,520512.12588846096
GRC,1,665.66642599278,277,572.38,48.05532543017289,98.51,16774.72,0.5,6.363971386047516,1671.7420239490912,1674.7678038438305,1674.7678038438305,184389.60000000006,2794721.3946374035,2804847.196791887,2804847.196791887
GRC,6,301.13763636363655,220,487.75,4.944693917809847,36.0,1592.61,1.6,1.7649122258719163,267.2425174815335,267.85196529122095,267.85196529122095,66250.28000000004,71418.56314986775,71744.67531036944,71744.67531036944
FIN,1,403.72761133603206,247,353.0,187.17079779936637,11.2,16774.72,1.25,13.05443651413419,1112.77621755019,1115.0356639731651,1115.0356639731651,99720.71999999991,1238270.9103453078,1243304.5319320774,1243304.5319320774
FRA,6,397.25368715083783,179,79.6,111.29298264761871,51.19,10901.54,1.9,9.767569844399238,879.5638535122961,882.0310781441726,882.0310781441726,71108.40999999997,773632.5724053998,777978.8228121717,777978.8228121717
CAN,1,329.855382262997,327,34.8,11.5791438325981,15.0,2938.76,0.0,3.090935968195538,419.074423228942,419.71668325824055,419.71668325824055,107862.71000000002,175623.3722046704,176162.09420529823,176162.09420529823
AUS,4,302.9099999999999,252,130.85,6.013550796058233,133.0,1870.2,2.95,2.008570329236199,295.9346258084392,296.52355101941447,296.52355101941447,76333.31999999998,87577.30275238093,87926.21630916331,87926.21630916331
NOR,6,444.20023696682443,211,226.14,80.81967646286421,7.65,10267.88,0.39,7.90875065205881,860.0817700652199,862.1271517172155,862.1271517172155,93726.24999999996,739740.6511985218,743263.2257280387,743263.2257280387
PRT,1,1056.8532398753896,321,161.0,20.481533950148446,38.65,20277.92,0.0,4.303418495851759,2701.246468812222,2705.4638741419126,2705.4638741419126,339249.8900000001,7296732.485270497,7319534.774286968,7319534.774286968
FIN,5,381.2269230769228,273,783.11,67.34437588058698,36.15,8345.2,1.25,7.546105948263505,782.3627105665487,783.7995578937689,783.7995578937689,104074.94999999992,612091.4108850373,614341.7469544676,614341.7469544676
TUR,6,388.02736462093816,277,362.45,33.265419854287124,3.8,5375.28,0.65,4.924347510966239,582.1225145187749,583.1761307917841,583.1761307917841,107483.57999999987,338866.62190966133,340094.3995252761,340094.3995252761
CHN,5,350.2375675675674,333,318.14,29.01012271835311,224.69,3969.93,0.77,4.346536681411438,424.90541810139484,425.5448547582665,425.5448547582665,116629.10999999994,180544.61433192116,181088.42341123417,181088.42341123417
AUT,1,318.33062256809353,257,204.15,41.97776201655984,14.85,4961.2,1.46,5.628820483480767,489.3545176681812,490.30935665938074,490.30935665938074,81810.97000000004,239467.84396225825,240403.26522773583,240403.26522773583
MEX,1,327.427247191011,178,155.52,11.142252586141108,30.81,2949.12,1.95,2.9399245519161545,422.73310608541686,423.9255854813585,423.9255854813585,58282.04999999997,178703.2789806243,179712.90202571257,179712.90202571257
FRA,2,658.7631715210354,309,70.05,125.68197948912547,4.25,38970.0,0.55,11.012696019009121,3231.008282874685,3236.2491756669224,3236.2491756669224,203557.81999999992,1.043941452400482E7,1.0473308727004835E7,1.0473308727004835E7
NOR,7,335.00371179039297,229,225.65,9.774915831854438,80.0,2489.11,1.25,2.7265201066019924,383.4031439207543,384.24302037940123,384.24302037940123,76715.84999999999,146997.97076831866,147642.69871028495,147642.69871028495
DNK,6,477.52816793893146,131,532.8,100.93459205797085,18.4,15719.56,1.65,9.740393180324054,1412.1377793611125,1417.5586736866696,1417.5586736866696,62556.190000000024,1994133.1078989338,2009472.59334431,2009472.59334431
USA,5,496.50804020100594,398,540.38,16.010459778255317,2.55,4345.1,0.65,3.3489172792954065,596.4599630623669,597.210699625165,597.210699625165,197610.20000000036,355764.4875363601,356660.61974677915,356660.61974677915
IND,2,214.18881188118814,404,4.95,11.18430739204202,32.53,2026.7,0.0,2.8551094437051847,272.50518675429714,272.84307304249046,272.84307304249046,86532.28000000001,74259.07680799435,74443.34250726977,74443.34250726977
AUS,3,475.72727642276396,246,355.75,54.03329931083598,98.75,10999.52,0.79,7.148637871460676,1185.6462475925891,1188.0634697706903,1188.0634697706903,117028.90999999993,1405757.024430387,1411494.8082035722,1411494.8082035722
TUR,7,471.43929889298886,271,172.54,83.37654804880609,7.25,12797.52,1.65,8.19766412752683,1049.1847951366829,1051.1259342525975,1051.1259342525975,127760.04999999999,1100788.7343460033,1104865.729658396,1104865.729658396
BRA,2,629.711098039216,255,1825.74,9.54491473093939,2.95,7059.54,1.65,2.9996394132852737,1082.4425415985475,1084.571240884938,1084.571240884938,160576.3300000001,1171681.8558623232,1176294.7765546946,1176294.7765546946
PRT,3,420.9701435406697,209,783.11,156.97246701547704,16.95,15885.49,2.55,11.91415861245025,1143.9451674693744,1146.6917384516003,1146.6917384516003,87982.75999999997,1308610.546176535,1314901.943033153,1314901.943033153
AUT,3,337.5047345132741,226,259.86,12.405595104139273,259.2,2862.06,2.08,3.182213178884952,424.05906093412005,425.0003696638082,425.0003696638082,76276.06999999995,179826.08716032773,180625.31421437362,180625.31421437362
TUR,3,317.4310746268655,335,277.35,27.95098936601738,7.25,3651.6,1.65,4.222057928281031,384.0356169529038,384.6100908970016,384.6100908970016,106339.40999999995,147483.35508839745,147924.92201979985,147924.92201979985
AUS,1,316.6939189189189,148,17.4,13.469254313034611,54.75,2675.28,2.95,3.1078277230530817,362.68307866815303,363.9146037015535,363.9146037015535,46870.7,131539.0155522097,132433.83878725875,132433.83878725875
NOR,3,492.1971484375001,256,81.75,113.61847520396535,7.5,18841.48,1.64,9.751167266659154,1417.1336439587885,1419.909618497611,1419.909618497611,126002.47000000003,2008267.7648399144,2016143.3247020317,2016143.3247020317
FRA,4,412.16069498069504,259,191.06,64.07513710440477,23.7,8345.2,1.25,6.950812264779142,723.4474231204326,724.848097080606,724.848097080606,106749.62000000001,523376.1740195942,525404.7638413756,525404.7638413756
ESP,7,308.61903100775163,258,1526.92,11.11008975507975,15.0,2474.62,0.5,2.7542272822325535,323.5842347029377,324.2131648098553,324.2131648098553,79623.70999999992,104706.75694828587,105114.1762360224,105114.1762360224
CHE,3,417.56885714285727,245,346.1,91.82761879566061,3.75,11956.1,1.65,8.626276009557502,949.9231369538941,951.8677104055074,951.8677104055074,102304.37000000002,902353.9661203267,906052.138112623,906052.138112623
NOR,2,494.60757961783423,157,191.06,29.83920299435607,35.0,8322.12,1.25,5.109302953195311,996.6233115770751,999.8125143254595,999.8125143254595,77653.38999999997,993258.0251788558,999625.0638017971,999625.0638017971
BRA,5,410.9452358490564,212,308.68,66.90025840539077,5.59,7952.68,0.85,6.977202832586933,691.2158370857485,692.8518531898898,692.8518531898898,87120.38999999996,477779.33343815204,480043.69046866463,480043.69046866463
AUS,2,375.96456066945564,239,233.45,102.09043627322063,2.95,10584.77,0.38,9.127247029145197,821.5369355889854,823.2610443806138,823.2610443806138,89855.5299999999,674922.9365369409,677758.7471946591,677758.7471946591
PRT,6,369.7694166666665,120,189.8,11.351009261517111,30.25,3120.22,2.95,3.1032830302807763,487.10652696868374,489.148911301444,489.148911301444,44372.32999999998,237272.76861549303,239266.65742738792,239266.65742738792
SWE,6,261.52925373134315,134,326.4,15.09970284456908,98.75,2145.38,3.75,3.061268432825382,280.52306990725265,281.5756930048619,281.5756930048619,35044.919999999984,78693.19275018935,79284.87089116822,79284.87089116822
RUS,6,338.7176811594204,276,3193.92,13.609048276011276,18.4,3193.92,3.75,2.9403028387952026,381.4618737417096,382.15481141317554,382.15481141317554,93486.08000000003,145513.16111853602,146042.29988623978,146042.29988623978
DNK,5,410.1885542168675,166,485.25,20.585202927887494,60.25,4146.34,1.25,4.135321450926803,567.6123295593475,569.3297686719701,569.3297686719701,68091.3,322183.7566677893,324136.38549607893,324136.38549607893
CHE,4,301.1599565217387,230,160.6,11.555523691508938,25.68,2375.42,1.25,2.7100345638166856,316.82580278442924,317.51680862772196,317.51680862772196,69266.7899999999,100378.58930999806,100816.92376113342,100816.92376113342
DEU,4,359.133137254902,153,146.61,86.44924692074915,60.25,7298.76,1.45,8.44250830353411,642.6409100276283,644.7513948878512,644.7513948878512,54947.37000000001,412987.3392411382,415704.36120982986,415704.36120982986
CHE,6,442.3057368421051,190,1919.14,38.18813532980248,27.25,6936.52,2.55,5.428563257675232,733.4816580099933,735.4195257412723,735.4195257412723,84038.08999999997,537995.3426370888,540841.8788415178,540841.8788415178
MEX,5,318.556928205128,195,278.73,11.662882154220311,36.15,2640.0,2.95,2.9900458836202546,391.0331359787025,392.03965794226696,392.03965794226696,62118.60099999995,152906.91343333843,153695.09339948968,153695.09339948968
NLD,4,338.89647590361443,332,444.98,35.695930609557685,23.14,4446.88,0.84,5.130499200379774,484.3179360142581,485.04898237150024,485.04898237150024,112513.62999999999,234563.863145111,235272.51529962796,235272.51529962796
ESP,2,420.7389743589745,429,842.12,87.29153618664586,4.5,10992.96,1.44,7.507489972978508,764.4023728541501,765.2948452805391,765.2948452805391,180497.02000000005,584310.9876250552,585676.2002129642,585676.2002129642
IND,7,395.9206514657979,307,295.54,42.25648397405974,15.85,7271.34,1.65,5.672709752104874,684.9399116898026,686.0581816779733,686.0581816779733,121547.63999999996,469142.68262563454,470675.828647287,470675.828647287
IND,4,335.9185057471266,174,146.61,7.250499721961873,5.25,1866.02,2.25,2.0946783527286894,292.0386826685443,292.8815089020027,292.8815089020027,58449.82000000002,85286.59217477872,85779.57825671387,85779.57825671387
GBR,2,342.4406481481479,216,75.0,101.33860062523785,4.5,8142.75,1.95,8.926518473471157,639.3572297031245,640.8423820635463,640.8423820635463,73967.17999999995,408777.66717365396,410678.9586488803,410678.9586488803
CHN,2,343.45648854961814,262,116.25,68.11523371849097,17.0,6930.0,1.65,7.440445463133219,625.6867610274923,626.8842487469964,626.8842487469964,89985.59999999995,391483.9229250742,392983.861327086,392983.861327086
GBR,3,370.1684455958548,193,311.24,49.84113378010227,6.9,6207.08,1.45,6.282656770988013,627.734342712251,629.3669445401966,629.3669445401966,71442.50999999998,394050.4050203818,396102.750879863,396102.750879863
FIN,6,409.7029629629626,216,304.34,83.97779138146436,30.25,10389.06,1.25,8.780941717505687,947.0790721972472,949.27902654864,949.27902654864,88495.83999999992,896958.7689939985,901130.6702451335,901130.6702451335
CHN,4,258.9892405063292,158,34.8,34.58547138994926,987.14,2900.99,1.06,4.5617865645930085,303.33191759786905,304.2964094359279,304.2964094359279,40920.30000000002,92010.25223360042,92596.30479559787,92596.30479559787
FRA,7,375.1841776315785,304,70.8,47.09834048542615,35.4,6260.9,1.65,6.059009321677843,599.7764676143346,600.765382494649,600.765382494649,114055.98999999987,359731.8111039289,360919.04480394186,360919.04480394186
