txn_type,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
ATM,20,394.36850467289713,107,1552.98,12.175923028866185,25.85,3861.0,0.42,3.2314003779666898,599.240891927872,602.060864642099,602.060864642099,42197.42999999999,359089.6465585116,362477.2847335919,362477.2847335919
WIRE,1,392.1297258485639,766,350.4,113.99223900651887,12.75,10992.96,1.25,8.34665842681595,630.1357456954717,630.5474646193043,630.5474646193043,300371.36999999994,397071.0580031881,397590.1051378328,397590.1051378328
ACH,11,334.13491735537184,484,156.1,11.53820769144071,15.9,2748.0,1.45,2.9148724622011337,376.04513002660815,376.43420941679534,376.43420941679534,161721.29999999996,141409.93981672864,141702.71401924774,141702.71401924774
WIRE,4,501.659418918919,740,444.98,152.59755493793173,98.75,22206.0,0.79,10.182627917881412,1201.0442465624985,1201.8565863554472,1201.8565863554472,371227.9700000001,1442507.2822008797,1444459.2541659689,1444459.2541659689
ACH,9,457.54724890829743,458,79.6,110.35462546283217,36.15,15885.49,0.38,9.191560291631143,1058.5642798042943,1059.7218135342785,1059.7218135342785,209556.64000000022,1120558.334477584,1123010.3220803798,1123010.3220803798
ATM,11,349.02739999999983,100,123.15,22.773780972917823,1.25,3640.0,1.25,4.29496631426788,486.5229042658115,488.973916776878,488.973916776878,34902.73999999998,236704.53637524002,239095.49128812124,239095.49128812124
WIRE,12,448.96242105263195,760,855.86,696.2722138256382,224.69,77183.6,0.39,25.961812295322883,2842.226725158128,2844.0984584694297,2844.0984584694297,341211.4400000003,8078252.757203096,8088896.041468185,8088896.041468185
WIRE,7,574.6904864091562,699,855.86,686.1884032062453,168469.6,168469.6,0.55,26.16198905792523,6372.855504248566,6377.418953099908,6377.418953099908,401708.6500000002,4.0613287278031245E7,4.067147250335793E7,4.067147250335793E7
ACH,27,627.31946714032,563,440.89,346.9673467033116,32.53,77183.6,0.5,17.91290454220614,3689.897497656659,3693.1788655773794,3693.1788655773794,353180.8600000001,1.3615343543212876E7,1.3639570133147418E7,1.3639570133147418E7
WIRE,31,306.0684137931032,290,17.4,15.893283850714909,27.15,2949.28,1.65,3.080760534230103,342.72278818446296,343.315222141222,343.315222141222,88759.83999999994,117458.90954093225,117865.34175387664,117865.34175387664
WIRE,25,426.0603217158184,746,34.8,97.9371806454986,8.32,13760.02,0.39,8.529315380333498,905.6714196978596,906.2790490313589,906.2790490313589,317841.0000000005,820240.7204575366,821341.7147131843,821341.7147131843
ACH,16,359.2892807424591,431,204.0,201.70407107719166,40.4,14022.92,0.95,12.56762196103791,796.4720757099982,797.397668207924,797.397668207924,154853.67999999988,634367.767385793,635843.0412634343,635843.0412634343
ACH,28,381.8973297491041,558,313.93,44.15686631975856,25.68,7544.91,1.25,5.6857692187454845,642.6176389584837,643.1942363279232,643.1942363279232,213098.71000000008,412957.429900576,413698.82564546034,413698.82564546034
ACH,17,420.72849397590375,498,426.56,437.19145024974955,12.75,38970.0,1.25,20.397982872136716,1781.66941374201,1783.4609369837128,1783.4609369837128,209522.79000000007,3174345.8998637977,3180732.913746823,3180732.913746823
ACH,31,379.59702857142844,175,226.14,11.489614246650692,3.75,2786.4,1.65,3.0448124257494493,463.733010205872,465.0636672027171,465.0636672027171,66429.47999999998,215048.30475459938,216284.2145520396,216284.2145520396
WIRE,15,616.8257772621818,862,42.9,158.173387467623,6.9,38970.0,0.79,10.830602899516547,2076.142288669627,2077.3475963407764,2077.3475963407764,531703.8200000006,4310366.802802357,4315373.036022801,4315373.036022801
ATM,7,448.84727368421045,95,431.45,75.31778216078995,457.2,11924.8,1.74,8.4584490785417,1235.840968340417,1242.3971998558814,1242.3971998558814,42640.490999999995,1527302.8990285797,1543550.802209735,1543550.802209735
WIRE,27,493.76157160963277,789,17.85,455.77117036999505,2.08,38970.0,0.55,19.315847243104646,1571.4493397040633,1572.4461360870162,1572.4461360870162,389577.88000000024,2469453.0272563365,2472586.8508949867,2472586.8508949867
ATM,5,384.52021897810187,137,650.64,12.193129747409966,29.75,3202.92,0.85,2.9588420004617997,463.51496563917414,465.2159437063911,465.2159437063911,52679.26999999995,214846.1233714848,216425.87427862806,216425.87427862806
WIRE,5,424.6756901041665,768,449.98,174.76547796534814,54.75,18841.48,0.83,11.893561436562708,1061.028733624281,1061.7201828561078,1061.7201828561078,326150.9299999999,1125781.9735763452,1127249.7466840069,1127249.7466840069
WIRE,20,392.01203539823024,678,430.6,255.82186335553519,16.45,18841.48,1.25,13.693593343563501,906.9914640277282,907.6610776029019,907.6610776029019,265784.1600000001,822633.5158191617,823848.6317952609,823848.6317952609
WIRE,6,371.41373449131595,806,139.12,152.2799217713083,54.75,13760.02,1.45,10.768534550470703,784.9422381447225,785.4296285910308,785.4296285910308,299359.47000000067,616134.3172236462,616899.7014686445,616899.7014686445
ACH,1,355.25171052631623,532,318.14,20.733975057736135,25.68,3623.2,1.45,3.7067498890517516,422.6827638242471,423.0805829841387,423.0805829841387,188993.91000000024,178660.71883410428,178997.17969819866,178997.17969819866
ATM,4,599.9176699029128,103,4076.48,25.83857596527768,2.55,9639.12,2.55,4.7028060505892775,1271.6185771266482,1277.836797959743,1277.836797959743,61791.520000000026,1617013.8056936015,1632866.8822200093,1632866.8822200093
ACH,5,361.3186085343228,539,204.0,25.23956587156214,15.9,4961.2,1.65,4.140555578399835,482.029185391618,482.4769599288515,482.4769599288515,194750.72999999998,232352.13556930682,232784.01686218657,232784.01686218657
ACH,23,373.71967921146967,558,514.41,32.959310788544805,12.75,6207.67,0.79,4.836385070127553,568.2051068537365,568.7149365721442,568.7149365721442,208535.58100000006,322857.0434546661,323436.67908025795,323436.67908025795
WIRE,16,346.96752969502427,623,70.05,90.54698400820457,83.16,8107.72,1.65,7.572497969872593,517.0838857190737,517.4993810739567,517.4993810739567,216160.77100000012,267375.7448703361,267805.6094119282,267805.6094119282
ATM,1,431.3532142857141,140,791.7,62.23577119000214,15.9,7810.56,1.25,7.171178148302321,764.961403761437,767.7081321815288,767.7081321815288,60389.449999999975,585165.9492446684,589375.7762176516,589375.7762176516
ATM,25,342.93999999999994,107,97.2,57.488693938391556,20.45,5164.66,5.05,6.821338883746109,538.0401646057403,540.5721323065177,540.5721323065177,36694.579999999994,289487.2187289721,292218.2302264152,292218.2302264152
WIRE,22,424.3111000991084,1009,279.0,835.677192053963,76.5,77183.6,0.4,27.89219633223315,2531.641895379932,2532.897358831948,2532.897358831948,428129.9000000004,6409210.686442896,6415569.030377859,6415569.030377859
ATM,15,564.1462411347518,141,357.95,22.18519111896287,15.85,8111.2,0.0,4.658214760756177,1269.2292802519928,1273.7541761734647,1273.7541761734647,79544.62,1610942.9658489919,1622449.7013193418,1622449.7013193418
WIRE,2,368.26218181818234,880,34.8,167.99629456239288,37.3,15719.56,0.39,11.789505332778099,923.77875226333,924.3040743144676,924.3040743144676,324070.72000000044,853367.1831331949,854338.0217943249,854338.0217943249
ATM,16,347.24333333333317,93,296.66,63.71717877405722,20.8,7427.32,0.42,7.601698381690076,798.2942332306549,802.6210629343975,802.6210629343975,32293.629999999983,637273.6828093191,644200.5706659422,644200.5706659422
WIRE,9,377.4359097744361,665,3193.92,68.39603752719309,4.5,8281.12,0.77,7.108206667791131,663.9049328308272,664.4046731596474,664.4046731596474,250994.88,440769.7598371051,441433.5697163779,441433.5697163779
ATM,22,342.74554838709673,155,12.6,20.30251357046696,8.64,3651.6,5.1,3.940016913795809,468.1763973920746,469.6939909908487,469.6939909908487,53125.56,219189.13907502173,220612.44517291148,220612.44517291148
WIRE,10,343.1333847429517,603,70.05,78.50207676420007,60.25,7837.5,0.72,7.370160487750015,556.4418525547976,556.9038217938172,556.9038217938172,206909.4309999999,309627.53527461516,310141.8667285597,310141.8667285597
ATM,8,329.3852066115702,121,299.4,3.9696860350018435,65.09,1750.46,1.65,2.007451984993288,353.42037887871646,354.8899086221415,354.8899086221415,39855.60999999999,124905.96420677548,125946.84724183194,125946.84724183194
ACH,3,361.24640794223836,554,261.48,29.95381914145691,381.95,5162.74,1.65,4.303456565203344,463.38797036458914,463.8067575900222,463.8067575900222,200130.51000000004,214728.41107861334,215116.7083861696,215116.7083861696
ACH,6,315.98158582089525,536,161.0,34.40296408066524,9.9,4563.84,0.95,4.726678517367808,407.6915743699201,408.07241665228224,408.07241665228224,169366.12999999986,166212.41981222408,166523.09723243385,166523.09723243385
ACH,30,448.49803571428544,280,92.75,17.254695772095424,15.95,5405.48,1.65,4.005740499765229,763.3139574532405,764.6806800471335,764.6806800471335,125579.44999999992,582648.1976429274,584736.5424373465,584736.5424373465
ACH,25,370.61482758620735,522,318.14,231.0834842250705,5.75,16774.72,0.95,13.288949289289747,881.2789600596079,882.1243117744134,882.1243117744134,193460.94000000024,776652.605443744,778143.3014234825,778143.3014234825
ACH,12,513.7525414364644,543,101.55,497.1933455506913,14.85,77183.6,1.65,21.960797920421676,3358.654083106633,3361.7510446526844,3361.7510446526844,278967.6300000002,1.1280557249968858E7,1.1301370086223414E7,1.1301370086223414E7
ATM,18,423.96366336633656,101,849.2,17.29601009233553,23.76,4391.16,1.65,3.922840272843749,688.9952368610924,692.4316433998706,692.4316433998706,42820.329999999994,474714.43641727284,479461.5807814456,479461.5807814456
ATM,14,546.4760162601629,123,196.44,32.33829312847438,2.08,8935.98,1.01,5.492922560539924,1208.4343181062068,1213.3768103822258,1213.3768103822258,67216.55000000003,1460313.5011768127,1472283.2839733441,1472283.2839733441
ATM,28,644.1000943396226,106,1825.74,9.917770331065332,6.24,5913.9,2.08,3.140365997826002,1089.2559215375918,1094.4305631179432,1094.4305631179432,68274.61,1186478.4626047083,1197778.257486658,1197778.257486658
ATM,26,469.1015942028985,69,309.4,37.61982083939412,32.05,6578.08,0.65,5.672613258864139,841.0458343084539,847.2074246252024,847.2074246252024,32368.01,707358.0954076033,717760.420340068,717760.420340068
ACH,13,359.44144444444436,540,295.5,80.81372664876756,2.95,8322.12,0.72,7.574357638233821,591.510232526115,592.058689048694,592.058689048694,194098.37999999995,349884.3551830987,350533.4912780581,350533.4912780581
WIRE,17,371.6283542538357,717,225.7,164.96296659171963,27.25,12341.21,0.95,10.829443339372041,668.7229279055975,669.1897502506914,669.1897502506914,266457.5300000002,447190.354306635,447814.9218405828,447814.9218405828
WIRE,26,418.69957928802586,618,22.2,76.4607112538684,60.25,11816.64,0.48,7.990810396494355,905.6640756452618,906.3977040163862,906.3977040163862,258756.34,820227.4179143866,821556.7978461765,821556.7978461765
WIRE,23,383.9704389574765,729,350.4,118.57421871360444,16.95,10901.54,0.65,8.606318936040054,626.6571462089395,627.0873949010324,627.0873949010324,279914.45000000036,392699.17889473215,393238.6008437634,393238.6008437634
ATM,17,291.3798969072165,97,369.5,6.034848375434592,22.9,1654.31,6.65,2.250465085894234,301.3442401937152,302.9096753520169,302.9096753520169,28263.85,90808.35109792752,91754.27142186426,91754.27142186426
ATM,23,443.68008333333336,120,233.45,15.291077826102995,3.95,4345.1,2.08,3.6084247361748414,666.2431692476551,669.0366539072589,669.0366539072589,53241.61,443879.96056915965,447610.04427142144,447610.04427142144
ACH,24,434.8303869047622,672,22.2,277.8983505228007,96.75,21535.9,0.72,14.293707132659675,1016.8182215457249,1017.5756281472424,1017.5756281472424,292206.0200000002,1033919.2956674108,1035460.1589992549,1035460.1589992549
ATM,31,424.51473684210526,38,204.0,8.114192803143114,24.9,2807.31,1.65,2.6819419606501302,545.7330299444035,553.0586332961834,553.0586332961834,16131.56,297824.5399722991,305873.85186344234,305873.85186344234
ATM,27,405.1361818181818,110,329.65,3.916693749129906,102.45,1975.0,1.06,1.9565738465776037,405.1158622194213,406.9699490787712,406.9699490787712,44564.979999999996,164118.8618217851,165624.53945317763,165624.53945317763
ACH,15,462.8166019417478,618,390.79,71.9394628787004,32.53,11956.1,1.25,7.606604823776412,975.9746545798746,976.7652376617839,976.7652376617839,286020.66000000015,952526.5263823054,954070.329504481,954070.329504481
ACH,26,375.5094402810303,427,508.2,162.7290070898788,381.95,13464.26,0.95,11.455178660846839,822.745591715749,823.710689515831,823.710689515831,160342.53099999996,676910.308687698,678499.3000226456,678499.3000226456
ATM,10,293.3494623655915,93,623.75,3.5069993779030035,17.95,1477.56,2.55,1.3923516929858106,255.74102269895775,257.1271630560054,257.1271630560054,27281.500000000007,65403.47069110883,66114.37798122957,66114.37798122957
ACH,7,409.95729206963233,517,243.28,300.3169320703727,70.8,22775.93,0.0,15.756872936426952,1126.55745671634,1127.6485537824676,1127.6485537824676,211947.91999999993,1269131.7032831886,1271591.260847691,1271591.260847691
ACH,14,418.10300353356894,566,487.75,166.26217795430782,8000.0,16488.0,1.65,11.053425745702944,932.470821747855,933.2956523573828,933.2956523573828,236646.30000000002,869501.83341112,871040.7747091927,871040.7747091927
ATM,19,575.2408411214952,107,306.2,58.681152607690684,11.05,15643.77,1.7,7.314594502998826,1688.4188426056053,1696.36438692755,1696.36438692755,61550.76999999999,2850758.1880656513,2877652.1332360823,2877652.1332360823
ATM,13,304.25157024793367,121,489.6,12.741883194629244,4.25,2594.76,2.1,3.0876697265042394,374.6897757716138,376.2477441372202,376.2477441372202,36814.43999999997,140392.42806778225,141562.3649683471,141562.3649683471
ATM,12,455.24861702127646,94,673.37,60.35932906321057,1.65,8980.88,1.65,7.301209565346071,971.2649423408768,976.4728345918874,976.4728345918874,42793.36999999999,943355.5882204268,953499.1966959153,953499.1966959153
ATM,29,341.85026315789474,76,79.5,10.51864135789219,18.0,2233.28,9.95,2.8880974880553816,400.4801818047327,403.1412089643815,403.1412089643815,25980.62,160384.37601835176,162522.83436526312,162522.83436526312
ATM,3,322.7402205882352,136,278.73,24.778893237580473,10.2,3315.07,1.95,4.117604950015778,394.65727148126837,396.11626821850973,396.11626821850973,43892.66999999999,155754.36193303956,156908.09794735836,156908.09794735836
ACH,20,336.2832173913049,460,243.28,26.185408383955416,14.9,4037.77,0.83,4.2816116128847215,440.92169900857107,441.4017445497771,441.4017445497771,154690.28000000026,194411.94465660496,194835.50009158667,194835.50009158667
WIRE,29,574.414968287527,473,783.11,62.27511367486866,9500.0,22206.0,1.25,6.994209694727629,1729.3148600527331,1731.1457921272977,1731.1457921272977,271698.28000000026,2990529.8851992036,2996865.7536000493,2996865.7536000493
ACH,8,384.75485981308367,535,155.52,79.22415930565724,4.85,8520.92,1.06,7.01187137119183,581.6776680952099,582.2220553627883,582.2220553627883,205843.84999999977,338348.9095606812,338982.52175086975,338982.52175086975
WIRE,24,487.98226870748323,882,326.4,170.49109013106766,38.65,22998.4,1.25,11.769289154167078,1390.3365633121794,1391.1254068158237,1391.1254068158237,430400.3610000002,1933035.759282722,1935229.8974884911,1935229.8974884911
ACH,4,651.0607894736835,494,295.5,39.33095133830537,11.2,16488.0,0.79,5.891795648729267,1751.64033704385,1753.4159485864689,1753.4159485864689,321624.0299999996,3068243.870359092,3074467.4887573863,3074467.4887573863
WIRE,28,500.5134340659346,728,97.2,106.01566480529027,7.5,22104.8,0.84,9.061346774002342,1394.2126455352316,1395.171196796995,1395.171196796995,364373.7800000004,1943828.9009703496,1946502.6683719594,1946502.6683719594
WIRE,8,397.75968319559274,726,277.35,89.01387639131578,3.8,10267.88,0.39,7.7777980474235076,685.293719961572,685.7661734613052,685.7661734613052,288773.5300000003,469627.4826187696,470275.244663761,470275.244663761
WIRE,19,432.3578636363639,660,308.65,164.96053537149203,269.96,21880.44,0.48,12.15492294661991,1384.8819821406116,1385.932328884048,1385.932328884048,285356.1900000002,1917898.1044577092,1920808.4202459608,1920808.4202459608
ATM,2,351.67330578512406,121,1136.32,5.221461744618189,107.25,2044.37,2.08,1.9849219765720345,334.76830740867655,336.1602814268526,336.1602814268526,42552.47000000001,112069.81964527015,113003.73480898073,113003.73480898073
ACH,29,470.8258805970144,335,259.86,135.85140211988212,8000.0,21535.9,2.08,10.762621770135114,1472.035834320391,1474.2378338075869,1474.2378338075869,157726.66999999984,2166889.497523329,2173377.190629686,2173377.190629686
ACH,19,451.07233624454153,458,508.2,188.29705461048823,336.0,22775.93,1.7,12.605270703895128,1341.1038188024631,1342.5703078341555,1342.5703078341555,206591.13000000003,1798559.4528065498,1802495.031477899,1802495.031477899
WIRE,18,417.61015326251874,659,328.8,176.61142627505103,224.69,16726.84,0.77,11.742808449368823,926.3444154340242,927.0480573246456,927.0480573246456,275205.09099999984,858113.976005804,859418.1005893995,859418.1005893995
WIRE,21,360.3075484764544,722,139.12,38.78727002423777,12.75,5683.06,1.25,5.292420420646157,520.4887726306608,520.8495967798071,520.8495967798071,260142.05000000005,270908.5624345718,271284.3024656877,271284.3024656877
ACH,10,323.1372146118721,438,226.14,54.185475495833494,7.25,5292.72,1.65,5.699160159661603,407.963525862608,408.4300366220722,408.4300366220722,141534.09999999998,166434.23843425082,166815.0948151072,166815.0948151072
ACH,2,320.64429012345676,648,79.6,69.52708837332865,20.7,6207.67,0.5,5.96414401125895,407.8057258676268,408.1207554440533,408.1207554440533,207777.49999999997,166305.51005042196,166562.55102422478,166562.55102422478
ATM,9,348.4903030303028,99,336.94,10.866297577120562,17.0,2278.8,10.56,2.8951809089691265,345.3170540051228,347.07440405173423,347.07440405173423,34500.53999999998,119243.86778677693,120460.64194786649,120460.64194786649
WIRE,13,622.0592195767198,756,130.85,717.4083106036304,27.15,168469.6,1.25,26.560939076241894,6178.893475423963,6182.98410379353,6182.98410379353,470276.77000000014,3.8178724580636814E7,3.8229292427763484E7,3.8229292427763484E7
ACH,18,480.5793400000004,500,22.2,109.472955589105,11.2,16774.72,1.65,9.348082442752784,1163.139336706727,1164.3042236653848,1164.3042236653848,240289.6700000002,1352893.1165945644,1355604.3252450544,1355604.3252450544
