counterparty_id,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
69649,17,102.0,1,102.0,NaN,102.0,102.0,102.0,NaN,0.0,NaN,NaN,102.0,0.0,NaN,NaN
69983,17,422.23,1,422.23,NaN,422.23,422.23,422.23,NaN,0.0,NaN,NaN,422.23,0.0,NaN,NaN
16684,7,5416.24,2,3694.36,-1.9999999999999971,7138.12,7138.12,3694.36,-3.7361253391274497E-16,1721.8799999999999,2435.1060487789846,2435.1060487789846,10832.48,2964870.7343999995,5929741.468799999,5929741.468799999
15581,3,144.8,2,39.6,-2.000000000000001,250.0,250.0,39.6,0.0,105.2,148.77526676164962,148.77526676164962,289.6,11067.04,22134.08,22134.08
69987,22,126.94500000000001,2,246.74,-1.9999999999999998,7.15,246.74,7.15,0.0,119.795,169.41571370448492,169.41571370448492,253.89000000000001,14350.842025,28701.68405,28701.68405
69900,17,199.61666666666665,3,142.2,-1.5000000000000007,13.75,442.9,13.75,0.44635000141317227,179.84240477583575,220.26106290793504,220.26106290793504,598.8499999999999,32343.290555555548,48514.93583333332,48514.93583333332
69979,18,497.605,2,597.0,-1.9999999999999967,398.21,597.0,398.21,4.7421634649811E-16,99.39500000000001,140.5657570320738,140.5657570320738,995.21,9879.366025000001,19758.732050000002,19758.732050000002
15034,7,791.97,1,791.97,NaN,791.97,791.97,791.97,NaN,0.0,NaN,NaN,791.97,0.0,NaN,NaN
70263,3,55.715,2,107.28,-1.9999999999999993,4.15,107.28,4.15,0.0,51.565,72.92392234376864,72.92392234376864,111.43,2658.949225,5317.89845,5317.89845
70064,5,154.14,2,81.36,-2.0,226.92,226.92,81.36,0.0,72.78,102.92646306951386,102.92646306951386,308.28,5296.9284,10593.8568,10593.8568
14367,3,550.1866666666666,3,61.95,-1.500000000000001,598.46,990.15,61.95,-0.18827457016653854,380.4703633077819,465.9791261777005,465.9791261777005,1650.56,144757.69735555555,217136.54603333332,217136.54603333332
69802,11,509.88,2,340.88,-2.0,678.88,678.88,340.88,0.0,169.0,239.00209204105306,239.00209204105306,1019.76,28561.0,57122.0,57122.0
70114,24,341.52,1,341.52,NaN,341.52,341.52,341.52,NaN,0.0,NaN,NaN,341.52,0.0,NaN,NaN
69977,12,459.9533333333334,3,423.3,-1.5,314.2,642.36,314.2,0.3835365379672515,136.45474593757777,167.12225026409064,167.12225026409064,1379.8600000000001,18619.897688888897,27929.846533333344,27929.846533333344
16818,31,554.42,1,554.42,NaN,554.42,554.42,554.42,NaN,0.0,NaN,NaN,554.42,0.0,NaN,NaN
16814,6,600.39,1,600.39,NaN,600.39,600.39,600.39,NaN,0.0,NaN,NaN,600.39,0.0,NaN,NaN
15513,11,317.16,1,317.16,NaN,317.16,317.16,317.16,NaN,0.0,NaN,NaN,317.16,0.0,NaN,NaN
12423,15,84.92,1,84.92,NaN,84.92,84.92,84.92,NaN,0.0,NaN,NaN,84.92,0.0,NaN,NaN
14312,9,260.57,1,260.57,NaN,260.57,260.57,260.57,NaN,0.0,NaN,NaN,260.57,0.0,NaN,NaN
16611,17,129.49,1,129.49,NaN,129.49,129.49,129.49,NaN,0.0,NaN,NaN,129.49,0.0,NaN,NaN
69869,16,332.64,1,332.64,NaN,332.64,332.64,332.64,NaN,0.0,NaN,NaN,332.64,0.0,NaN,NaN
70711,17,591.09,1,591.09,NaN,591.09,591.09,591.09,NaN,0.0,NaN,NaN,591.09,0.0,NaN,NaN
70318,23,13.05,1,13.05,NaN,13.05,13.05,13.05,NaN,0.0,NaN,NaN,13.05,0.0,NaN,NaN
14733,2,159.54333333333332,3,441.48,-1.5000000000000007,12.45,441.48,12.45,0.7051061903524269,199.42204597842795,244.2411280544973,244.2411280544973,478.63,39769.15242222223,59653.72863333334,59653.72863333334
69602,13,747.06,2,300.78,-1.9999999999999996,1193.34,1193.34,300.78,0.0,446.28,631.1352286158648,631.1352286158648,1494.12,199165.83839999998,398331.67679999996,398331.67679999996
70010,8,173.37,3,269.91,-1.499999999999999,53.1,269.91,53.1,-0.3768342998985227,90.08876622531803,110.33575440445406,110.33575440445406,520.11,8115.985800000002,12173.978700000003,12173.978700000003
15249,9,819.0,1,819.0,NaN,819.0,819.0,819.0,NaN,0.0,NaN,NaN,819.0,0.0,NaN,NaN
14657,6,114.54,1,114.54,NaN,114.54,114.54,114.54,NaN,0.0,NaN,NaN,114.54,0.0,NaN,NaN
70327,30,322.15,1,322.15,NaN,322.15,322.15,322.15,NaN,0.0,NaN,NaN,322.15,0.0,NaN,NaN
70391,1,216.71,1,216.71,NaN,216.71,216.71,216.71,NaN,0.0,NaN,NaN,216.71,0.0,NaN,NaN
14857,2,522.52,1,522.52,NaN,522.52,522.52,522.52,NaN,0.0,NaN,NaN,522.52,0.0,NaN,NaN
13225,11,557.68,1,557.68,NaN,557.68,557.68,557.68,NaN,0.0,NaN,NaN,557.68,0.0,NaN,NaN
14407,7,475.36,1,475.36,NaN,475.36,475.36,475.36,NaN,0.0,NaN,NaN,475.36,0.0,NaN,NaN
17596,19,449.87,1,449.87,NaN,449.87,449.87,449.87,NaN,0.0,NaN,NaN,449.87,0.0,NaN,NaN
69970,29,144.8,1,144.8,NaN,144.8,144.8,144.8,NaN,0.0,NaN,NaN,144.8,0.0,NaN,NaN
15628,20,308.43,1,308.43,NaN,308.43,308.43,308.43,NaN,0.0,NaN,NaN,308.43,0.0,NaN,NaN
70348,12,315.245,2,399.6,-1.9999999999999998,230.89,399.6,230.89,0.0,84.35500000000002,119.29598505398245,119.29598505398245,630.49,7115.766025000003,14231.532050000005,14231.532050000005
69680,20,299.52,1,299.52,NaN,299.52,299.52,299.52,NaN,0.0,NaN,NaN,299.52,0.0,NaN,NaN
13117,19,90.4,1,90.4,NaN,90.4,90.4,90.4,NaN,0.0,NaN,NaN,90.4,0.0,NaN,NaN
69742,21,62.940000000000005,2,115.93,-2.0000000000000018,9.95,115.93,9.95,-3.9119958813703565E-16,52.99,74.9391766701503,74.9391766701503,125.88000000000001,2807.9401000000003,5615.8802000000005,5615.8802000000005
12362,6,484.20500000000004,2,469.25,-2.0,499.16,499.16,469.25,0.0,14.955000000000013,21.149563825289654,21.149563825289654,968.4100000000001,223.65202500000038,447.30405000000076,447.30405000000076
18092,30,1181.44,1,1181.44,NaN,1181.44,1181.44,1181.44,NaN,0.0,NaN,NaN,1181.44,0.0,NaN,NaN
12656,6,1161.07,1,1161.07,NaN,1161.07,1161.07,1161.07,NaN,0.0,NaN,NaN,1161.07,0.0,NaN,NaN
16902,12,1706.88,1,1706.88,NaN,1706.88,1706.88,1706.88,NaN,0.0,NaN,NaN,1706.88,0.0,NaN,NaN
12641,4,185.9,1,185.9,NaN,185.9,185.9,185.9,NaN,0.0,NaN,NaN,185.9,0.0,NaN,NaN
69795,18,167.785,2,328.07,-1.9999999999999984,7.5,328.07,7.5,4.52325926173028E-16,160.285,226.67722084497154,226.67722084497154,335.57,25691.281225,51382.56245,51382.56245
69409,22,309.5,1,309.5,NaN,309.5,309.5,309.5,NaN,0.0,NaN,NaN,309.5,0.0,NaN,NaN
69911,29,138.24,1,138.24,NaN,138.24,138.24,138.24,NaN,0.0,NaN,NaN,138.24,0.0,NaN,NaN
13470,9,49.5,1,49.5,NaN,49.5,49.5,49.5,NaN,0.0,NaN,NaN,49.5,0.0,NaN,NaN
14691,9,629.335,2,835.08,-1.9999999999999978,423.59,835.08,423.59,4.2773250181807895E-16,205.74500000000003,290.96736939045246,290.96736939045246,1258.67,42331.00502500001,84662.01005000003,84662.01005000003
14534,26,131.64,1,131.64,NaN,131.64,131.64,131.64,NaN,0.0,NaN,NaN,131.64,0.0,NaN,NaN
13018,21,263.45500000000004,2,286.86,-1.9999999999999993,240.05,286.86,240.05,0.0,23.405,33.09966842734229,33.09966842734229,526.9100000000001,547.794025,1095.58805,1095.58805
16362,23,116.38333333333333,3,337.75,-1.4999999999999996,3.75,337.75,3.75,0.7067776133658257,156.53796841519173,191.7190739945646,191.7190739945646,349.15,24504.13555555556,36756.20333333334,36756.20333333334
15159,15,639.2933333333333,3,418.84,-1.4999999999999998,103.95,1395.09,103.95,0.5370826940506994,549.6728596982836,673.2090158586212,673.2090158586212,1917.8799999999999,302140.25268888887,453210.3790333333,453210.3790333333
70588,28,428.34,1,428.34,NaN,428.34,428.34,428.34,NaN,0.0,NaN,NaN,428.34,0.0,NaN,NaN
69968,28,4463.08,1,4463.08,NaN,4463.08,4463.08,4463.08,NaN,0.0,NaN,NaN,4463.08,0.0,NaN,NaN
17411,20,283.86,1,283.86,NaN,283.86,283.86,283.86,NaN,0.0,NaN,NaN,283.86,0.0,NaN,NaN
15841,3,307.32,1,307.32,NaN,307.32,307.32,307.32,NaN,0.0,NaN,NaN,307.32,0.0,NaN,NaN
16747,6,480.2,1,480.2,NaN,480.2,480.2,480.2,NaN,0.0,NaN,NaN,480.2,0.0,NaN,NaN
16989,17,99.0,1,99.0,NaN,99.0,99.0,99.0,NaN,0.0,NaN,NaN,99.0,0.0,NaN,NaN
17934,21,638.45,1,638.45,NaN,638.45,638.45,638.45,NaN,0.0,NaN,NaN,638.45,0.0,NaN,NaN
70202,16,215.23,1,215.23,NaN,215.23,215.23,215.23,NaN,0.0,NaN,NaN,215.23,0.0,NaN,NaN
16945,13,294.22,1,294.22,NaN,294.22,294.22,294.22,NaN,0.0,NaN,NaN,294.22,0.0,NaN,NaN
14976,22,209.4,1,209.4,NaN,209.4,209.4,209.4,NaN,0.0,NaN,NaN,209.4,0.0,NaN,NaN
13858,14,216.17,1,216.17,NaN,216.17,216.17,216.17,NaN,0.0,NaN,NaN,216.17,0.0,NaN,NaN
16426,26,244.45,1,244.45,NaN,244.45,244.45,244.45,NaN,0.0,NaN,NaN,244.45,0.0,NaN,NaN
14690,16,154.99,1,154.99,NaN,154.99,154.99,154.99,NaN,0.0,NaN,NaN,154.99,0.0,NaN,NaN
69768,27,498.24,2,951.48,-1.999999999999999,45.0,951.48,45.0,0.0,453.24,640.9781550099816,640.9781550099816,996.48,205426.4976,410852.9952,410852.9952
13113,3,159.015,2,307.08,-1.9999999999999982,10.95,307.08,10.95,5.738163159442E-16,148.065,209.39553111277232,209.39553111277232,318.03,21923.244225,43846.48845,43846.48845
69565,12,282.2,1,282.2,NaN,282.2,282.2,282.2,NaN,0.0,NaN,NaN,282.2,0.0,NaN,NaN
14878,12,142.98,1,142.98,NaN,142.98,142.98,142.98,NaN,0.0,NaN,NaN,142.98,0.0,NaN,NaN
17690,12,504.53,1,504.53,NaN,504.53,504.53,504.53,NaN,0.0,NaN,NaN,504.53,0.0,NaN,NaN
12670,1,665.46,1,665.46,NaN,665.46,665.46,665.46,NaN,0.0,NaN,NaN,665.46,0.0,NaN,NaN
13606,2,30.12,1,30.12,NaN,30.12,30.12,30.12,NaN,0.0,NaN,NaN,30.12,0.0,NaN,NaN
15572,19,256.76,1,256.76,NaN,256.76,256.76,256.76,NaN,0.0,NaN,NaN,256.76,0.0,NaN,NaN
69753,29,278.45,1,278.45,NaN,278.45,278.45,278.45,NaN,0.0,NaN,NaN,278.45,0.0,NaN,NaN
17360,18,142.93,1,142.93,NaN,142.93,142.93,142.93,NaN,0.0,NaN,NaN,142.93,0.0,NaN,NaN
15611,15,125.555,2,104.2,-1.9999999999999993,146.91,146.91,104.2,-3.735609210107357E-16,21.354999999999997,30.20053062447744,30.20053062447744,251.11,456.0360249999999,912.0720499999998,912.0720499999998
17655,11,447.74,1,447.74,NaN,447.74,447.74,447.74,NaN,0.0,NaN,NaN,447.74,0.0,NaN,NaN
14546,25,499.99,1,499.99,NaN,499.99,499.99,499.99,NaN,0.0,NaN,NaN,499.99,0.0,NaN,NaN
70096,25,411.65,1,411.65,NaN,411.65,411.65,411.65,NaN,0.0,NaN,NaN,411.65,0.0,NaN,NaN
70290,29,190.18,1,190.18,NaN,190.18,190.18,190.18,NaN,0.0,NaN,NaN,190.18,0.0,NaN,NaN
70105,18,20.1,1,20.1,NaN,20.1,20.1,20.1,NaN,0.0,NaN,NaN,20.1,0.0,NaN,NaN
12417,3,31.95,1,31.95,NaN,31.95,31.95,31.95,NaN,0.0,NaN,NaN,31.95,0.0,NaN,NaN
13126,28,21.674999999999997,2,23.4,-1.999999999999999,19.95,23.4,19.95,3.460691722954809E-16,1.7249999999999996,2.4395183950935886,2.4395183950935886,43.349999999999994,2.9756249999999986,5.951249999999997,5.951249999999997
70085,5,9.25,1,9.25,NaN,9.25,9.25,9.25,NaN,0.0,NaN,NaN,9.25,0.0,NaN,NaN
17675,17,22.5,1,22.5,NaN,22.5,22.5,22.5,NaN,0.0,NaN,NaN,22.5,0.0,NaN,NaN
15648,13,53.7,1,53.7,NaN,53.7,53.7,53.7,NaN,0.0,NaN,NaN,53.7,0.0,NaN,NaN
13113,28,51.0,1,51.0,NaN,51.0,51.0,51.0,NaN,0.0,NaN,NaN,51.0,0.0,NaN,NaN
70134,8,184.08,1,184.08,NaN,184.08,184.08,184.08,NaN,0.0,NaN,NaN,184.08,0.0,NaN,NaN
16101,9,43.09,1,43.09,NaN,43.09,43.09,43.09,NaN,0.0,NaN,NaN,43.09,0.0,NaN,NaN
69277,31,24.9,1,24.9,NaN,24.9,24.9,24.9,NaN,0.0,NaN,NaN,24.9,0.0,NaN,NaN
15632,19,122.1,1,122.1,NaN,122.1,122.1,122.1,NaN,0.0,NaN,NaN,122.1,0.0,NaN,NaN
16729,15,20.2,1,20.2,NaN,20.2,20.2,20.2,NaN,0.0,NaN,NaN,20.2,0.0,NaN,NaN
13268,4,8.2,1,8.2,NaN,8.2,8.2,8.2,NaN,0.0,NaN,NaN,8.2,0.0,NaN,NaN
17659,25,14.11,1,14.11,NaN,14.11,14.11,14.11,NaN,0.0,NaN,NaN,14.11,0.0,NaN,NaN
69874,21,92.49999999999999,4,22.2,-0.6696555823324712,10.2,324.7,10.2,1.1509108260767522,134.1346152191894,154.88531240889174,154.88531240889174,369.99999999999994,17992.094999999998,23989.459999999995,23989.459999999995
14589,17,39.75,1,39.75,NaN,39.75,39.75,39.75,NaN,0.0,NaN,NaN,39.75,0.0,NaN,NaN
69945,12,431.37,2,841.94,-1.9999999999999998,20.8,841.94,20.8,0.0,410.57000000000005,580.6336623035216,580.6336623035216,862.74,168567.72490000003,337135.44980000006,337135.44980000006
69940,6,211.74,1,211.74,NaN,211.74,211.74,211.74,NaN,0.0,NaN,NaN,211.74,0.0,NaN,NaN
69938,23,181.89999999999998,2,50.4,-2.0,313.4,313.4,50.4,0.0,131.5,185.969083452062,185.969083452062,363.79999999999995,17292.25,34584.5,34584.5
13488,21,1381.92,1,1381.92,NaN,1381.92,1381.92,1381.92,NaN,0.0,NaN,NaN,1381.92,0.0,NaN,NaN
15965,5,156.19,1,156.19,NaN,156.19,156.19,156.19,NaN,0.0,NaN,NaN,156.19,0.0,NaN,NaN
14796,12,431.27666666666664,3,671.21,-1.5000000000000002,328.88,671.21,293.74,0.6845843225858006,170.26392891299346,208.52987371917084,208.52987371917084,1293.83,28989.80548888889,43484.70823333334,43484.70823333334
70108,22,195.54000000000005,3,71.4,-1.4999999999999967,211.3,303.92,71.4,-0.24285449891659408,95.57778960965078,117.05840764336409,117.05840764336409,586.6200000000001,9135.113866666668,13702.670800000002,13702.670800000002
69477,18,346.9,1,346.9,NaN,346.9,346.9,346.9,NaN,0.0,NaN,NaN,346.9,0.0,NaN,NaN
70254,24,150.07,2,97.24,-2.0000000000000004,202.9,202.9,97.24,0.0,52.830000000000005,74.71290250017063,74.71290250017063,300.14,2791.0089000000007,5582.017800000001,5582.017800000001
70148,8,145.575,2,168.0,-2.000000000000003,123.15,168.0,123.15,-6.451976921812877E-16,22.424999999999997,31.713739136216653,31.713739136216653,291.15,502.8806249999999,1005.7612499999998,1005.7612499999998
12483,24,547.56,1,547.56,NaN,547.56,547.56,547.56,NaN,0.0,NaN,NaN,547.56,0.0,NaN,NaN
17757,8,145.5,1,145.5,NaN,145.5,145.5,145.5,NaN,0.0,NaN,NaN,145.5,0.0,NaN,NaN
15107,11,78.2,1,78.2,NaN,78.2,78.2,78.2,NaN,0.0,NaN,NaN,78.2,0.0,NaN,NaN
70054,20,332.41,1,332.41,NaN,332.41,332.41,332.41,NaN,0.0,NaN,NaN,332.41,0.0,NaN,NaN
70023,28,646.54,1,646.54,NaN,646.54,646.54,646.54,NaN,0.0,NaN,NaN,646.54,0.0,NaN,NaN
70071,3,431.3,1,431.3,NaN,431.3,431.3,431.3,NaN,0.0,NaN,NaN,431.3,0.0,NaN,NaN
13984,19,129.95,1,129.95,NaN,129.95,129.95,129.95,NaN,0.0,NaN,NaN,129.95,0.0,NaN,NaN
70114,13,161.82000000000002,3,105.34,-1.5000000000000004,284.12,284.12,96.0,0.7009376757994242,86.56318077951309,106.01781171105164,106.01781171105164,485.46000000000004,7493.184266666664,11239.776399999997,11239.776399999997
13869,16,574.19,1,574.19,NaN,574.19,574.19,574.19,NaN,0.0,NaN,NaN,574.19,0.0,NaN,NaN
15189,11,313.66,1,313.66,NaN,313.66,313.66,313.66,NaN,0.0,NaN,NaN,313.66,0.0,NaN,NaN
69832,14,209.25,1,209.25,NaN,209.25,209.25,209.25,NaN,0.0,NaN,NaN,209.25,0.0,NaN,NaN
18230,21,464.82,1,464.82,NaN,464.82,464.82,464.82,NaN,0.0,NaN,NaN,464.82,0.0,NaN,NaN
69980,13,1750.9700000000003,3,1078.9,-1.4999999999999993,12.95,4161.06,12.95,0.5173655401494256,1758.8751531779244,2154.173323272759,2154.173323272759,5252.910000000001,3093641.804466667,4640462.706700001,4640462.706700001
70327,22,603.42,1,603.42,NaN,603.42,603.42,603.42,NaN,0.0,NaN,NaN,603.42,0.0,NaN,NaN
16217,10,183.0,1,183.0,NaN,183.0,183.0,183.0,NaN,0.0,NaN,NaN,183.0,0.0,NaN,NaN
70127,27,431.28,1,431.28,NaN,431.28,431.28,431.28,NaN,0.0,NaN,NaN,431.28,0.0,NaN,NaN
69777,30,52.475,2,85.15,-1.9999999999999996,19.8,85.15,19.8,0.0,32.675000000000004,46.20942815054089,46.20942815054089,104.95,1067.6556250000003,2135.3112500000007,2135.3112500000007
14194,3,108.03,2,213.98,-1.9999999999999996,2.08,213.98,2.08,0.0,105.94999999999999,149.83592693342942,149.83592693342942,216.06,11225.402499999998,22450.804999999997,22450.804999999997
17690,10,94.65,1,94.65,NaN,94.65,94.65,94.65,NaN,0.0,NaN,NaN,94.65,0.0,NaN,NaN
16619,5,226.21,1,226.21,NaN,226.21,226.21,226.21,NaN,0.0,NaN,NaN,226.21,0.0,NaN,NaN
69658,27,166.9,2,147.0,-2.000000000000001,186.8,186.8,147.0,0.0,19.900000000000006,28.1428498912246,28.1428498912246,333.8,396.0100000000002,792.0200000000004,792.0200000000004
70103,12,60.21666666666667,3,148.8,-1.4999999999999982,14.85,148.8,14.85,0.7064821432655641,62.6440251651256,76.72294854431323,76.72294854431323,180.65,3924.2738888888894,5886.410833333334,5886.410833333334
13720,25,266.2,1,266.2,NaN,266.2,266.2,266.2,NaN,0.0,NaN,NaN,266.2,0.0,NaN,NaN
69929,31,1199.98,3,652.52,-1.5000000000000002,2786.4,2786.4,161.02,0.6097378163390001,1139.5728365781042,1395.6859871761988,1395.6859871761988,3599.94,1298626.2498666667,1947939.3748,1947939.3748
70454,2,687.13,1,687.13,NaN,687.13,687.13,687.13,NaN,0.0,NaN,NaN,687.13,0.0,NaN,NaN
70292,30,350.57,1,350.57,NaN,350.57,350.57,350.57,NaN,0.0,NaN,NaN,350.57,0.0,NaN,NaN
17652,21,409.94,1,409.94,NaN,409.94,409.94,409.94,NaN,0.0,NaN,NaN,409.94,0.0,NaN,NaN
12971,26,379.0,1,379.0,NaN,379.0,379.0,379.0,NaN,0.0,NaN,NaN,379.0,0.0,NaN,NaN
14697,29,89.4,1,89.4,NaN,89.4,89.4,89.4,NaN,0.0,NaN,NaN,89.4,0.0,NaN,NaN
13741,24,162.96,1,162.96,NaN,162.96,162.96,162.96,NaN,0.0,NaN,NaN,162.96,0.0,NaN,NaN
14188,19,362.9,1,362.9,NaN,362.9,362.9,362.9,NaN,0.0,NaN,NaN,362.9,0.0,NaN,NaN
70279,18,296.53,1,296.53,NaN,296.53,296.53,296.53,NaN,0.0,NaN,NaN,296.53,0.0,NaN,NaN
70236,13,667.44,1,667.44,NaN,667.44,667.44,667.44,NaN,0.0,NaN,NaN,667.44,0.0,NaN,NaN
69887,1,128.8,1,128.8,NaN,128.8,128.8,128.8,NaN,0.0,NaN,NaN,128.8,0.0,NaN,NaN
14410,28,57.474999999999994,2,75.8,-2.0000000000000018,39.15,75.8,39.15,-5.911915457010754E-16,18.325,25.915463530486964,25.915463530486964,114.94999999999999,335.80562499999996,671.6112499999999,671.6112499999999
69671,19,446.82,1,446.82,NaN,446.82,446.82,446.82,NaN,0.0,NaN,NaN,446.82,0.0,NaN,NaN
13405,14,397.4,1,397.4,NaN,397.4,397.4,397.4,NaN,0.0,NaN,NaN,397.4,0.0,NaN,NaN
17455,11,131.7,1,131.7,NaN,131.7,131.7,131.7,NaN,0.0,NaN,NaN,131.7,0.0,NaN,NaN
69700,13,247.14,1,247.14,NaN,247.14,247.14,247.14,NaN,0.0,NaN,NaN,247.14,0.0,NaN,NaN
16170,1,319.29,1,319.29,NaN,319.29,319.29,319.29,NaN,0.0,NaN,NaN,319.29,0.0,NaN,NaN
15218,19,690.34,1,690.34,NaN,690.34,690.34,690.34,NaN,0.0,NaN,NaN,690.34,0.0,NaN,NaN
70123,15,129.345,2,243.84,-2.0000000000000018,14.85,243.84,14.85,-6.204982568281817E-16,114.495,161.92038182390752,161.92038182390752,258.69,13109.105025,26218.21005,26218.21005
12598,9,298.64,1,298.64,NaN,298.64,298.64,298.64,NaN,0.0,NaN,NaN,298.64,0.0,NaN,NaN
