customer_country,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
NOR,31,278.7661111111112,18,337.1,4.331872754950318,2.89,1487.6,1.25,2.2021082135209986,365.64278794927844,376.2433248051818,376.2433248051818,5017.790000000001,133694.648379321,141559.03946045754,141559.03946045754
ZAF,9,911.7701999999999,50,956.5,32.17494266469842,8.3,19150.66,8.3,5.6266201478289135,2830.804476211305,2859.544344774638,2859.544344774638,45588.509999999995,8013453.982537961,8176993.859732613,8176993.859732613
AUT,25,504.19229166666656,48,111.15,10.084742320206006,39.9,4091.46,4.9,3.1305354037831394,761.6345328503463,769.6943819886238,769.6943819886238,24201.229999999996,580087.1616301652,592429.4416648496,592429.4416648496
PRT,29,404.3140909090909,44,102.9,9.242675851889445,7.62,2800.0,1.95,2.933972379090304,526.3770149345869,532.462500513081,532.462500513081,17789.82,277072.7618514463,283516.31445264275,283516.31445264275
GRC,7,604.682456140351,57,118.25,49.991872289486764,63.2,16488.0,8.25,7.142736015392195,2142.520061855575,2161.565059167845,2161.565059167845,34466.9,4590392.215453617,4672363.5050152885,4672363.5050152885
SWE,15,481.40967213114743,61,101.23,41.43817612863649,3.75,6578.08,1.7,6.185336766491967,845.4935725380599,852.5102370196057,852.5102370196057,29365.989999999994,714859.3812031714,726773.7042232243,726773.7042232243
DEU,2,320.387049180328,61,272.65,1.3617774754803218,36.0,1314.75,0.65,1.3986582503166274,314.99809819016974,317.6122351145826,317.6122351145826,19543.610000000008,99223.80186342383,100877.53189448088,100877.53189448088
CAN,3,395.2113333333333,45,1368.4,23.80948023045307,13.8,3855.84,9.95,4.5806119532606475,588.4049330354433,595.0537873877836,595.0537873877836,17784.51,346220.3652204445,354089.0098845455,354089.0098845455
IND,5,290.6034020618558,97,535.75,15.937972090172547,53.52,2574.48,1.65,3.703294081899369,395.4454435761361,397.49971944404825,397.49971944404825,28188.53000000001,156377.09884512704,158006.0269580971,158006.0269580971
SWE,5,525.6225714285716,70,152.05,24.383402170064038,14.25,7630.56,4.15,4.758786177639504,1110.0856463376222,1118.1008092422053,1118.1008092422053,36793.580000000016,1232290.1422048162,1250149.4196280744,1250149.4196280744
TUR,27,412.25789473684205,38,490.88,12.982363710703261,2.5,3651.6,2.5,3.5516802115951265,668.5688243442416,677.5433040839246,677.5433040839246,15665.799999999997,446984.2728850415,459064.92890896153,459064.92890896153
GRC,4,487.805125,80,215.41,34.12529376076325,1.25,7480.06,1.25,5.444687132940122,961.159723541038,967.2238829005149,967.2238829005149,39024.409999999996,923828.0141574846,935522.039653149,935522.039653149
SWE,18,369.374074074074,54,440.0,31.459945727648517,68.4,4366.78,3.75,5.32057265161486,609.768305577705,615.4939551885578,615.4939551885578,19946.199999999993,371817.38648710534,378832.80887365446,378832.80887365446
ITA,20,379.12499999999994,48,87.75,3.786617005783504,10.95,1701.5,4.25,1.7087954806665326,331.33879377207455,334.8451220388189,334.8451220388189,18197.999999999996,109785.39625833335,112121.25575319151,112121.25575319151
SWE,30,375.14812500000005,32,235.35,0.2875592659365145,4.25,1374.26,3.95,1.0584995785730318,350.23537368137784,355.83949549995333,355.83949549995333,12004.740000000002,122664.81697773439,126621.7465576613,126621.7465576613
GRC,5,436.10485714285704,70,552.24,14.520193256746946,5.59,4005.35,2.95,3.698001232091227,711.8516688402814,716.9914588271876,716.9914588271876,30527.339999999993,506732.7984306937,514076.7520311385,514076.7520311385
JPN,6,332.7976470588237,68,142.25,1.2012649880205863,40.4,1374.46,4.95,0.926520577277473,278.53514480496443,280.606066588592,280.606066588592,22630.240000000013,77581.82689152249,78739.76460632133,78739.76460632133
TUR,20,412.1140384615385,52,286.95,34.10440871842656,51.0,4936.65,7.05,5.590183308671405,682.9023007053723,689.5649199492005,689.5649199492005,21429.93,466355.55230869073,475499.7788245474,475499.7788245474
AUS,21,773.158780487805,41,97.84,15.406437103703745,15.7,10584.77,1.7,4.00487550751112,1971.4495276494515,1995.9405229292222,1995.9405229292222,31699.510000000002,3886613.2400692455,3983778.5710709766,3983778.5710709766
ITA,26,339.12894736842105,38,1136.58,0.010198164101705931,3.75,1136.58,3.75,0.9276042670498145,295.9455314375254,299.9181324312089,299.9181324312089,12886.9,87583.75757783934,89950.88616102417,89950.88616102417
ESP,28,420.3498461538463,65,1131.0,4.551463934405588,91.27,2377.0,1.65,2.187686053153078,494.0592692893694,497.90414649336725,497.90414649336725,27322.74000000001,244094.56157074563,247908.53909528852,247908.53909528852
ESP,13,313.71804347826077,46,302.1,2.8908246196398597,1.25,1431.28,1.25,1.8911616195760064,347.7813638444078,351.62436850593565,351.62436850593565,14431.029999999995,120951.87703747634,123639.69652719804,123639.69652719804
CAN,30,200.94241379310347,29,403.3,6.5920704867367785,28.05,1089.18,2.1,2.3249031896862227,220.17068816864872,224.06781705634143,224.06781705634143,5827.330000000001,48475.13192865635,50206.386640394085,50206.386640394085
BRA,3,445.98196078431374,51,534.0,11.782210890364782,139.13,3855.84,7.65,3.2610369756965305,675.7296997422877,682.4535439545159,682.4535439545159,22745.08,456610.6271138023,465742.8396560784,465742.8396560784
DEU,18,380.54642857142863,42,293.63,26.5820543993089,64.98,4311.48,3.9,4.990791561348503,662.6176325533287,670.6496546899239,670.6496546899239,15982.950000000003,439062.1269705781,449770.9593357141,449770.9593357141
ESP,25,256.85605263157885,38,621.6,-0.6079074890187255,5.34,769.24,3.25,0.6487333058215167,216.51183918691953,219.41816841351837,219.41816841351837,9760.529999999997,46877.376508102505,48144.332629943114,48144.332629943114
ITA,27,397.22486486486474,37,1693.88,3.1992454467376232,78.96,1810.51,4.95,2.122023131875369,488.1083286089413,494.8411753314931,494.8411753314931,14697.319999999996,238249.7404574142,244867.7888034535,244867.7888034535
DEU,31,270.57947368421054,19,453.79,0.18131689743240598,25.05,970.58,2.89,1.099408548342279,281.19122673806845,288.89652260269565,288.89652260269565,5141.01,79068.50599445983,83461.20077192983,83461.20077192983
ITA,6,255.04111111111104,36,17.4,-0.2426954516079287,76.5,774.45,2.37,0.9354137670521937,231.5673281476299,234.85213516810077,234.85213516810077,9181.479999999998,53623.427465432105,55155.52539301588,55155.52539301588
DEU,7,296.41428571428577,56,165.94,37.49591272770373,14.9,3861.0,2.08,5.864395677180731,516.7342287000196,521.4106518800953,521.4106518800953,16599.200000000004,267014.2631102041,271869.067894026,271869.067894026
SWE,17,412.4079069767442,43,919.04,32.032387166896235,9.25,6068.06,3.0,5.608968936494231,907.9288310946122,918.6739250047376,918.6739250047376,17733.54,824334.7623328287,843961.7804836103,843961.7804836103
DEU,24,288.90204545454554,44,408.3,6.597056068106893,58.1,1611.11,1.95,2.5107288296832544,324.13981310384867,327.887218674558,327.887218674558,12711.690000000004,105066.61843899796,107510.02817013745,107510.02817013745
RUS,27,254.8026923076923,26,490.88,-0.6187529251351522,15.0,727.05,6.15,0.6405871004750693,216.21118418303067,220.4930094412554,220.4930094412554,6624.87,46747.27616582841,48617.16721246154,48617.16721246154
IND,29,221.79538461538462,26,13.05,-0.8866490938874545,606.0,606.0,1.25,0.6065614716248882,193.0779839704228,196.90168158206814,196.90168158206814,5766.68,37279.10789408284,38770.27220984615,38770.27220984615
IND,15,576.5277358490565,53,238.65,39.61402560241124,73.87,10065.0,3.75,6.185876722916003,1376.6286986880218,1389.8024792195379,1389.8024792195379,30555.969999999994,1895106.5740514763,1931550.931244774,1931550.931244774
GRC,19,312.51270833333336,48,283.52,4.199015118930181,335.4,1414.99,3.75,1.7969640378232619,275.18758350547284,278.0997025233445,278.0997025233445,15000.61,75728.2061155816,77339.44454357271,77339.44454357271
PRT,21,696.3118032786887,61,117.6,14.174657831704895,9.9,8520.92,7.5,3.944305835743363,1733.8616449762358,1748.2507850186598,1748.2507850186598,42475.02000000001,3006276.2039196985,3056380.80731836,3056380.80731836
SWE,11,547.8539130434782,46,602.44,34.27407948895397,22.74,7837.5,2.75,5.773649676259336,1132.9788739146293,1145.4983575515228,1145.4983575515228,25201.28,1283641.1287368615,1312166.4871532363,1312166.4871532363
CHE,2,375.9465454545457,55,160.6,4.484522096474497,64.7,2044.1,4.0,1.9585764415408118,397.02430429025,400.68359182322854,400.68359182322854,20677.060000000012,157628.298197157,160547.3407563636,160547.3407563636
USA,2,402.06041666666687,72,286.92,22.036709214437153,14.4,4345.1,0.65,4.546661119417155,720.0177251395303,725.0705430963397,725.0705430963397,28948.350000000013,518425.5245151042,525727.2924660211,525727.2924660211
DEU,5,570.0856666666666,60,126.43,22.595006106176182,1100.44,8935.98,1.95,4.815710673251245,1481.2536863058115,1493.7539390299007,1493.7539390299007,34205.14,2194112.483194555,2231300.8303673444,2231300.8303673444
MEX,10,1421.3436666666666,60,402.0,2.6497188663992812,100.0,9500.0,1.65,2.1262012440204052,2900.7288270553468,2925.2079853234172,2925.2079853234172,85280.62,8414227.728109889,8556841.757399887,8556841.757399887
RUS,21,263.09267857142856,56,382.5,1.7570744338059088,26.33,1103.15,2.49,1.400285112177629,255.8822273142964,258.1979507804821,258.1979507804821,14733.189999999999,65475.71425532525,66666.18178724025,66666.18178724025
CHE,24,346.62575757575763,33,301.28,0.472533002644119,4.95,1090.76,4.95,1.0794546294782381,278.8559850535463,283.17959149220025,283.17959149220025,11438.650000000001,77760.66040018365,80190.6810376894,80190.6810376894
IND,27,320.8585714285714,49,529.01,8.345682840182656,25.26,1866.02,2.08,2.512867036367918,333.3321138848442,336.78642494168315,336.78642494168315,15722.069999999998,111110.29814693876,113425.09602499998,113425.09602499998
USA,6,364.91232876712314,73,113.48,2.4843635841421667,436.2,1520.11,4.41,1.5939779140546615,338.2430749588091,340.58388541477376,340.58388541477376,26638.59999999999,114408.37775759053,115997.38300422372,115997.38300422372
DEU,12,468.25000000000006,56,338.6,45.820697498553045,13.9,8425.54,1.65,6.741635359486806,1100.4941890886373,1110.4536155201704,1110.4536155201704,26222.000000000004,1211087.4602178573,1233107.2322218183,1233107.2322218183
AUT,28,664.2831578947367,57,208.61,41.67384047347418,16.3,13355.4,2.9,6.321213569956468,1787.1052531733694,1802.9909456106916,1802.9909456106916,37864.13999999999,3193745.1859198525,3250776.3499541357,3250776.3499541357
AUT,30,329.6176923076924,39,182.8,15.748293195929353,0.85,2732.92,0.85,3.7466878123759604,466.16007704221937,472.2539314620647,472.2539314620647,12855.090000000004,217305.2174280079,223023.77578137652,223023.77578137652
ITA,1,340.02758064516115,62,139.12,7.296303216774964,16.75,1909.36,3.95,2.155951460343422,324.36360034383887,327.0115104039515,327.0115104039515,21081.709999999992,105211.74522801764,106936.52793667366,106936.52793667366
CAN,11,315.30019230769227,52,140.49,5.283872979283023,19.8,1444.66,0.48,1.8874638853522459,267.320104746886,269.92816752879367,269.92816752879367,16395.609999999997,71460.03840188611,72861.2156254525,72861.2156254525
JPN,30,438.35128205128206,39,421.1,3.400429778614778,19.95,2327.0,1.65,1.922369395543943,524.9789513786853,531.8417126075819,531.8417126075819,17095.7,275602.89939066407,282855.6072693658,282855.6072693658
JPN,1,478.8974647887323,71,426.56,40.442807606651996,25.4,6930.0,5.1,5.898729697446912,866.5313610340625,872.6989218636932,872.6989218636932,34001.719999999994,750876.5996555446,761603.4082220524,761603.4082220524
ITA,17,352.0242857142857,28,357.01,17.63016631409262,19.65,2646.3,15.6,4.14036329953868,468.2461608677074,476.8385502330529,476.8385502330529,9856.68,219254.46716734688,227375.00298835972,227375.00298835972
GRC,20,403.82744680851073,47,306.15,5.878441931506153,2.5,2232.0,2.5,2.338559353501971,437.73924052037364,442.47169416943,442.47169416943,18979.890000000003,191615.64269135354,195781.20014116558,195781.20014116558
DEU,25,482.93203703703716,54,337.3,8.80653647801765,46.05,3671.44,0.79,3.0836507564097584,798.6880169711188,806.1875995039155,806.1875995039155,26078.330000000005,637902.5484532581,649938.4455938856,649938.4455938856
GRC,11,362.90775862068966,58,1592.61,12.169781203789602,7.96,2876.85,2.95,3.1305279704603426,476.7607833257577,480.9247120202187,480.9247120202187,21048.65,227300.84451739007,231288.57863173026,231288.57863173026
NOR,5,339.6791836734694,49,535.75,10.359634817784459,16.3,2430.08,3.65,3.1165857481426147,451.9420320867274,456.62549429591246,456.62549429591246,16644.280000000002,204251.60036668056,208506.8420409864,208506.8420409864
DNK,8,284.81620253164556,79,258.9,1.4900503882813387,27.25,1084.14,1.95,1.2346815505660513,235.59573344175607,237.10115280680822,237.10115280680822,22500.48,55505.34961595898,56216.956662317425,56216.956662317425
DNK,24,514.8823333333332,30,165.0,19.644063292454913,1.65,5518.68,1.65,4.442578060297165,980.8350453896697,997.602671026494,997.602671026494,15446.469999999998,962037.3862645555,995211.0892391953,995211.0892391953
IND,13,376.3217500000002,40,476.76,2.4180623136696546,29.85,1822.88,0.95,1.7714513378125123,450.7306552747855,456.47267854819256,456.47267854819256,15052.870000000006,203158.1236044375,208367.30626096154,208367.30626096154
RUS,9,3061.1157377049185,61,159.38,56.00311200929488,4.15,168469.6,0.38,7.615510836373836,21355.370786286418,21532.59681916632,21532.59681916632,186728.06000000003,4.560518614197753E8,4.6365272577677155E8,4.6365272577677155E8
JPN,18,363.1953488372092,43,681.05,2.987396155504028,17.64,1692.0,4.95,1.5768520163790962,350.5048850759253,354.6530162698185,354.6530162698185,15617.399999999996,122853.6744620876,125778.76194928016,125778.76194928016
TUR,22,231.0017777777777,45,560.47,1.2499554634396928,259.2,842.62,4.65,1.2687725566323542,209.8169787567662,212.18786733039713,212.18786733039713,10395.079999999996,44023.16457461728,45023.69104222221,45023.69104222221
ESP,3,390.59641509433965,53,754.87,22.873435002012588,46.25,4037.77,5.45,4.40211106087449,602.6118624413837,608.3786145286072,608.3786145286072,20701.61,363141.0567550731,370124.5386157476,370124.5386157476
BRA,9,316.20149999999995,60,365.8,7.795943511598768,11.55,1798.33,4.95,2.5958965107311185,330.6930225038775,333.48373039787833,333.48373039787833,18972.089999999997,109357.87513275004,111211.39844008478,111211.39844008478
USA,12,475.7242465753424,73,513.64,10.762533143354473,8.2,3279.36,3.4,3.0785990778086734,600.615035748272,604.7715907815432,604.7715907815432,34727.869999999995,360738.4211668981,365748.67701643833,365748.67701643833
CHE,17,585.6243055555556,72,300.04,65.68157789181387,29.88,21535.9,4.25,8.18662377739785,2498.319218676399,2515.8514984651,2515.8514984651,42164.95,6241598.918407853,6329508.762329089,6329508.762329089
PRT,25,424.42711538461543,52,585.0,18.892786886018392,23.27,4992.0,1.95,4.433670033813434,892.0961342067789,900.7997172302532,900.7997172302532,22070.210000000003,795835.5126666792,811440.1305621043,811440.1305621043
AUS,27,348.4679069767443,43,736.7,6.313115105717651,594.0,1866.02,4.95,2.447200276104956,386.9416044612689,391.5209544447455,391.5209544447455,14984.120000000004,149723.8052630611,153288.65776932446,153288.65776932446
AUT,29,611.7014705882352,34,549.26,7.5265893178388215,84.2,4257.06,2.25,2.674432117969544,861.4552839343582,874.4102256781421,874.4102256781421,20797.85,742105.2062184259,764593.2427704993,764593.2427704993
GBR,11,248.87122448979594,49,352.51,4.77181375092288,9.9,1491.59,2.95,2.0569508870208053,302.1292652304716,305.2602220690341,305.2602220690341,12194.69,91282.09290870467,93183.80317763601,93183.80317763601
CAN,29,369.3054545454546,33,928.08,9.370345463865103,3.75,1976.58,3.75,2.7848490744425014,361.85926634946793,367.4698221120588,367.4698221120588,12187.080000000002,130942.12864297518,135034.07016306816,135034.07016306816
AUT,31,378.14090909090896,22,1642.5,1.3654155655487044,2.47,1642.5,2.47,1.4320116287572966,433.1574576599672,443.35079246583797,443.35079246583797,8319.099999999997,187625.38312644625,196559.92518008655,196559.92518008655
