counterparty_country,open_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
USA,25,330.94655737704915,61,192.6,24.0610804088281,44.78,2756.84,0.83,4.322706867652757,382.27885060423625,385.4513435955537,385.4513435955537,20187.739999999998,146137.119619296,148572.73827961757,148572.73827961757
ITA,22,242.46687499999996,48,70.8,2.046803821317334,15.9,1050.66,2.37,1.2527796595717942,218.22637890651774,220.53571706821677,220.53571706821677,11638.409999999998,47622.752450651045,48636.00250279255,48636.00250279255
ZAF,8,515.4864999999999,40,89.14,24.26447674107619,913.08,5590.67,1.45,4.736813145885273,883.6874853718084,894.9451046352021,894.9451046352021,20619.459999999995,780903.57180275,800926.7403105128,800926.7403105128
JPN,29,474.56620000000004,50,209.3,14.755962066160318,913.08,3962.85,1.45,3.4366925305050557,647.5407185741758,654.1149045688708,654.1149045688708,23728.31,419308.98221156,427866.3083791429,427866.3083791429
NOR,19,329.68700000000007,40,1485.72,4.539454202827897,16.6,1592.61,4.25,2.123269165694324,352.5821817761074,357.0738556169133,357.0738556169133,13187.480000000003,124314.19490600005,127501.73836512826,127501.73836512826
TUR,8,395.6009615384615,52,1335.2,19.13597075020014,41.5,3840.88,2.1,3.9596671441797,595.6915445231559,601.5033069726693,601.5033069726693,20571.249999999996,354848.41621638305,361806.2282990572,361806.2282990572
DEU,27,241.78523809523818,42,326.6,4.086132896361723,60.25,1238.06,2.5,1.6505764360562736,247.1520250607103,250.1479165656533,250.1479165656533,10154.980000000003,61084.12349160997,62573.98016213704,62573.98016213704
FRA,9,329.8920454545454,44,15.3,2.3962047850588712,24.75,1330.44,1.25,1.5867755991468204,298.09683849517114,301.54315921242824,301.54315921242824,14515.249999999996,88861.72512081613,90928.27686781186,90928.27686781186
DNK,10,398.5504081632653,49,855.86,21.913260128239067,2.71,3417.12,2.37,4.300225818942283,513.3163054339141,518.6357874629653,518.6357874629653,19528.969999999998,263493.6294243233,268983.0800373301,268983.0800373301
RUS,26,358.9365853658536,41,376.36,6.395789369187849,43.09,2016.32,4.95,2.2532631263243186,384.43018446126933,389.20589781380335,389.20589781380335,14716.399999999998,147786.56672492556,151481.23089304872,151481.23089304872
ZAF,27,345.8978947368421,38,304.34,0.6211167278446252,20.51,1177.64,1.65,1.0459957978298495,289.00105102848306,292.88043334898856,292.88043334898856,13144.119999999999,83521.60749556786,85778.94823869132,85778.94823869132
AUT,21,771.5593333333331,45,311.25,39.220203926889674,16.54,21880.44,2.95,6.389224965980336,3197.316086021316,3233.4450981706245,3233.4450981706245,34720.16999999999,1.0222830153930668E7,1.0455167202883638E7,1.0455167202883638E7
ESP,31,265.16322580645163,31,250.65,-0.8138004392727369,57.8,656.95,0.5,0.3716325076302709,186.43495367254636,189.51673193304242,189.51673193304242,8220.060000000001,34757.991950884505,35916.591682580656,35916.591682580656
ITA,9,254.42878048780491,41,45.12,0.5977047144802041,2.55,835.11,2.55,0.9422207896281475,196.17401481530806,198.6110525398212,198.6110525398212,10431.580000000002,38484.2440887567,39446.350190975616,39446.350190975616
FIN,24,266.05282608695654,46,101.14,2.2459878358387675,5.9,1187.2,3.75,1.5752142762673305,282.0210960784983,285.1374458877531,285.1374458877531,12238.430000000002,79535.89863331759,81303.3630473913,81303.3630473913
AUS,19,370.5928260869565,46,30.45,1.5437528843501918,78.15,1378.48,4.25,1.223346729675851,295.17631379333596,298.438029537219,298.438029537219,17047.27,87129.05622462195,89065.25747405799,89065.25747405799
GRC,26,1299.209411764706,34,17.4,10.817229397204132,92.8,16488.0,2.95,3.477977248494721,3543.2349032669376,3596.5196211303223,3596.5196211303223,44173.12,1.2554513579729063E7,1.2934953385175398E7,1.2934953385175398E7
NLD,30,273.47956521739144,46,326.4,0.3518845911254185,41.66,954.81,2.95,0.6529231325087357,214.34612532837917,216.7146627040217,216.7146627040217,12580.060000000005,45944.26144328924,46965.24503091789,46965.24503091789
DNK,7,359.1586363636365,44,15.0,1.3999584766867752,1.65,1421.67,1.65,1.3546368196632481,337.66463327734266,341.5684003451963,341.5684003451963,15802.980000000005,114017.40456632232,116668.97211437633,116668.97211437633
DEU,9,298.6839655172415,58,53.4,26.66888030853801,0.79,3226.13,0.79,4.705449677095049,455.74799261834823,459.7284000056099,459.7284000056099,17323.67000000001,207706.23277565397,211350.20177171807,211350.20177171807
ITA,7,313.0649019607843,51,259.86,32.78296557913602,12.45,3694.36,6.01,5.4345205508123335,517.509645659364,522.6591221986756,522.6591221986756,15966.310000000001,267816.2333504805,273172.55801749014,273172.55801749014
RUS,15,240.32159090909087,44,204.15,3.5844559652703323,19.9,1012.82,3.35,1.6791327404759115,207.4917759152613,209.8906044624108,209.8906044624108,10574.149999999998,43052.837072469,44054.06584159619,44054.06584159619
FRA,21,275.2232500000001,40,326.0,1.045741740710997,16.5,903.62,5.95,1.1354828895038314,232.6919573211277,235.6563055828584,235.6563055828584,11008.930000000004,54145.547001937506,55533.894360961545,55533.894360961545
JPN,10,580.5407843137258,51,92.55,44.60476249778699,25.4,15160.9,3.78,6.774887888400346,2077.145926504795,2097.8145542433854,2097.8145542433854,29607.580000000016,4314535.199995464,4400825.903995373,4400825.903995373
USA,16,356.39793103448284,58,221.5,3.2400495695260147,4.95,1648.73,2.5,1.8302835966657007,368.4839487860506,371.7022103156491,371.7022103156491,20671.080000000005,135780.42051296076,138162.53315353903,138162.53315353903
NOR,18,457.3652631578951,38,776.95,22.16830070673368,4.95,4961.2,2.95,4.548466406664488,810.9150208763094,821.8002733147508,821.8002733147508,17379.880000000012,657583.1710828254,675355.6892201991,675355.6892201991
ZAF,14,388.99349206349206,63,310.28,2.2459607002812634,23.1,1649.58,8.3,1.1951156063909565,315.05342007176597,317.58401028327734,317.58401028327734,24506.59,99258.65749891661,100859.60358760881,100859.60358760881
ITA,19,283.1277419354839,31,259.86,3.2424861122398143,10.45,1124.19,10.45,1.7500153372161522,250.03659747234266,254.16971379650613,254.16971379650613,8776.960000000001,62518.30007554631,64602.243411397845,64602.243411397845
ITA,21,276.5225925925927,27,22.2,11.201559044080176,55.3,1715.85,1.45,3.127255210980884,326.3196085820316,332.5357787296393,332.5357787296393,7466.1100000000015,106484.48694513031,110580.04413532763,110580.04413532763
ZAF,20,395.50590163934424,61,354.23,15.09547665816099,33.6,3155.95,1.65,3.2542731383584433,482.41353539168557,486.4170358666078,486.4170358666078,24125.86,232722.81912910508,236601.53278125683,236601.53278125683
NLD,5,283.19392156862745,51,203.3,10.220291413377673,27.15,2034.0,1.95,3.0591854489014954,401.70419945418934,405.701354614837,405.701354614837,14442.89,161366.2638591311,164593.58913631373,164593.58913631373
AUS,26,829.6248936170211,47,301.24,14.244872139867912,29.1,10999.52,1.45,3.915658338025245,2208.425897058685,2232.3014654970584,2232.3014654970584,38992.369999999995,4877144.942799458,4983169.832860315,4983169.832860315
DNK,3,265.01149999999996,60,118.38,-0.015589305782865548,68.26,851.09,1.65,0.6627748434843667,200.09368485641085,201.7822690957773,201.7822690957773,15900.689999999999,40037.482719416665,40716.08412144068,40716.08412144068
NOR,31,287.8879166666666,24,334.3,-0.43626572618790993,23.35,786.52,5.93,0.5187323511002175,219.02954764481674,223.7403994341417,223.7403994341417,6909.3099999999995,47973.942741493054,50059.76633894927,50059.76633894927
FRA,19,499.3584615384614,39,231.9,25.673940092925978,8.85,6260.9,2.5,4.988676761356993,997.2711877393575,1010.3079657357699,1010.3079657357699,19474.979999999996,994549.8218950689,1020722.1856291495,1020722.1856291495
USA,18,323.46456140350875,57,272.36,8.801121321365423,54.75,2242.32,1.65,2.7613157434943507,423.72593586309205,427.49246269909406,427.49246269909406,18437.48,179543.6687230532,182749.8056645363,182749.8056645363
GRC,27,710.4150000000001,48,151.5,40.243651832782966,25.0,16774.72,3.75,6.405908784574837,2380.1025158838574,2405.2894873042146,2405.2894873042146,34099.920000000006,5664887.986116667,5785417.517736171,5785417.517736171
ZAF,9,518.7592682926831,41,5.9,15.045432511350853,14.5,6207.67,2.5,4.050580107437341,1211.8388720138723,1226.8933482650198,1226.8933482650198,21269.13000000001,1468553.4517238545,1505267.288016951,1505267.288016951
AUT,25,351.13506849315075,73,206.23,11.14287383441159,2.9,2862.06,2.9,2.9147770608926247,458.1543162804048,461.32497221807665,461.32497221807665,25632.860000000004,209905.37752636522,212820.72999200918,212820.72999200918
PRT,29,286.5553846153847,65,292.95,6.5343838956273625,4.15,1668.2,4.15,2.2661451301271898,299.32261719307746,301.6520112132362,301.6520112132362,18626.100000000006,89594.0291633136,90993.93586899037,90993.93586899037
GRC,7,513.01,42,487.75,19.922842400576865,91.25,5500.38,5.34,4.249312035486821,899.4960424196271,910.3994228453098,910.3994228453098,21546.42,809093.1303285715,828827.1091170732,828827.1091170732
SWE,15,349.49859375000005,64,360.06,7.305494682359882,68.4,2243.7,3.75,2.5345453538686,428.1637662699401,431.54851274630363,431.54851274630363,22367.910000000003,183324.2107464599,186234.11885354656,186234.11885354656
CAN,3,349.851875,48,308.28,7.40733247575502,330.24,2050.08,5.9,2.4920104686746294,383.39269327531673,387.44987179760955,387.44987179760955,16792.89,146989.95725690108,150117.40315598407,150117.40315598407
IND,5,283.8555319148936,47,70.42,0.7263813731794491,3.75,1037.1,2.84,1.0680984247914043,243.30358480283138,245.9339702724088,245.9339702724088,13341.210000000001,59196.634377908566,60483.51773395006,60483.51773395006
TUR,27,368.59622222222225,45,25.2,4.168312817518735,5.0,1838.91,1.65,1.9290645666756212,390.75844811675836,395.1739379650026,395.1739379650026,16586.83,152692.16477461735,156162.44124676773,156162.44124676773
DEU,2,746.3171999999998,50,40.8,32.61700504565927,517.51,13031.5,0.65,5.561063584512332,1893.3253289480288,1912.5473987020025,1912.5473987020025,37315.85999999999,3584680.801236161,3657837.552281797,3657837.552281797
SWE,5,302.6816129032258,31,243.0,-0.7184444870987226,37.3,833.44,2.75,0.5465909326257381,234.75927856336602,238.63986011137888,238.63986011137888,9383.130000000001,55111.91887159208,56948.98283397849,56948.98283397849
ITA,20,326.2085000000001,40,487.75,15.8578652890494,16.75,2370.04,8.5,3.5916853886387505,391.34664732529643,396.3321559225356,396.3321559225356,13048.340000000002,153152.19837274996,157079.1778182051,157079.1778182051
GRC,4,320.6703076923078,65,334.3,3.0163619348209254,41.66,1592.49,1.45,1.6408588450641297,316.72627612434945,319.1911092216603,319.1911092216603,20843.570000000007,100315.53398759766,101882.96420615388,101882.96420615388
SWE,18,489.6179999999999,50,50.4,24.47235788779854,9.65,7480.06,2.5,4.918169917884615,1174.6090948260196,1186.5343659926725,1186.5343659926725,24480.899999999994,1379706.5256480009,1407863.8016816336,1407863.8016816336
SWE,30,453.5317021276595,47,3794.4,16.55768152338822,21.65,3794.4,4.35,3.767666057703023,615.1669073401661,621.8175536746364,621.8175536746364,21315.989999999998,378430.32388646447,386657.07005790935,386657.07005790935
ITA,26,959.6802702702704,37,130.85,30.13661671965857,7.5,22775.93,6.25,5.600777793653017,3687.0872115690654,3737.9459894123424,3737.9459894123424,35508.170000000006,1.3594612105716145E7,1.3972240219763815E7,1.3972240219763815E7
AUS,21,380.43791666666675,48,358.25,4.527333011581647,17.0,1870.2,3.39,2.034503472508316,368.78868053036337,372.6913149314787,372.6913149314787,18261.020000000004,136005.09088732643,138898.81622535465,138898.81622535465
JPN,6,292.590652173913,46,225.7,10.798353878790861,21.57,1820.89,7.1,2.7738726645410807,307.751049229322,311.15171654428343,311.15171654428343,13459.169999999998,94710.70830174857,96815.3907084541,96815.3907084541
ESP,28,258.08914893617026,47,127.2,0.18406046234337614,29.17,895.5,3.77,1.0210627990460446,235.48768035563072,238.03356710519878,238.03356710519878,12130.190000000002,55454.4475992757,56659.979068825174,56659.979068825174
GRC,5,346.45513513513527,37,1714.25,6.0457149357124464,6.9,1714.25,5.1,2.333079550924447,359.496017070908,364.4548170717281,364.4548170717281,12818.840000000006,129237.38628984657,132827.31368678677,132827.31368678677
TUR,20,313.81886363636363,44,308.8,19.807946444000592,25.0,2786.4,2.16,4.120590757270965,440.7867347565544,445.88270445402657,445.88270445402657,13808.03,194292.94553734505,198811.3861312368,198811.3861312368
CAN,30,257.37382352941177,34,101.55,-0.7882011807779863,119.34,663.24,10.0,0.5427179108196708,180.2394052040835,182.94992429648374,182.94992429648374,8750.710000000001,32486.2431883218,33470.67480008913,33470.67480008913
ESP,13,305.52632352941174,68,143.12,5.40879015613519,89.55,1521.1,1.69,2.173962905347671,319.2271541408959,321.6006229105147,321.6006229105147,20775.789999999997,101905.97594089531,103426.96065643105,103426.96065643105
ESP,25,358.4226491228071,57,17.85,13.489793832516316,8.32,3678.03,2.5,3.5982453259420706,646.3233696655311,652.0685792704654,652.0685792704654,20430.091000000004,417733.8981758068,425193.4320718033,425193.4320718033
ITA,27,316.64435897435897,39,230.56,2.8535452989693217,14.45,1381.3,3.15,1.6328793626232632,304.1600437421136,308.1361607846942,308.1361607846942,12349.13,92513.33220920447,94947.8935831309,94947.8935831309
BRA,3,322.03694915254226,59,511.8,1.7445176832608418,134.8,1247.53,5.0,1.3287418422522694,275.96980783801325,278.3386908392688,278.3386908392688,19000.179999999993,76159.33483814995,77472.42681811807,77472.42681811807
DEU,18,261.8634146341463,41,165.94,5.6077626873235715,39.8,1315.38,1.25,1.9975114665893994,251.56752329858517,254.69270552579394,254.69270552579394,10736.399999999998,63286.21877858419,64868.37424804879,64868.37424804879
DEU,31,344.0921052631579,19,111.15,-1.1725686940407052,30.8,897.8,1.95,0.4728592073419581,300.1345411044669,308.35892799317395,308.35892799317395,6537.750000000001,90080.74276398895,95085.22847309944,95085.22847309944
ITA,6,453.20195121951224,41,22.2,32.27105236552354,76.5,7059.54,2.49,5.700919398419126,1071.3655375090455,1084.6749364837824,1084.6749364837824,18581.280000000002,1147824.114962046,1176519.7178360973,1176519.7178360973
IND,29,461.15617021276597,47,350.4,12.38574934022142,25.26,4090.28,1.7,3.3964787958556832,732.5996911540093,740.519917994029,740.519917994029,21674.34,536702.3074789498,548369.7489458835,548369.7489458835
DEU,24,383.1616279069768,43,146.61,21.301828846785956,1.7,3978.99,1.7,4.309348654048893,633.6711520711018,641.1704799963231,641.1704799963231,16475.95,401539.12896711746,411099.58441871544,411099.58441871544
RUS,27,336.7609523809524,42,116.0,1.774401163917223,77.84,1364.74,7.8,1.3649996729047256,302.0586554896843,305.72010620915046,305.72010620915046,14143.960000000001,91239.43135623581,93464.78334053425,93464.78334053425
SWE,17,712.8272093023256,43,20.4,13.166683944250895,5.22,8142.75,1.39,3.73397488718026,1548.293761456238,1566.6174023601748,1566.6174023601748,30651.57,2397213.5717643057,2454290.0853777416,2454290.0853777416
DEU,7,293.05974358974373,39,195.13,1.338982285943084,136.85,1044.2,9.95,1.4056859992916753,269.3551619691396,272.87629392597415,272.87629392597415,11429.330000000005,72552.20327942143,74461.47178677464,74461.47178677464
SWE,11,664.9850000000001,52,116.25,21.006837791716737,3.3,10174.94,3.3,4.594624500922959,1672.36543160084,1688.6815782821268,1688.6815782821268,34579.22000000001,2796806.1368134646,2851645.472829415,2851645.472829415
PRT,21,354.1362499999999,40,319.0,1.5087341317280458,12.75,1407.86,6.65,1.4185122831093937,340.1174105708755,344.450291115684,344.450291115684,14165.449999999997,115679.85297343749,118646.00304967948,118646.00304967948
IND,15,264.4375,48,101.9,1.772329444426851,73.87,1205.81,7.2,1.3895992701755595,265.33049807033115,268.1383064009588,268.1383064009588,12693.0,70400.27320625001,71898.15135957448,71898.15135957448
GRC,19,636.1758695652175,46,218.1,25.744648170892546,25.0,9341.26,2.95,4.880203504699078,1447.1982601123007,1463.1898865706257,1463.1898865706257,29264.090000000004,2094382.8040720702,2140924.6441625603,2140924.6441625603
USA,2,3088.71359375,64,514.41,58.91508147298397,168469.6,168469.6,9.95,7.801508073665177,20844.511840153016,21009.293154128085,21009.293154128085,197677.67,4.344936738542793E8,4.4139039883609325E8,4.4139039883609325E8
MEX,10,289.36099999999993,60,155.52,16.537905332594857,17.68,2327.0,3.75,3.5110943479803947,351.8512232639434,354.82048454088795,354.82048454088795,17361.659999999996,123799.28331233333,125897.5762498305,125897.5762498305
RUS,21,296.28023255813963,43,122.7,1.8091084527822066,44.78,1110.72,7.03,1.566050602934752,282.9474138955479,286.2960205592105,286.2960205592105,12740.050000000005,80059.23903017849,81965.41138803988,81965.41138803988
IND,27,345.3252272727274,44,1.9,2.8305686758060284,9.95,1607.04,1.9,1.6128324629794903,343.33298256998677,347.30228186454406,347.30228186454406,15194.310000000005,117877.53692040285,120618.8749883192,120618.8749883192
CHE,2,493.9206122448979,49,300.04,19.637836985288185,1.65,6936.52,1.65,4.5321862287183645,1200.7088039297118,1213.1517145425523,1213.1517145425523,24202.109999999997,1441701.6318343193,1471737.0824975343,1471737.0824975343
CHE,24,339.43456521739137,46,35.4,3.6108559139003793,4.95,1835.6,1.25,2.0057566892482974,412.4876022047658,417.0456146312296,417.0456146312296,15613.990000000002,170146.02197263707,173927.0446831401,173927.0446831401
DEU,5,332.67676470588236,34,63.0,0.7265071684699054,21.88,1091.29,9.9,1.1376472844769203,287.482340979106,291.80562629548547,291.80562629548547,11311.01,82646.09637482699,85150.52353770053,85150.52353770053
DEU,12,310.77522727272725,44,855.86,1.1999722071765415,5.9,1038.75,1.65,1.2771263636678198,248.98391681801309,251.86243923081503,251.86243923081503,13674.109999999999,61992.990834039265,63434.68829529599,63434.68829529599
USA,6,336.0221153846153,52,113.92,4.509222043255769,54.75,1674.65,3.18,1.8981865270787306,323.9714042362888,327.13217571133765,327.13217571133765,17473.149999999994,104957.47076283285,107015.46038563349,107015.46038563349
AUT,28,288.0297916666666,48,156.19,1.2986807856640494,7.25,1266.66,2.49,1.2491964703925194,291.9588756892083,295.04847364090534,295.04847364090534,13825.429999999997,85239.98509370658,87053.601797828,87053.601797828
AUT,30,407.7063157894737,38,1289.5,1.6169323343832778,16.3,1637.43,3.39,1.4561361236285244,387.62546055520806,392.82871968974825,392.82871968974825,15492.84,150253.49767063718,154314.40301308682,154314.40301308682
CAN,11,235.879875,80,204.0,9.322242935781128,1.25,1807.04,0.0,2.574485938077013,293.79827446095453,295.65190972285126,295.65190972285126,18870.39,86317.42607623438,87410.05172276899,87410.05172276899
ITA,1,342.72886363636366,44,244.46,18.573093881847356,3.75,4114.08,2.95,4.287736059764104,700.9085587040707,709.0118170242821,709.0118170242821,15080.07,491272.80766461784,502697.75668007403,502697.75668007403
JPN,30,413.8348780487804,41,371.7,10.47831118016558,12.75,2846.02,4.25,2.9119808227389847,509.88614212138003,516.2203743321352,516.2203743321352,16967.229999999996,259983.87792742415,266483.47487560974,266483.47487560974
JPN,1,401.07739130434794,46,950.09,3.0739773332573295,65.4,1821.6,9.0,1.8915676619987645,432.84980990214746,437.63282592925003,437.63282592925003,18449.560000000005,187358.95793232517,191522.49033082128,191522.49033082128
GRC,11,451.8030357142857,56,552.24,26.131746192784014,17.85,5683.06,9.54,4.77549438445857,826.7375226193957,834.2194626572023,834.2194626572023,25300.97,683494.9313068558,695922.1118760713,695922.1118760713
GRC,20,285.24357142857144,56,118.25,3.302426610163664,12.75,1364.74,1.45,1.57672833778795,267.423234662295,269.84340376278556,269.84340376278556,15973.64,71515.18643724489,72815.46255428571,72815.46255428571
DEU,25,420.80698113207535,53,210.75,24.233070660149792,9.75,4936.65,2.95,4.62602819648197,738.9209623870726,745.9921374961642,745.9921374961642,22302.769999999993,546004.1886550375,556504.269206096,556504.269206096
ITA,17,361.53346153846155,26,2646.3,15.477862934729977,417.56,2646.3,15.6,3.8998113127893634,488.3468765125423,498.0180505479079,498.0180505479079,9399.87,238482.67179955624,248021.9786715385,248021.9786715385
DNK,24,228.0803225806451,31,322.4,0.4949585572115831,40.46,875.18,3.35,0.8801134599456406,212.6288919233252,216.14365717401736,216.14365717401736,7070.489999999998,45211.04568054111,46718.080536559144,46718.080536559144
DNK,8,367.919142857143,35,184.5,12.470297387650504,60.25,2582.78,4.95,3.2125423991317943,461.881855533094,468.62501303011885,468.62501303011885,12877.170000000006,213334.84847069392,219609.40283747905,219609.40283747905
NOR,5,357.568,30,1571.32,2.5441703478263653,22.65,1852.68,7.55,1.8089605005046936,466.0722130986428,474.0398366309561,474.0398366309561,10727.039999999999,217223.3078226667,224713.7667131035,224713.7667131035
IND,13,353.49933333333337,45,496.48,4.005587989924372,67.5,1520.11,25.2,1.7585660877911493,287.49777369109023,290.746439221532,290.746439221532,15907.470000000001,82654.96987733332,84533.49191999999,84533.49191999999
JPN,18,404.73628571428577,35,294.25,3.191520804424668,3.75,1773.65,3.75,1.5847842800560001,368.6361223296003,374.0179562383863,374.0179562383863,14165.770000000002,135892.59068620406,139889.43158873948,139889.43158873948
TUR,22,386.7260975609756,41,155.64,4.290051288905602,8.2,1780.59,1.9,1.985480582931552,370.9616819793739,375.57007832678886,375.57007832678886,15855.769999999999,137612.56949696614,141052.8837343903,141052.8837343903
RUS,9,272.09499999999986,54,181.12,2.4025513006452686,13.58,1247.64,7.8,1.7507960926184263,293.98086026606865,296.74130449182405,296.74130449182405,14693.129999999994,86424.74620277778,88055.40179150943,88055.40179150943
ESP,3,280.4818644067797,59,842.12,7.503368232739815,24.9,1431.28,2.95,2.1344131026180735,237.92923520307582,239.97158369470915,239.97158369470915,16548.430000000004,56610.32096432058,57586.360980946796,57586.360980946796
USA,12,385.20591836734695,49,303.5,1.605656889600044,11.7,1542.08,6.35,1.457612763607759,363.5669082453673,367.3345416018299,367.3345416018299,18875.09,132180.89677109534,134934.6654538265,134934.6654538265
AUT,29,590.5055223880598,67,124.14,11.883819262709935,664.86,5735.24,1.65,3.557080676963258,1114.4674667452985,1122.8786612923539,1122.8786612923539,39563.87000000001,1242037.734433683,1260856.4879857085,1260856.4879857085
AUS,27,358.38384615384615,52,277.45,3.19129939940158,39.9,1761.26,2.55,1.828226932155377,394.2306046502471,398.07684797134254,398.07684797134254,18635.96,155417.7696428994,158465.17689079937,158465.17689079937
CHE,17,387.34214285714285,42,355.75,3.9962563354981278,30.7,2064.8,4.0,1.8816442075122535,430.3554117102111,435.57203140706434,435.57203140706434,16268.369999999999,185205.7803882653,189722.99454407665,189722.99454407665
PRT,25,465.3113043478259,69,2567.64,8.484797121331917,32.53,4311.48,2.95,2.8652559615483266,791.7382633935832,797.5386212553358,797.5386212553358,32106.47999999999,626849.477721487,636067.8523938619,636067.8523938619
BRA,9,419.4854545454545,44,68.1,12.710625001389849,2.5,3243.13,2.5,3.5859832243827676,616.0736525089371,623.1961278854487,623.1961278854487,18457.359999999997,379546.7453157026,388373.41381141654,388373.41381141654
GBR,11,345.30271186440666,59,384.72,9.458236070093944,25.26,2496.0,4.24,2.95904705747827,494.5913461373963,498.8368432865652,498.8368432865652,20372.859999999993,244620.59967400174,248838.19622010522,248838.19622010522
CAN,29,305.51399999999995,50,167.2,33.65479103147862,13.05,3599.38,2.41,5.585116153014393,503.58358004605367,508.696234778233,508.696234778233,15275.699999999997,253596.42209200014,258771.85927755115,258771.85927755115
AUT,31,252.94772727272724,22,247.54,-0.8674708067571397,19.36,676.8,2.95,0.2749609613182193,193.3822288284342,197.93302154617422,197.93302154617422,5564.849999999999,37396.68642665289,39177.48101839826,39177.48101839826
