counterparty_acct_id,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
5768,2,323.15,5,149.95,-1.526600685094831,15.08,532.94,15.08,-0.4226293989410075,205.1987994116925,229.41923219294412,229.41923219294412,1615.75,42106.54728000001,52633.18410000001,52633.18410000001
5645,3,160.76,3,310.78,-1.5000000000000013,61.2,310.78,61.2,0.598996042370922,107.95740765073354,132.220281348967,132.220281348967,482.28,11654.801866666661,17482.202799999992,17482.202799999992
2153,5,209.85,1,209.85,NaN,209.85,209.85,209.85,NaN,0.0,NaN,NaN,209.85,0.0,NaN,NaN
4110,6,1686.27,4,4666.44,-0.8930918141563056,1494.0,4666.44,152.64,0.9072868263024753,1791.8980991953754,2069.1056998616573,2069.1056998616573,6745.08,3210898.7978999997,4281198.3972,4281198.3972
6198,2,265.3825,4,121.25,-1.3092660197749069,6.25,603.4,6.25,0.3945476301292589,227.17663649405057,262.3209844668677,262.3209844668677,1061.53,51609.22416874999,68812.29889166665,68812.29889166665
2411,2,310.26,1,310.26,NaN,310.26,310.26,310.26,NaN,0.0,NaN,NaN,310.26,0.0,NaN,NaN
5656,2,293.58666666666664,3,331.7,-1.4999999999999987,24.45,524.61,24.45,-0.2712407998107685,205.9603133831586,252.24883752622793,252.24883752622793,880.76,42419.65068888889,63629.47603333333,63629.47603333333
2551,3,765.9200000000001,3,647.76,-1.5000000000000022,695.19,954.81,647.76,0.642172722288719,134.96166196368506,165.29360332450855,165.29360332450855,2297.76,18214.650199999993,27321.975299999987,27321.975299999987
5690,6,80.3,2,106.6,-2.000000000000003,54.0,106.6,54.0,-3.999658528638997E-16,26.299999999999997,37.1938166904124,37.1938166904124,160.6,691.6899999999998,1383.3799999999997,1383.3799999999997
2328,1,183.6,1,183.6,NaN,183.6,183.6,183.6,NaN,0.0,NaN,NaN,183.6,0.0,NaN,NaN
5870,3,756.77,3,1695.54,-1.5000000000000002,4.95,1695.54,4.95,0.38022435971728286,702.7262928053851,860.6604231054196,860.6604231054196,2270.31,493824.2425999998,740736.3638999998,740736.3638999998
1267,3,544.73,2,393.34,-2.0,696.12,696.12,393.34,0.0,151.39000000000001,214.09779120766288,214.09779120766288,1089.46,22918.932100000005,45837.86420000001,45837.86420000001
2262,5,1090.76,1,1090.76,NaN,1090.76,1090.76,1090.76,NaN,0.0,NaN,NaN,1090.76,0.0,NaN,NaN
2509,1,360.0,1,360.0,NaN,360.0,360.0,360.0,NaN,0.0,NaN,NaN,360.0,0.0,NaN,NaN
5151,4,302.46,1,302.46,NaN,302.46,302.46,302.46,NaN,0.0,NaN,NaN,302.46,0.0,NaN,NaN
6037,1,402.07666666666665,3,192.85,-1.5000000000000004,613.78,613.78,192.85,0.021614334856024747,171.8528762892518,210.47592886915436,210.47592886915436,1206.23,29533.411088888883,44300.116633333324,44300.116633333324
1079,3,1870.2,1,1870.2,NaN,1870.2,1870.2,1870.2,NaN,0.0,NaN,NaN,1870.2,0.0,NaN,NaN
1951,3,216.95,1,216.95,NaN,216.95,216.95,216.95,NaN,0.0,NaN,NaN,216.95,0.0,NaN,NaN
4282,1,247.25,1,247.25,NaN,247.25,247.25,247.25,NaN,0.0,NaN,NaN,247.25,0.0,NaN,NaN
4204,4,469.76,1,469.76,NaN,469.76,469.76,469.76,NaN,0.0,NaN,NaN,469.76,0.0,NaN,NaN
6446,1,403.55,2,386.6,-2.0000000000000018,420.5,420.5,386.6,3.73526192980405E-16,16.94999999999999,23.970919882223946,23.970919882223946,807.1,287.3024999999996,574.6049999999992,574.6049999999992
3468,6,241.62,1,241.62,NaN,241.62,241.62,241.62,NaN,0.0,NaN,NaN,241.62,0.0,NaN,NaN
2285,3,267.72,1,267.72,NaN,267.72,267.72,267.72,NaN,0.0,NaN,NaN,267.72,0.0,NaN,NaN
2245,3,122.47,1,122.47,NaN,122.47,122.47,122.47,NaN,0.0,NaN,NaN,122.47,0.0,NaN,NaN
5961,1,76.335,2,148.32,-1.9999999999999996,4.35,148.32,4.35,0.0,71.985,101.80216328742725,101.80216328742725,152.67,5181.840225,10363.68045,10363.68045
2599,1,1432.0,1,1432.0,NaN,1432.0,1432.0,1432.0,NaN,0.0,NaN,NaN,1432.0,0.0,NaN,NaN
6097,1,175.04,1,175.04,NaN,175.04,175.04,175.04,NaN,0.0,NaN,NaN,175.04,0.0,NaN,NaN
5157,4,378.0,1,378.0,NaN,378.0,378.0,378.0,NaN,0.0,NaN,NaN,378.0,0.0,NaN,NaN
3904,5,408.54,1,408.54,NaN,408.54,408.54,408.54,NaN,0.0,NaN,NaN,408.54,0.0,NaN,NaN
5934,5,205.495,2,158.85,-2.0,252.14,252.14,158.85,0.0,46.644999999999996,65.965991616893,65.965991616893,410.99,2175.7560249999997,4351.512049999999,4351.512049999999
6871,2,200.14,1,200.14,NaN,200.14,200.14,200.14,NaN,0.0,NaN,NaN,200.14,0.0,NaN,NaN
1859,3,516.24,1,516.24,NaN,516.24,516.24,516.24,NaN,0.0,NaN,NaN,516.24,0.0,NaN,NaN
1350,2,311.02,4,283.02,-2.0,283.02,339.02,283.02,8.28621266192537E-17,27.999999999999996,32.33161507461904,32.33161507461904,1244.08,783.9999999999998,1045.333333333333,1045.333333333333
2747,3,330.24,2,330.24,NaN,330.24,330.24,330.24,NaN,0.0,0.0,0.0,660.48,0.0,0.0,0.0
3021,1,317.8,1,317.8,NaN,317.8,317.8,317.8,NaN,0.0,NaN,NaN,317.8,0.0,NaN,NaN
2781,1,55.5,1,55.5,NaN,55.5,55.5,55.5,NaN,0.0,NaN,NaN,55.5,0.0,NaN,NaN
3019,3,329.25,1,329.25,NaN,329.25,329.25,329.25,NaN,0.0,NaN,NaN,329.25,0.0,NaN,NaN
2716,4,311.19,1,311.19,NaN,311.19,311.19,311.19,NaN,0.0,NaN,NaN,311.19,0.0,NaN,NaN
3535,1,305.28,1,305.28,NaN,305.28,305.28,305.28,NaN,0.0,NaN,NaN,305.28,0.0,NaN,NaN
4708,2,98.42,1,98.42,NaN,98.42,98.42,98.42,NaN,0.0,NaN,NaN,98.42,0.0,NaN,NaN
2566,1,996.62,1,996.62,NaN,996.62,996.62,996.62,NaN,0.0,NaN,NaN,996.62,0.0,NaN,NaN
2589,2,60.8,1,60.8,NaN,60.8,60.8,60.8,NaN,0.0,NaN,NaN,60.8,0.0,NaN,NaN
4743,3,808.91,1,808.91,NaN,808.91,808.91,808.91,NaN,0.0,NaN,NaN,808.91,0.0,NaN,NaN
1592,4,353.52,1,353.52,NaN,353.52,353.52,353.52,NaN,0.0,NaN,NaN,353.52,0.0,NaN,NaN
3190,4,107.76,1,107.76,NaN,107.76,107.76,107.76,NaN,0.0,NaN,NaN,107.76,0.0,NaN,NaN
1433,2,470.13,2,552.48,-2.0,387.78,552.48,387.78,0.0,82.35000000000002,116.46048686142441,116.46048686142441,940.26,6781.522500000004,13563.045000000007,13563.045000000007
4728,6,418.0,1,418.0,NaN,418.0,418.0,418.0,NaN,0.0,NaN,NaN,418.0,0.0,NaN,NaN
3419,5,8.925,2,7.9,-1.9999999999999987,9.95,9.95,7.9,0.0,1.0249999999999995,1.4495689014324216,1.4495689014324216,17.85,1.0506249999999988,2.1012499999999976,2.1012499999999976
5422,5,21.8,1,21.8,NaN,21.8,21.8,21.8,NaN,0.0,NaN,NaN,21.8,0.0,NaN,NaN
4383,2,25.0,1,25.0,NaN,25.0,25.0,25.0,NaN,0.0,NaN,NaN,25.0,0.0,NaN,NaN
6331,5,14.42,2,2.1,-2.000000000000001,26.74,26.74,2.1,0.0,12.319999999999999,17.423111088436528,17.423111088436528,28.84,151.78239999999997,303.56479999999993,303.56479999999993
5472,3,381.95,1,381.95,NaN,381.95,381.95,381.95,NaN,0.0,NaN,NaN,381.95,0.0,NaN,NaN
6172,4,603.8,5,2474.74,0.2357497960810213,152.81,2474.74,61.95,1.4893486097077493,936.8052104039557,1047.380066069619,1047.380066069619,3018.9999999999995,877604.0022399997,1097005.0027999997,1097005.0027999997
6078,6,451.4983333333333,6,1368.4,0.9753889417672394,133.91,1368.4,133.91,1.656969870901214,416.8928157778954,456.6831985267979,456.6831985267979,2708.99,173799.61984722226,208559.5438166667,208559.5438166667
4937,1,384.72,1,384.72,NaN,384.72,384.72,384.72,NaN,0.0,NaN,NaN,384.72,0.0,NaN,NaN
3289,6,268.45,3,25.8,-1.5,413.37,413.37,25.8,-0.6676965307626531,172.65763985413446,211.46155891792722,211.46155891792722,805.35,29810.660600000003,44715.990900000004,44715.990900000004
4143,6,272.82,1,272.82,NaN,272.82,272.82,272.82,NaN,0.0,NaN,NaN,272.82,0.0,NaN,NaN
1640,2,215.10000000000002,2,318.85,-1.9999999999999987,111.35,318.85,111.35,4.1697096838781293E-16,103.75000000000001,146.72465709620863,146.72465709620863,430.20000000000005,10764.062500000004,21528.125000000007,21528.125000000007
5412,2,372.36499999999995,2,37.67,-1.9999999999999993,707.06,707.06,37.67,-3.9744079168753954E-16,334.695,473.330208258463,473.330208258463,744.7299999999999,112020.74302499999,224041.48604999998,224041.48604999998
6045,2,286.09000000000003,7,279.3,-0.8880537926344116,59.5,701.88,1.9,0.51725426320619,230.13981371579945,248.57940951199748,248.57940951199748,2002.63,52964.33385714287,61791.72283333334,61791.72283333334
2416,3,352.51,1,352.51,NaN,352.51,352.51,352.51,NaN,0.0,NaN,NaN,352.51,0.0,NaN,NaN
2382,4,492.65,1,492.65,NaN,492.65,492.65,492.65,NaN,0.0,NaN,NaN,492.65,0.0,NaN,NaN
5416,6,164.51500000000001,4,131.4,-1.071508139460679,9.6,337.2,9.6,0.21603778743066726,117.42107849530254,135.58618255559819,135.58618255559819,658.0600000000001,13787.709675,18383.6129,18383.6129
6053,6,408.09,6,441.15,-0.06068249862925379,379.19,925.64,111.95,0.9423935006805285,261.24343953485226,286.17784966695103,286.17784966695103,2448.54,68248.13470000001,81897.76164000001,81897.76164000001
5878,5,430.58,6,427.94,0.3823894112795001,754.66,754.66,303.78,1.3400832052203804,154.45952695339534,169.20193426790368,169.20193426790368,2583.48,23857.745466666664,28629.29456,28629.29456
5648,6,182.15,1,182.15,NaN,182.15,182.15,182.15,NaN,0.0,NaN,NaN,182.15,0.0,NaN,NaN
6196,3,173.86249999999998,4,504.23,-0.6877323789457201,82.04,504.23,35.4,1.1249965230957641,191.54792303428928,221.18048985312126,221.18048985312126,695.4499999999999,36690.606818750006,48920.80909166668,48920.80909166668
5875,2,275.955,4,540.0,-1.22099461939954,16.6,540.0,16.6,0.03253760893296018,190.75685590562662,220.26704421376039,220.26704421376039,1103.82,36388.178075,48517.57076666667,48517.57076666667
5948,4,61.2,2,112.45,-2.0,9.95,112.45,9.95,0.0,51.25,72.47844507162112,72.47844507162112,122.4,2626.5625,5253.125,5253.125
6182,4,643.9375,4,193.01,-1.06558843826101,1296.56,1296.56,193.01,0.6171064100421229,413.1966221652229,477.118362070671,477.118362070671,2575.75,170731.44856874997,227641.93142499996,227641.93142499996
5917,5,192.44428571428574,7,53.4,-1.7752252149065255,3.9,415.55,3.9,0.22166201664286558,169.67138759185926,183.2660444869828,183.2660444869828,1347.1100000000001,28788.379767346934,33586.443061904756,33586.443061904756
4902,3,107.0475,8,139.8,-0.8077179313488205,4.95,187.42,0.85,-0.7883690957542316,63.36545505044526,67.74052084451162,67.74052084451162,856.38,4015.180893749999,4588.7781642857135,4588.7781642857135
3603,5,712.77,2,769.24,-1.9999999999999996,656.3,769.24,656.3,0.0,56.47000000000003,79.86063986720872,79.86063986720872,1425.54,3188.860900000003,6377.721800000006,6377.721800000006
6388,3,200.1,1,200.1,NaN,200.1,200.1,200.1,NaN,0.0,NaN,NaN,200.1,0.0,NaN,NaN
3397,6,45.0,1,45.0,NaN,45.0,45.0,45.0,NaN,0.0,NaN,NaN,45.0,0.0,NaN,NaN
6233,5,104.75857142857144,7,144.9,-0.27502304149534007,4.15,340.5,0.84,0.9444371442727392,115.80515920268483,125.08386805507352,125.08386805507352,733.3100000000001,13410.834897959181,15645.974047619044,15645.974047619044
3410,4,584.76,1,584.76,NaN,584.76,584.76,584.76,NaN,0.0,NaN,NaN,584.76,0.0,NaN,NaN
1211,4,178.5,1,178.5,NaN,178.5,178.5,178.5,NaN,0.0,NaN,NaN,178.5,0.0,NaN,NaN
1955,6,114.675,2,227.7,-2.0000000000000036,1.65,227.7,1.65,-6.450250527745926E-16,113.02499999999999,159.84148788721905,159.84148788721905,229.35,12774.650624999998,25549.301249999997,25549.301249999997
3035,6,102.0,1,102.0,NaN,102.0,102.0,102.0,NaN,0.0,NaN,NaN,102.0,0.0,NaN,NaN
2212,6,337.67,1,337.67,NaN,337.67,337.67,337.67,NaN,0.0,NaN,NaN,337.67,0.0,NaN,NaN
4996,6,1270.24,3,1867.86,-1.4999999999999993,75.0,1867.86,75.0,-0.7071067811865478,845.1623091454089,1035.1082036193122,1035.1082036193122,3810.72,714299.3287999998,1071448.9931999997,1071448.9931999997
2308,5,411.87,1,411.87,NaN,411.87,411.87,411.87,NaN,0.0,NaN,NaN,411.87,0.0,NaN,NaN
1600,5,290.87,2,341.58,-1.9999999999999962,240.16,341.58,240.16,4.463744373532762E-16,50.709999999999994,71.71476974793964,71.71476974793964,581.74,2571.504099999999,5143.008199999998,5143.008199999998
1306,4,211.05125,8,133.6,-1.5595500158389046,29.75,485.78,5.95,0.24553449737226962,180.72166973259598,193.19959157288238,193.19959157288238,1688.41,32660.3219109375,37326.08218392857,37326.08218392857
1865,4,159.2,1,159.2,NaN,159.2,159.2,159.2,NaN,0.0,NaN,NaN,159.2,0.0,NaN,NaN
2603,4,311.11,1,311.11,NaN,311.11,311.11,311.11,NaN,0.0,NaN,NaN,311.11,0.0,NaN,NaN
5201,2,403.26,1,403.26,NaN,403.26,403.26,403.26,NaN,0.0,NaN,NaN,403.26,0.0,NaN,NaN
2968,3,325.52333333333337,3,793.47,-1.4999999999999993,3.95,793.47,3.95,0.567734181931159,338.5304734026499,414.6134611096622,414.6134611096622,976.57,114602.88142222224,171904.32213333336,171904.32213333336
2557,3,298.6,1,298.6,NaN,298.6,298.6,298.6,NaN,0.0,NaN,NaN,298.6,0.0,NaN,NaN
3008,4,325.63,2,326.52,-2.0000000000000004,324.74,326.52,324.74,0.0,0.8899999999999864,1.2586500705120354,1.2586500705120354,651.26,0.7920999999999757,1.5841999999999514,1.5841999999999514
5754,6,834.3766666666667,6,3096.0,0.3647480773271683,17.45,3096.0,17.45,1.3826711955230677,1076.388050018311,1179.124031248056,1179.124031248056,5006.26,1158611.2342222224,1390333.4810666668,1390333.4810666668
3825,6,559.87,1,559.87,NaN,559.87,559.87,559.87,NaN,0.0,NaN,NaN,559.87,0.0,NaN,NaN
6074,4,135.405,4,221.4,-1.8162167985612143,15.0,300.12,5.1,0.1352584866460625,128.45517535311686,148.3272601378452,148.3272601378452,541.62,16500.732075,22000.9761,22000.9761
5775,1,409.04499999999996,2,189.05,-1.9999999999999998,629.04,629.04,189.05,0.0,219.99499999999998,311.119912654269,311.119912654269,818.0899999999999,48397.80002499999,96795.60004999998,96795.60004999998
6698,2,236.26,1,236.26,NaN,236.26,236.26,236.26,NaN,0.0,NaN,NaN,236.26,0.0,NaN,NaN
5712,2,227.11333333333334,3,178.94,-1.5,469.55,469.55,32.85,0.37941561079885777,181.50707063056493,222.29985387609534,222.29985387609534,681.34,32944.81668888889,49417.225033333336,49417.225033333336
5440,1,233.89,1,233.89,NaN,233.89,233.89,233.89,NaN,0.0,NaN,NaN,233.89,0.0,NaN,NaN
5087,1,290.56,3,233.89,-1.5000000000000007,335.86,335.86,233.89,-0.3829707009749156,42.39833251438082,51.927140302543165,51.927140302543165,871.68,1797.6186000000016,2696.4279000000024,2696.4279000000024
1070,4,700.0,1,700.0,NaN,700.0,700.0,700.0,NaN,0.0,NaN,NaN,700.0,0.0,NaN,NaN
5927,3,308.55,3,333.65,-1.4999999999999996,6.25,585.75,6.25,-0.1575126901447593,237.24469786839634,290.5642269791655,290.5642269791655,925.65,56285.04666666666,84427.56999999999,84427.56999999999
5916,6,349.5525,4,360.8,-1.0338719832590126,311.85,581.82,143.74,0.24568303993934362,156.4088883943301,180.60542763623323,180.60542763623323,1398.21,24463.740368750005,32618.320491666673,32618.320491666673
1977,5,308.58,1,308.58,NaN,308.58,308.58,308.58,NaN,0.0,NaN,NaN,308.58,0.0,NaN,NaN
2699,4,337.54999999999995,4,416.9,-1.093723224199305,33.0,588.3,33.0,-0.3660705814910795,201.60325518205303,232.7913872977263,232.7913872977263,1350.1999999999998,40643.8725,54191.829999999994,54191.829999999994
1148,4,257.855,2,281.71,-2.0000000000000004,234.0,281.71,234.0,0.0,23.85499999999999,33.73606453041017,33.73606453041017,515.71,569.0610249999995,1138.122049999999,1138.122049999999
2469,4,574.7,1,574.7,NaN,574.7,574.7,574.7,NaN,0.0,NaN,NaN,574.7,0.0,NaN,NaN
6176,3,3749.4066666666663,3,11134.34,-1.4999999999999993,84.0,11134.34,29.88,0.7070498188671374,5221.983179912483,6395.5971180909555,6395.5971180909555,11248.22,2.7269108331288893E7,4.090366249693334E7,4.090366249693334E7
6598,3,199.04,1,199.04,NaN,199.04,199.04,199.04,NaN,0.0,NaN,NaN,199.04,0.0,NaN,NaN
5345,4,102.68,2,196.86,-2.000000000000001,8.5,196.86,8.5,0.0,94.18,133.1906333042981,133.1906333042981,205.36,8869.872400000002,17739.744800000004,17739.744800000004
5876,6,171.41000000000003,2,41.6,-1.9999999999999967,301.22,301.22,41.6,-4.2577061056119664E-16,129.81,183.57906253165146,183.57906253165146,342.82000000000005,16850.6361,33701.2722,33701.2722
5430,4,307.22,1,307.22,NaN,307.22,307.22,307.22,NaN,0.0,NaN,NaN,307.22,0.0,NaN,NaN
1607,3,457.31,1,457.31,NaN,457.31,457.31,457.31,NaN,0.0,NaN,NaN,457.31,0.0,NaN,NaN
5740,3,79.7,2,127.0,-2.000000000000002,32.4,127.0,32.4,-5.500431052630377E-16,47.3,66.89230150024738,66.89230150024738,159.4,2237.2899999999995,4474.579999999999,4474.579999999999
1478,6,135.95,1,135.95,NaN,135.95,135.95,135.95,NaN,0.0,NaN,NaN,135.95,0.0,NaN,NaN
2496,6,89.06,1,89.06,NaN,89.06,89.06,89.06,NaN,0.0,NaN,NaN,89.06,0.0,NaN,NaN
5553,2,159.36499999999998,2,315.78,-2.000000000000001,2.95,315.78,2.95,0.0,156.415,221.20421435858765,221.20421435858765,318.72999999999996,24465.652224999998,48931.304449999996,48931.304449999996
2317,2,183.83,1,183.83,NaN,183.83,183.83,183.83,NaN,0.0,NaN,NaN,183.83,0.0,NaN,NaN
6378,5,120.98,1,120.98,NaN,120.98,120.98,120.98,NaN,0.0,NaN,NaN,120.98,0.0,NaN,NaN
5163,2,307.045,2,303.36,-2.0000000000000004,310.73,310.73,303.36,0.0,3.6850000000000023,5.211376977344859,5.211376977344859,614.09,13.579225000000017,27.158450000000034,27.158450000000034
6423,4,42.24,1,42.24,NaN,42.24,42.24,42.24,NaN,0.0,NaN,NaN,42.24,0.0,NaN,NaN
2596,1,513.77,1,513.77,NaN,513.77,513.77,513.77,NaN,0.0,NaN,NaN,513.77,0.0,NaN,NaN
5616,3,12.48,1,12.48,NaN,12.48,12.48,12.48,NaN,0.0,NaN,NaN,12.48,0.0,NaN,NaN
5300,4,638.66,1,638.66,NaN,638.66,638.66,638.66,NaN,0.0,NaN,NaN,638.66,0.0,NaN,NaN
1944,5,239.97,2,472.04,-2.000000000000003,7.9,472.04,7.9,-5.961192004901774E-16,232.07000000000002,328.1965414199242,328.1965414199242,479.94,53856.48490000001,107712.96980000002,107712.96980000002
3637,4,417.255,2,518.8,-2.0000000000000018,315.71,518.8,315.71,0.0,101.54499999999999,143.60631619117592,143.60631619117592,834.51,10311.387024999998,20622.774049999996,20622.774049999996
3060,6,104.6,1,104.6,NaN,104.6,104.6,104.6,NaN,0.0,NaN,NaN,104.6,0.0,NaN,NaN
4248,1,1397.32,1,1397.32,NaN,1397.32,1397.32,1397.32,NaN,0.0,NaN,NaN,1397.32,0.0,NaN,NaN
3146,2,357.48,2,320.4,-1.999999999999998,394.56,394.56,320.4,-5.708617905030066E-16,37.08000000000001,52.439038892794386,52.439038892794386,714.96,1374.926400000001,2749.852800000002,2749.852800000002
1065,2,171.53,2,282.58,-1.9999999999999991,60.48,282.58,60.48,0.0,111.05,157.0484161015322,157.0484161015322,343.06,12332.102499999999,24664.204999999998,24664.204999999998
2801,6,1003.27,1,1003.27,NaN,1003.27,1003.27,1003.27,NaN,0.0,NaN,NaN,1003.27,0.0,NaN,NaN
1089,6,3528.34,1,3528.34,NaN,3528.34,3528.34,3528.34,NaN,0.0,NaN,NaN,3528.34,0.0,NaN,NaN
6302,4,989.3466666666667,3,2503.74,-1.5000000000000013,13.9,2503.74,13.9,0.6223315842403542,1085.5638898849859,1329.53880670454,1329.53880670454,2968.04,1178448.9590222219,1767673.4385333327,1767673.4385333327
2588,4,340.79,1,340.79,NaN,340.79,340.79,340.79,NaN,0.0,NaN,NaN,340.79,0.0,NaN,NaN
1949,5,496.53000000000003,2,893.46,-2.0000000000000027,99.6,893.46,99.6,-4.765498486207078E-16,396.93,561.3437893127526,561.3437893127526,993.0600000000001,157553.4249,315106.8498,315106.8498
1017,1,299.06,1,299.06,NaN,299.06,299.06,299.06,NaN,0.0,NaN,NaN,299.06,0.0,NaN,NaN
1908,6,42.45,1,42.45,NaN,42.45,42.45,42.45,NaN,0.0,NaN,NaN,42.45,0.0,NaN,NaN
5862,6,889.0099999999999,3,307.95,-1.5000000000000004,1852.68,1852.68,307.95,0.6630119550278619,686.2169250317279,840.4406595947153,840.4406595947153,2667.0299999999997,470893.6682,706340.5023,706340.5023
3902,6,256.1,1,256.1,NaN,256.1,256.1,256.1,NaN,0.0,NaN,NaN,256.1,0.0,NaN,NaN
1622,1,306.48,1,306.48,NaN,306.48,306.48,306.48,NaN,0.0,NaN,NaN,306.48,0.0,NaN,NaN
2936,4,245.68,1,245.68,NaN,245.68,245.68,245.68,NaN,0.0,NaN,NaN,245.68,0.0,NaN,NaN
5536,5,379.96,2,738.67,-2.0000000000000027,21.25,738.67,21.25,-6.456834525113786E-16,358.71,507.2925469588529,507.2925469588529,759.92,128672.86409999999,257345.72819999998,257345.72819999998
3986,6,42.9,1,42.9,NaN,42.9,42.9,42.9,NaN,0.0,NaN,NaN,42.9,0.0,NaN,NaN
