customer_country,open_dt_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
DNK,7,262.02822580645164,62,184.5,4.9757116212058285,136.85,1337.78,2.08,2.123894184446343,269.4835523948881,271.6834546301108,271.6834546301108,16245.750000000002,72621.38501136839,73811.89951975147,73811.89951975147
DEU,9,313.56449438202253,89,326.6,10.113025887055302,98.51,2240.0,0.79,2.789619434872669,353.9524507074686,355.957863077063,355.957863077063,27907.240000000005,125282.33736182297,126706.00028638914,126706.00028638914
AUS,19,461.642,60,184.8,3.203990710315712,2210.64,2210.64,4.25,1.9042122090518914,520.9197718548734,525.315797233484,525.315797233484,27698.52,271357.40870933334,275956.68682305084,275956.68682305084
NLD,30,155.80292682926827,41,335.3,3.305429675013487,3.4,793.88,3.4,1.6023489564165856,163.29029722259503,165.31882589777703,165.31882589777703,6387.919999999999,26663.72116704343,27330.314196219515,27330.314196219515
FIN,24,225.3205263157895,19,140.4,0.5550326139024175,35.4,713.76,13.2,1.173919729592634,196.46864280333935,201.85234214020252,201.85234214020252,4281.09,38599.927604986144,40744.368027485376,40744.368027485376
GRC,26,344.83833333333337,30,316.58,0.0544359987987022,98.51,1002.31,12.4,0.6557950549942997,258.2356455266305,262.65024984835304,262.65024984835304,10345.150000000001,66685.64862055554,68985.15374540229,68985.15374540229
ITA,9,428.4091304347826,23,203.3,0.7332901027846188,13.25,1715.85,9.15,1.385036604091686,519.3032057931763,530.9743980124315,530.9743980124315,9853.41,269675.81954706996,281933.811344664,281933.811344664
ZAF,14,495.1427027027026,74,2474.74,8.18833401135037,7.83,3599.4,1.65,2.7348012651728113,631.6919756801105,636.0039163558607,636.0039163558607,36640.55999999999,399034.7521386414,404500.98161999264,404500.98161999264
ITA,7,221.94518518518518,27,487.75,0.29081445298252984,2.55,717.16,2.55,1.0627731240216935,185.55524922204333,189.08995253318687,189.08995253318687,5992.5199999999995,34430.75051385461,35755.01014900286,35755.01014900286
USA,16,278.624375,16,311.81,4.399268667620041,6.29,1308.48,4.41,2.0264629915649284,314.3869095749843,324.69740401320837,324.69740401320837,4457.99,98839.12891210937,105428.40417291666,105428.40417291666
FRA,21,293.95486486486493,37,211.2,2.4632441681022437,12.5,1045.48,4.25,1.2051656932302466,209.59221665997327,212.4832803569053,212.4832803569053,10876.330000000002,43928.897284441184,45149.14443123122,45149.14443123122
RUS,15,300.4222222222222,18,308.05,8.647338873197885,12.75,1487.6,12.75,2.912962613102961,312.82953545120586,321.8989363240207,321.8989363240207,5407.599999999999,97862.31825061727,103618.92520653593,103618.92520653593
JPN,10,809.2342857142858,7,1241.43,-1.5635957829391924,1241.43,1241.43,232.21,-0.18339478224833347,405.8125945682368,438.32769959081014,438.32769959081014,5664.64,164683.86191020414,192131.1722285715,192131.1722285715
NOR,18,318.7721052631579,19,243.36,2.2299227579331973,32.62,1292.31,32.62,1.7989737954929979,331.8701419084047,340.9641583245786,340.9641583245786,6056.67,110137.7910903047,116256.5572619883,116256.5572619883
NOR,31,153.2969230769231,13,70.05,-1.2892051735772827,4.95,342.63,4.95,0.48538650604967587,115.33123243574539,120.0405526190084,120.0405526190084,1992.8600000000004,13301.29317514793,14409.734273076923,14409.734273076923
AUS,26,267.75290322580645,31,130.85,0.42417162561332367,133.0,893.59,2.95,0.7866115976156046,214.7242973344303,218.2736997318359,218.2736997318359,8300.34,46106.52386576483,47643.40799462366,47643.40799462366
GRC,27,539.3601923076923,104,79.6,16.550501335271324,5.59,5725.0,1.45,3.651941139160075,819.9170628202644,823.8876287196236,823.8876287196236,56093.45999999999,672263.9899038094,678790.8247572444,678790.8247572444
NLD,5,514.3651219512196,41,203.3,11.83438402938432,6.29,3705.48,6.29,3.391782444665352,689.0062018805514,697.5656133193563,697.5656133193563,21088.970000000005,474729.54622986313,486597.7848856097,486597.7848856097
USA,18,336.3168817204303,93,406.56,7.73519013851339,11.7,2242.32,2.95,2.387740017313511,368.3269028154042,370.3232692144694,370.3232692144694,31277.470000000016,135664.7073375882,137139.3237216924,137139.3237216924
FRA,19,507.0900000000001,43,358.56,5.546727781300579,16.5,3155.95,2.52,2.4589786667681137,693.8439088923219,702.0553652363486,702.0553652363486,21804.870000000003,481419.36990697676,492881.73585714283,492881.73585714283
ZAF,20,504.41447368421035,38,417.62,1.2935510464196067,36.14,1914.24,13.5,1.2357384535865794,424.78590848925165,430.48798790221076,430.48798790221076,19167.749999999993,180443.06805103886,185319.90772809397,185319.90772809397
ITA,19,295.90409090909094,22,173.55,1.7856286878736265,16.5,1124.19,2.49,1.336739175965211,269.06590427320106,275.39773303108,275.39773303108,6509.890000000001,72396.46084235539,75843.91135865802,75843.91135865802
DNK,3,278.38568181818175,44,303.57,2.316234439611242,9.15,1204.36,1.65,1.4640953590007293,282.38337650980907,285.6480326718386,285.6480326718386,12248.969999999998,79740.37132908059,81594.79856929177,81594.79856929177
ITA,21,286.8993333333334,15,434.0,0.5966396870994686,53.1,888.27,3.3,1.0288209974751379,235.47886372147195,243.74378071088933,243.74378071088933,4303.490000000001,55450.29525955556,59411.0306352381,59411.0306352381
AUT,25,259.568870967742,62,311.25,4.702055430855401,299.4,1188.2,3.75,1.6421995548040245,207.2500411230345,208.94190626532142,208.94190626532142,16093.270000000002,42952.57954549949,43656.720193786365,43656.720193786365
ZAF,9,474.6014432989689,97,736.28,52.50387758633171,21.8,8895.76,4.14,6.722441728693438,986.694732820256,991.8204542353227,991.8204542353227,46036.33999999998,973566.4957752364,983707.8134395619,983707.8134395619
PRT,29,600.5681249999998,32,2671.27,5.322072466936239,121.84,3893.79,1.95,2.406718791108279,874.0999226791718,888.0864095288922,888.0864095288922,19218.179999999993,764050.6748277341,788697.4707899191,788697.4707899191
SWE,15,272.51600000000013,65,223.9,8.380883873376018,68.4,1565.82,5.12,2.5584850608056753,263.3738084857864,265.4234410204287,265.4234410204287,17713.540000000008,69365.76299630769,70449.603043125,70449.603043125
GRC,7,360.21333333333337,24,351.3,2.169222792556787,381.95,1484.4,3.75,1.4861272967757226,358.9154366475325,366.6349313236079,366.6349313236079,8645.12,128820.2906638889,134421.17286666666,134421.17286666666
DEU,2,919.8801904761904,105,201.75,8.995670665277082,1100.44,8935.98,1.6,3.0492920997273476,1764.7479729778663,1773.2120405918643,1773.2120405918643,96587.41999999998,3114335.4081294877,3144280.9408999635,3144280.9408999635
SWE,5,352.3039080459769,87,160.6,27.039495441571873,37.3,4037.77,2.9,5.013227970858698,590.8792832862827,594.304699131793,594.304699131793,30650.43999999999,349138.3274169111,353198.07541013096,353198.07541013096
TUR,27,428.4941666666666,48,303.97,17.873606755261974,25.5,4287.63,9.24,4.062356715433968,703.6957104543169,711.1424332864461,711.1424332864461,20567.719999999998,495187.6529118057,505723.5604205675,505723.5604205675
CAN,3,398.84892307692326,130,193.78,106.12239541560474,238.0,14022.92,1.95,10.06996695830305,1248.9324890064172,1253.763967353082,1253.763967353082,51850.36000000002,1559832.3620957641,1571924.0858329404,1571924.0858329404
IND,5,287.21345679012336,81,37.35,0.6433865929730138,12.75,1094.33,2.75,0.9997288915156282,240.30991553943235,241.8071880660317,241.8071880660317,23264.289999999994,57748.85550656911,58470.71620040123,58470.71620040123
ITA,20,345.26297297297305,74,354.23,5.527017591373728,15.9,1706.88,2.95,2.2067669296622294,346.3110702421199,348.67499577502196,348.67499577502196,25549.460000000006,119931.3573722425,121574.25267871158,121574.25267871158
GRC,4,517.8560759493671,79,799.4,18.66409534210584,6.9,6207.08,4.95,4.156520918063409,946.2984072147959,952.3451039292394,952.3451039292394,40910.630000000005,895480.6754972597,906961.1969779938,906961.1969779938
SWE,18,484.0804878048779,41,566.95,8.361883053513095,18.75,3209.15,3.3,2.5759893531518525,594.9253868730966,602.3160477230839,602.3160477230839,19847.299999999996,353936.2159461036,362784.6213447562,362784.6213447562
SWE,30,515.6659999999999,10,335.0,1.7291388487859258,15.3,1943.13,15.3,1.6811542917787623,550.6651002051974,580.4519815377593,580.4519815377593,5156.66,303232.05258400005,336924.50287111115,336924.50287111115
ITA,26,241.30662337662338,77,139.12,52.68004007595582,55.3,3633.58,2.95,6.857277616988415,419.29803222166703,422.04755697548444,422.04755697548444,18580.61,175810.8398249621,178124.14034897476,178124.14034897476
AUS,21,310.35999999999996,19,358.25,-1.2712466865164456,38.16,652.4,9.9,-0.04192387906526534,217.53367110210291,223.4946013765085,223.4946013765085,5896.839999999999,47320.89806315789,49949.836844444435,49949.836844444435
ESP,28,229.1533333333333,36,194.85,0.7748600134862911,7.03,752.43,4.95,1.1019261282362094,187.3085600760888,189.9655517944541,189.9655517944541,8249.519999999999,35084.496677777766,36086.910868571416,36086.910868571416
JPN,6,454.97898305084743,59,142.25,2.453764157254935,54.75,2327.0,4.95,1.6708388265601581,505.5990928698649,509.9390788485219,509.9390788485219,26843.76,255630.44271083025,260037.86413687904,260037.86413687904
GRC,5,562.0318461538459,65,17.4,54.518711589885264,19.95,16488.0,3.75,7.3680541888888476,2036.8802823079843,2052.7317297992604,2052.7317297992604,36532.069999999985,4148881.2844550535,4213707.554524664,4213707.554524664
TUR,20,315.1925,12,521.1,0.24821546309153808,25.0,938.92,11.5,0.9098105219182058,259.75327781457673,271.3034503726241,271.3034503726241,3782.31,67471.76533541667,73605.56218409092,73605.56218409092
CAN,30,524.0503571428569,56,620.0,3.105176485707611,80.0,2949.28,1.0,1.9178488204860895,721.2436826164637,727.7709078098792,727.7709078098792,29346.81999999999,520192.4497141582,529650.4942544156,529650.4942544156
ESP,13,354.924693877551,49,411.4,2.2623342037821796,8.32,1521.1,5.75,1.6678700863425115,372.38599903590296,376.245024375196,376.245024375196,17391.31,138671.33227796754,141560.31836709185,141560.31836709185
BRA,3,336.34406250000006,64,17.85,4.0201011060507685,15.0,1561.09,7.9,1.9196410055811908,330.76342756057704,333.3781989030912,333.3781989030912,21526.020000000004,109404.44501162108,111141.02350386903,111141.02350386903
ESP,25,217.44058823529411,51,307.68,35.432540646335696,175.92,2756.84,3.95,5.74202821841336,381.73208185236456,385.53050457991924,385.53050457991924,11089.47,145719.38231534034,148633.76996164714,148633.76996164714
ITA,27,369.14278481012667,79,168.15,34.884702637662485,172.89,4563.84,1.65,5.304533588797099,569.6430865756067,573.2830155385436,573.2830155385436,29162.280000000006,324493.24608338415,328653.415904966,328653.415904966
DEU,31,547.7500000000001,23,253.2,13.050405610853247,41.95,3861.0,5.04,3.626576671157825,756.5719849655965,773.5757256814851,773.5757256814851,12598.250000000002,572401.1684347827,598419.4033636363,598419.4033636363
DEU,18,465.7322222222222,9,444.96,-0.5920862220865009,654.37,654.37,130.49,-0.6625776855671578,167.02565184078614,177.15745657308486,177.15745657308486,4191.59,27897.568372839505,31384.764419444444,31384.764419444444
DEU,7,239.26261904761907,42,22.2,1.526340088979885,19.9,957.97,1.45,1.3072868610851145,217.2852977742739,219.91915512418254,219.91915512418254,10049.03,47212.90062885488,48364.434790534266,48364.434790534266
SWE,17,337.3812676056338,71,440.89,7.64934381844013,48.85,2251.51,2.5,2.6394069784571554,429.63294837825936,432.6908727220181,432.6908727220181,23954.07,184584.47033219607,187221.3913369417,187221.3913369417
DEU,24,310.3729629629629,27,211.8,0.14672714110254725,5.9,840.82,5.9,0.7683102063856833,212.28175862064245,216.32558404858202,216.32558404858202,8380.069999999998,45063.54504307271,46796.75831396012,46796.75831396012
RUS,27,245.16299999999995,30,1033.52,1.777497892445611,10.95,1033.52,2.9,1.351361119302387,241.87331840104505,246.00820456110665,246.00820456110665,7354.8899999999985,58502.70215433332,60520.03671137929,60520.03671137929
IND,29,158.32857142857142,7,61.59,0.4714425230973971,133.91,376.32,61.59,1.2812151158563407,99.67370930456343,107.65991074189309,107.65991074189309,1108.3,9934.848326530615,11590.656380952385,11590.656380952385
ITA,6,378.878,20,165.71,2.850949536168274,16.75,1810.51,4.95,1.7189056912605412,444.60255733182635,456.15259910415244,456.15259910415244,7577.5599999999995,197671.43398599993,208075.1936694736,208075.1936694736
IND,15,410.32024999999993,40,357.0,5.375435522609312,78.3,2184.59,7.2,2.195783658987103,447.6652430024443,453.3682148636513,453.3682148636513,16412.809999999998,200404.16979243752,205542.73824865388,205542.73824865388
SWE,11,417.5859016393441,61,95.29,-0.21358192187397096,1.65,1307.76,1.65,0.7076365705995109,345.04505091163577,347.908544416379,347.908544416379,25472.73999999999,119056.08715861333,121040.35527792356,121040.35527792356
GRC,19,374.9305454545456,110,485.25,23.4326334688676,25.0,4008.62,1.65,4.187502311961891,508.0450148843046,510.3701758417026,510.3701758417026,41242.360000000015,258109.73714879324,260477.71638869043,260477.71638869043
PRT,21,449.84703703703707,54,12.35,7.22079860675521,55.3,2970.0,3.3,2.654874049271464,598.2725511610092,603.8902570476635,603.8902570476635,24291.74,357930.04547270236,364683.442557093,364683.442557093
RUS,21,333.0400000000001,76,22.2,25.59088002032248,5.88,4415.44,3.35,4.766546923121399,619.9542345036022,624.0735770596284,624.0735770596284,25311.040000000005,384343.2528789473,389467.82958399993,389467.82958399993
USA,2,3429.0473584905662,53,192.6,48.01218178085475,168469.6,168469.6,0.65,7.071665648267742,22887.79819910033,23106.82518191126,23106.82518191126,181739.51,5.238513064027402E8,5.339253699874083E8,5.339253699874083E8
CHE,2,1324.7841025641033,39,514.41,27.865457883485803,66.25,21535.9,4.16,5.231813383459431,3431.8111006391873,3476.673280550425,3476.673280550425,51666.58000000003,1.177732743047035E7,1.2087257099693254E7,1.2087257099693254E7
IND,27,329.7516049382716,81,261.48,5.600378473300482,20.51,1607.04,8.5,2.077954832605998,304.0692786981964,305.9638096673232,305.9638096673232,26709.88,92458.12624804144,93613.85282614196,93613.85282614196
DEU,5,272.6068627450981,51,168.6,0.4888593822792533,21.88,897.8,2.1,0.8920123568203433,226.37407100958305,228.62660480784118,228.62660480784118,13902.950000000004,51245.22002545175,52270.12442596079,52270.12442596079
CHE,24,374.1208823529411,34,378.53,14.307254683352518,9.9,3337.44,2.5,3.6714479688594737,608.1462924492836,617.291862669013,617.291862669013,12720.109999999999,369841.9130198096,381049.2437173796,381049.2437173796
MEX,10,277.97411764705885,51,185.82,0.7354900720004509,36.15,984.88,3.95,1.2043191190115552,267.1722098908248,269.8307053185494,269.8307053185494,14176.68,71380.98973794692,72808.60953270586,72808.60953270586
AUT,30,292.6597435897435,39,318.14,4.948773045506932,39.35,1592.12,2.9,2.2710622706581884,351.04497251146506,355.63399045327765,355.63399045327765,11413.729999999998,123232.57272557527,126475.53516572199,126475.53516572199
DEU,12,299.1626804123712,97,313.93,3.472006420446645,4.85,1415.97,4.25,1.7134754497346982,282.1960108272901,283.661973994854,283.661973994854,29018.780000000006,79634.58852683601,80464.11549065722,80464.11549065722
AUT,28,350.01950819672135,61,375.69,48.445722490154175,16.95,5735.24,4.95,6.8544176585311485,719.5594494138353,725.5309995178847,725.5309995178847,21351.190000000002,517765.8012407418,526395.2312614208,526395.2312614208
USA,6,325.96333333333337,24,162.7,0.003486161658979192,12.75,811.01,2.55,0.10287222943701138,195.22108489835028,199.41986815383456,199.41986815383456,7823.120000000001,38111.27198888889,39768.28381449276,39768.28381449276
CAN,11,334.0888235294118,102,295.5,33.66720899208905,4.95,3895.86,1.25,5.2089013076060295,469.93298475983005,472.2536555882062,472.2536555882062,34077.060000000005,220837.01016528264,223023.51521642407,223023.51521642407
ITA,1,326.60941176470584,51,768.38,30.522855423573183,13.0,4114.08,3.95,5.248582695548818,589.6227641647009,595.4898018452096,595.4898018452096,16657.079999999998,347655.0040212226,354608.10410164704,354608.10410164704
JPN,30,354.664891304348,92,92.55,13.622463762980942,9.9,2846.02,3.75,3.071681968295913,412.58140564988094,414.842142603916,414.842142603916,32629.170000000013,170223.4162880316,172094.00328020778,172094.00328020778
GRC,11,233.48110714285716,28,204.0,4.1768429186809835,175.5,713.08,15.001,2.0212977570435764,151.844400280903,154.6307684760915,154.6307684760915,6537.4710000000005,23056.72189666709,23910.674559506613,23910.674559506613
GRC,20,244.6504347826087,46,487.75,6.444431153442331,36.0,1292.31,3.8,2.046226523493069,234.16053437904628,236.74802214784785,236.74802214784785,11253.92,54831.15586068051,56049.625990917855,56049.625990917855
DEU,25,291.41547169811327,106,202.12,51.39901668945451,72.0,4311.48,1.7,6.510207873390162,464.05700413327986,466.26156287999896,466.26156287999896,30890.040000000005,215348.90308515492,217399.84501929925,217399.84501929925
ITA,17,361.01290909090915,55,322.8,35.06241869735695,12.45,4105.94,6.3,5.6169135076527565,553.937584737003,559.0431081922989,559.0431081922989,19855.710000000003,306846.84778426436,312529.19681730634,312529.19681730634
JPN,1,254.17514285714287,35,244.19,0.7164794920625845,5.75,826.7,3.25,1.0468863474797703,208.22323794251523,211.26315404046693,211.26315404046693,8896.130000000001,43356.91681926531,44632.12025512606,44632.12025512606
NOR,5,231.20823529411766,17,248.1,-1.186469171150104,10.0,490.87,7.5,0.09882289949572186,154.26761317060817,159.0154159285859,159.0154159285859,3930.54,23798.496473356397,25285.90250294117,25285.90250294117
DNK,24,318.2077777777778,36,131.4,0.6489827006198827,4.95,1034.4,4.95,1.027713546860635,254.53602211901722,258.14664249067107,258.14664249067107,11455.48,64788.58655617283,66639.68902920633,66639.68902920633
DNK,8,161.84437499999999,16,35.4,-0.24231048856822612,11.8,627.27,2.95,0.9720402428470584,191.42298921396397,197.70081314851322,197.70081314851322,2589.5099999999998,36642.76079960937,39085.61151958333,39085.61151958333
IND,13,157.1568421052632,19,322.3,-1.461216549955794,1.69,421.18,1.69,0.24072304298281463,142.21300381183713,146.10997201699487,146.10997201699487,2985.9800000000005,20224.5384531856,21348.123922807023,21348.123922807023
TUR,22,437.6084946236558,93,97.2,26.15124327920746,7.5,5375.28,1.7,4.668316105516275,715.100972204063,718.9768866212149,718.9768866212149,40697.58999999999,511369.4004471962,516927.7634955353,516927.7634955353
JPN,18,410.82509803921573,51,2002.4,19.961203380364225,8.3,4287.63,3.75,4.192317379719426,670.3231337150896,676.9931799253891,676.9931799253891,20952.08,449333.10359361785,458319.7656654902,458319.7656654902
RUS,9,171.17375000000004,24,254.4,-1.5995808465021577,32.05,388.05,8.9,0.046230775561196376,132.90446543201938,135.7629529992082,135.7629529992082,4108.170000000001,17663.596931770833,18431.579407065215,18431.579407065215
USA,12,482.03188976377936,127,449.98,4.986308347267874,54.75,2764.29,4.24,2.0891980227284312,525.1230564094541,527.2027598211785,527.2027598211785,61218.04999999998,275754.2243728067,277942.7499630671,277942.7499630671
AUS,27,234.35102040816338,49,22.2,2.851913251317993,2.95,1040.39,2.55,1.657979293084816,231.42726727361725,233.8255413519242,233.8255413519242,11483.200000000006,53558.580037734275,54674.383788520405,54674.383788520405
CHE,17,433.84999999999997,107,50.55,40.38406379070432,27.25,8142.75,2.1,6.046645055054177,973.9629061667517,978.5462863349898,978.5462863349898,46421.95,948603.7425887848,957552.8344999998,957552.8344999998
PRT,25,359.91081967213125,61,273.76,15.598800370342545,8.7,2567.64,7.2,3.4927486404749954,389.32264659927745,392.55359533145315,392.55359533145315,21954.560000000005,151572.12315506587,154098.32520765028,154098.32520765028
ESP,3,333.0292727272727,55,356.91,17.24819533392036,17.4,2474.62,2.95,3.680166442408551,375.92715911876786,379.3919988069339,379.3919988069339,18316.61,141321.22896310742,143938.28875872053,143938.28875872053
AUT,29,215.87545454545455,22,302.78,-1.3866997083550017,11.05,490.17,1.7,-0.2803280341912403,156.3145134228155,159.99300525565465,159.99300525565465,4749.26,24434.22710661157,25597.761730735932,25597.761730735932
BRA,9,274.28,13,325.75,2.413237380248666,83.2,899.58,47.6,1.5629154041451587,218.77495718730623,227.7081949557371,227.7081949557371,3565.64,47862.481892307675,51851.02204999998,51851.02204999998
CAN,29,298.97679245283007,106,497.0,9.893682543927918,4.15,1932.24,4.15,2.6398474704061763,286.5041011743316,287.8651734490502,287.8651734490502,31691.53999999999,82084.59998971164,82866.35808485174,82866.35808485174
GBR,11,215.40558823529403,34,286.92,12.054661974437002,4.95,1226.16,4.24,2.9614014696666997,213.36074262910276,216.5693548957159,216.5693548957159,7323.789999999997,45522.80649524223,46902.28547994654,46902.28547994654
AUT,31,554.4421052631578,19,2169.39,0.4681697415938788,259.2,2169.39,9.95,1.4014921993425542,682.87854924329,701.591015213746,701.591015213746,10534.399999999998,466323.1130166204,492229.95262865484,492229.95262865484
FIN,12,345.78375000000005,48,783.11,31.84992151195712,36.15,4161.06,3.75,5.4183082821115285,596.750956826579,603.0659576277442,603.0659576277442,16597.620000000003,356111.7044734375,363688.5492494681,363688.5492494681
