counterparty_country,txn_timestamp_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
DEU,5,329.0740683229809,322,272.65,33.69338704895855,4.85,4358.0,1.25,5.0671771642623495,500.11836625703944,500.8967610724465,500.8967610724465,105961.84999999986,250118.38026761022,250897.5652528676,250897.5652528676
USA,2,430.62653305785096,242,113.48,18.744022189413112,491.12,4379.76,0.65,3.9725922990489773,631.0285755766917,632.3364082243796,632.3364082243796,104211.62099999993,398197.0631943485,399849.3331661093,399849.3331661093
CHE,2,447.84438735177827,253,33.0,132.8847021610176,15.0,21535.9,1.25,11.007544833084411,1583.2251893327336,1586.3633989321454,1586.3633989321454,113304.6299999999,2506602.00013767,2516548.833471549,2516548.833471549
USA,6,2276.8671804511278,266,128.03,83.60326948334067,54.75,168469.6,0.79,9.250128465776765,17753.68676532504,17787.15274557283,17787.15274557283,605646.6699999999,3.151933937612775E8,3.1638280279433894E8,3.1638280279433894E8
ITA,1,335.9323664122138,131,274.67,34.81076118318256,20.8,3633.58,1.65,5.454794814795855,468.66707226363906,470.466184722594,470.466184722594,44007.14000000001,219648.82462417107,221338.43096743393,221338.43096743393
JPN,1,436.74338461538434,195,256.9,50.281538331225974,8000.0,8132.31,1.25,6.968129090961962,992.1009068016971,994.6545813138808,994.6545813138808,85164.95999999995,984264.2092767496,989337.7361286917,989337.7361286917
NOR,5,505.5392971246007,313,38.1,110.93937134042419,7.65,18841.48,1.65,9.483199727255961,1364.4420088284212,1366.6268653260538,1366.6268653260538,158233.80000000002,1861701.9954557372,1867668.989030916,1867668.989030916
ESP,3,364.2583450704226,284,454.6,28.1626147723235,4.5,4414.88,1.25,4.514416610550098,485.29109454366466,486.14774321490034,486.14774321490034,103449.37000000001,235507.4464433881,236339.62823294068,236339.62823294068
DEU,6,320.33915492957743,213,89.14,104.9511555502859,36.0,7630.56,1.65,9.175789518826344,596.9353243403305,598.3415343556987,598.3415343556987,68232.23999999999,356331.78144529555,358012.5917351318,358012.5917351318
ZAF,1,359.4377272727273,154,5.9,88.84329176552426,33.6,6207.67,3.0,8.55444881320725,536.7508324076354,538.502063267326,538.502063267326,55353.41,288101.4560902894,289984.4721431671,289984.4721431671
CAN,4,319.55222891566257,332,204.0,24.450284375290945,83.16,3855.84,0.48,3.9769797174916546,396.543679753266,397.14223659168647,397.14223659168647,106091.33999999997,157246.8899522608,157721.95608504707,157721.95608504707
ZAF,3,400.316487455197,279,1830.02,25.502994350788928,664.86,5355.68,0.85,4.507696932699709,612.9322258632192,614.0336323685403,614.0336323685403,111688.29999999996,375685.9135016404,377037.3016797038,377037.3016797038
NLD,6,524.3755760368665,217,175.53,145.62478489859436,23.14,22206.0,2.08,11.349413171470776,1620.1010805379244,1623.8469839906472,1623.8469839906472,113789.50000000004,2624727.51116015,2636879.027415521,2636879.027415521
NOR,4,367.9066795366796,259,70.05,35.085610591599774,7.5,4961.2,1.25,5.151466052077087,524.4683436977851,525.4837722257965,525.4837722257965,95287.83000000002,275067.04354109813,276133.19487265276,276133.19487265276
RUS,5,389.70637820512826,312,272.65,233.42445182244364,12.75,18841.48,0.65,14.483815430915142,1120.1051522255987,1121.904519091917,1121.904519091917,121588.39000000001,1254635.5520423313,1258669.749958866,1258669.749958866
PRT,4,517.54038585209,311,426.56,56.155002535037994,125.0,13031.5,1.65,6.914609061205782,1231.9628945214479,1233.9483315783573,1233.9483315783573,160955.06,1517732.5734776643,1522628.4850050115,1522628.4850050115
SWE,3,532.3439716312062,282,166.74,34.76241397119017,1.65,11816.64,1.25,5.674244869363968,1365.5534977516677,1367.9811503307806,1367.9811503307806,150121.00000000015,1864736.3552218138,1871372.4276603258,1871372.4276603258
FRA,3,372.7960330578513,242,231.9,68.49977706706127,36.6,6260.9,2.1,6.779723214332224,517.7118629328999,518.7848420381966,518.7848420381966,90216.64000000001,268025.57302145375,269137.7123285967,269137.7123285967
ITA,5,359.20046822742484,299,22.2,246.7794392526879,38.65,20277.92,1.65,15.169837134939527,1205.0428399744521,1207.0630305628026,1207.0630305628026,107400.94000000003,1452128.246173693,1457001.1597514572,1457001.1597514572
ESP,4,304.2534482758622,319,17.85,11.94422029614581,91.27,2736.99,1.65,3.1028165970148827,375.1375265671153,375.7269024632292,375.7269024632292,97056.85000000003,140728.16383889312,141170.70523461292,141170.70523461292
CHE,5,488.91341736694744,357,160.6,129.79627622860883,25.68,21880.44,1.95,10.696766510575223,1560.0351889118479,1562.2247130615006,1562.2247130615006,174542.09000000023,2433709.790643225,2440546.054100088,2440546.054100088
ZAF,2,366.0575708502023,247,58.2,18.377381542381727,8.2,3155.95,0.72,3.5235742052072347,408.2586924072567,409.0876449204933,409.0876449204933,90416.21999999997,166675.15992608306,167352.7012265956,167352.7012265956
GRC,3,425.74052238805984,268,118.25,87.03725475913448,381.95,11134.34,1.45,8.040240835319967,869.1971196135565,870.8233083497877,870.8233083497877,114098.46000000004,755503.6327445033,758333.2343652693,758333.2343652693
ITA,3,345.8943778801845,217,102.0,35.714476977345704,76.5,4563.84,1.45,5.425832064176354,542.6732462419952,543.9279837464744,543.9279837464744,75059.08000000003,294494.25218682515,295857.6515025049,295857.6515025049
JPN,5,326.534408945687,313,22.2,84.56187636511548,15.9,6549.12,1.95,7.355463028652569,486.70249510581175,487.4818430751395,487.4818430751395,102205.27000000003,236879.31874222273,237638.54732793497,237638.54732793497
JPN,7,7438.466153846153,13,8000.01,1.4526057289636674,9500.0,9500.0,100.0,-1.8035823658445975,3174.0643274915583,3303.6708953287566,3303.6708953287566,96700.06,1.0074684355054438E7,1.0914241384642309E7,1.0914241384642309E7
ITA,4,490.4874761904758,210,139.12,142.58228505305638,12.75,22775.93,2.95,11.330563238278852,1689.226968128099,1693.263358513951,1693.263358513951,103002.36999999991,2853487.74985125,2867140.801285945,2867140.801285945
MEX,4,370.9288461538463,312,1024.68,15.76791134558028,11.2,3962.85,1.25,3.6062594343917143,557.2025367789518,558.0976418327198,558.0976418327198,115729.80000000005,310474.66699289903,311472.97781924275,311472.97781924275
JPN,4,420.42360594795525,269,426.56,107.38128477952431,19.15,10584.77,1.45,8.908165705009447,778.1677167313184,779.618170397655,779.618170397655,113093.94999999997,605544.9953628333,607804.4916141871,607804.4916141871
CHN,6,318.45694835680746,213,232.26,66.7682730280043,224.69,5867.08,1.06,7.442433341476587,544.5643760127382,545.8472149541396,545.8472149541396,67831.32999999999,296550.3596221429,297949.18207319075,297949.18207319075
FIN,3,586.5972972972976,333,618.07,320.1402347807286,1.65,77183.6,0.85,17.844642479963902,4229.157859253375,4235.522284011683,4235.522284011683,195336.9000000001,1.788577619848459E7,1.7939649018359542E7,1.7939649018359542E7
TUR,4,360.5927238805968,268,362.45,31.827655202746094,57.8,4936.65,0.85,4.649171123882684,503.0451478496173,503.9862995570832,503.9862995570832,96638.84999999993,253054.4207750433,254002.190141242,254002.190141242
CHE,1,312.65000000000015,184,277.65,16.784912786391384,7.25,2375.42,7.25,3.322659824356051,313.5191769722354,314.3746196999297,314.3746196999297,57527.60000000003,98294.27432934786,98831.40151147544,98831.40151147544
ZAF,6,462.6845491803276,244,89.14,45.39905950987527,15.0,8895.76,1.45,6.0782893820641295,882.7054102045062,884.5198117289113,884.5198117289113,112895.02999999994,779168.8412043055,782375.2973409487,782375.2973409487
IND,6,331.0327459016394,244,304.95,32.34973511838288,32.53,4655.85,1.9,4.841405120578867,502.17076411536965,503.20297643602544,503.20297643602544,80771.99,252175.47633221422,253213.23549407517,253213.23549407517
NLD,2,383.00503999999967,250,184.1,52.26449703110233,14.9,6323.38,0.95,6.0297697327335165,566.7277712095979,567.864638493014,567.864638493014,95751.25999999992,321180.3666601983,322470.24765080155,322470.24765080155
CAN,5,308.99957386363633,352,208.97,116.9687234755196,52.5,6870.0,1.25,8.879603776705984,459.6854073014478,460.3397640843704,460.3397640843704,108767.84999999999,211310.67368589796,211912.6983972538,211912.6983972538
FIN,2,376.2463900414938,241,353.0,35.41541100782809,20.7,5401.98,0.39,5.235036078741619,575.9931472259748,577.1918855616075,577.1918855616075,90675.38,331768.1056512834,333150.47275816376,333150.47275816376
DEU,1,309.2907746478873,142,126.43,8.400581995119213,8.5,1933.2,3.0,2.4471272828586645,285.71077563048226,286.7221443705479,286.7221443705479,43919.28999999999,81630.64731137177,82209.58807244532,82209.58807244532
USA,4,387.9024012158053,329,449.98,44.7346448057889,44.78,6068.06,1.95,5.795549010656464,620.3378366208807,621.2827539037118,621.2827539037118,127619.88999999994,384819.0315434744,385992.2602981801,385992.2602981801
FRA,5,387.35520123838995,323,208.97,90.16546483976707,23.7,10303.95,1.25,8.796643358412979,831.8035461266073,833.0941652831114,833.0941652831114,125115.72999999995,691897.1393487989,694045.8882287641,694045.8882287641
MEX,6,341.21749999999986,224,215.58,18.749031469056415,7.5,3404.0,1.95,3.6282435210495922,423.80650776727447,424.75568366565506,424.75568366565506,76432.71999999997,179611.95602589287,180417.39080627804,180417.39080627804
ESP,6,374.2598717948718,234,754.87,15.606081121860608,29.17,3547.34,0.5,3.482869299210606,521.6831502896538,522.8014434278067,522.8014434278067,87576.81,272153.3092961375,273321.34925019817,273321.34925019817
USA,1,345.70338129496383,139,256.9,9.312922819879422,33.6,2068.49,1.45,2.367272232115623,283.3924167726622,284.41734748442855,284.41734748442855,48052.769999999975,80311.26188425029,80893.22755007818,80893.22755007818
PRT,2,559.686029962547,267,2567.64,44.19141746293439,55.3,11956.1,1.95,6.007751928003234,1225.0038748818813,1227.3043536685607,1227.3043536685607,149436.17000000004,1500634.4934756241,1506275.9765338034,1506275.9765338034
DNK,1,454.81215384615405,130,475.86,106.86618695430931,59.4,13464.26,2.1,10.079990262496906,1190.2144485285537,1194.8187769342696,1194.8187769342696,59125.58000000002,1416610.4334861292,1427591.909714704,1427591.909714704
JPN,3,584.1946376811596,276,178.4,50.371591709196025,40.4,15160.9,0.85,6.569604651214527,1436.471130419687,1439.0805260860939,1439.0805260860939,161237.72000000006,2063449.3085292133,2070952.7605602287,2070952.7605602287
ZAF,5,495.5905526315791,380,610.64,117.23005388314141,14.5,19150.66,0.84,9.784910435195084,1347.157164817223,1348.9332462276707,1348.9332462276707,188324.41000000006,1814832.4267183787,1819620.9027783216,1819620.9027783216
BRA,6,320.66964143426287,251,534.0,3.79217730624603,23.14,1987.19,1.25,1.7708270447251009,322.4696600798019,323.11395574730426,323.11395574730426,80488.07999999999,103986.68167198297,104402.6283986709,104402.6283986709
GBR,4,472.9223036649216,191,259.86,87.22937880387825,2.0,13760.02,1.25,8.418257787426912,1167.2196882451713,1170.2872879852746,1170.2872879852746,90328.16000000003,1362401.8006271545,1369572.336419929,1369572.336419929
PRT,5,554.0132162162163,370,306.4,91.28790520161802,38.65,20277.92,1.17,9.04112111903112,1726.1041909603846,1728.4415030547132,1728.4415030547132,204984.89,2979435.6780510037,2987510.0294820364,2987510.0294820364
ESP,5,374.7883378746595,367,184.5,94.02979604052989,8.32,10992.96,1.44,8.425939927432976,796.6215027483923,797.7090411424797,797.7090411424797,137547.32000000004,634605.818641107,636339.7143204543,636339.7143204543
GRC,1,454.3866860465115,172,552.24,97.3586868054929,41.66,13464.26,2.95,9.22672729457748,1142.811191934911,1146.1478740485582,1146.1478740485582,78154.50999999998,1306017.420411692,1313654.9491860294,1313654.9491860294
GRC,6,466.770983606557,244,322.2,121.41767520959161,91.25,16774.72,0.5,10.090278305184487,1244.647904998135,1247.2062795476386,1247.2062795476386,113892.11999999991,1549148.4074162464,1555523.5037430623,1555523.5037430623
FIN,1,395.9579411764702,170,350.68,85.83308731275393,30.25,7138.12,2.5,8.236212914360308,609.3200929086712,611.1201561890017,611.1201561890017,67312.84999999993,371270.9756222317,373467.8453004698,373467.8453004698
FRA,6,745.0238265306126,196,128.03,90.1362103022091,64.7,38970.0,2.42,9.532590216929659,3910.837547055403,3920.8525123575705,3920.8525123575705,146024.67000000007,1.529465031945832E7,1.5373084423660671E7,1.5373084423660671E7
AUS,4,383.8332270916334,251,430.6,133.17918732926722,3.73,10584.77,1.65,10.323389676313518,751.7277578426249,753.2297129022091,753.2297129022091,96342.13999999997,565094.6219111001,567355.0003987445,567355.0003987445
CAN,1,274.42119205298025,151,301.12,20.14634188878966,4.15,2027.94,2.1,3.3513339844338317,233.79299600295124,234.57101145119407,234.57101145119407,41437.60000000001,54659.16498003598,55023.559413236224,55023.559413236224
NOR,6,308.8056621004566,219,225.65,6.947661956582786,172.89,1987.62,0.39,2.278169504753358,328.72352009666764,329.47661047679816,329.47661047679816,67628.43999999999,108059.15266474427,108554.83685127979,108554.83685127979
PRT,1,389.6413089005235,191,552.24,51.08775413365699,4.15,5683.06,0.77,5.934944348653783,531.0610089481137,532.4567038883503,532.4567038883503,74421.48999999999,282025.7952249884,283510.1415156463,283510.1415156463
FIN,5,437.0144350282484,354,207.5,49.745107552364644,36.15,9349.72,1.67,6.211707325512719,837.1720769846979,838.3570345161826,838.3570345161826,154703.10999999993,700857.086482873,702842.5173227678,702842.5173227678
TUR,6,427.319900990099,202,397.5,28.591820722866796,8.7,5375.28,0.95,4.46326017225239,582.069041764109,583.5151782582022,583.5151782582022,86318.62,338804.3693801881,340489.9632577015,340489.9632577015
CHN,5,364.90356115107886,278,22.2,56.52945101759998,15.9,6930.0,1.65,6.418672030557559,600.8295334484952,601.9130862375588,601.9130862375588,101443.18999999993,360996.12826393644,362299.36338402284,362299.36338402284
AUT,1,342.8551685393259,178,126.43,81.83727492830047,14.85,6207.67,7.25,8.094020136320111,532.2057514829096,533.7070400829956,533.7070400829956,61028.22000000001,283242.96191148856,284843.2046341523,284843.2046341523
MEX,1,402.42439634146336,164,152.05,59.7792665992235,8000.0,8000.0,2.6,7.473038592025806,897.519065349342,900.267981634096,900.267981634096,65997.601,805540.4726655564,810482.438755529,810482.438755529
FRA,2,361.11799999999977,230,300.66,11.622979866300955,1100.44,3155.95,0.55,2.8459150438857073,416.77767917304476,417.68668282467763,417.68668282467763,83057.13999999994,173703.63385686945,174462.16500908285,174462.16500908285
DNK,6,386.49447619047623,210,754.87,32.60683263363895,18.55,5513.32,2.37,4.826207490228677,580.4773452262508,581.8643898446969,581.8643898446969,81163.84000000001,336953.9483209159,338566.1681693414,338566.1681693414
USA,5,395.1778149100262,389,286.92,20.174145685807215,12.75,4345.1,0.83,3.7893546665475495,524.650351556919,525.3260123025095,525.3260123025095,153724.1700000002,275257.9913887987,275967.4192016564,275967.4192016564
IND,2,325.3533944954125,218,25.2,12.18811802109247,48.85,3134.96,0.55,3.1423045996263426,439.729438523365,440.7414753936861,440.7414753936861,70927.03999999992,193361.97910407383,194253.0481322032,194253.0481322032
AUS,3,356.30873076923075,260,326.4,132.868727868771,43.2,10999.52,0.38,10.627102095819822,786.2969490991429,787.8134344985336,787.8134344985336,92640.26999999999,618262.8921626201,620650.0075763754,620650.0075763754
BRA,2,344.01501831501815,273,129.4,14.535148533629112,2.95,2949.12,0.72,3.3246049155522006,418.91057791284146,419.6799276480588,419.6799276480588,93916.09999999996,175486.0722872708,176131.24167067988,176131.24167067988
PRT,3,872.2300381944445,288,39.6,30.529821671910547,41.6,22104.8,3.2,5.291811115284175,2549.0025538915193,2553.4394633484103,2553.4394633484103,251202.25100000002,6497414.019745487,6520053.092985018,6520053.092985018
TUR,3,329.8529460580911,241,510.0,181.8371147978822,7.25,12797.52,1.65,12.809535557522114,858.4335182300272,860.2200623440506,860.2200623440506,79494.55999999995,736908.1052207823,739978.5556592023,739978.5556592023
AUT,3,410.3802692307689,260,1830.02,106.70009571609452,664.86,14022.92,0.85,9.302072313444969,1059.5042796005362,1061.5476841596496,1061.5476841596496,106698.86999999991,1122549.3184918512,1126883.4857447154,1126883.4857447154
AUS,1,327.1755624999999,160,277.45,14.87750632132244,59.4,2182.71,2.6,3.044294432388381,302.12818381803373,303.0767832756047,303.0767832756047,52348.08999999998,91281.43945718357,91855.53656068788,91855.53656068788
NOR,3,413.7590376569037,239,311.65,20.79474070268973,35.0,4314.02,1.06,3.9992043271489996,586.6200508147516,587.8511540593429,587.8511540593429,98888.40999999997,344123.08401790174,345568.97932890133,345568.97932890133
FRA,4,477.4880784313722,255,70.05,63.6110703418166,3.18,10901.54,1.25,7.188168950160746,986.7659722197648,988.7065168123644,988.7065168123644,121759.4599999999,973707.0839308177,977540.5763872382,977540.5763872382
CHE,3,324.69307692307655,286,166.74,111.02057092688635,76.5,8142.75,1.45,9.138173606282127,586.3667185407191,587.3945312813794,587.3945312813794,92862.2199999999,343825.92861221096,345032.33537927136,345032.33537927136
NOR,2,419.98027649769534,217,113.48,70.97455905344404,5.95,10267.88,1.95,7.79144422330909,913.580955377012,915.6932841052616,915.6932841052616,91135.71999999988,834630.1620275738,838494.1905554793,838494.1905554793
BRA,5,380.10587677725124,422,22.2,56.153369335173906,25.68,9341.26,0.72,6.284196349737414,749.1360733216092,750.0252559174758,750.0252559174758,160404.68000000002,561204.8563517194,562537.884514075,562537.884514075
AUS,2,354.6635526315789,228,412.22,76.68143273732397,14.85,8107.72,1.45,7.65552648208803,678.0052659489336,679.4970285135095,679.4970285135095,80863.29,459691.1406544842,461716.211758689,461716.211758689
PRT,6,569.1978294573646,258,303.5,200.45704665408743,32.53,38970.0,1.65,13.672720768294864,2540.062826121,2544.9997847657132,2544.9997847657132,146853.04000000007,6451919.160641801,6477023.904457527,6477023.904457527
SWE,6,431.71260869565174,207,230.25,54.26550787618656,21.5,7630.56,2.55,6.460745385468727,715.3182927926719,717.052400289632,717.052400289632,89364.50999999991,511680.2600038227,514164.14476112276,514164.14476112276
DNK,5,376.3295107033635,327,184.5,30.07362950111073,27.25,5518.68,1.65,4.996018022375414,637.1302306103191,638.10667598111,638.10667598111,123059.74999999987,405934.93075755844,407180.12993166136,407180.12993166136
RUS,6,1206.260675675676,222,215.58,195.5711666736106,19.36,168469.6,0.39,13.834203990607957,11550.884896478596,11576.988624450845,11576.988624450845,267789.8700000001,1.3342294189169733E8,1.3402666561066428E8,1.3402666561066428E8
CHE,4,350.9605685618729,299,22.2,79.50108534457524,16.95,6936.52,1.45,7.288974509896138,530.6050667286718,531.4945980601547,531.4945980601547,104937.20999999999,281541.73683813825,282486.5077671253,282486.5077671253
DEU,4,392.7626568265678,271,855.86,107.91560401400979,14.9,13031.5,1.65,9.484793747626213,981.2173924065996,983.0327822887681,983.0327822887681,106438.67999999988,962787.5711612068,966353.4510543965,966353.4510543965
CHE,6,371.1732158590308,227,336.24,15.138302161246745,64.7,3528.34,1.25,3.399857711769917,460.2587841827807,461.27593190769403,461.27593190769403,84256.31999999999,211838.1484174115,212775.48535731155,212775.48535731155
NLD,4,346.14854901960774,255,444.98,10.51336670372676,3.18,2606.4,2.0,2.782770570433905,381.92782353123533,382.6789114219635,382.6789114219635,88267.87999999998,145868.86238730644,146443.14924709898,146443.14924709898
MEX,5,390.6579320113312,353,244.08,77.68954586327642,36.15,10065.0,0.4,7.321305925773595,758.4042484121547,759.4807631462287,759.4807631462287,137902.2499999999,575177.0040096053,576811.0295891779,576811.0295891779
ESP,2,385.3421973094171,223,375.69,31.06428374894562,15.0,5496.0,2.55,4.946539013833158,605.8533601799696,607.2163615880958,607.2163615880958,85931.31000000001,367058.29404136003,368711.7097802851,368711.7097802851
IND,4,318.53631410256395,312,350.4,13.226583701832862,12.75,2805.28,1.25,2.991818248116752,362.9647859405765,363.5478622777974,363.5478622777974,99383.32999999994,131743.43583288853,132167.04816675634,132167.04816675634
GBR,2,576.9305555555558,216,142.5,22.752029535728553,9.9,8895.66,0.95,4.554872196485618,1202.827538413699,1205.6215666577916,1205.6215666577916,124617.00000000004,1446794.0871663585,1453523.361990388,1453523.361990388
CHN,2,328.8171794871794,195,210.19,14.078173001582233,987.14,2900.99,3.75,3.0602569195179243,364.9770759457241,365.9165294327475,365.9165294327475,64119.34999999998,133208.26596589084,133894.90651210677,133894.90651210677
GBR,3,627.888761061947,226,178.4,64.39369620238514,4.5,22104.8,1.25,7.630214163713041,2082.53892980372,2087.1616634159236,2087.1616634159236,141902.86000000002,4336968.394148023,4356243.809233125,4356243.809233125
FIN,6,465.8177042801557,257,534.0,84.49891548316937,54.0,16774.72,1.25,8.592675289699185,1398.2349600253674,1400.9632259562766,1400.9632259562766,119715.15000000001,1955061.0034371407,1962697.9604818171,1962697.9604818171
CHN,4,347.65359374999974,256,34.8,24.933850943746144,14.9,3969.93,2.28,4.35499314014426,460.0320987811176,460.93323989699013,460.93323989699013,88999.31999999993,211629.53190895994,212459.45164193626,212459.45164193626
FRA,1,336.5993865030673,163,351.43,8.435309063958885,35.4,2242.69,3.75,2.57912287160789,359.8556323184063,360.9645891300061,360.9645891300061,54865.699999999975,129496.07611128004,130295.43460579411,130295.43460579411
JPN,2,576.8828252788105,269,142.25,114.85686992325087,9.9,22998.4,0.95,10.514140263686873,1936.609295820261,1940.2190087304589,1940.2190087304589,155181.48000000004,3750455.564657447,3764449.8018390047,3764449.8018390047
GBR,1,249.06880952380962,126,179.64,13.496932834655514,35.4,1695.21,1.65,2.879392330474847,228.85105336866565,229.76463406053472,229.76463406053472,31382.670000000013,52372.80462794785,52791.78706497143,52791.78706497143
DNK,2,344.68716981132036,212,303.5,25.24986300341642,44.4,4400.28,1.65,4.673081817931814,597.1230826224026,598.5363936707193,598.5363936707193,73073.67999999992,356555.9758004807,358245.8145483503,358245.8145483503
CHN,1,351.2749999999999,138,275.8,27.880142827355268,24.8,3449.3,0.77,4.773562621144661,421.17349181496286,422.70782655692767,422.70782655692767,48475.94999999999,177387.11020760858,178681.90663248164,178681.90663248164
NLD,3,341.79739776951686,269,1644.94,37.931284286673595,78.0,4446.88,1.65,5.21900369728271,475.42511111032974,476.31127238463074,476.31127238463074,91943.50000000003,226029.03627426937,226872.4282006659,226872.4282006659
GRC,2,431.4434269230767,260,142.5,46.48626529215091,5.59,7480.06,1.65,5.492862493150986,674.6643447487498,675.9655308076213,675.9655308076213,112175.29099999994,455171.97807525995,456929.39884002926,456929.39884002926
IND,3,326.37764478764456,259,293.45,34.218650595920955,5.25,4406.61,1.7,4.881243280787255,453.3121834211853,454.1898457790229,454.1898457790229,84531.80999999994,205491.93563808236,206288.4160087726,206288.4160087726
AUT,4,454.9670967741931,279,139.12,177.88777252694882,16.95,22775.93,1.25,12.392471724878135,1491.518199815843,1494.1983784371719,1494.1983784371719,126935.81999999988,2224626.540381893,2232628.794124274,2232628.794124274
CAN,6,317.8023849372386,239,1368.4,12.905064968009716,7.6,2938.76,0.95,3.0444016427337623,384.5645355841333,385.3715974069517,385.3715974069517,75954.77000000003,147889.88202904013,148511.26808798566,148511.26808798566
TUR,1,301.88973684210504,190,155.64,9.14532328575464,12.54,1933.2,1.65,2.4863959158934543,285.1605603744821,285.91395814816656,285.91395814816656,57359.04999999996,81316.54519308865,81746.79146395155,81746.79146395155
DEU,3,368.561818181818,220,165.94,167.04603215901062,98.51,11816.64,1.6,12.268667418561304,823.2715689918672,825.1490436513202,825.1490436513202,81083.59999999996,677776.0763103307,680870.9442386883,680870.9442386883
