customer_id,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
69865,12,334.495,2,408.29,-2.0,260.7,408.29,260.7,0.0,73.79500000000002,104.36188983532257,104.36188983532257,668.99,5445.702025000002,10891.404050000005,10891.404050000005
18245,1,439.18,1,439.18,NaN,439.18,439.18,439.18,NaN,0.0,NaN,NaN,439.18,0.0,NaN,NaN
70376,2,71.2,2,134.1,-1.9999999999999998,8.3,134.1,8.3,0.0,62.9,88.95403307326768,88.95403307326768,142.4,3956.41,7912.82,7912.82
70487,3,277.5,1,277.5,NaN,277.5,277.5,277.5,NaN,0.0,NaN,NaN,277.5,0.0,NaN,NaN
70064,5,302.09666666666664,3,68.0,-1.5000000000000002,534.96,534.96,68.0,-0.009704004977043133,190.6376164932363,233.48244309440776,233.48244309440776,906.29,36342.700822222236,54514.05123333335,54514.05123333335
16711,11,415.08000000000004,2,384.6,-2.0000000000000004,445.56,445.56,384.6,0.0,30.47999999999999,43.10522938113192,43.10522938113192,830.1600000000001,929.0303999999994,1858.0607999999988,1858.0607999999988
69700,30,298.2,2,521.1,-2.000000000000001,75.3,521.1,75.3,0.0,222.9,315.2282030529629,315.2282030529629,596.4,49684.41,99368.82,99368.82
70405,5,315.6,1,315.6,NaN,315.6,315.6,315.6,NaN,0.0,NaN,NaN,315.6,0.0,NaN,NaN
16426,6,328.37,1,328.37,NaN,328.37,328.37,328.37,NaN,0.0,NaN,NaN,328.37,0.0,NaN,NaN
14312,9,157.65,1,157.65,NaN,157.65,157.65,157.65,NaN,0.0,NaN,NaN,157.65,0.0,NaN,NaN
16954,12,414.3,1,414.3,NaN,414.3,414.3,414.3,NaN,0.0,NaN,NaN,414.3,0.0,NaN,NaN
12502,14,702.8,1,702.8,NaN,702.8,702.8,702.8,NaN,0.0,NaN,NaN,702.8,0.0,NaN,NaN
69802,15,320.52500000000003,2,633.1,-2.0000000000000018,7.95,633.1,7.95,-4.879298561825243E-16,312.575,442.04780425877016,442.04780425877016,641.0500000000001,97703.13062499999,195406.26124999998,195406.26124999998
69956,28,414.12,2,216.3,-2.0000000000000018,611.94,611.94,216.3,0.0,197.82000000000002,279.7597269086457,279.7597269086457,828.24,39132.75240000001,78265.50480000002,78265.50480000002
13113,28,196.672,5,453.05,-1.383451061834506,13.65,453.05,13.65,0.2805275544407212,168.56805265530002,188.46481228600737,188.46481228600737,983.36,28415.188376,35518.98547,35518.98547
69968,28,174.4,2,331.8,-1.9999999999999971,17.0,331.8,17.0,4.776567745524902E-16,157.4,222.59721471752516,222.59721471752516,348.8,24774.760000000002,49549.520000000004,49549.520000000004
14911,29,305.00999999999993,8,168.4,0.5762119697658243,7.5,1056.11,7.5,1.3864901301861252,329.71664634197646,352.481921522225,352.481921522225,2440.0799999999995,108713.06687499997,124243.50499999998,124243.50499999998
16609,30,557.53,1,557.53,NaN,557.53,557.53,557.53,NaN,0.0,NaN,NaN,557.53,0.0,NaN,NaN
69722,30,87.1,1,87.1,NaN,87.1,87.1,87.1,NaN,0.0,NaN,NaN,87.1,0.0,NaN,NaN
17470,4,222.35500000000002,2,304.13,-1.9999999999999996,140.58,304.13,140.58,0.0,81.77499999999999,115.64731406305984,115.64731406305984,444.71000000000004,6687.150624999998,13374.301249999997,13374.301249999997
15145,4,422.23,1,422.23,NaN,422.23,422.23,422.23,NaN,0.0,NaN,NaN,422.23,0.0,NaN,NaN
69802,11,226.815,2,112.75,-1.9999999999999971,340.88,340.88,112.75,-6.275421707058542E-16,114.065,161.3122699920871,161.3122699920871,453.63,13010.824225,26021.64845,26021.64845
16175,12,272.86,1,272.86,NaN,272.86,272.86,272.86,NaN,0.0,NaN,NaN,272.86,0.0,NaN,NaN
70170,13,527.0,1,527.0,NaN,527.0,527.0,527.0,NaN,0.0,NaN,NaN,527.0,0.0,NaN,NaN
69780,19,263.36333333333334,3,712.64,-1.4999999999999987,11.7,712.64,11.7,0.6918599671592279,318.4519775762465,390.02242632101724,390.02242632101724,790.09,101411.66202222223,152117.49303333333,152117.49303333333
69941,26,87.45,2,166.4,-2.000000000000001,8.5,166.4,8.5,0.0,78.95,111.65216074935586,111.65216074935586,174.9,6233.102500000001,12466.205000000002,12466.205000000002
15841,3,281.66,1,281.66,NaN,281.66,281.66,281.66,NaN,0.0,NaN,NaN,281.66,0.0,NaN,NaN
69535,6,251.75,1,251.75,NaN,251.75,251.75,251.75,NaN,0.0,NaN,NaN,251.75,0.0,NaN,NaN
17323,6,80.36500000000001,2,155.68,-2.000000000000001,5.05,155.68,5.05,0.0,75.315,106.51149445012965,106.51149445012965,160.73000000000002,5672.349225,11344.69845,11344.69845
69968,8,344.86,1,344.86,NaN,344.86,344.86,344.86,NaN,0.0,NaN,NaN,344.86,0.0,NaN,NaN
69569,8,334.71,1,334.71,NaN,334.71,334.71,334.71,NaN,0.0,NaN,NaN,334.71,0.0,NaN,NaN
70076,8,54.6,1,54.6,NaN,54.6,54.6,54.6,NaN,0.0,NaN,NaN,54.6,0.0,NaN,NaN
14691,9,439.6,1,439.6,NaN,439.6,439.6,439.6,NaN,0.0,NaN,NaN,439.6,0.0,NaN,NaN
69793,9,267.61,2,208.56,-1.9999999999999996,326.66,326.66,208.56,0.0,59.05000000000001,83.50931085813129,83.50931085813129,535.22,3486.9025000000015,6973.805000000003,6973.805000000003
13477,10,330.63,1,330.63,NaN,330.63,330.63,330.63,NaN,0.0,NaN,NaN,330.63,0.0,NaN,NaN
70577,10,640.01,1,640.01,NaN,640.01,640.01,640.01,NaN,0.0,NaN,NaN,640.01,0.0,NaN,NaN
17655,11,306.0,1,306.0,NaN,306.0,306.0,306.0,NaN,0.0,NaN,NaN,306.0,0.0,NaN,NaN
70013,16,193.75,1,193.75,NaN,193.75,193.75,193.75,NaN,0.0,NaN,NaN,193.75,0.0,NaN,NaN
69983,17,3124.6200000000003,2,566.18,-2.0000000000000018,5683.06,5683.06,566.18,4.555797001067977E-16,2558.44,3618.1805465178213,3618.1805465178213,6249.240000000001,6545615.2336,1.30912304672E7,1.30912304672E7
17675,17,727.0,1,727.0,NaN,727.0,727.0,727.0,NaN,0.0,NaN,NaN,727.0,0.0,NaN,NaN
69897,17,347.26,1,347.26,NaN,347.26,347.26,347.26,NaN,0.0,NaN,NaN,347.26,0.0,NaN,NaN
70418,23,306.88,1,306.88,NaN,306.88,306.88,306.88,NaN,0.0,NaN,NaN,306.88,0.0,NaN,NaN
70096,25,125.95666666666666,3,76.5,-1.5,93.87,207.5,76.5,0.6599911253892736,58.09426611599079,71.15065448281788,71.15065448281788,377.87,3374.9437555555555,5062.415633333333,5062.415633333333
70059,25,100.2,1,100.2,NaN,100.2,100.2,100.2,NaN,0.0,NaN,NaN,100.2,0.0,NaN,NaN
16889,27,350.06,1,350.06,NaN,350.06,350.06,350.06,NaN,0.0,NaN,NaN,350.06,0.0,NaN,NaN
17472,30,259.27,1,259.27,NaN,259.27,259.27,259.27,NaN,0.0,NaN,NaN,259.27,0.0,NaN,NaN
12417,3,437.19,1,437.19,NaN,437.19,437.19,437.19,NaN,0.0,NaN,NaN,437.19,0.0,NaN,NaN
16113,7,161.38,1,161.38,NaN,161.38,161.38,161.38,NaN,0.0,NaN,NaN,161.38,0.0,NaN,NaN
70134,8,128.645,2,249.49,-2.000000000000002,7.8,249.49,7.8,-5.277327810102361E-16,120.845,170.90063794497667,170.90063794497667,257.29,14603.514025,29207.02805,29207.02805
69695,11,264.66,1,264.66,NaN,264.66,264.66,264.66,NaN,0.0,NaN,NaN,264.66,0.0,NaN,NaN
16324,13,166.56,1,166.56,NaN,166.56,166.56,166.56,NaN,0.0,NaN,NaN,166.56,0.0,NaN,NaN
69549,17,111.2,1,111.2,NaN,111.2,111.2,111.2,NaN,0.0,NaN,NaN,111.2,0.0,NaN,NaN
14584,21,213.45,1,213.45,NaN,213.45,213.45,213.45,NaN,0.0,NaN,NaN,213.45,0.0,NaN,NaN
69987,22,317.46666666666664,3,773.08,-1.4999999999999987,20.9,773.08,20.9,0.6144838085737938,327.02249640591333,400.5191253028167,400.5191253028167,952.4,106943.71315555558,160415.56973333337,160415.56973333337
15976,25,220.95,1,220.95,NaN,220.95,220.95,220.95,NaN,0.0,NaN,NaN,220.95,0.0,NaN,NaN
13742,28,199.7,1,199.7,NaN,199.7,199.7,199.7,NaN,0.0,NaN,NaN,199.7,0.0,NaN,NaN
69970,29,358.2366666666667,3,831.34,-1.4999999999999993,57.6,831.34,57.6,0.6318800025117527,338.60198880429255,414.7010492310495,414.7010492310495,1074.71,114651.30682222224,171976.96023333335,171976.96023333335
16682,2,100.8,1,100.8,NaN,100.8,100.8,100.8,NaN,0.0,NaN,NaN,100.8,0.0,NaN,NaN
13082,3,684.05,2,1278.1,-2.000000000000004,90.0,1278.1,90.0,-5.686448353569186E-16,594.05,840.1135667277371,840.1135667277371,1368.1,352895.40249999997,705790.8049999999,705790.8049999999
15673,4,318.66,1,318.66,NaN,318.66,318.66,318.66,NaN,0.0,NaN,NaN,318.66,0.0,NaN,NaN
16012,5,365.05,1,365.05,NaN,365.05,365.05,365.05,NaN,0.0,NaN,NaN,365.05,0.0,NaN,NaN
12648,6,318.05,1,318.05,NaN,318.05,318.05,318.05,NaN,0.0,NaN,NaN,318.05,0.0,NaN,NaN
69482,9,312.9,1,312.9,NaN,312.9,312.9,312.9,NaN,0.0,NaN,NaN,312.9,0.0,NaN,NaN
13667,11,305.02,1,305.02,NaN,305.02,305.02,305.02,NaN,0.0,NaN,NaN,305.02,0.0,NaN,NaN
13327,16,484.1,1,484.1,NaN,484.1,484.1,484.1,NaN,0.0,NaN,NaN,484.1,0.0,NaN,NaN
12662,17,431.66,1,431.66,NaN,431.66,431.66,431.66,NaN,0.0,NaN,NaN,431.66,0.0,NaN,NaN
12480,17,557.68,1,557.68,NaN,557.68,557.68,557.68,NaN,0.0,NaN,NaN,557.68,0.0,NaN,NaN
70607,23,252.4,1,252.4,NaN,252.4,252.4,252.4,NaN,0.0,NaN,NaN,252.4,0.0,NaN,NaN
69367,25,9.96,1,9.96,NaN,9.96,9.96,9.96,NaN,0.0,NaN,NaN,9.96,0.0,NaN,NaN
69945,26,340.8,1,340.8,NaN,340.8,340.8,340.8,NaN,0.0,NaN,NaN,340.8,0.0,NaN,NaN
12534,30,1089.18,1,1089.18,NaN,1089.18,1089.18,1089.18,NaN,0.0,NaN,NaN,1089.18,0.0,NaN,NaN
12828,30,152.155,2,227.0,-2.0000000000000004,77.31,227.0,77.31,0.0,74.845,105.8468140758143,105.8468140758143,304.31,5601.774025,11203.54805,11203.54805
70257,1,1202.22,1,1202.22,NaN,1202.22,1202.22,1202.22,NaN,0.0,NaN,NaN,1202.22,0.0,NaN,NaN
70231,2,250.32,1,250.32,NaN,250.32,250.32,250.32,NaN,0.0,NaN,NaN,250.32,0.0,NaN,NaN
13018,7,235.37,4,251.96,-0.893492753569618,42.96,359.7,42.96,-0.7760263178880101,117.69240119905788,135.89947902769902,135.89947902769902,941.48,13851.501300000002,18468.668400000002,18468.668400000002
69977,12,11.64,1,11.64,NaN,11.64,11.64,11.64,NaN,0.0,NaN,NaN,11.64,0.0,NaN,NaN
70317,13,209.82999999999998,2,238.0,-2.0,181.66,238.0,181.66,0.0,28.17,39.83839605205009,39.83839605205009,419.65999999999997,793.5489000000001,1587.0978000000002,1587.0978000000002
16729,15,444.21000000000004,2,395.37,-2.000000000000002,493.05,493.05,395.37,0.0,48.84,69.07019038630197,69.07019038630197,888.4200000000001,2385.3456000000006,4770.691200000001,4770.691200000001
69337,16,338.12,1,338.12,NaN,338.12,338.12,338.12,NaN,0.0,NaN,NaN,338.12,0.0,NaN,NaN
16638,17,142.91,1,142.91,NaN,142.91,142.91,142.91,NaN,0.0,NaN,NaN,142.91,0.0,NaN,NaN
69900,17,326.44,1,326.44,NaN,326.44,326.44,326.44,NaN,0.0,NaN,NaN,326.44,0.0,NaN,NaN
69521,19,128.45,1,128.45,NaN,128.45,128.45,128.45,NaN,0.0,NaN,NaN,128.45,0.0,NaN,NaN
69742,21,50.0,1,50.0,NaN,50.0,50.0,50.0,NaN,0.0,NaN,NaN,50.0,0.0,NaN,NaN
69911,29,138.24,1,138.24,NaN,138.24,138.24,138.24,NaN,0.0,NaN,NaN,138.24,0.0,NaN,NaN
12670,1,608.08,1,608.08,NaN,608.08,608.08,608.08,NaN,0.0,NaN,NaN,608.08,0.0,NaN,NaN
17481,6,216.515,2,260.63,-2.0000000000000018,172.4,260.63,172.4,-3.389934454617825E-16,44.114999999999995,62.38803130408908,62.38803130408908,433.03,1946.1332249999996,3892.266449999999,3892.266449999999
16458,11,175.9,1,175.9,NaN,175.9,175.9,175.9,NaN,0.0,NaN,NaN,175.9,0.0,NaN,NaN
16475,11,85.0,1,85.0,NaN,85.0,85.0,85.0,NaN,0.0,NaN,NaN,85.0,0.0,NaN,NaN
16085,20,294.61,1,294.61,NaN,294.61,294.61,294.61,NaN,0.0,NaN,NaN,294.61,0.0,NaN,NaN
70045,22,465.885,2,795.12,-1.999999999999998,136.65,795.12,136.65,4.175438776085788E-16,329.235,465.60860220790596,465.60860220790596,931.77,108395.68522500001,216791.37045000002,216791.37045000002
16607,26,314.36,1,314.36,NaN,314.36,314.36,314.36,NaN,0.0,NaN,NaN,314.36,0.0,NaN,NaN
15687,3,561.73,1,561.73,NaN,561.73,561.73,561.73,NaN,0.0,NaN,NaN,561.73,0.0,NaN,NaN
16809,7,149.68,1,149.68,NaN,149.68,149.68,149.68,NaN,0.0,NaN,NaN,149.68,0.0,NaN,NaN
14141,9,199.47,1,199.47,NaN,199.47,199.47,199.47,NaN,0.0,NaN,NaN,199.47,0.0,NaN,NaN
12553,10,477.55,1,477.55,NaN,477.55,477.55,477.55,NaN,0.0,NaN,NaN,477.55,0.0,NaN,NaN
69681,12,550.58,1,550.58,NaN,550.58,550.58,550.58,NaN,0.0,NaN,NaN,550.58,0.0,NaN,NaN
17404,15,5296.96,1,5296.96,NaN,5296.96,5296.96,5296.96,NaN,0.0,NaN,NaN,5296.96,0.0,NaN,NaN
16932,15,161.94,1,161.94,NaN,161.94,161.94,161.94,NaN,0.0,NaN,NaN,161.94,0.0,NaN,NaN
70105,18,214.32,1,214.32,NaN,214.32,214.32,214.32,NaN,0.0,NaN,NaN,214.32,0.0,NaN,NaN
70020,19,265.88,2,211.78,-2.0000000000000018,319.98,319.98,211.78,3.6761087627439987E-16,54.10000000000001,76.50895372438445,76.50895372438445,531.76,2926.810000000001,5853.620000000002,5853.620000000002
18092,30,1350.9,1,1350.9,NaN,1350.9,1350.9,1350.9,NaN,0.0,NaN,NaN,1350.9,0.0,NaN,NaN
17503,30,340.43,1,340.43,NaN,340.43,340.43,340.43,NaN,0.0,NaN,NaN,340.43,0.0,NaN,NaN
69454,31,624.24,1,624.24,NaN,624.24,624.24,624.24,NaN,0.0,NaN,NaN,624.24,0.0,NaN,NaN
69687,31,621.71,1,621.71,NaN,621.71,621.71,621.71,NaN,0.0,NaN,NaN,621.71,0.0,NaN,NaN
15289,8,241.8,1,241.8,NaN,241.8,241.8,241.8,NaN,0.0,NaN,NaN,241.8,0.0,NaN,NaN
17069,9,325.395,2,501.56,-1.9999999999999984,149.23,501.56,149.23,3.4069930000156926E-16,176.16500000000002,249.13493221545633,249.13493221545633,650.79,31034.107225000007,62068.214450000014,62068.214450000014
69712,12,261.32,1,261.32,NaN,261.32,261.32,261.32,NaN,0.0,NaN,NaN,261.32,0.0,NaN,NaN
15419,13,135.86,1,135.86,NaN,135.86,135.86,135.86,NaN,0.0,NaN,NaN,135.86,0.0,NaN,NaN
69582,15,363.62,1,363.62,NaN,363.62,363.62,363.62,NaN,0.0,NaN,NaN,363.62,0.0,NaN,NaN
70071,15,341.16,1,341.16,NaN,341.16,341.16,341.16,NaN,0.0,NaN,NaN,341.16,0.0,NaN,NaN
16924,16,215.175,2,323.1,-2.0000000000000004,107.25,323.1,107.25,0.0,107.92500000000001,152.6289987191163,152.6289987191163,430.35,11647.805625000003,23295.611250000005,23295.611250000005
13018,21,406.53,1,406.53,NaN,406.53,406.53,406.53,NaN,0.0,NaN,NaN,406.53,0.0,NaN,NaN
70241,22,112.38,1,112.38,NaN,112.38,112.38,112.38,NaN,0.0,NaN,NaN,112.38,0.0,NaN,NaN
14704,26,15.0,1,15.0,NaN,15.0,15.0,15.0,NaN,0.0,NaN,NaN,15.0,0.0,NaN,NaN
12362,6,529.04,1,529.04,NaN,529.04,529.04,529.04,NaN,0.0,NaN,NaN,529.04,0.0,NaN,NaN
69877,8,18.3,1,18.3,NaN,18.3,18.3,18.3,NaN,0.0,NaN,NaN,18.3,0.0,NaN,NaN
14299,8,209.0,1,209.0,NaN,209.0,209.0,209.0,NaN,0.0,NaN,NaN,209.0,0.0,NaN,NaN
69869,16,29.7,1,29.7,NaN,29.7,29.7,29.7,NaN,0.0,NaN,NaN,29.7,0.0,NaN,NaN
13162,11,43.3,1,43.3,NaN,43.3,43.3,43.3,NaN,0.0,NaN,NaN,43.3,0.0,NaN,NaN
16473,31,1.25,1,1.25,NaN,1.25,1.25,1.25,NaN,0.0,NaN,NaN,1.25,0.0,NaN,NaN
15159,15,17.85,1,17.85,NaN,17.85,17.85,17.85,NaN,0.0,NaN,NaN,17.85,0.0,NaN,NaN
70177,29,26.275,2,4.25,-1.9999999999999984,48.3,48.3,4.25,0.0,22.025,31.148053711267416,31.148053711267416,52.55,485.1006249999999,970.2012499999998,970.2012499999998
14796,4,12.75,1,12.75,NaN,12.75,12.75,12.75,NaN,0.0,NaN,NaN,12.75,0.0,NaN,NaN
15122,25,7.65,1,7.65,NaN,7.65,7.65,7.65,NaN,0.0,NaN,NaN,7.65,0.0,NaN,NaN
16684,7,28.04,1,28.04,NaN,28.04,28.04,28.04,NaN,0.0,NaN,NaN,28.04,0.0,NaN,NaN
13771,11,2.75,1,2.75,NaN,2.75,2.75,2.75,NaN,0.0,NaN,NaN,2.75,0.0,NaN,NaN
12494,3,17.9,1,17.9,NaN,17.9,17.9,17.9,NaN,0.0,NaN,NaN,17.9,0.0,NaN,NaN
17706,9,20.95,1,20.95,NaN,20.95,20.95,20.95,NaN,0.0,NaN,NaN,20.95,0.0,NaN,NaN
17612,20,3.15,1,3.15,NaN,3.15,3.15,3.15,NaN,0.0,NaN,NaN,3.15,0.0,NaN,NaN
70028,3,43.63,1,43.63,NaN,43.63,43.63,43.63,NaN,0.0,NaN,NaN,43.63,0.0,NaN,NaN
70010,8,30.025000000000002,2,6.95,-1.9999999999999991,53.1,53.1,6.95,0.0,23.075,32.632977951759166,32.632977951759166,60.050000000000004,532.4556249999999,1064.9112499999999,1064.9112499999999
69946,20,19.11,1,19.11,NaN,19.11,19.11,19.11,NaN,0.0,NaN,NaN,19.11,0.0,NaN,NaN
12656,6,8.5,1,8.5,NaN,8.5,8.5,8.5,NaN,0.0,NaN,NaN,8.5,0.0,NaN,NaN
12712,15,25.0,1,25.0,NaN,25.0,25.0,25.0,NaN,0.0,NaN,NaN,25.0,0.0,NaN,NaN
70198,8,269.96,1,269.96,NaN,269.96,269.96,269.96,NaN,0.0,NaN,NaN,269.96,0.0,NaN,NaN
70112,1,351.2033333333334,3,326.4,-1.4999999999999996,96.75,630.46,96.75,0.16874282023959788,218.59093459905628,267.71812608288843,267.71812608288843,1053.6100000000001,47781.996688888896,71672.99503333334,71672.99503333334
13941,2,1095.12,1,1095.12,NaN,1095.12,1095.12,1095.12,NaN,0.0,NaN,NaN,1095.12,0.0,NaN,NaN
70123,2,2679.5866666666666,3,230.56,-1.4999999999999982,7786.0,7786.0,22.2,0.7053422405045651,3611.7813075667927,4423.510633030437,4423.510633030437,8038.76,1.304496421368889E7,1.9567446320533335E7,1.9567446320533335E7
15311,5,866.8614285714286,7,650.64,0.6569383546558596,35.81,2517.44,35.81,1.2748141914455253,748.1166804607911,808.0583697033396,808.0583697033396,6068.030000000001,559678.5675836734,652958.328847619,652958.328847619
70075,6,142.25,1,142.25,NaN,142.25,142.25,142.25,NaN,0.0,NaN,NaN,142.25,0.0,NaN,NaN
69940,6,230.46,2,133.07,-1.999999999999997,327.85,327.85,133.07,-5.04112001517026E-16,97.39000000000001,137.73025883951576,137.73025883951576,460.92,9484.812100000003,18969.624200000006,18969.624200000006
17884,6,125.86000000000001,2,137.11,-1.9999999999999998,114.61,137.11,114.61,0.0,11.250000000000007,15.909902576697329,15.909902576697329,251.72000000000003,126.56250000000016,253.1250000000003,253.1250000000003
69622,9,119.45,1,119.45,NaN,119.45,119.45,119.45,NaN,0.0,NaN,NaN,119.45,0.0,NaN,NaN
17690,10,239.7,1,239.7,NaN,239.7,239.7,239.7,NaN,0.0,NaN,NaN,239.7,0.0,NaN,NaN
70265,14,3530.1733333333327,3,151.66,-1.5000000000000007,49.8,10389.06,49.8,0.7068728807014347,4850.143543891825,5940.188430894539,5940.188430894539,10590.519999999999,2.3523892396355554E7,3.528583859453333E7,3.528583859453333E7
70036,15,2605.88,1,2605.88,NaN,2605.88,2605.88,2605.88,NaN,0.0,NaN,NaN,2605.88,0.0,NaN,NaN
15822,15,440.2,1,440.2,NaN,440.2,440.2,440.2,NaN,0.0,NaN,NaN,440.2,0.0,NaN,NaN
14621,16,305.7,1,305.7,NaN,305.7,305.7,305.7,NaN,0.0,NaN,NaN,305.7,0.0,NaN,NaN
69595,20,344.11,1,344.11,NaN,344.11,344.11,344.11,NaN,0.0,NaN,NaN,344.11,0.0,NaN,NaN
13576,6,623.68,1,623.68,NaN,623.68,623.68,623.68,NaN,0.0,NaN,NaN,623.68,0.0,NaN,NaN
12736,11,234.0,1,234.0,NaN,234.0,234.0,234.0,NaN,0.0,NaN,NaN,234.0,0.0,NaN,NaN
15189,11,174.406,5,418.48,-1.8301596139915268,5.9,431.8,3.3,0.4088807366303887,204.78900786907488,228.96107131999537,228.96107131999537,872.03,41938.53774400001,52423.17218000001,52423.17218000001
14175,14,170.54,2,322.58,-2.0,18.5,322.58,18.5,0.0,152.04,215.01703002320536,215.01703002320536,341.08,23116.161599999996,46232.32319999999,46232.32319999999
70131,17,347.04,1,347.04,NaN,347.04,347.04,347.04,NaN,0.0,NaN,NaN,347.04,0.0,NaN,NaN
15395,18,107.45,1,107.45,NaN,107.45,107.45,107.45,NaN,0.0,NaN,NaN,107.45,0.0,NaN,NaN
12971,26,216.23333333333335,3,174.6,-1.4999999999999996,309.82,309.82,164.28,0.694282911153364,66.30974656028245,81.21252202298199,81.21252202298199,648.7,4396.98248888889,6595.473733333334,6595.473733333334
16714,26,465.51,3,1136.58,-1.5000000000000036,250.0,1136.58,9.95,0.5791790558045333,484.5322206692416,593.4283522886313,593.4283522886313,1396.53,234771.47286666662,352157.20929999993,352157.20929999993
13328,27,1308.48,1,1308.48,NaN,1308.48,1308.48,1308.48,NaN,0.0,NaN,NaN,1308.48,0.0,NaN,NaN
13324,1,460.5,1,460.5,NaN,460.5,460.5,460.5,NaN,0.0,NaN,NaN,460.5,0.0,NaN,NaN
13784,2,155.52,1,155.52,NaN,155.52,155.52,155.52,NaN,0.0,NaN,NaN,155.52,0.0,NaN,NaN
17811,3,218.175,2,289.3,-2.0,147.05,289.3,147.05,0.0,71.125,100.58593962378639,100.58593962378639,436.35,5058.765625,10117.53125,10117.53125
70166,3,654.96,1,654.96,NaN,654.96,654.96,654.96,NaN,0.0,NaN,NaN,654.96,0.0,NaN,NaN
17083,10,691.36,1,691.36,NaN,691.36,691.36,691.36,NaN,0.0,NaN,NaN,691.36,0.0,NaN,NaN
14796,12,477.11,2,354.11,-2.0,600.11,600.11,354.11,0.0,123.0,173.9482681718907,173.9482681718907,954.22,15129.0,30258.0,30258.0
