counterparty_country,acct_last_updated_ts_weekday,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
DEU,2,477.72108374384226,203,288.5,106.67127071331775,303.96,13031.5,1.6,9.349163816231256,1030.8184880822735,1033.3668689504052,1033.3668689504052,96977.37999999998,1062586.7553722244,1067847.085844364,1067847.085844364
CAN,3,372.69498054474724,257,331.26,16.291369257230823,125.0,3855.84,2.16,3.611788535548953,512.8423800081198,513.843049018196,513.843049018196,95782.61000000004,263007.30673239275,264034.67902431614,264034.67902431614
GRC,4,555.2649361702124,235,255.0,62.449344296292466,25.0,16488.0,2.88,7.580421843817228,1611.7378228397536,1615.1780355540413,1615.1780355540413,130487.25999999992,2597698.8095722287,2608800.0865362124,2608800.0865362124
JPN,6,583.5886607142859,224,225.7,103.6741038787343,8.85,22998.4,1.45,9.469483026843852,1829.3080616266184,1833.4050612974277,1833.4050612974277,130723.86000000003,3346367.984332136,3361374.118791024,3361374.118791024
GRC,5,371.81292887029275,239,297.92,152.91812854919746,91.25,13464.26,0.5,11.490041597573931,943.9809060833795,945.9619804682347,945.9619804682347,88863.28999999996,891099.9510499983,894844.0684913849,894844.0684913849
BRA,3,456.18369337979067,287,198.0,43.58378821792646,25.68,9341.26,1.65,5.981649787739505,951.7074212159473,953.3697935242614,953.3697935242614,130924.71999999991,905747.0155975085,908913.9632044928,908913.9632044928
DEU,7,334.35868686868673,198,855.86,46.15313910422483,16.5,4358.0,0.65,5.2782524591299955,407.3763248320025,408.40896609538265,408.40896609538265,66203.01999999997,165955.47003362922,166797.88358709944,166797.88358709944
ITA,6,357.3523846153848,130,259.86,29.30760720636639,12.75,4400.28,3.3,4.993399637974592,558.1992108127758,560.3585968675922,560.3585968675922,46455.81000000002,311586.3589520058,314001.7570834167,314001.7570834167
USA,2,1065.0416269841273,252,192.6,245.7670641443256,54.75,168469.6,0.65,15.721231083721268,10579.592996934742,10600.646934170818,10600.646934170818,268390.4900000001,1.1192778798079063E8,1.1237371542294517E8,1.1237371542294517E8
DEU,5,454.21034313725454,204,15.0,51.79525741276704,1100.44,11816.64,1.45,6.78743181878465,1198.786061997139,1201.735109656313,1201.735109656313,92658.90999999993,1437088.0224386086,1444167.2737806707,1444167.2737806707
CHE,2,381.8462995594712,227,189.3,40.66597175622788,16.45,5405.48,3.25,5.7490335212425245,585.5743927040456,586.8684813380388,586.8684813380388,86679.10999999997,342897.3693907119,344414.61438801594,344414.61438801594
USA,6,344.75810256410267,195,2474.74,10.756066870204219,2.08,2474.74,2.08,2.7098548947418197,362.54180107139655,363.4749861442555,363.4749861442555,67227.83000000002,131436.55752409206,132114.06555256675,132114.06555256675
ITA,1,445.4364130434784,184,259.86,154.35919411987118,76.5,20277.92,1.65,12.099703289512775,1520.5045459238777,1524.6532699949157,1524.6532699949157,81960.30000000003,2311934.074175177,2324567.593706189,2324567.593706189
JPN,1,486.69552995391706,217,950.09,65.72277194749039,54.75,8520.92,1.65,6.719837015563552,731.580954758126,733.2724736746277,733.2724736746277,105612.93000000001,535210.6933648112,537688.5206489076,537688.5206489076
NOR,5,335.47025906735735,193,70.05,37.834151782387,14.63,3930.94,0.39,4.821362421279318,388.34394709059376,389.35394605791544,389.35394605791544,64745.75999999997,150811.02124190188,151596.49531087012,151596.49531087012
ESP,3,369.807213114754,244,842.12,38.2405142999333,91.27,5727.0,1.25,5.521151972370988,621.2236512778528,622.5005768827541,622.5005768827541,90232.95999999998,385918.82490698725,387506.9682193617,387506.9682193617
RUS,7,1312.2672988505747,174,116.0,168.67071586231825,19.9,168469.6,1.25,13.057676552816439,12714.933694709902,12751.629106347365,12751.629106347365,228334.51,1.616695388608692E8,1.6260404486584532E8,1.6260404486584532E8
DEU,6,315.11184782608683,184,19.9,22.93129350216836,60.25,3160.84,2.49,3.961704714094277,377.10357512293433,378.1325090275261,378.1325090275261,57980.57999999998,142207.10637049857,142984.19438345212,142984.19438345212
ZAF,1,522.056569037657,239,308.65,126.90521804215294,8.2,19150.66,2.1,10.297685949303448,1409.5599313999785,1412.518087710153,1412.518087710153,124771.52000000002,1986859.2002083121,1995207.348108347,1995207.348108347
CAN,4,726.3034426229507,244,303.9,226.01684101179242,11.65,77183.6,1.95,14.920332777059448,4973.0633713311,4983.285506210523,4983.285506210523,177218.03999999998,2.4731359295275047E7,2.4833134436407868E7,2.4833134436407868E7
ZAF,3,452.36242424242437,264,842.12,106.97434328539634,7.5,13355.4,0.72,9.050624730103241,993.8124176083775,995.7000022485443,995.7000022485443,119423.68000000004,987663.1213926082,991418.4944777511,991418.4944777511
NLD,6,338.5134224598929,187,91.8,14.16134934485342,269.96,2924.0,1.95,3.022506316485914,367.766248997452,368.75354271751553,368.75354271751553,63302.00999999998,135252.01390165588,135979.17526671855,135979.17526671855
NOR,4,491.21862559241697,211,194.85,41.15096307102528,7.65,9349.72,1.25,5.7252357964278895,960.3818123784935,962.6657200327625,962.6657200327625,103647.12999999998,922333.2255473998,926725.288526197,926725.288526197
RUS,5,315.11355140186913,214,3193.92,32.965009881575064,44.78,4091.46,0.65,4.830273262864372,440.015303232713,441.04699351938984,441.04699351938984,67434.29999999999,193613.4670789764,194522.45049249273,194522.45049249273
FRA,3,593.8145814977971,227,70.05,182.9923129867806,3.18,38970.0,1.45,13.159173518215594,2680.0259252582887,2685.948641708829,2685.948641708829,134795.90999999995,7182538.960056545,7214320.105897504,7214320.105897504
SWE,3,457.97052380952374,210,326.4,77.66833956228871,2.9,11816.64,1.7,8.181184681815042,1040.6215119337335,1043.108066283937,1043.108066283937,96173.80999999998,1082893.1310992492,1088074.437946614,1088074.437946614
PRT,4,658.6310000000002,271,306.4,42.57195013904039,55.3,15885.49,0.77,6.175684533885454,1697.502708098237,1700.6433263394983,1700.6433263394983,178489.00100000005,2881515.444000848,2892187.7234230735,2892187.7234230735
ITA,5,420.5645962732917,161,22.2,149.44240840837864,9.9,22775.93,1.65,12.180250899736649,1786.0824624696381,1791.6552762065423,1791.6552762065423,67710.89999999997,3190090.5627416065,3210028.6287587415,3210028.6287587415
CHE,5,526.0715062761506,239,514.41,93.10453432271726,3.4,21880.44,1.65,9.305757825873059,1869.591903777095,1873.5155007554201,1873.5155007554201,125731.08999999998,3495373.886668863,3510060.3315708325,3510060.3315708325
ESP,4,360.4654339622644,265,279.6,35.65150913114882,5.75,5496.0,2.84,5.306304075541109,571.9611318974529,573.0433677410698,573.0433677410698,95523.34000000007,327139.5364014155,328378.70131202694,328378.70131202694
SWE,7,326.1739195979898,199,294.62,5.586692849430108,98.75,1983.46,1.25,1.949668428491704,320.22010578421805,321.02772397932705,321.02772397932705,64908.60999999997,102540.9161484558,103058.799563347,103058.799563347
ZAF,2,439.62816593886447,229,5.04,57.843898526471875,31.68,8895.76,1.45,6.7050720913168025,812.111263178215,813.8902604101376,813.8902604101376,100674.84999999996,659524.703780916,662417.3559904814,662417.3559904814
GRC,3,376.6404854368931,206,122.15,17.249521221976003,25.0,3862.14,1.6,3.6523846474465667,510.71483579557975,511.9589663499454,511.9589663499454,77587.93999999997,260829.64350170596,262101.98322610452,262101.98322610452
ITA,3,372.8682681564242,179,22.2,47.662880675882604,81.36,7059.54,1.45,6.222781966626626,712.6685934831308,714.6676677984124,714.6676677984124,66743.41999999994,507896.52413722395,510749.8753964219,510749.8753964219
JPN,5,435.7620318725098,251,202.12,121.33949266001035,15.9,15160.9,0.95,10.057872591096027,1119.4274047785225,1121.6640251998167,1121.6640251998167,109376.26999999996,1253117.7145691782,1258130.185427455,1258130.185427455
CAN,7,273.55638888888865,180,34.8,2.3739025339964783,52.5,1308.48,0.0,1.4179661519834252,254.62403221386776,255.33428193999802,255.33428193999802,49240.14999999996,64833.39778084877,65195.595533814405,65195.595533814405
JPN,7,383.23091891891903,185,129.57,68.74864965783745,25.4,6549.12,0.85,7.026705171901955,576.9776078860064,578.5433573261523,578.5433573261523,70897.72000000002,332903.1600018581,334712.416306216,334712.416306216
ITA,4,350.5384293193718,191,350.4,25.62811552582576,238.0,3876.86,1.45,4.111641840937493,432.3723698407673,433.5086986593341,433.5086986593341,66952.84000000001,186945.86620172128,187929.7918133093,187929.7918133093
MEX,4,322.7215765765765,222,159.26,117.77486496260101,15.9,10065.0,0.39,9.846692777110981,763.9854881632838,765.7120112423805,765.7120112423805,71644.18999999999,583673.8261240909,586314.8841608515,586314.8841608515
CHN,6,295.7291860465115,172,406.56,9.030518758237834,61.2,1932.24,1.95,2.3604699042737445,278.7093321745757,279.52308378125963,279.52308378125963,50865.41999999997,77678.89184119797,78133.15436658509,78133.15436658509
JPN,4,915.0966938775512,245,408.0,26.67308763738831,9500.0,21535.9,0.85,4.65142202106851,2379.8606791925076,2384.732456408227,2384.732456408227,224198.69000000003,5663736.8523666235,5686948.888646815,5686948.888646815
FIN,3,347.1714170040482,247,22.2,20.268725709118208,7.0,3694.36,1.45,4.091368357865666,476.0438216126359,477.01040904769997,477.01040904769997,85751.3399999999,226617.72009556313,227538.93033985404,227538.93033985404
CHE,1,390.0147747747746,222,4.95,111.00586394955955,25.68,11956.1,1.45,9.56473184553698,922.9086598288656,924.9943317765404,924.9943317765404,86583.27999999996,851760.3943871127,855614.5138187286,855614.5138187286
TUR,4,405.55549999999954,220,303.97,68.37688019846786,3.8,8895.66,1.65,7.320584219780986,781.989404054129,783.772734543569,783.772734543569,89222.2099999999,611507.4280529317,614299.6994139039,614299.6994139039
IND,6,372.2889215686273,204,4.95,120.02997349169284,33.2,10065.0,1.69,9.966410023004851,770.9458198167716,772.8423683648027,772.8423683648027,75946.93999999997,594357.4570929542,597285.3263397175,597285.3263397175
ZAF,6,348.6739664804468,179,248.1,14.914112662211927,4.1,3096.0,2.42,3.125903945602533,389.38615285772516,390.47840227635004,390.47840227635004,62412.63999999997,151621.57603733972,152473.38264429106,152473.38264429106
NLD,2,327.45935960591135,203,806.28,16.960079734436064,2.08,2907.2,1.39,3.0769864514011744,339.3231653758312,340.1620372749629,340.1620372749629,66474.25,115140.21056067367,115710.21160305325,115710.21160305325
CAN,5,349.4257939914162,233,204.0,173.61209162950587,66.0,14022.92,0.95,12.571772420874407,960.9091480366872,962.9778461211678,962.9778461211678,81416.20999999998,923346.3907805919,927326.3321201635,927326.3321201635
FIN,2,402.1046718146714,259,1024.68,144.57739295835637,2.95,13760.02,2.5,10.97294891841235,958.3474860949071,960.2029524711379,960.2029524711379,104145.1099999999,918429.9041044282,921989.7099342904,921989.7099342904
DEU,1,285.5546222222221,225,201.75,44.77489691586693,98.51,4311.48,1.25,5.448859375741807,402.77701647433713,403.67507113767135,403.67507113767135,64249.78999999997,162229.32499996846,162953.56305800405,162953.56305800405
FRA,5,387.66978260869547,230,79.6,9.889706897372795,15.0,3155.95,1.25,2.7907258034946425,458.4471973487343,459.4470833726156,459.4470833726156,89164.04999999996,210173.8327569093,211091.62241960323,211091.62241960323
USA,4,410.5224897959181,245,514.41,43.341793180421455,224.69,6068.06,1.06,5.554895135591588,584.4596480468307,585.6560866542487,585.6560866542487,100578.00999999994,341593.08019502525,342993.05183516885,342993.05183516885
MEX,6,383.0306208530804,211,215.58,15.389902315157773,61.2,4366.78,1.25,3.6849075009282592,627.5926582453824,629.0851518114358,629.0851518114358,80819.46099999997,393872.5446835053,395748.1282296172,395748.1282296172
ESP,6,305.74373113207537,212,2263.8,23.077097597389997,14.85,3678.03,0.5,4.232806914044617,430.42017179481246,431.4389191886402,431.4389191886402,64817.67099999997,185261.5242878759,186139.54099066203,186139.54099066203
USA,1,408.52644194756544,267,165.05,22.2059155761825,336.0,4345.1,1.25,4.090704804053527,555.1390458339583,556.1815613923042,556.1815613923042,109076.55999999997,308179.36020943767,309337.9292327814,309337.9292327814
PRT,2,778.185349794239,243,127.08,119.03293400326946,125.0,38970.0,1.65,10.223906767321497,2962.628052031391,2968.7428739178813,2968.7428739178813,189099.04000000007,8777164.974683313,8813434.251438202,8813434.251438202
DNK,1,817.5070093457937,214,184.5,190.3356572074217,60.25,77183.6,1.45,13.641507054667821,5356.446635496512,5369.005730428767,5369.005730428767,174946.49999999985,2.86915205589219E7,2.8826222533376932E7,2.8826222533376932E7
JPN,3,371.7915384615381,234,426.56,117.50796362926053,16.85,8801.51,1.25,9.577377412562287,652.0562506942389,653.4540148935163,653.4540148935163,86999.21999999991,425177.35406942817,427002.1495804558,427002.1495804558
ZAF,5,395.4512121212119,198,354.23,40.97599759613682,16.65,6207.67,0.84,5.826691054258908,691.1988912178267,692.9509824729297,692.9509824729297,78299.33999999995,477755.907220753,480181.06411019847,480181.06411019847
BRA,6,361.000614754098,244,497.0,17.99407254332727,18.0,3599.4,0.72,3.6262488920330616,465.712865467025,466.6701385541387,466.6701385541387,88084.14999999992,216888.4730615073,217781.018218139,217781.018218139
PRT,5,534.5822510822514,231,159.26,57.847346853813825,9.9,15719.56,1.65,7.2797724548201845,1583.0256811143847,1586.4633087915613,1586.4633087915613,123488.50000000009,2505970.3070676615,2516865.830141869,2516865.830141869
GBR,4,819.0168156424578,179,286.92,35.0426221389599,6.9,22206.0,1.25,5.56451725688111,2512.527170590112,2519.574946483568,2519.574946483568,146604.00999999995,6312792.782953553,6348257.910947674,6348257.910947674
ESP,5,376.5113215859028,227,17.85,20.72454583099367,62.5,4414.88,1.65,4.079568560140047,565.8821345365844,567.1327043149212,567.1327043149212,85468.06999999993,320222.5901876811,321639.50430355576,321639.50430355576
GRC,1,416.26712500000014,240,204.0,57.23380028386286,36.0,9341.26,1.95,6.986161686096569,876.2789733367745,878.110279353774,878.110279353774,99904.11000000003,767864.8391121515,771077.662706763,771077.662706763
AUS,7,389.10014354066976,209,362.5,50.55318955861241,29.1,5424.0,2.08,5.693385215037969,494.36401894866907,495.5509690820436,495.5509690820436,81321.92999999998,244395.78323108004,245570.76295815254,245570.76295815254
FIN,1,791.6518000000002,250,783.11,216.04036780905244,1.65,77183.6,0.85,14.39319671847998,4994.597103780401,5004.616365813412,5004.616365813412,197912.95000000004,2.494600022909157E7,2.5046184968967438E7,2.5046184968967438E7
GRC,6,352.03976851851843,216,485.25,96.27778605849058,381.95,7480.06,1.45,8.598101370740261,592.0570260786652,593.4323055764715,593.4323055764715,76040.58999999998,350531.5221291132,352161.90130180673,352161.90130180673
FRA,6,424.62404761904725,168,27.45,58.40978017449406,69.85,8345.2,0.55,7.098984954563198,839.0293502260571,841.5376647913988,841.5376647913988,71336.83999999994,703970.2505407596,708185.6412625606,708185.6412625606
AUS,4,443.5254042553191,235,390.79,70.04211976238821,2.95,10999.52,0.38,7.895567222670081,1071.4921284929178,1073.7792007396968,1073.7792007396968,104228.46999999999,1148095.3814222836,1153001.7719411822,1153001.7719411822
CAN,1,264.7616535433071,254,101.55,11.626330829941592,7.6,2232.0,0.0,2.9493673249253956,320.05764767592797,320.68954887881955,320.68954887881955,67249.46,102436.89783584845,102841.7867601008,102841.7867601008
PRT,1,477.31683035714303,224,95.29,107.75387952490588,41.6,19150.66,1.17,9.898795244133025,1538.8190647794795,1542.2654723770227,1542.2654723770227,106918.97000000004,2367964.114128792,2378582.7872863207,2378582.7872863207
NOR,6,350.5237714285714,175,191.06,30.18363930088661,35.0,3969.93,1.06,4.4944574344883,430.50248342214417,431.7377872049621,431.7377872049621,61341.66,185332.3882326335,186397.51690063713,186397.51690063713
FIN,5,334.3339917695474,243,165.89,63.79009171457808,36.15,5735.24,0.39,6.611345572076131,484.3058432880131,485.30544361525034,485.30544361525034,81243.16000000002,234552.14984291347,235521.37360259495,235521.37360259495
TUR,6,316.0485789473682,190,304.04,11.88568299965705,7.25,2661.24,1.65,2.8980218183755415,364.5574398689047,365.5206051930879,365.5206051930879,60049.22999999996,132902.12696377005,133605.3128207212,133605.3128207212
AUT,1,408.7544748858443,219,204.15,83.29131825426514,29.25,10303.95,1.45,8.136503761328383,856.4889745070403,858.4511511325505,858.4511511325505,89517.2299999999,733573.3634521215,736938.378880801,736938.378880801
CHN,5,368.8106451612902,186,156.74,56.73225701907331,15.95,6930.0,0.77,6.514274456207825,647.936979709333,649.685800649042,649.685800649042,68598.77999999998,419822.3296748525,422091.6395649868,422091.6395649868
MEX,1,377.52970338983044,236,1024.68,62.54096117810438,37.6,8281.12,0.4,6.812419658094628,722.2850104863157,723.8201557048495,723.8201557048495,89097.00999999998,521695.6363732172,523915.6178045926,523915.6178045926
FRA,2,394.70258373205724,209,17.85,59.50957673403147,16.5,8322.12,1.66,7.0247994168305175,781.121952227498,782.9973977895555,782.9973977895555,82492.83999999997,610151.5042516977,613084.9249452155,613084.9249452155
NOR,7,321.9701058201057,189,164.8,5.80166434936962,57.3,1912.06,2.9,2.085221209092565,326.76829125922796,327.6362032560373,327.6362032560373,60852.34999999998,106777.51617247563,107345.48168403136,107345.48168403136
DNK,6,270.04999999999995,159,475.86,41.02105331721012,26.74,3404.0,1.65,5.477278231127775,358.1806422997186,359.31233751237596,359.31233751237596,42937.94999999999,128293.37251823899,129105.35588860759,129105.35588860759
USA,5,369.2523728070176,228,449.98,18.568029376610312,54.75,3949.32,1.95,3.6112419916249223,473.18380491084076,474.2249146511044,474.2249146511044,84189.54100000001,223902.9132299006,224889.2696758473,224889.2696758473
AUS,3,438.27910714285724,224,358.25,61.27367875715838,98.75,10584.77,3.3,7.4860848424334785,1036.935288317086,1039.2576546937519,1039.2576546937519,98174.52000000002,1075234.7921572381,1080056.4728395576,1080056.4728395576
IND,2,334.4146999999997,200,2355.18,19.2152495189439,12.75,3277.24,2.5,4.045742299014567,466.3855521185342,467.55590666163215,467.55590666163215,66882.93999999994,217515.48322490999,218608.5258541809,218608.5258541809
TUR,7,345.5029166666665,192,277.35,8.93670166029647,57.8,2608.11,0.95,2.71008946195616,424.854231930682,425.9649638442839,425.9649638442839,66336.55999999997,180501.1183894097,181446.1504228621,181446.1504228621
BRA,2,349.30178438661704,269,261.48,63.87029569906275,20.8,7059.54,0.83,6.835442116935632,598.7187596852522,599.8347322467172,599.8347322467172,93962.17999999998,358464.1531990467,359801.7060094909,359801.7060094909
PRT,3,562.2229296874999,256,426.56,53.72477025508867,29.17,15160.9,2.17,6.973737349141331,1598.4620615100998,1601.59323407307,1601.59323407307,143929.06999999998,2555080.962087118,2565100.887428636,2565100.887428636
AUT,3,452.5816666666669,246,139.12,178.13980534366004,3.75,22775.93,0.72,12.627996541657906,1537.2509251025094,1540.3849771327923,1540.3849771327923,111335.09000000005,2363140.406728521,2372785.8777763927,2372785.8777763927
TUR,3,349.3837179487181,234,259.65,34.88692716923569,37.6,4936.65,0.65,5.175472146585834,520.0504525255931,521.1652457717038,521.1652457717038,81755.79000000002,270452.4731720741,271613.21340028045,271613.21340028045
AUS,1,306.6268888888888,225,130.85,8.62596047922524,54.75,2314.48,1.65,2.425187705060236,327.11331280237323,327.84266334618604,327.84266334618604,68991.04999999997,107003.11941254327,107480.81190992068,107480.81190992068
NOR,3,378.85711229946526,187,226.14,25.143560694802378,7.5,4358.0,2.55,4.463418239999493,556.6691815464906,558.1635981455993,558.1635981455993,70846.28,309880.57768363965,311546.602294842,311546.602294842
FRA,4,586.607661691542,201,191.06,182.97892328871788,64.7,38970.0,1.95,13.394415756466708,2760.5646439543398,2767.457450299463,2767.457450299463,117908.13999999996,7620717.15345075,7658820.739218004,7658820.739218004
ESP,7,362.147681818182,220,1919.14,19.671332867090676,8.32,3528.34,2.95,3.940539202815522,461.2456148691165,462.2974876487887,462.2974876487887,79672.49000000003,212747.5172359893,213718.96708638195,213718.96708638195
CHE,3,468.67359999999996,250,22.2,176.06325378796953,3.75,21535.9,1.25,12.60946038752564,1451.6232912222927,1454.535276678931,1454.535276678931,117168.4,2107210.179619041,2115672.8711034544,2115672.8711034544
NOR,2,531.1614215686274,204,225.65,97.11760554881585,66.0,18841.48,1.95,9.076289168810314,1547.6207861878268,1551.427977146648,1551.427977146648,108356.93,2395130.097840627,2406928.7682733396,2406928.7682733396
BRA,5,298.72250000000014,252,192.6,12.366490657924963,1.7,2298.0,1.25,3.02689170651259,349.3350665210834,350.0302613709256,350.0302613709256,75278.07000000004,122034.98870128974,122521.18387539846,122521.18387539846
AUS,2,348.43816326530595,196,17.4,6.952496433625575,14.85,2482.44,0.79,2.3666086994442215,398.2302143408676,399.25001169396944,399.25001169396944,68293.87999999996,158587.30361397332,159400.57183763472,159400.57183763472
PRT,6,494.57676855895215,229,161.0,61.87619668576224,32.53,12341.21,1.25,7.157406410840805,1126.7629792897235,1129.231247262445,1129.231247262445,113258.08000000005,1269594.811497854,1275163.2097938973,1275163.2097938973
SWE,6,416.461124260355,169,311.81,42.81281359016793,11.7,6930.0,1.45,6.069323879394065,767.2560905767635,769.5362028562835,769.5362028562835,70381.93,588681.9085271388,592185.967506467,592185.967506467
DNK,5,385.5471891891892,185,855.86,34.13532948055131,18.4,5639.52,1.65,5.118700519801956,627.3645967720129,629.0670818472348,629.0670818472348,71326.23000000001,393586.33728291024,395725.3934637956,395725.3934637956
RUS,6,320.9090155440416,193,471.3,2.84887523266757,14.9,1746.72,2.1,1.6407518296488086,327.14158383196684,327.9924086338304,327.9924086338304,61935.44000000003,107021.6158720878,107579.02012142159,107579.02012142159
CHE,4,318.69216326530614,245,198.08,30.91158436522658,11.17,4117.4,1.45,4.846152403044241,451.7156591167044,452.640359489003,452.640359489003,78079.58,204047.03669123867,204883.2950383339,204883.2950383339
DEU,4,305.671121495327,214,146.61,119.24276196984407,4.85,7298.76,0.79,9.811337465468101,550.5353156036219,551.8261387486534,551.8261387486534,65413.61999999998,303089.1337267796,304512.0874062481,304512.0874062481
CHE,6,335.8300483091787,207,346.1,9.418855536703914,27.25,2221.84,2.08,2.680272588763567,355.24213849406084,356.10333282084605,356.10333282084605,69516.81999999999,126196.97696183351,126809.58364611426,126809.58364611426
NLD,4,542.5663513513514,222,390.79,138.51782737138194,8.32,22206.0,1.65,10.979034960676398,1631.1536969458493,1634.839924690962,1634.839924690962,120449.73,2660662.3830601117,2672701.579363551,2672701.579363551
MEX,5,386.7622170212764,235,244.08,20.073964595104794,16.95,4345.1,1.95,4.040878714524267,556.8449961829438,558.033567431077,558.033567431077,90889.12099999996,310076.34977398266,311401.4623798544,311401.4623798544
ESP,2,405.49509523809525,210,307.68,112.97580290904413,4.5,10992.96,1.65,9.573022362793301,849.4228312130207,851.4525182912649,851.4525182912649,85153.97,721519.1461859437,724971.3909045368,724971.3909045368
IND,7,307.2088317757008,214,357.0,105.96056015425431,52.5,7138.12,0.95,9.024157276574908,553.4843998148049,554.7821375864706,554.7821375864706,65742.68999999997,306344.98083835474,307783.22018501366,307783.22018501366
IND,4,380.354319248826,213,295.54,23.07426017166124,32.53,4406.61,1.25,4.446269188874937,600.8673489396139,602.2828216877218,602.2828216877218,81015.46999999994,361041.5710217197,362744.59730012406,362744.59730012406
GBR,2,556.0954705882352,170,333.72,112.682197673837,9.9,22104.8,1.65,10.034331830046922,1822.9315460633763,1828.3168799409457,1828.3168799409457,94536.23,3323079.4216330117,3342742.613476994,3342742.613476994
GBR,3,585.4874857142855,175,259.86,66.71631684144276,15.0,16488.0,1.7,7.2744176515647885,1525.8585564347395,1530.236925711092,1530.236925711092,102460.30999999997,2328244.334245107,2341625.048809734,2341625.048809734
CHN,2,311.2775916230367,191,34.8,21.97524116023916,27.15,3160.84,1.06,3.6924576398278663,355.225844252028,356.15942232518734,356.15942232518734,59454.02000000001,126185.40042456608,126849.53411101116,126849.53411101116
FIN,6,406.59590243902426,205,397.5,22.745597512781853,97.14,4808.48,1.25,4.392467612932848,620.1469731641633,621.6650830811905,621.6650830811905,83352.15999999997,384582.26832467347,386467.4755223434,386467.4755223434
CHN,4,380.06311320754685,212,318.14,49.76000517188477,4.85,5867.08,2.95,5.893326000715228,549.4235407496939,550.7239533161224,550.7239533161224,80573.37999999993,301866.2271299305,303296.8727561387,303296.8727561387
FRA,7,296.43854651162775,172,34.9,4.381625225987593,12.75,1733.85,1.25,1.7333492747225574,278.90973285668906,279.7240695760988,279.7240695760988,50987.42999999997,77790.63908218966,78245.55510021417,78245.55510021417
