counterparty_acct_id,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
6009,14,1121.095,2,57.6,-2.0,2184.59,2184.59,57.6,0.0,1063.4950000000001,1504.0090525159749,1504.0090525159749,2242.19,1131021.6150250002,2262043.2300500004,2262043.2300500004
6049,15,181.0,1,181.0,NaN,181.0,181.0,181.0,NaN,0.0,NaN,NaN,181.0,0.0,NaN,NaN
5602,11,119.45,1,119.45,NaN,119.45,119.45,119.45,NaN,0.0,NaN,NaN,119.45,0.0,NaN,NaN
4213,15,123.1,1,123.1,NaN,123.1,123.1,123.1,NaN,0.0,NaN,NaN,123.1,0.0,NaN,NaN
5950,13,183.74,1,183.74,NaN,183.74,183.74,183.74,NaN,0.0,NaN,NaN,183.74,0.0,NaN,NaN
5700,22,479.25,1,479.25,NaN,479.25,479.25,479.25,NaN,0.0,NaN,NaN,479.25,0.0,NaN,NaN
2213,22,969.24,1,969.24,NaN,969.24,969.24,969.24,NaN,0.0,NaN,NaN,969.24,0.0,NaN,NaN
3114,22,507.55999999999995,3,780.42,-1.5000000000000016,508.11,780.42,234.15,-0.003699302123454524,223.0141327360219,273.1354153162859,273.1354153162859,1522.6799999999998,49735.3034,74602.95509999999,74602.95509999999
3272,3,250.0,1,250.0,NaN,250.0,250.0,250.0,NaN,0.0,NaN,NaN,250.0,0.0,NaN,NaN
6243,28,282.6,1,282.6,NaN,282.6,282.6,282.6,NaN,0.0,NaN,NaN,282.6,0.0,NaN,NaN
5923,29,157.02,1,157.02,NaN,157.02,157.02,157.02,NaN,0.0,NaN,NaN,157.02,0.0,NaN,NaN
1171,5,75.6,1,75.6,NaN,75.6,75.6,75.6,NaN,0.0,NaN,NaN,75.6,0.0,NaN,NaN
4337,23,78.0,1,78.0,NaN,78.0,78.0,78.0,NaN,0.0,NaN,NaN,78.0,0.0,NaN,NaN
5934,5,607.34,3,694.27,-1.5000000000000002,429.36,698.39,429.36,-0.7065385587182192,125.86210417225139,154.1489665875188,154.1489665875188,1822.02,15841.26926666666,23761.90389999999,23761.90389999999
6093,12,322.5833333333333,3,741.85,-1.5000000000000007,8.5,741.85,8.5,0.4718055635852791,308.48901204995224,377.8203353888371,377.8203353888371,967.75,95165.47055555558,142748.20583333337,142748.20583333337
6032,14,322.12,3,395.1,-1.5,448.5,448.5,122.76,-0.6335118986908556,142.64454002870212,174.70316883216515,174.70316883216515,966.36,20347.4648,30521.197200000002,30521.197200000002
2395,1,223.46,2,322.24,-1.9999999999999967,124.68,322.24,124.68,4.831289577063482E-16,98.78,139.69601569121434,139.69601569121434,446.92,9757.4884,19514.9768,19514.9768
4383,2,131.72,1,131.72,NaN,131.72,131.72,131.72,NaN,0.0,NaN,NaN,131.72,0.0,NaN,NaN
5872,13,455.04,1,455.04,NaN,455.04,455.04,455.04,NaN,0.0,NaN,NaN,455.04,0.0,NaN,NaN
5939,17,436.86,2,296.88,-2.000000000000001,576.84,576.84,296.88,0.0,139.98000000000002,197.96161446098588,197.96161446098588,873.72,19594.400400000006,39188.80080000001,39188.80080000001
5993,8,501.25,1,501.25,NaN,501.25,501.25,501.25,NaN,0.0,NaN,NaN,501.25,0.0,NaN,NaN
4110,6,4745.553333333333,3,152.64,-1.5000000000000009,13760.02,13760.02,152.64,0.7067235675192722,6374.574392367087,7807.2272943557455,7807.2272943557455,14236.66,4.063519868382222E7,6.095279802573334E7,6.095279802573334E7
2595,8,96.6,1,96.6,NaN,96.6,96.6,96.6,NaN,0.0,NaN,NaN,96.6,0.0,NaN,NaN
1048,12,226.3,1,226.3,NaN,226.3,226.3,226.3,NaN,0.0,NaN,NaN,226.3,0.0,NaN,NaN
6205,25,362.0,1,362.0,NaN,362.0,362.0,362.0,NaN,0.0,NaN,NaN,362.0,0.0,NaN,NaN
4064,22,525.9699999999999,3,354.66,-1.5000000000000013,1206.3,1206.3,16.95,0.47337056554307205,500.4322749383776,612.9018622096037,612.9018622096037,1577.9099999999999,250432.46179999996,375648.69269999996,375648.69269999996
5975,5,25.09,1,25.09,NaN,25.09,25.09,25.09,NaN,0.0,NaN,NaN,25.09,0.0,NaN,NaN
1679,9,406.82,1,406.82,NaN,406.82,406.82,406.82,NaN,0.0,NaN,NaN,406.82,0.0,NaN,NaN
5955,17,422.23,1,422.23,NaN,422.23,422.23,422.23,NaN,0.0,NaN,NaN,422.23,0.0,NaN,NaN
2018,22,277.6,1,277.6,NaN,277.6,277.6,277.6,NaN,0.0,NaN,NaN,277.6,0.0,NaN,NaN
3656,12,196.8,1,196.8,NaN,196.8,196.8,196.8,NaN,0.0,NaN,NaN,196.8,0.0,NaN,NaN
6446,1,497.82,1,497.82,NaN,497.82,497.82,497.82,NaN,0.0,NaN,NaN,497.82,0.0,NaN,NaN
6467,10,925.88,1,925.88,NaN,925.88,925.88,925.88,NaN,0.0,NaN,NaN,925.88,0.0,NaN,NaN
5175,18,302.56,1,302.56,NaN,302.56,302.56,302.56,NaN,0.0,NaN,NaN,302.56,0.0,NaN,NaN
6149,7,157.2,1,157.2,NaN,157.2,157.2,157.2,NaN,0.0,NaN,NaN,157.2,0.0,NaN,NaN
5715,9,320.88,1,320.88,NaN,320.88,320.88,320.88,NaN,0.0,NaN,NaN,320.88,0.0,NaN,NaN
5874,30,417.775,2,465.99,-2.0000000000000004,369.56,465.99,369.56,0.0,48.215,68.18630690981878,68.18630690981878,835.55,2324.6862250000004,4649.372450000001,4649.372450000001
2302,7,1433.8374999999999,4,3869.18,-0.8897432328135371,6.4,3869.18,6.4,0.8566489331639858,1473.5398185725248,1701.4972218289593,1701.4972218289593,5735.349999999999,2171319.5969187496,2895092.7958916663,2895092.7958916663
6090,17,314.47,1,314.47,NaN,314.47,314.47,314.47,NaN,0.0,NaN,NaN,314.47,0.0,NaN,NaN
6197,23,251.93,2,204.9,-1.9999999999999973,298.96,298.96,204.9,-5.595710158167516E-16,47.02999999999999,66.51046383840664,66.51046383840664,503.86,2211.820899999999,4423.641799999998,4423.641799999998
5010,17,8.25,1,8.25,NaN,8.25,8.25,8.25,NaN,0.0,NaN,NaN,8.25,0.0,NaN,NaN
3031,15,179.8,1,179.8,NaN,179.8,179.8,179.8,NaN,0.0,NaN,NaN,179.8,0.0,NaN,NaN
6185,11,269.935,2,440.99,-1.9999999999999982,98.88,440.99,98.88,0.0,171.055,241.90830091172978,241.90830091172978,539.87,29259.813025000003,58519.626050000006,58519.626050000006
5656,2,305.85,1,305.85,NaN,305.85,305.85,305.85,NaN,0.0,NaN,NaN,305.85,0.0,NaN,NaN
5873,31,873.85,1,873.85,NaN,873.85,873.85,873.85,NaN,0.0,NaN,NaN,873.85,0.0,NaN,NaN
6276,31,228.3,1,228.3,NaN,228.3,228.3,228.3,NaN,0.0,NaN,NaN,228.3,0.0,NaN,NaN
5767,4,249.94,1,249.94,NaN,249.94,249.94,249.94,NaN,0.0,NaN,NaN,249.94,0.0,NaN,NaN
3164,15,405.76,1,405.76,NaN,405.76,405.76,405.76,NaN,0.0,NaN,NaN,405.76,0.0,NaN,NaN
3856,11,230.52499999999998,2,249.95,-2.000000000000001,211.1,249.95,211.1,0.0,19.424999999999997,27.47109844909737,27.47109844909737,461.04999999999995,377.3306249999999,754.6612499999998,754.6612499999998
5559,17,154.15,1,154.15,NaN,154.15,154.15,154.15,NaN,0.0,NaN,NaN,154.15,0.0,NaN,NaN
5914,11,344.09,2,663.18,-1.9999999999999978,25.0,663.18,25.0,4.586490842670568E-16,319.09,451.2614056176309,451.2614056176309,688.18,101818.42809999999,203636.85619999998,203636.85619999998
4221,28,197.22,1,197.22,NaN,197.22,197.22,197.22,NaN,0.0,NaN,NaN,197.22,0.0,NaN,NaN
6343,7,929.705,2,149.02,-1.9999999999999978,1710.39,1710.39,149.02,-5.010863709480076E-16,780.6850000000001,1104.0553149412399,1104.0553149412399,1859.41,609469.0692250001,1218938.1384500002,1218938.1384500002
5728,19,1353.1,1,1353.1,NaN,1353.1,1353.1,1353.1,NaN,0.0,NaN,NaN,1353.1,0.0,NaN,NaN
6075,12,304.52,1,304.52,NaN,304.52,304.52,304.52,NaN,0.0,NaN,NaN,304.52,0.0,NaN,NaN
1974,16,1231.45,4,890.0,-1.9514958055457994,933.92,1596.24,890.0,0.022646291341946224,321.4669903738174,371.1981068558046,371.1981068558046,4925.8,103341.02590000002,137788.03453333335,137788.03453333335
5947,23,25.439999999999998,2,24.88,-1.9999999999999987,26.0,26.0,24.88,0.0,0.5600000000000005,0.7919595949289339,0.7919595949289339,50.879999999999995,0.31360000000000054,0.6272000000000011,0.6272000000000011
6191,3,102.24,1,102.24,NaN,102.24,102.24,102.24,NaN,0.0,NaN,NaN,102.24,0.0,NaN,NaN
2663,7,128.95,1,128.95,NaN,128.95,128.95,128.95,NaN,0.0,NaN,NaN,128.95,0.0,NaN,NaN
1115,10,424.06,1,424.06,NaN,424.06,424.06,424.06,NaN,0.0,NaN,NaN,424.06,0.0,NaN,NaN
5422,20,561.6,1,561.6,NaN,561.6,561.6,561.6,NaN,0.0,NaN,NaN,561.6,0.0,NaN,NaN
5690,6,117.15,1,117.15,NaN,117.15,117.15,117.15,NaN,0.0,NaN,NaN,117.15,0.0,NaN,NaN
5954,30,466.955,2,520.31,-2.000000000000003,413.6,520.31,413.6,-3.832258310614589E-16,53.35499999999996,75.45536462041643,75.45536462041643,933.91,2846.756024999996,5693.512049999992,5693.512049999992
5859,13,276.31,2,544.52,-1.9999999999999996,8.1,544.52,8.1,0.0,268.21,379.30621956408777,379.30621956408777,552.62,71936.60409999998,143873.20819999996,143873.20819999996
6198,2,72.3,1,72.3,NaN,72.3,72.3,72.3,NaN,0.0,NaN,NaN,72.3,0.0,NaN,NaN
5847,3,317.76,1,317.76,NaN,317.76,317.76,317.76,NaN,0.0,NaN,NaN,317.76,0.0,NaN,NaN
3908,12,304.96,1,304.96,NaN,304.96,304.96,304.96,NaN,0.0,NaN,NaN,304.96,0.0,NaN,NaN
4753,7,394.72,1,394.72,NaN,394.72,394.72,394.72,NaN,0.0,NaN,NaN,394.72,0.0,NaN,NaN
5879,3,825.92,1,825.92,NaN,825.92,825.92,825.92,NaN,0.0,NaN,NaN,825.92,0.0,NaN,NaN
4658,16,441.8,1,441.8,NaN,441.8,441.8,441.8,NaN,0.0,NaN,NaN,441.8,0.0,NaN,NaN
6036,8,365.52,1,365.52,NaN,365.52,365.52,365.52,NaN,0.0,NaN,NaN,365.52,0.0,NaN,NaN
6286,28,146.22,1,146.22,NaN,146.22,146.22,146.22,NaN,0.0,NaN,NaN,146.22,0.0,NaN,NaN
5422,5,376.97,1,376.97,NaN,376.97,376.97,376.97,NaN,0.0,NaN,NaN,376.97,0.0,NaN,NaN
6198,15,603.4,1,603.4,NaN,603.4,603.4,603.4,NaN,0.0,NaN,NaN,603.4,0.0,NaN,NaN
2774,14,551.58,1,551.58,NaN,551.58,551.58,551.58,NaN,0.0,NaN,NaN,551.58,0.0,NaN,NaN
5858,31,321.74,1,321.74,NaN,321.74,321.74,321.74,NaN,0.0,NaN,NaN,321.74,0.0,NaN,NaN
4400,1,412.47,1,412.47,NaN,412.47,412.47,412.47,NaN,0.0,NaN,NaN,412.47,0.0,NaN,NaN
6610,12,10.4,1,10.4,NaN,10.4,10.4,10.4,NaN,0.0,NaN,NaN,10.4,0.0,NaN,NaN
3352,9,541.8166666666666,3,824.41,-1.4999999999999991,13.75,824.41,13.75,-0.7018779794170843,373.70690559432916,457.6956160302754,457.6956160302754,1625.4499999999998,139656.85128888887,209485.27693333328,209485.27693333328
3709,18,579.22,1,579.22,NaN,579.22,579.22,579.22,NaN,0.0,NaN,NaN,579.22,0.0,NaN,NaN
6394,15,269.96,1,269.96,NaN,269.96,269.96,269.96,NaN,0.0,NaN,NaN,269.96,0.0,NaN,NaN
6154,26,281.42,1,281.42,NaN,281.42,281.42,281.42,NaN,0.0,NaN,NaN,281.42,0.0,NaN,NaN
5691,27,593.325,2,330.24,-2.0000000000000013,856.41,856.41,330.24,4.091681830980588E-16,263.085,372.0583750569257,372.0583750569257,1186.65,69213.71722499999,138427.43444999997,138427.43444999997
2449,24,764.74,1,764.74,NaN,764.74,764.74,764.74,NaN,0.0,NaN,NaN,764.74,0.0,NaN,NaN
3716,9,50.4,1,50.4,NaN,50.4,50.4,50.4,NaN,0.0,NaN,NaN,50.4,0.0,NaN,NaN
6114,23,765.21,1,765.21,NaN,765.21,765.21,765.21,NaN,0.0,NaN,NaN,765.21,0.0,NaN,NaN
3814,24,1462.45,1,1462.45,NaN,1462.45,1462.45,1462.45,NaN,0.0,NaN,NaN,1462.45,0.0,NaN,NaN
2022,10,327.58,2,610.76,-1.9999999999999991,44.4,610.76,44.4,0.0,283.18,400.47699659281307,400.47699659281307,655.16,80190.9124,160381.8248,160381.8248
5870,6,94.22,2,89.26,-2.0000000000000004,99.18,99.18,89.26,0.0,4.960000000000001,7.014499269370552,7.014499269370552,188.44,24.60160000000001,49.20320000000002,49.20320000000002
2597,3,372.42,1,372.42,NaN,372.42,372.42,372.42,NaN,0.0,NaN,NaN,372.42,0.0,NaN,NaN
2519,6,486.75,1,486.75,NaN,486.75,486.75,486.75,NaN,0.0,NaN,NaN,486.75,0.0,NaN,NaN
5996,20,197.45999999999998,2,254.28,-2.0000000000000004,140.64,254.28,140.64,0.0,56.82000000000001,80.35561461403927,80.35561461403927,394.91999999999996,3228.512400000001,6457.024800000002,6457.024800000002
1138,10,54.0,1,54.0,NaN,54.0,54.0,54.0,NaN,0.0,NaN,NaN,54.0,0.0,NaN,NaN
3217,20,154.29,1,154.29,NaN,154.29,154.29,154.29,NaN,0.0,NaN,NaN,154.29,0.0,NaN,NaN
2021,17,374.25,1,374.25,NaN,374.25,374.25,374.25,NaN,0.0,NaN,NaN,374.25,0.0,NaN,NaN
6149,4,279.75,1,279.75,NaN,279.75,279.75,279.75,NaN,0.0,NaN,NaN,279.75,0.0,NaN,NaN
2344,16,448.31,1,448.31,NaN,448.31,448.31,448.31,NaN,0.0,NaN,NaN,448.31,0.0,NaN,NaN
4757,26,176.88,1,176.88,NaN,176.88,176.88,176.88,NaN,0.0,NaN,NaN,176.88,0.0,NaN,NaN
1969,19,5.48,1,5.48,NaN,5.48,5.48,5.48,NaN,0.0,NaN,NaN,5.48,0.0,NaN,NaN
3633,10,140.6,1,140.6,NaN,140.6,140.6,140.6,NaN,0.0,NaN,NaN,140.6,0.0,NaN,NaN
5475,2,193.08,1,193.08,NaN,193.08,193.08,193.08,NaN,0.0,NaN,NaN,193.08,0.0,NaN,NaN
6544,21,2.95,1,2.95,NaN,2.95,2.95,2.95,NaN,0.0,NaN,NaN,2.95,0.0,NaN,NaN
2070,2,102.0,1,102.0,NaN,102.0,102.0,102.0,NaN,0.0,NaN,NaN,102.0,0.0,NaN,NaN
1125,30,1126.0,1,1126.0,NaN,1126.0,1126.0,1126.0,NaN,0.0,NaN,NaN,1126.0,0.0,NaN,NaN
3279,8,2.95,1,2.95,NaN,2.95,2.95,2.95,NaN,0.0,NaN,NaN,2.95,0.0,NaN,NaN
5950,28,39.6,1,39.6,NaN,39.6,39.6,39.6,NaN,0.0,NaN,NaN,39.6,0.0,NaN,NaN
5926,7,17.55,1,17.55,NaN,17.55,17.55,17.55,NaN,0.0,NaN,NaN,17.55,0.0,NaN,NaN
1192,14,9.9,1,9.9,NaN,9.9,9.9,9.9,NaN,0.0,NaN,NaN,9.9,0.0,NaN,NaN
5860,18,22.25,1,22.25,NaN,22.25,22.25,22.25,NaN,0.0,NaN,NaN,22.25,0.0,NaN,NaN
5168,11,5.9,1,5.9,NaN,5.9,5.9,5.9,NaN,0.0,NaN,NaN,5.9,0.0,NaN,NaN
1505,26,12.4,1,12.4,NaN,12.4,12.4,12.4,NaN,0.0,NaN,NaN,12.4,0.0,NaN,NaN
1946,7,27.0,1,27.0,NaN,27.0,27.0,27.0,NaN,0.0,NaN,NaN,27.0,0.0,NaN,NaN
5797,12,40.2,1,40.2,NaN,40.2,40.2,40.2,NaN,0.0,NaN,NaN,40.2,0.0,NaN,NaN
1859,22,3.75,1,3.75,NaN,3.75,3.75,3.75,NaN,0.0,NaN,NaN,3.75,0.0,NaN,NaN
6004,13,43.75,1,43.75,NaN,43.75,43.75,43.75,NaN,0.0,NaN,NaN,43.75,0.0,NaN,NaN
1551,25,39.7,1,39.7,NaN,39.7,39.7,39.7,NaN,0.0,NaN,NaN,39.7,0.0,NaN,NaN
5605,9,15.84,1,15.84,NaN,15.84,15.84,15.84,NaN,0.0,NaN,NaN,15.84,0.0,NaN,NaN
6026,19,4.35,2,3.75,-2.0,4.95,4.95,3.75,0.0,0.6000000000000001,0.8485281374238571,0.8485281374238571,8.7,0.3600000000000001,0.7200000000000002,0.7200000000000002
3516,19,11.52,1,11.52,NaN,11.52,11.52,11.52,NaN,0.0,NaN,NaN,11.52,0.0,NaN,NaN
5179,14,14.4,1,14.4,NaN,14.4,14.4,14.4,NaN,0.0,NaN,NaN,14.4,0.0,NaN,NaN
6224,9,51.0,1,51.0,NaN,51.0,51.0,51.0,NaN,0.0,NaN,NaN,51.0,0.0,NaN,NaN
6810,16,3825.36,1,3825.36,NaN,3825.36,3825.36,3825.36,NaN,0.0,NaN,NaN,3825.36,0.0,NaN,NaN
3738,28,11.83,1,11.83,NaN,11.83,11.83,11.83,NaN,0.0,NaN,NaN,11.83,0.0,NaN,NaN
1929,8,1.7,1,1.7,NaN,1.7,1.7,1.7,NaN,0.0,NaN,NaN,1.7,0.0,NaN,NaN
3799,22,6.17,1,6.17,NaN,6.17,6.17,6.17,NaN,0.0,NaN,NaN,6.17,0.0,NaN,NaN
5922,28,15.22,1,15.22,NaN,15.22,15.22,15.22,NaN,0.0,NaN,NaN,15.22,0.0,NaN,NaN
2188,27,5.34,1,5.34,NaN,5.34,5.34,5.34,NaN,0.0,NaN,NaN,5.34,0.0,NaN,NaN
5834,8,44.4,1,44.4,NaN,44.4,44.4,44.4,NaN,0.0,NaN,NaN,44.4,0.0,NaN,NaN
1796,10,4.15,1,4.15,NaN,4.15,4.15,4.15,NaN,0.0,NaN,NaN,4.15,0.0,NaN,NaN
5472,3,381.95,1,381.95,NaN,381.95,381.95,381.95,NaN,0.0,NaN,NaN,381.95,0.0,NaN,NaN
5977,14,27.25,1,27.25,NaN,27.25,27.25,27.25,NaN,0.0,NaN,NaN,27.25,0.0,NaN,NaN
5712,2,128.54666666666665,3,42.9,-1.4999999999999991,163.8,178.94,42.9,-0.6744455323268596,60.87593138689725,74.55748475728868,74.55748475728868,385.64,3705.879022222222,5558.818533333333,5558.818533333333
6327,6,313.49,1,313.49,NaN,313.49,313.49,313.49,NaN,0.0,NaN,NaN,313.49,0.0,NaN,NaN
5875,2,257.825,2,201.75,-1.9999999999999953,313.9,313.9,201.75,-6.602407057384287E-16,56.07499999999999,79.30202551007129,79.30202551007129,515.65,3144.4056249999985,6288.811249999997,6288.811249999997
6423,4,527.85,1,527.85,NaN,527.85,527.85,527.85,NaN,0.0,NaN,NaN,527.85,0.0,NaN,NaN
6101,21,304.95,1,304.95,NaN,304.95,304.95,304.95,NaN,0.0,NaN,NaN,304.95,0.0,NaN,NaN
5001,23,605.26,6,1314.0,-1.2857655585401806,1080.0,1314.0,129.36,0.6080495127602131,435.77319100651425,477.3656133405505,477.3656133405505,3631.56,189898.27399999998,227877.92879999997,227877.92879999997
5921,15,238.11,1,238.11,NaN,238.11,238.11,238.11,NaN,0.0,NaN,NaN,238.11,0.0,NaN,NaN
6014,15,57.175,2,56.85,-2.000000000000001,57.5,57.5,56.85,0.0,0.3249999999999993,0.4596194077712549,0.4596194077712549,114.35,0.10562499999999954,0.21124999999999908,0.21124999999999908
6100,12,227.92999999999998,3,111.15,-1.4999999999999993,171.29,401.35,111.15,0.5864535650417233,125.06019137466035,153.1668280013659,153.1668280013659,683.79,15640.051466666671,23460.077200000007,23460.077200000007
2779,15,48.8,1,48.8,NaN,48.8,48.8,48.8,NaN,0.0,NaN,NaN,48.8,0.0,NaN,NaN
5021,17,314.1,1,314.1,NaN,314.1,314.1,314.1,NaN,0.0,NaN,NaN,314.1,0.0,NaN,NaN
3289,6,247.28500000000003,2,295.66,-1.9999999999999978,198.91,295.66,198.91,5.141824074483023E-16,48.375000000000014,68.4125810797985,68.4125810797985,494.57000000000005,2340.1406250000014,4680.281250000003,4680.281250000003
5077,18,116.9,1,116.9,NaN,116.9,116.9,116.9,NaN,0.0,NaN,NaN,116.9,0.0,NaN,NaN
6501,22,68.95,2,1.9,-1.9999999999999991,136.0,136.0,1.9,0.0,67.05,94.82301935711601,94.82301935711601,137.9,4495.702499999999,8991.404999999999,8991.404999999999
5876,7,139.80666666666667,3,110.7,-1.5,7.5,301.22,7.5,0.34516395211476103,121.66417750878396,149.00757743595906,149.00757743595906,419.42,14802.172088888894,22203.25813333334,22203.25813333334
5977,15,172.29999999999998,3,346.8,-1.5000000000000029,131.4,346.8,38.7,0.44352358789303736,129.06331779401924,158.06963655300788,158.06963655300788,516.9,16657.34,24986.010000000002,24986.010000000002
5892,12,251.38,2,190.35,-1.9999999999999993,312.41,312.41,190.35,0.0,61.030000000000015,86.30945371163001,86.30945371163001,502.76,3724.6609000000017,7449.321800000003,7449.321800000003
1112,16,1138.67,1,1138.67,NaN,1138.67,1138.67,1138.67,NaN,0.0,NaN,NaN,1138.67,0.0,NaN,NaN
6159,13,313.74,2,621.6,-2.0000000000000004,5.88,621.6,5.88,0.0,307.86,435.37978731218107,435.37978731218107,627.48,94777.77960000001,189555.55920000002,189555.55920000002
3043,17,305.46000000000004,2,300.0,-2.000000000000001,310.92,310.92,300.0,0.0,5.460000000000008,7.72160605055711,7.72160605055711,610.9200000000001,29.811600000000087,59.623200000000175,59.623200000000175
4282,27,275.78,1,275.78,NaN,275.78,275.78,275.78,NaN,0.0,NaN,NaN,275.78,0.0,NaN,NaN
6053,6,494.64,1,494.64,NaN,494.64,494.64,494.64,NaN,0.0,NaN,NaN,494.64,0.0,NaN,NaN
5781,29,15.0,1,15.0,NaN,15.0,15.0,15.0,NaN,0.0,NaN,NaN,15.0,0.0,NaN,NaN
5851,19,53.64,2,90.0,-1.9999999999999991,17.28,90.0,17.28,0.0,36.36,51.420805127885735,51.420805127885735,107.28,1322.0496,2644.0992,2644.0992
6078,6,597.3,1,597.3,NaN,597.3,597.3,597.3,NaN,0.0,NaN,NaN,597.3,0.0,NaN,NaN
2316,5,66.0,1,66.0,NaN,66.0,66.0,66.0,NaN,0.0,NaN,NaN,66.0,0.0,NaN,NaN
2451,9,100.5,1,100.5,NaN,100.5,100.5,100.5,NaN,0.0,NaN,NaN,100.5,0.0,NaN,NaN
6196,3,35.4,1,35.4,NaN,35.4,35.4,35.4,NaN,0.0,NaN,NaN,35.4,0.0,NaN,NaN
3728,18,310.08,1,310.08,NaN,310.08,310.08,310.08,NaN,0.0,NaN,NaN,310.08,0.0,NaN,NaN
5573,8,467.52,1,467.52,NaN,467.52,467.52,467.52,NaN,0.0,NaN,NaN,467.52,0.0,NaN,NaN
2968,3,759.08,1,759.08,NaN,759.08,759.08,759.08,NaN,0.0,NaN,NaN,759.08,0.0,NaN,NaN
4002,27,660.34,1,660.34,NaN,660.34,660.34,660.34,NaN,0.0,NaN,NaN,660.34,0.0,NaN,NaN
5691,2,241.83,3,177.15,-1.4999999999999987,422.04,422.04,126.3,0.6257316368852897,129.10761325344066,158.1238871897602,158.1238871897602,725.49,16668.775800000007,25003.163700000012,25003.163700000012
5927,3,283.945,2,234.24,-1.9999999999999987,333.65,333.65,234.24,0.0,49.704999999999984,70.29348511775467,70.29348511775467,567.89,2470.5870249999984,4941.174049999997,4941.174049999997
6218,20,419.845,2,446.15,-2.000000000000001,393.54,446.15,393.54,0.0,26.30499999999998,37.20088775822423,37.20088775822423,839.69,691.9530249999989,1383.9060499999978,1383.9060499999978
4824,16,154.95,1,154.95,NaN,154.95,154.95,154.95,NaN,0.0,NaN,NaN,154.95,0.0,NaN,NaN
3513,29,187.2,1,187.2,NaN,187.2,187.2,187.2,NaN,0.0,NaN,NaN,187.2,0.0,NaN,NaN
6164,15,344.305,2,336.38,-1.9999999999999971,352.23,352.23,336.38,-4.568171178698559E-16,7.925000000000011,11.207642481806793,11.207642481806793,688.61,62.80562500000018,125.61125000000035,125.61125000000035
5922,8,146.10000000000002,2,148.74,-1.999999999999999,143.46,148.74,143.46,0.0,2.6400000000000006,3.733523804664972,3.733523804664972,292.20000000000005,6.969600000000003,13.939200000000007,13.939200000000007
5868,13,320.28,1,320.28,NaN,320.28,320.28,320.28,NaN,0.0,NaN,NaN,320.28,0.0,NaN,NaN
6779,25,334.2,1,334.2,NaN,334.2,334.2,334.2,NaN,0.0,NaN,NaN,334.2,0.0,NaN,NaN
3690,29,185.05,1,185.05,NaN,185.05,185.05,185.05,NaN,0.0,NaN,NaN,185.05,0.0,NaN,NaN
6160,13,83.4,1,83.4,NaN,83.4,83.4,83.4,NaN,0.0,NaN,NaN,83.4,0.0,NaN,NaN
