debit_credit,acct_last_updated_ts_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Credit,14,597.0325062344141,802,357.0,31.211292031788915,9500.0,13355.4,0.65,5.400145521549667,1404.6784659142886,1405.5550204245037,1405.5550204245037,478820.0700000001,1973121.5926033196,1975584.9154405273,1975584.9154405273
Credit,30,746.5588056206093,427,322.4,98.62057017228042,15.95,31698.16,1.65,8.915038574693066,2289.274073358211,2291.9594397633655,2291.9594397633655,318780.61000000016,5240775.782950095,5253078.073520401,5253078.073520401
Credit,3,347.50974008207936,731,278.73,90.73014442661574,83.16,9341.26,1.45,8.023676741851865,615.139037449077,615.5602213652155,615.5602213652155,254029.62000000002,378396.035393777,378914.38612719317,378914.38612719317
Debit,2,385.9647755102043,735,449.98,143.69732159569992,66.0,15719.56,0.39,10.961793243647405,1003.115324617582,1003.7984131030217,1003.7984131030217,283684.11000000016,1006240.354482637,1007611.2541481446,1007611.2541481446
Debit,24,440.2714265033409,898,22.2,260.5627864956866,38.65,22998.4,1.25,13.477408013828446,1034.0667201640736,1034.642962460212,1034.642962460212,395363.7410000001,1069293.9817508843,1070486.0597684437,1070486.0597684437
Credit,16,335.79499999999996,622,70.05,76.40372787020232,15.0,7427.32,0.95,7.255284561647828,511.24843275092127,511.6599003690363,511.6599003690363,208864.49,261374.9599902733,261795.85364565215,261795.85364565215
Credit,5,449.59969849246215,796,449.98,229.5700183709077,20.8,18841.48,0.83,12.915527648072853,906.5831584517499,907.1531573502208,907.1531573502208,357881.35999999987,821893.0231883506,822926.8508904744,822926.8508904744
Credit,6,332.0665966386554,714,313.49,170.494199274637,54.75,10992.96,1.0,10.628101231734162,575.9596330291151,576.3633902697492,576.3633902697492,237095.54999999996,331729.498879033,332194.7576432392,332194.7576432392
Credit,8,384.78340740740776,675,277.35,62.252846872857404,4.85,8345.2,0.39,5.94631259723316,570.2585977840333,570.6814814890047,570.6814814890047,259728.80000000025,325194.86834661185,325677.35331448517,325677.35331448517
Credit,26,392.01522290076343,655,508.2,72.27728005901663,60.25,8142.75,0.48,7.5817437767123295,672.1673964221997,672.6810895781265,672.6810895781265,256769.97100000005,451809.00881299854,452499.8482760154,452499.8482760154
Debit,31,271.52680555555554,216,226.14,17.484285609385044,27.15,2949.28,1.65,3.482463195413109,377.32792171776947,378.2044105217709,378.2044105217709,58649.78999999999,142376.36050785115,143038.5761381202,143038.5761381202
Debit,13,625.9269796557121,639,192.6,606.7594833111843,4.25,168469.6,0.72,24.445739496275742,6718.329981949224,6723.593069307086,6723.593069307086,399967.34,4.513595774635786E7,4.520670376163428E7,4.520670376163428E7
Credit,15,659.9958171428568,875,390.79,50.87116765343479,32.53,20277.92,1.45,6.4895478942124285,1759.2047768909656,1760.210899236236,1760.210899236236,577496.3399999997,3094801.447035992,3098342.409790038,3098342.409790038
Debit,4,429.33868376068364,585,295.5,68.64622650041264,98.75,10999.52,0.79,7.2941518588561305,912.8308080464745,913.6120069982179,913.6120069982179,251163.12999999992,833260.0841187796,834686.8993313118,834686.8993313118
Credit,23,381.59871927554985,773,514.41,36.508799518757705,12.75,6207.67,0.79,4.855473575438301,516.2153674426985,516.5495956210896,516.5495956210896,294975.81000000006,266478.30558400025,266823.48473631113,266823.48473631113
Credit,31,392.5821951219511,287,426.56,12.901776608035739,32.1,2807.31,2.93,3.1044541205838763,422.923389027458,423.6621204009712,423.6621204009712,112671.08999999997,178864.19298647056,179489.59226264703,179489.59226264703
Credit,29,285.24244239631304,434,783.11,11.838605302503892,19.2,2233.28,1.25,2.7124913569332234,297.2972955014355,297.6403969375982,297.6403969375982,123795.21999999986,88385.68191246784,88589.80588917101,88589.80588917101
Debit,11,643.4561574803154,635,330.0,622.3003462728393,168469.6,168469.6,1.25,24.911547986158386,6685.658925381426,6690.929449594043,6690.929449594043,408594.66000000027,4.4698035266532324E7,4.476853689944484E7,4.476853689944484E7
Credit,1,392.9187396121884,722,350.4,64.03016520744505,25.68,7810.56,1.45,6.031232652602052,523.8690965748937,524.2322641031388,524.2322641031388,283687.33,274438.83034619526,274819.46672670316,274819.46672670316
Credit,17,376.75239999999997,650,225.7,591.5133423470447,27.25,38970.0,1.25,23.857633268666298,1547.9077269790068,1549.0998008768893,1549.0998008768893,244889.05999999997,2396018.331241315,2399710.1930768183,2399710.1930768183
Debit,14,398.7883551673943,687,783.11,201.7493930017412,27.25,16488.0,1.01,11.773454263276223,839.1825120133619,839.793938332738,839.793938332738,273967.59999999986,704227.2884690562,705253.8588604105,705253.8588604105
Credit,25,412.7063770053482,748,318.14,102.30202579819371,8.32,13760.02,0.39,8.373812082241969,835.1778898443541,835.73672422595,835.73672422595,308704.37000000046,697522.107684868,698455.8722199214,698455.8722199214
Debit,8,388.6056435643568,707,155.52,103.15423886996817,15.0,10267.88,0.85,8.573953374701663,670.7218839939794,671.1967314049585,671.1967314049585,274744.19000000024,449867.8456684332,450505.05224870006,450505.05224870006
Credit,18,496.3889860917944,719,328.8,119.51199072486814,224.69,16774.72,0.77,9.70943725142677,1070.7060398848773,1071.4513974689758,1071.4513974689758,356903.68100000016,1146411.4238459566,1148008.0971382211,1148008.0971382211
Debit,22,380.3156474820152,834,279.0,116.92147640403293,4.85,13249.94,0.0,9.906374354597201,927.1023457260369,927.65866281524,927.65866281524,317183.2500000007,859518.75945072,860550.5946961591,860550.5946961591
Debit,29,736.9118888888893,450,259.86,46.35323953423538,9500.0,22206.0,1.25,6.152057710286986,2146.723613459924,2149.1128447096444,2149.1128447096444,331610.35000000015,4608422.272586432,4618686.019295979,4618686.019295979
Debit,7,422.6321955128205,624,855.86,287.62435023280693,6.9,22775.93,0.55,14.952077027917104,1088.3047845042436,1089.1778731200013,1089.1778731200013,263722.49,1184407.3039748282,1186308.43929421,1186308.43929421
Credit,27,503.4522456575687,806,471.3,530.988130085286,2.08,38970.0,0.5,21.235263054304795,1503.4138382837978,1504.3473458796677,1504.3473458796677,405782.51000000036,2260253.1691432213,2263060.937055201,2263060.937055201
Credit,7,571.4331455604078,687,358.25,671.4125413676423,168469.6,168469.6,0.0,25.85749285233289,6435.431351795216,6440.120191289244,6440.120191289244,392574.5710000001,4.14147766836688E7,4.147514807825141E7,4.147514807825141E7
Credit,13,387.1751285347043,778,489.6,33.01536797035537,27.15,5590.67,1.45,4.911899941381178,548.0692448300512,548.421814338905,548.421814338905,301222.24999999994,300379.8971285826,300766.4864427764,300766.4864427764
Debit,17,391.77509063444137,662,426.56,125.90732666716048,269.96,12341.21,0.95,9.44885976978623,731.6699880197348,732.2232357267774,732.2232357267774,259355.1100000002,535340.9713687988,536150.8669381918,536150.8669381918
Debit,21,386.0344067796616,708,357.0,83.417024964192,12.75,10174.94,1.65,7.764571336637658,673.3716951032127,673.8477444345742,673.8477444345742,273312.3600000004,453429.439766174,454070.7826795632,454070.7826795632
Credit,4,669.5217952127657,752,444.98,57.61243529485402,27.35,22206.0,0.79,6.718174421795261,1729.7593219977557,1730.9105762496629,1730.9105762496629,503480.3899999998,2992067.3120381357,2996051.42297294,2996051.42297294
Debit,3,415.9881364829401,762,81.75,317.16651554978955,16.45,21880.44,1.95,15.737346596509884,979.0230346318906,979.6660711771688,979.6660711771688,316982.96000000037,958486.102339836,959745.6110157096,959745.6110157096
Debit,28,420.4425736434113,645,313.93,187.03967563406778,25.68,22104.8,1.25,12.23399742248808,1214.9760561048533,1215.9189945906792,1215.9189945906792,271185.4600000003,1476166.8169081036,1478459.0014064081,1478459.0014064081
Debit,10,333.87994505494515,546,70.05,80.29603506850705,60.25,7837.5,1.25,7.777402494814309,581.215689243896,581.7486702722089,581.7486702722089,182298.45000000004,337811.67742325703,338431.5153634832,338431.5153634832
Debit,1,371.6025139664807,716,318.14,123.32815956756957,3.8,10992.96,1.25,8.896730342980819,629.377500723203,629.8174710675493,629.8174710675493,266067.4000000002,396116.0384165853,396670.0468619232,396670.0468619232
Debit,6,364.5938140161726,742,139.12,181.70351441892905,9.9,13760.02,0.95,11.222653513259113,709.8402043623996,710.3190173708849,710.3190173708849,270528.61000000004,503873.11572925333,504553.1064387395,504553.1064387395
Credit,2,318.0706564551429,914,34.8,57.66290360228326,37.3,5639.52,1.45,5.639556982693474,379.55493230058914,379.7627368233024,379.7627368233024,290716.5800000006,144061.9466337048,144219.73627952486,144219.73627952486
Debit,16,370.36874476190474,525,301.24,176.4887096522136,83.16,14022.92,0.42,11.65304672288064,800.4512153774441,801.2146406490881,801.2146406490881,194443.591,640722.1481992274,641944.9003904474,641944.9003904474
