counterparty_country,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
SWE,1,710.7021126760563,71,508.2,13.986079552342634,96.75,8142.75,1.39,3.8173432149790663,1588.7516592922846,1600.05964298738,1600.05964298738,50459.85,2524131.8349039876,2560190.8611169015,2560190.8611169015
AUT,5,287.7426923076923,78,126.43,7.028440286400624,29.25,1631.3,2.95,2.2565939135474578,272.80021610015257,274.5659317251248,274.5659317251248,22443.93,74419.95790428994,75386.45086408591,75386.45086408591
DNK,14,366.98936170212767,47,15.0,26.1557129059514,6.6,4351.0,1.25,4.795172127326214,655.3469431104974,662.4319808344042,662.4319808344042,17248.5,429479.61584427353,438816.12923219247,438816.12923219247
GRC,21,368.0565306122449,49,45.35,17.386059643460595,4.25,2843.6,1.45,3.5821839143916447,441.8086720472183,446.38712253935205,446.38712253935205,18034.77,195194.9026961265,199261.46316896248,199261.46316896248
ITA,18,862.2927777777778,36,128.82,30.264721946611367,4.15,20277.92,1.65,5.646768480696158,3300.5492873288117,3347.367927752542,3347.367927752542,31042.54,1.0893625598086728E7,1.1204872043746348E7,1.1204872043746348E7
BRA,25,364.5146428571428,56,303.8,30.51148801702869,23.27,4161.06,3.6,5.13407190774157,577.4974837606416,582.723811860268,582.723811860268,20412.819999999996,333503.34374987247,339567.0409089611,339567.0409089611
GBR,29,382.4829166666666,24,301.91,13.191737583101109,39.8,3491.02,3.25,3.616135374111401,700.8256932509393,715.8989379640674,715.8989379640674,9179.589999999998,491156.65232065966,512511.28937807964,512511.28937807964
ZAF,8,323.7039285714286,56,164.25,29.198093238226896,20.0,3599.4,5.95,5.018045432757213,503.91477134984484,508.47517897651096,508.47517897651096,18127.420000000002,253930.09678456638,258547.00763519487,258547.00763519487
TUR,8,374.18440000000004,75,319.18,6.809905292699485,3.8,2608.11,2.1,2.649413486445305,541.1163619093156,544.7602843062309,544.7602843062309,28063.83,292806.91712597344,296763.7673574055,296763.7673574055
NOR,19,475.1342857142858,42,193.64,26.447801071830934,225.72,5490.24,4.95,4.981144786772956,846.4471374519973,856.7074773697174,856.7074773697174,19955.640000000003,716472.7565006803,733947.7017811848,733947.7017811848
ITA,22,293.275,40,110.4,-0.5384778091332953,20.8,773.03,6.25,0.5004950396115628,217.79520122123907,220.56977423865746,220.56977423865746,11730.999999999998,47434.749675000014,48651.02530769232,48651.02530769232
USA,25,410.69306779661014,59,620.14,4.33245525009341,33.6,2053.07,15.001,1.9207647572471576,392.14404424268946,395.5101492805108,395.5101492805108,24230.891,153776.9514350124,156428.27818389193,156428.27818389193
JPN,29,299.5145945945946,37,314.9,2.604474148768789,17.95,1294.32,2.28,1.4361320909773563,274.45814739862305,278.243955855235,278.243955855235,11082.04,75327.2746734843,77419.69896996996,77419.69896996996
FRA,9,339.3052083333333,48,111.75,0.7093261215258786,119.6,1236.48,2.52,1.0723758218117654,292.64988757892354,295.74679802938954,295.74679802938954,16286.65,85643.95669995659,87466.16854463652,87466.16854463652
DEU,27,214.84341463414637,41,556.46,0.13701757254141844,5.9,696.8,1.65,0.9282552354456897,185.35663677920024,187.6592919843,187.6592919843,8808.580000000002,34357.082798096366,35216.00986804877,35216.00986804877
DNK,10,358.09742857142857,35,2157.64,8.29961440942499,23.75,2157.64,1.45,2.5566765063569212,407.7195667216297,413.6719920444419,413.6719920444419,12533.41,166235.24508767345,171124.5170020168,171124.5170020168
AUT,21,255.70339622641507,53,65.4,-0.49034652963837644,11.7,729.09,0.4,0.5988175552413546,204.42336987421427,206.37961894326415,206.37961894326415,13552.279999999999,41788.91415072981,42592.54711516692,42592.54711516692
RUS,26,373.53408163265294,49,419.4,3.6818084932876776,38.25,1746.72,3.35,1.8681330009305666,394.55547893655023,398.6442459549532,398.6442459549532,18303.169999999995,155674.0259588505,158917.2348329932,158917.2348329932
ZAF,27,406.8661224489796,49,31.8,16.734970693719596,15.0,4390.56,4.95,4.08674736327513,762.8455295740331,770.7508757369237,770.7508757369237,19936.44,581933.301991087,594056.9124492347,594056.9124492347
ESP,31,339.785,24,194.55,2.000439023692417,5.5,1514.17,2.95,1.815828657001803,453.2737853475903,463.0227239986505,463.0227239986505,8154.84,205457.1244833334,214390.0429391305,214390.0429391305
DNK,7,300.29733333333326,60,532.8,14.095667107010822,51.0,2046.0,11.84,3.3033189822830575,320.81629641102853,323.52365492781684,323.52365492781684,18017.839999999997,102923.09604288891,104667.55529785312,104667.55529785312
DEU,9,598.5125,48,100.2,37.21520129713544,1.7,11816.64,1.7,6.072911569448722,1692.6692964731524,1710.581639706214,1710.581639706214,28728.600000000002,2865129.3472229163,2926089.5460999995,2926089.5460999995
ITA,9,302.1542105263158,38,163.2,4.825986759308845,4.5,1687.17,2.95,2.2178723612714104,368.317454847621,373.2615345234026,373.2615345234026,11481.86,135657.74754542933,139324.17315476527,139324.17315476527
AUS,19,468.0129629629629,54,259.55,6.129716106798632,12.75,2675.28,1.25,2.3707610439609907,535.2326673811696,540.2584364899843,540.2584364899843,25272.699999999997,286474.00823196163,291879.1781986024,291879.1781986024
FIN,24,333.6948076923076,52,904.66,-0.043134097898622326,13.16,904.66,13.16,0.8927653505676398,240.60570841340584,242.95313676647228,242.95313676647228,17352.129999999997,57891.10692111687,59026.22666466819,59026.22666466819
GRC,26,332.6759615384616,52,160.05,10.516483177995537,17.37,2548.8,0.5,3.212881485513312,517.999482808101,523.0532559743145,523.0532559743145,17299.15,268323.4641894601,273584.70858533186,273584.70858533186
NLD,30,390.2374193548387,31,102.64,6.0730412757886025,44.25,2297.52,1.95,2.5450355634812327,519.7504820830841,528.3419811824392,528.3419811824392,12097.36,270140.56362559827,279145.2490797849,279145.2490797849
ITA,7,531.278,35,102.0,26.958412388363747,12.75,7059.54,12.75,5.245966738483384,1147.3299103192348,1164.0801380964235,1164.0801380964235,18594.73,1316365.9231131433,1355082.5679105886,1355082.5679105886
JPN,10,1478.8420967741936,62,523.86,2.8790237078428147,100.0,9500.0,1.65,2.172654988943458,2826.631303056661,2849.7062271716322,2849.7062271716322,91688.21,7989844.523419797,8120825.581180777,8120825.581180777
ZAF,14,289.1465957446808,47,231.84,9.381034861001309,306.0,1547.58,1.65,2.704007184781239,263.772974203814,266.6246568009907,266.6246568009907,13589.889999999996,69576.18192032592,71088.70761424606,71088.70761424606
RUS,15,294.97723404255316,47,755.3,3.320585825449717,25.0,1380.4,0.95,1.8290961577339728,315.9733582473952,319.3893857217995,319.3893857217995,13863.929999999998,99839.16312213676,102009.57971174843,102009.57971174843
USA,16,468.0716176470589,68,404.82,15.298187688023535,96.15,3949.32,1.06,3.3809892776702806,597.0152157303529,601.4540516850719,601.4540516850719,31828.870000000003,356427.1678135599,361746.9762883891,361746.9762883891
FRA,21,395.0028571428571,42,842.9,2.1799477657532,6.95,1733.85,1.95,1.5883841539733305,407.995207157223,412.9407841755765,412.9407841755765,16590.12,166460.0890632653,170520.09123554005,170520.09123554005
NOR,18,475.92763636363645,55,302.22,46.686804903032005,20.25,10267.88,2.9,6.861797370067538,1354.3413778619324,1366.824050750855,1366.824050750855,26176.020000000004,1834240.5677889579,1868207.9857109755,1868207.9857109755
DNK,3,316.8639024390243,41,754.87,0.23258352231144164,139.8,1026.72,1.65,0.9552812065842637,252.77549580102476,255.91568447320736,255.91568447320736,12991.419999999995,63895.45127745388,65492.83755939023,65492.83755939023
NLD,5,453.6910447761195,67,155.64,16.759350387796175,14.9,3705.48,2.08,3.5186014001910486,546.1752744452339,550.2974104673525,550.2974104673525,30397.300000000007,298307.4304153265,302827.23996707384,302827.23996707384
FRA,19,317.9378048780488,41,246.7,1.2898188826907315,25.5,1100.22,9.95,1.1163012943523607,256.8657890569789,260.0567907737865,260.0567907737865,13035.45,65980.03358786437,67629.53442756097,67629.53442756097
ZAF,20,428.9723214285713,56,383.52,2.1326777342522085,6.95,1754.97,3.75,1.4349789973123406,394.09976448587895,397.66635088860414,397.66635088860414,24022.449999999993,155314.62436782525,158138.52662905844,158138.52662905844
ITA,21,178.1409756097561,41,97.84,-0.9808084524441205,9.9,507.04,1.25,0.604738737669206,154.29059241044237,156.2073192236023,156.2073192236023,7303.780000000001,23805.58690636526,24400.72657902439,24400.72657902439
USA,18,447.572142857143,42,465.58,7.9594631294381095,54.9,2856.14,4.15,2.673099456486195,568.0421965443518,574.9278079030221,574.9278079030221,18798.030000000006,322671.937054932,330541.9843001742,330541.9843001742
ITA,19,394.1424242424243,33,202.93,25.210059252815043,3.75,4563.84,3.75,5.079182741962983,754.9576418060789,766.6631094882479,766.6631094882479,13006.7,569961.0409213956,587772.3234501892,587772.3234501892
AUS,26,384.0723076923078,52,187.85,43.457558740157225,16.9,8107.72,1.45,6.618125958911481,1101.7192361741775,1112.4679710615076,1112.4679710615076,19971.760000000006,1213785.275356213,1237584.9866377073,1237584.9866377073
GRC,27,329.4476363636363,55,1715.85,7.091716477745635,15.0,1715.85,1.45,2.1584217489418154,293.9791875500628,296.68873042774686,296.68873042774686,18119.62,86423.76271259501,88024.20276282824,88024.20276282824
NOR,31,307.5643750000001,16,337.1,3.561177951972181,2.89,1487.6,1.25,2.04983738629501,377.7227265463509,390.1103545061533,390.1103545061533,4921.030000000002,142674.45814960936,152186.08869291664,152186.08869291664
ZAF,9,824.1915555555556,45,956.5,38.3404867108042,8.3,19150.66,8.3,6.2866317251288475,2790.547145129592,2822.079752165346,2822.079752165346,37088.62,7787153.369190916,7964134.12758162,7964134.12758162
AUT,25,504.1628260869565,46,111.15,9.61158998910701,39.9,4091.46,4.9,3.077873479499446,776.9064268809789,785.4912888962141,785.4912888962141,23191.489999999998,603583.5961289697,616996.5649318357,616996.5649318357
PRT,29,394.92,43,102.9,9.502662719521492,7.62,2800.0,1.95,3.003995965940057,528.803707358675,535.0619572357508,535.0619572357508,16981.56,279633.3609162791,286291.2980809524,286291.2980809524
GRC,7,621.4998113207548,53,118.25,46.18277665662027,63.2,16488.0,8.25,6.877438125369663,2220.5671024563267,2241.8170325871915,2241.8170325871915,32939.490000000005,4930918.256511286,5025743.607598041,5025743.607598041
SWE,15,374.0555357142857,56,101.23,5.773723841559658,3.75,1761.26,1.7,1.8984680005177672,311.5546625044863,314.3742191830947,314.3742191830947,20947.11,97066.30772828439,98831.14968698047,98831.14968698047
DEU,2,323.224655172414,58,272.65,1.2989790844477547,36.0,1314.75,0.65,1.396204908922607,318.9222858597131,321.7076862194716,321.7076862194716,18747.03000000001,101711.42441798454,103495.83537268602,103495.83537268602
CAN,3,379.47441860465125,43,1368.4,23.90970813830912,13.8,3855.84,9.95,4.653962886061047,597.2650149671683,604.3334860358947,604.3334860358947,16317.400000000003,356725.49810373184,365218.96234429686,365218.96234429686
IND,5,300.6990000000001,90,535.75,14.63424616976923,53.52,2574.48,1.65,3.563077979597758,408.1041577316861,410.39047342319833,410.39047342319833,27062.91000000001,166549.0035578889,168420.34067651688,168420.34067651688
SWE,5,533.13776119403,67,152.05,23.277983124459244,14.25,7630.56,4.15,4.662354361010007,1132.591816519626,1141.1398005527271,1141.1398005527271,35720.23000000001,1282764.2228472263,1302200.0444055176,1302200.0444055176
TUR,27,358.6862499999999,32,490.88,8.787463030611455,32.4,2106.46,5.1,2.9858873674416473,427.9930137115996,434.84133677253936,434.84133677253936,11477.959999999997,183178.01978593747,189086.988166129,189086.988166129
GRC,4,512.632602739726,73,215.41,31.361228590514678,2.95,7480.06,2.95,5.246736025355632,998.8084159144065,1005.7206673589119,1005.7206673589119,37422.18,997618.251701446,1011474.060752855,1011474.060752855
SWE,18,375.8964583333333,48,440.0,31.225352281557925,68.4,4366.78,3.75,5.409243187911166,627.6258553519021,634.2675837547458,634.2675837547458,18043.03,393914.21430620673,402295.3678020835,402295.3678020835
ITA,20,381.19522727272727,44,87.75,4.758051975688428,10.95,1701.5,4.25,1.835178862714375,321.144367815308,324.85714281023724,324.85714281023724,16772.59,103133.7049794938,105532.16323483088,105532.16323483088
SWE,30,387.71777777777777,27,235.35,0.17223428960361353,3.95,1374.26,3.95,1.0482622558153611,361.4175993309856,368.3023627123334,368.3023627123334,10468.38,130622.68110617284,135646.63037948718,135646.63037948718
GRC,5,375.9281249999999,64,552.24,18.383371659203377,5.59,3862.14,2.95,3.9657465047922864,588.8667770994423,593.5219228774207,593.5219228774207,24059.399999999994,346764.0811714842,352268.2729361109,352268.2729361109
JPN,6,333.24921875000007,64,142.25,1.5099346244185945,40.4,1374.46,4.95,0.9906202439076782,275.0629384528697,277.23738287122234,277.23738287122234,21327.950000000004,75659.62011032716,76860.56646128473,76860.56646128473
TUR,20,406.3042,50,286.95,33.25469458206109,51.0,4936.65,7.05,5.549328678685524,694.5193007975804,701.5704389412981,701.5704389412981,20315.21,482357.05918036,492201.0807962857,492201.0807962857
AUS,21,843.7462162162162,37,97.84,13.493602765060505,15.7,10584.77,1.7,3.7752769371588255,2062.731386662068,2091.1841981430193,2091.1841981430193,31218.61,4254860.773520818,4373051.350563062,4373051.350563062
ITA,26,342.77702702702703,37,1136.58,-0.08116934894115868,3.75,1136.58,3.75,0.8889803811132423,299.07384326215134,303.19919459788287,303.19919459788287,12682.75,89445.16372359388,91929.75160480483,91929.75160480483
ESP,28,403.198103448276,58,1131.0,5.032337721763724,91.27,2377.0,1.65,2.234131929123352,483.531155076032,487.7542147774657,487.7542147774657,23385.49000000001,233802.3779291617,237904.1740331821,237904.1740331821
ESP,13,306.40238095238084,42,310.8,2.917520584106782,1.25,1431.28,1.25,1.943605173648368,357.18603058730054,361.51571631193883,361.51571631193883,12868.899999999996,127581.860446712,130693.61314053425,130693.61314053425
CAN,30,208.55960000000002,25,403.3,5.690447793430929,28.05,1089.18,2.1,2.224458206082517,232.08973741171755,236.87559633135137,236.87559633135137,5213.990000000001,53865.64621184,56110.04813733333,56110.04813733333
BRA,3,427.5693333333334,45,534.0,13.985433686832533,139.13,3855.84,7.65,3.5445840944000517,667.8413975634901,675.3878675768466,675.3878675768466,19240.620000000003,446012.1322995556,456148.77167000005,456148.77167000005
DEU,18,387.0973170731708,41,293.63,25.91622812625779,64.98,4311.48,3.9,4.93302156508384,669.3045386435829,677.6191995399199,677.6191995399199,15870.990000000003,447968.56544889935,459167.77958512184,459167.77958512184
ESP,25,257.50028571428567,35,621.6,-0.7888082808984658,5.34,769.24,3.25,0.617654736931361,225.21037306084304,228.49828965102864,228.49828965102864,9012.509999999998,50719.71213420409,52211.46837344539,52211.46837344539
ITA,27,413.8331428571428,35,1693.88,2.82522037403293,78.96,1810.51,4.95,2.040466719384894,496.6931420549393,503.94452039865644,503.94452039865644,14484.159999999996,246704.07736440812,253960.07963983188,253960.07963983188
DEU,31,295.39235294117645,17,453.79,-0.13552415748689972,25.05,970.58,2.89,0.9479700176756501,286.9422296956287,295.77328037133043,295.77328037133043,5021.67,82335.84318269895,87481.83338161765,87481.83338161765
ITA,6,248.36470588235287,34,17.4,0.02579576245840265,76.5,774.45,2.37,1.0021344507863803,226.00450287335238,229.40325754252706,229.40325754252706,8444.399999999998,51078.03531903114,52625.854571122996,52625.854571122996
DEU,7,231.97770833333337,48,165.94,0.9537637678427551,14.9,816.0,2.08,1.1633540373303182,197.34397255848714,199.432326721234,199.432326721234,11134.930000000002,38944.643505164924,39773.25294144503,39773.25294144503
SWE,17,426.02368421052637,38,919.04,28.416451940547745,9.25,6068.06,3.0,5.328242833512459,959.9561441282536,972.8420380747941,972.8420380747941,16188.900000000001,921515.7986495844,946421.6310455191,946421.6310455191
DEU,24,265.7081578947369,38,309.43,5.873952865133642,58.1,1285.62,1.95,2.268698587964508,268.2012626432783,271.80144068046144,271.80144068046144,10096.910000000003,71931.91728344875,73876.0231559744,73876.0231559744
RUS,27,239.07416666666668,24,490.88,-0.35985032190327226,15.0,727.05,6.15,0.7649756757940783,212.74001425677358,217.31559178774535,217.31559178774535,5737.780000000001,45258.31366597223,47226.066434057975,47226.066434057975
IND,29,221.79538461538462,26,13.05,-0.8866490938874545,606.0,606.0,1.25,0.6065614716248882,193.0779839704228,196.90168158206814,196.90168158206814,5766.68,37279.10789408284,38770.27220984615,38770.27220984615
IND,15,610.7138775510202,49,238.65,36.48106866658597,73.87,10065.0,8.5,5.95298643505609,1425.7944974928475,1440.5699646390199,1440.5699646390199,29924.979999999992,2032889.9490808817,2075241.8230200668,2075241.8230200668
GRC,19,311.75209302325584,43,283.52,4.623160025909131,335.4,1414.99,3.75,1.890627811974314,276.8984834006368,280.17550259620975,280.17550259620975,13405.340000000002,76672.77010957272,78498.31225503873,78498.31225503873
PRT,21,593.4696491228071,57,8520.92,21.04718922009697,9.9,8520.92,7.5,4.67697630097663,1497.1960257023209,1510.5046965489064,1510.5046965489064,33827.770000000004,2241595.9393788246,2281624.4382963036,2281624.4382963036
SWE,11,560.0206976744186,43,144.26,31.969115930713237,22.74,7837.5,2.75,5.596563081715538,1168.8218248949138,1182.654517329142,1182.654517329142,24080.89,1366144.4583506763,1398671.7073590257,1398671.7073590257
CHE,2,375.9837037037039,54,160.6,4.347726983256681,64.7,2044.1,4.0,1.9404126918262148,400.68349705960213,404.4458659594435,404.4458659594435,20303.12000000001,160547.2648159122,163576.45849168414,163576.45849168414
USA,2,358.72776119403,67,286.92,34.40908705992794,14.4,4345.1,0.65,5.308502212735231,563.95412302516,568.2104409401474,568.2104409401474,24034.76000000001,318044.25287707726,322863.1051933966,322863.1051933966
DEU,5,445.5716071428572,56,126.43,38.463420861258314,1100.44,7630.56,1.95,6.042928954295803,1036.1581259199374,1045.5353136678173,1045.5353136678173,24952.010000000002,1073623.6619099171,1093144.0921264612,1093144.0921264612
MEX,10,1515.1089285714286,56,402.0,2.1693202425036198,100.0,9500.0,1.65,2.0118584986654713,2980.447489466424,3007.4204147200962,3007.4204147200962,84846.1,8883067.23746671,9044577.550875194,9044577.550875194
RUS,21,260.3632,50,382.5,1.9320563178806411,26.33,1103.15,2.49,1.4991213990619523,260.4381495053288,263.08225942127694,263.08225942127694,13018.16,67828.02971775999,69212.27522220406,69212.27522220406
CHE,24,352.7693103448277,29,301.28,0.21301311468749118,4.95,1090.76,4.95,1.0178983489464655,291.25721707122744,296.4126122958988,296.4126122958988,10230.310000000003,84830.76649607609,87860.4367280788,87860.4367280788
IND,27,336.1791111111111,45,529.01,7.617568095790688,25.26,1866.02,2.08,2.40522363341814,342.5861743063728,346.4573273987472,346.4573273987472,15128.06,117365.28682587645,120032.67970828274,120032.67970828274
USA,6,354.0772058823529,68,113.48,2.657712148417568,436.2,1520.11,4.41,1.5976364780264183,317.1714394680765,319.5296239032899,319.5296239032899,24077.25,100597.72201425175,102099.18055177788,102099.18055177788
DEU,12,326.8177083333332,48,338.6,1.1048008381756755,13.9,1091.29,1.65,1.1804345155881177,255.47508149230185,258.17859679604095,258.17859679604095,15687.249999999995,65267.51726349827,66656.1878435727,66656.1878435727
AUT,28,684.6603773584905,53,208.61,38.422125050655524,16.3,13355.4,2.9,6.079329230278325,1851.6286571698677,1869.3479954189315,1869.3479954189315,36286.99999999999,3428528.684052687,3494461.9279767773,3494461.9279767773
AUT,30,333.004864864865,37,182.8,15.101122068884752,0.85,2732.92,0.85,3.6973303926039227,475.78809191000164,482.35099630537394,482.35099630537394,12321.180000000004,226374.3084033602,232662.48363678684,232662.48363678684
ITA,1,357.1410526315789,57,139.12,6.9711362603237195,16.75,1909.36,3.95,2.121716560163112,329.84363777606524,332.775638883898,332.775638883898,20357.039999999997,108796.82538134814,110739.62583458649,110739.62583458649
CAN,11,329.2695652173911,46,140.49,4.578679147566118,19.8,1444.66,0.48,1.7736223514747411,278.2528098374205,281.3275198606029,281.3275198606029,15146.399999999992,77424.62618241968,79145.1734309179,79145.1734309179
JPN,30,426.71628571428573,35,421.1,4.621071939695843,19.95,2327.0,1.65,2.0563538925366776,488.0169203687553,495.1416318416955,495.1416318416955,14935.07,238160.51456620404,245165.23558285713,245165.23558285713
JPN,1,480.9728125000001,64,426.56,37.9750744876538,25.4,6930.0,5.1,5.780369530355469,902.0082771316263,909.1388883093763,909.1388883093763,30782.260000000006,813618.9320139647,826533.5182364086,826533.5182364086
ITA,17,350.91200000000003,25,2646.3,15.459166765945852,19.65,2646.3,15.6,3.9196752620906636,495.51683315907644,505.73475008315046,505.73475008315046,8772.800000000001,245536.931944,255767.63744166668,255767.63744166668
GRC,20,410.4233333333334,45,306.15,5.465603156457343,2.5,2232.0,2.5,2.266795759630428,446.0360068524613,451.07612171037465,451.07612171037465,18469.050000000003,198948.11940888892,203469.66757727275,203469.66757727275
DEU,25,489.29075471698127,53,337.3,8.568864570069637,46.05,3671.44,0.79,3.04810692921739,804.8323104256505,812.5342305093486,812.5342305093486,25932.410000000007,647755.0479050906,660211.8757494192,660211.8757494192
GRC,11,357.7598076923077,52,1592.61,11.195711277052414,7.96,2876.85,2.95,3.068096273999479,499.21740574427076,504.0879347949567,504.0879347949567,18603.51,249218.01819803985,254104.64600584455,254104.64600584455
NOR,5,351.4863043478261,46,535.75,9.585403514317864,16.3,2430.08,5.95,3.017021087424363,463.1454465056856,468.26323111096724,468.26323111096724,16168.369999999999,214503.70461895087,219270.4536104831,219270.4536104831
DNK,8,268.6354166666667,72,258.9,1.439411370185315,27.25,998.88,1.95,1.1005103759283246,209.4428679983683,210.91266054290983,210.91266054290983,19341.75,43866.31495538193,44484.150377288715,44484.150377288715
DNK,24,577.1042307692308,26,165.0,16.701462402657757,1.65,5518.68,1.65,4.137308046165624,1039.408178829047,1059.9925172874498,1059.9925172874498,15004.71,1080369.3622167162,1123584.1367053846,1123584.1367053846
IND,13,386.32617647058834,34,476.76,2.8919402814907684,32.85,1822.88,0.95,1.838318796521885,439.61055183914976,446.2216077990349,446.2216077990349,13135.090000000004,193257.4372883218,199113.72326675575,199113.72326675575
RUS,9,3147.4508474576273,59,159.38,54.004547704484985,4.15,168469.6,0.38,7.4831732860919775,21709.07108117385,21895.41845685281,21895.41845685281,185699.6,4.712837672074587E8,4.7940934940069073E8,4.7940934940069073E8
JPN,18,387.4086842105263,38,681.05,2.4125559645418715,6.65,1692.0,4.95,1.433494036378108,363.6162958623963,368.4972699093635,368.4972699093635,14721.529999999999,132216.81061668973,135790.23793065432,135790.23793065432
TUR,22,215.42976190476185,42,560.47,2.0513242454584617,259.2,842.62,4.65,1.3740986828290125,191.46365152348167,193.78450779388314,193.78450779388314,9048.049999999997,36658.329854705225,37552.43546091755,37552.43546091755
ESP,3,370.10957446808516,47,754.87,22.98067655051156,46.25,4037.77,5.45,4.531741958202298,623.5876351760832,630.3293190518245,630.3293190518245,17395.15,388861.5387444998,397315.05045633676,397315.05045633676
BRA,9,317.6669090909091,55,365.8,8.193805405895871,11.55,1798.33,4.95,2.6899489339717197,333.57541679028134,336.64990958777116,336.64990958777116,17471.68,111272.55868680989,113333.16162545451,113333.16162545451
USA,12,487.3776470588235,68,513.64,10.027067075537268,8.2,3279.36,3.4,2.9993677252737276,617.052993312753,621.6408110777204,621.6408110777204,33141.68,380754.3965562284,386437.2979973661,386437.2979973661
CHE,17,594.921111111111,63,300.04,57.40047234458661,29.88,21535.9,4.95,7.686655475029071,2666.262882745866,2687.6789929117417,2687.6789929117417,37480.02999999999,7108957.759908295,7223618.368939074,7223618.368939074
PRT,25,244.4188888888889,45,585.0,0.44798086753083144,23.27,884.4,1.95,0.8548350115536315,206.60625623766384,208.9408643092175,208.9408643092175,10998.85,42686.14511654321,43656.28477828283,43656.28477828283
AUS,27,345.5055000000001,40,1693.88,6.285943634774634,594.0,1866.02,4.95,2.480075485302269,394.801578757925,399.8311009949333,399.8311009949333,13820.220000000003,155868.28658975003,159864.90932282055,159864.90932282055
AUT,29,636.6064516129031,31,549.26,6.633144391690278,84.2,4257.06,2.25,2.5428298198884822,894.6514845477753,909.4401142627935,909.4401142627935,19734.799999999996,800401.2788035383,827081.321430323,827081.321430323
GBR,11,255.50347826086957,46,352.51,4.304238994212482,9.9,1491.59,2.95,1.9728067577894863,309.89482607335054,313.3191822493648,313.3191822493648,11753.16,96034.80322703217,98168.90996541067,98168.90996541067
CAN,29,369.7168750000001,32,928.08,8.98420414038309,3.75,1976.58,3.75,2.7391425211545024,367.4622216758947,373.3419905648862,373.3419905648862,11830.940000000002,135028.48435898437,139384.2419189516,139384.2419189516
AUT,31,378.14090909090896,22,1642.5,1.3654155655487044,2.47,1642.5,2.47,1.4320116287572966,433.1574576599672,443.35079246583797,443.35079246583797,8319.099999999997,187625.38312644625,196559.92518008655,196559.92518008655
RUS,7,268.0075510204082,49,151.3,7.853796837819841,44.78,1397.32,3.3,2.4146003730600247,248.39071736188836,250.96478318290838,250.96478318290838,13132.37,61697.94847155351,62983.322398044205,62983.322398044205
