debit_credit,txn_timestamp_dayOfMonth,TXN_AMOUNT_AVG,TXN_AMOUNT_COUNT,TXN_AMOUNT_FIRST,TXN_AMOUNT_KURTOSIS,TXN_AMOUNT_LAST,TXN_AMOUNT_MAX,TXN_AMOUNT_MIN,TXN_AMOUNT_SKEWNESS,TXN_AMOUNT_STDDEV_POP,TXN_AMOUNT_STDDEV_SAMP,TXN_AMOUNT_STDDEV,TXN_AMOUNT_SUM,TXN_AMOUNT_VAR_POP,TXN_AMOUNT_VAR_SAMP,TXN_AMOUNT_VARIANCE
Debit,17,495.79315966386605,595,408.17,119.10135412931228,9500.0,22998.4,0.77,10.010257059230218,1609.8728041483805,1611.227346082714,1611.227346082714,294996.9300000003,2591690.4455365697,2596053.560764746,2596053.560764746
Debit,21,385.33799698795195,664,302.95,73.57038671466069,4.25,10584.77,0.4,7.785677201122065,827.4681317110304,828.0919298634852,828.0919298634852,255864.4300000001,684703.5089973431,685736.2443050314,685736.2443050314
Debit,3,387.25720930232586,559,215.58,196.91576529193398,50.98,13760.02,1.65,11.764163101308249,735.111771025023,735.7701784754357,735.7701784754357,216476.78000000014,540389.3158995459,541357.7555337745,541357.7555337745
Credit,4,387.90369727047164,806,307.3,90.47995894280608,4.15,10992.96,1.25,8.168917470941917,710.6499786472534,711.0912391546259,711.0912391546259,312650.3800000001,505023.3921513417,505650.7504024614,505650.7504024614
Debit,28,371.75889312977114,524,1131.0,220.72042431393731,20.45,13355.4,1.25,12.632213677574983,703.1173121675838,703.7891874400121,703.7891874400121,194801.66000000006,494373.95466976747,495319.2203574726,495319.2203574726
Debit,10,539.5371272727273,550,370.8,45.25352563900704,100.0,14415.74,0.95,6.37053673611476,1325.4873368303322,1326.6939709780927,1326.6939709780927,296745.42,1756916.6800975662,1760116.8926296202,1760116.8926296202
Debit,1,401.10440594059475,808,139.12,142.73484384770305,96.75,16726.84,0.55,10.167902462985204,920.5430065131342,921.113178761369,921.113178761369,324092.36000000057,847399.4268402403,848449.4880878738,848449.4880878738
Credit,2,447.1014233576642,822,160.6,159.53546478765443,29.17,18841.48,0.65,10.24348012548842,980.8047815041751,981.4019229789792,981.4019229789792,367517.37,961978.0194214528,963149.7344268382,963149.7344268382
Debit,6,332.102762148338,782,113.48,28.2539945005296,1.65,4414.88,0.72,4.560129881823757,458.3375314002431,458.6308674503673,458.6308674503673,259704.3600000003,210073.29269006886,210342.27257827637,210342.27257827637
Debit,16,412.03961483594935,701,391.0,219.77631800614165,4.95,21880.44,1.06,13.239911824261407,1125.853200511945,1126.6570943669697,1126.6570943669697,288839.7700000005,1267545.42910299,1269356.2082874228,1269356.2082874228
