"alert_id","src_sys","src_id","cust_id","acct_id","start_ts","end_ts","priority","susptype1","susptype2","susptype3","alert_score","peer_group","disposition","desc_1","desc_2","desc_3","creater_id","create_ts","review_state","review_ts","review_oper","status","closed_ts","disposition_oper","fp_tp_tag"
26,"1",26,14096,2258,"2019-02-12T17:27:03Z",,"medium","CR-T","2",,63.826843816787,,"Escalated",,,,"Prime","2019-02-12T17:27:03Z",,,,"Closed",,,"TP"
27,"1",27,14096,2258,"2019-02-08T14:37:03Z",,"low","CR-T","3",,73.1174219981767,,"SAR",,,,"Prime","2019-02-08T14:37:03Z",,,,"Closed",,,"TP"
28,"1",28,14096,2258,"2019-01-29T15:09:03Z",,"medium","CR-C","2",,95.682959840633,,"Escalated",,,,"Prime","2019-01-29T15:09:03Z",,,,"Closed",,,"TP"
29,"1",29,14096,2258,"2019-01-22T18:07:03Z",,"medium","CR-S","1",,98.445483809337,,"Escalated",,,,"Prime","2019-01-22T18:07:03Z",,,,"Closed",,,"TP"
30,"1",30,14096,2258,"2019-01-01T10:57:03Z",,"medium","CR-C","1",,89.1331175225787,,"SAR",,,,"Prime","2019-01-01T10:57:03Z",,,,"Closed",,,"TP"
31,"1",31,14096,2258,"2018-12-25T16:28:03Z",,"low","CR-C","2",,82.5549480388872,,"Escalated",,,,"Prime","2018-12-25T16:28:03Z",,,,"Closed",,,"TP"
32,"1",32,14096,2258,"2018-12-12T13:32:03Z",,"low","CR-C","1",,71.6536845429801,,"SAR",,,,"Prime","2018-12-12T13:32:03Z",,,,"Closed",,,"TP"
33,"1",33,14096,2258,"2018-12-08T14:03:03Z",,"high","CR-C","1",,97.790458984673,,"Escalated",,,,"Prime","2018-12-08T14:03:03Z",,,,"Closed",,,"TP"
34,"1",34,14096,2258,"2018-12-01T16:45:03Z",,"medium","CR-S","4",,88.4726124699228,,"SAR",,,,"Prime","2018-12-01T16:45:03Z",,,,"Closed",,,"TP"
35,"1",35,14096,2258,"2018-11-28T11:49:03Z",,"high","CR-S","1",,67.7483223262243,,"Escalated",,,,"Prime","2018-11-28T11:49:03Z",,,,"Closed",,,"TP"
36,"1",36,14096,2258,"2019-03-05T19:17:03Z",,"low","CR-C","2",,52.3626205744222,,"SAR",,,,"Prime","2019-03-05T19:17:03Z",,,,"Closed",,,"TP"
37,"1",37,14096,2258,"2019-02-26T17:54:03Z",,"medium","CR-C","2",,73.6297952593304,,"SAR",,,,"Prime","2019-02-26T17:54:03Z",,,,"Closed",,,"TP"
38,"1",38,14096,2258,"2019-02-21T15:39:03Z",,"medium","CR-S","1",,93.3218324440531,,"SAR",,,,"Prime","2019-02-21T15:39:03Z",,,,"Closed",,,"TP"
39,"1",39,14096,2258,"2019-02-12T17:27:03Z",,"low","CR-H","1",,98.6204842571169,,"SAR",,,,"Prime","2019-02-12T17:27:03Z",,,,"Closed",,,"TP"
40,"1",40,14096,2258,"2019-02-08T14:37:03Z",,"low","CR-C","3",,73.880129668396,,"Escalated",,,,"Prime","2019-02-08T14:37:03Z",,,,"Closed",,,"TP"
41,"1",41,14096,2258,"2019-01-29T15:09:03Z",,"medium","CR-S","3",,90.2567763580009,,"Escalated",,,,"Prime","2019-01-29T15:09:03Z",,,,"Closed",,,"TP"
42,"1",42,14096,2258,"2019-01-24T13:28:03Z",,"medium","CR-T","2",,69.0717196208425,,"SAR",,,,"Prime","2019-01-24T13:28:03Z",,,,"Closed",,,"TP"
43,"1",43,14096,2258,"2019-01-22T18:07:03Z",,"high","CR-S","2",,81.1960654449649,,"Escalated",,,,"Prime","2019-01-22T18:07:03Z",,,,"Closed",,,"TP"
44,"1",44,14096,2258,"2019-01-15T14:31:03Z",,"medium","CR-C","1",,93.2917780126445,,"Escalated",,,,"Prime","2019-01-15T14:31:03Z",,,,"Closed",,,"TP"
45,"1",45,14096,2258,"2019-01-08T18:12:03Z",,"high","CR-S","3",,59.1089402441867,,"Escalated",,,,"Prime","2019-01-08T18:12:03Z",,,,"Closed",,,"TP"
46,"1",46,14096,2258,"2019-01-01T10:57:03Z",,"low","CR-S","3",,96.0854737088084,,"SAR",,,,"Prime","2019-01-01T10:57:03Z",,,,"Closed",,,"TP"
47,"1",47,14096,2258,"2018-12-25T16:28:03Z",,"low","CR-S","2",,70.4864228144288,,"Escalated",,,,"Prime","2018-12-25T16:28:03Z",,,,"Closed",,,"TP"
48,"1",48,14096,2258,"2018-12-20T15:40:03Z",,"high","CR-S","3",,78.4698684117757,,"Escalated",,,,"Prime","2018-12-20T15:40:03Z",,,,"Closed",,,"TP"
49,"1",49,14096,2258,"2018-12-12T13:32:03Z",,"medium","CR-S","3",,67.8076385753229,,"Escalated",,,,"Prime","2018-12-12T13:32:03Z",,,,"Closed",,,"TP"
50,"1",50,14096,2258,"2018-12-08T16:17:03Z",,"high","CR-T","2",,56.6190559300594,,"Escalated",,,,"Prime","2018-12-08T16:17:03Z",,,,"Closed",,,"TP"
51,"1",51,14096,2258,"2018-12-01T16:45:03Z",,"high","CR-H","4",,68.4292792575434,,"Escalated",,,,"Prime","2018-12-01T16:45:03Z",,,,"Closed",,,"TP"
52,"1",52,14096,2258,"2018-11-28T11:49:03Z",,"high","CR-H","1",,84.9787465529516,,"SAR",,,,"Prime","2018-11-28T11:49:03Z",,,,"Closed",,,"TP"
53,"1",53,12346,1000,"2018-04-18T12:01:03Z",,"high","CR-C","3",,90.0270835147239,,"Escalated",,,,"Prime","2018-04-18T12:01:03Z",,,,"Closed",,,"TP"
54,"1",54,15098,2972,"2018-09-08T16:39:03Z",,"high","CR-S","1",,58.5529925767332,,"Escalated",,,,"Prime","2018-09-08T16:39:03Z",,,,"Closed",,,"TP"
55,"1",55,15098,2972,"2018-09-08T16:31:03Z",,"medium","CR-S","1",,97.7875678334385,,"Escalated",,,,"Prime","2018-09-08T16:31:03Z",,,,"Closed",,,"TP"
56,"1",56,15098,2972,"2018-09-08T16:33:03Z",,"high","CR-C","1",,86.1029833205976,,"Escalated",,,,"Prime","2018-09-08T16:33:03Z",,,,"Closed",,,"TP"
57,"1",57,15098,2972,"2018-09-08T16:28:03Z",,"high","CR-S","1",,59.7047308227047,,"Escalated",,,,"Prime","2018-09-08T16:28:03Z",,,,"Closed",,,"TP"
58,"1",58,15098,2972,"2018-09-08T16:22:03Z",,"low","CR-H","1",,98.9613429293968,,"SAR",,,,"Prime","2018-09-08T16:22:03Z",,,,"Closed",,,"TP"
59,"1",59,13694,1974,"2019-02-12T14:57:03Z",,"low","CR-H","2",,71.8087152228691,,"SAR",,,,"Prime","2019-02-12T14:57:03Z",,,,"Closed",,,"TP"
60,"1",60,13694,1974,"2019-01-08T12:06:03Z",,"high","CR-C","2",,89.84055807814,,"Escalated",,,,"Prime","2019-01-08T12:06:03Z",,,,"Closed",,,"TP"
61,"1",61,13694,1974,"2018-12-26T12:16:03Z",,"low","CR-S","4",,87.7075281576254,,"Escalated",,,,"Prime","2018-12-26T12:16:03Z",,,,"Closed",,,"TP"
62,"1",62,13694,1974,"2018-11-29T17:34:03Z",,"high","CR-S","1",,91.5290970355272,,"SAR",,,,"Prime","2018-11-29T17:34:03Z",,,,"Closed",,,"TP"
63,"1",63,13694,1974,"2018-11-07T15:27:03Z",,"low","CR-S","3",,62.3571393429302,,"SAR",,,,"Prime","2018-11-07T15:27:03Z",,,,"Closed",,,"TP"
64,"1",64,13694,1974,"2018-09-18T18:20:03Z",,"low","CR-S","3",,55.1802012021653,,"SAR",,,,"Prime","2018-09-18T18:20:03Z",,,,"Closed",,,"TP"
65,"1",65,13694,1974,"2018-06-30T11:46:03Z",,"medium","CR-H","1",,67.0631794142537,,"Escalated",,,,"Prime","2018-06-30T11:46:03Z",,,,"Closed",,,"TP"
66,"1",66,13694,1974,"2018-03-20T15:51:03Z",,"low","CR-S","1",,65.9989834879525,,"Escalated",,,,"Prime","2018-03-20T15:51:03Z",,,,"Closed",,,"TP"
67,"1",67,13694,1974,"2019-03-06T11:32:03Z",,"low","CR-H","3",,85.0329589098692,,"SAR",,,,"Prime","2019-03-06T11:32:03Z",,,,"Closed",,,"TP"
68,"1",68,13694,1974,"2019-03-06T11:31:03Z",,"medium","CR-T","4",,96.7482036328875,,"Escalated",,,,"Prime","2019-03-06T11:31:03Z",,,,"Closed",,,"TP"
69,"1",69,13694,1974,"2019-03-06T11:30:03Z",,"medium","CR-T","3",,98.4877418144606,,"Escalated",,,,"Prime","2019-03-06T11:30:03Z",,,,"Closed",,,"TP"
70,"1",70,13694,1974,"2019-02-12T13:09:03Z",,"low","CR-T","1",,71.6773358406499,,"SAR",,,,"Prime","2019-02-12T13:09:03Z",,,,"Closed",,,"TP"
71,"1",71,13694,1974,"2019-01-26T13:34:03Z",,"high","CR-T","4",,93.7515676137991,,"SAR",,,,"Prime","2019-01-26T13:34:03Z",,,,"Closed",,,"TP"
72,"1",72,13694,1974,"2019-01-23T16:34:03Z",,"high","CR-T","1",,99.6060948818922,,"SAR",,,,"Prime","2019-01-23T16:34:03Z",,,,"Closed",,,"TP"
73,"1",73,13694,1974,"2018-11-22T14:27:03Z",,"low","CR-S","4",,81.1368659255095,,"Escalated",,,,"Prime","2018-11-22T14:27:03Z",,,,"Closed",,,"TP"
74,"1",74,13694,1974,"2018-11-22T14:26:03Z",,"high","CR-H","3",,55.1558754290454,,"Escalated",,,,"Prime","2018-11-22T14:26:03Z",,,,"Closed",,,"TP"
75,"1",75,13694,1974,"2018-11-22T14:23:03Z",,"low","CR-C","3",,66.6444846312515,,"SAR",,,,"Prime","2018-11-22T14:23:03Z",,,,"Closed",,,"TP"
76,"1",76,13694,1974,"2018-11-16T12:03:03Z",,"high","CR-S","1",,56.4788113930263,,"SAR",,,,"Prime","2018-11-16T12:03:03Z",,,,"Closed",,,"TP"
77,"1",77,13694,1974,"2018-11-16T12:00:03Z",,"low","CR-S","3",,58.4385121474043,,"SAR",,,,"Prime","2018-11-16T12:00:03Z",,,,"Closed",,,"TP"
78,"1",78,13694,1974,"2018-11-02T13:14:03Z",,"low","CR-H","1",,61.6008248645812,,"Escalated",,,,"Prime","2018-11-02T13:14:03Z",,,,"Closed",,,"TP"
79,"1",79,13694,1974,"2018-10-19T17:12:03Z",,"high","CR-C","4",,80.1969974534586,,"SAR",,,,"Prime","2018-10-19T17:12:03Z",,,,"Closed",,,"TP"
80,"1",80,13694,1974,"2018-10-19T17:10:03Z",,"low","CR-H","3",,98.7583051552065,,"SAR",,,,"Prime","2018-10-19T17:10:03Z",,,,"Closed",,,"TP"
81,"1",81,13694,1974,"2018-10-03T17:08:03Z",,"medium","CR-T","1",,80.1593651645817,,"SAR",,,,"Prime","2018-10-03T17:08:03Z",,,,"Closed",,,"TP"
82,"1",82,13694,1974,"2018-09-28T13:42:03Z",,"medium","CR-C","4",,69.8201068793424,,"Escalated",,,,"Prime","2018-09-28T13:42:03Z",,,,"Closed",,,"TP"
83,"1",83,13694,1974,"2018-09-14T10:04:03Z",,"low","CR-C","2",,94.3716685287654,,"Escalated",,,,"Prime","2018-09-14T10:04:03Z",,,,"Closed",,,"TP"
84,"1",84,13694,1974,"2018-08-23T11:02:03Z",,"medium","CR-H","3",,99.1900952067226,,"SAR",,,,"Prime","2018-08-23T11:02:03Z",,,,"Closed",,,"TP"
85,"1",85,13694,1974,"2018-08-23T10:58:03Z",,"medium","CR-H","1",,92.7767356624827,,"Escalated",,,,"Prime","2018-08-23T10:58:03Z",,,,"Closed",,,"TP"
86,"1",86,13694,1974,"2018-08-08T12:56:03Z",,"high","CR-C","1",,86.6127441171557,,"SAR",,,,"Prime","2018-08-08T12:56:03Z",,,,"Closed",,,"TP"
87,"1",87,13694,1974,"2018-08-06T13:13:03Z",,"high","CR-H","2",,80.0379583379254,,"Escalated",,,,"Prime","2018-08-06T13:13:03Z",,,,"Closed",,,"TP"
88,"1",88,13694,1974,"2018-08-01T14:52:03Z",,"medium","CR-C","1",,74.040819099173,,"SAR",,,,"Prime","2018-08-01T14:52:03Z",,,,"Closed",,,"TP"
89,"1",89,13694,1974,"2018-07-26T12:26:03Z",,"low","CR-H","2",,51.4593547093682,,"SAR",,,,"Prime","2018-07-26T12:26:03Z",,,,"Closed",,,"TP"
90,"1",90,13694,1974,"2018-07-12T12:53:03Z",,"high","CR-S","2",,66.1884924280457,,"Escalated",,,,"Prime","2018-07-12T12:53:03Z",,,,"Closed",,,"TP"
91,"1",91,13694,1974,"2018-06-30T12:46:03Z",,"high","CR-C","3",,60.8176143141463,,"SAR",,,,"Prime","2018-06-30T12:46:03Z",,,,"Closed",,,"TP"
92,"1",92,13694,1974,"2018-06-30T10:25:03Z",,"low","CR-C","2",,57.0212717051618,,"SAR",,,,"Prime","2018-06-30T10:25:03Z",,,,"Closed",,,"TP"
93,"1",93,13694,1974,"2018-06-30T10:19:03Z",,"high","CR-C","4",,86.7661508847959,,"SAR",,,,"Prime","2018-06-30T10:19:03Z",,,,"Closed",,,"TP"
94,"1",94,13694,1974,"2018-06-21T15:39:03Z",,"medium","CR-H","1",,61.7788773379289,,"Escalated",,,,"Prime","2018-06-21T15:39:03Z",,,,"Closed",,,"TP"
95,"1",95,13694,1974,"2018-06-20T13:33:03Z",,"medium","CR-C","1",,69.6547160390765,,"SAR",,,,"Prime","2018-06-20T13:33:03Z",,,,"Closed",,,"TP"
96,"1",96,13694,1974,"2018-06-02T11:05:03Z",,"high","CR-H","1",,90.9091633395292,,"Escalated",,,,"Prime","2018-06-02T11:05:03Z",,,,"Closed",,,"TP"
97,"1",97,13694,1974,"2018-05-24T14:41:03Z",,"low","CR-H","4",,68.5465854243375,,"SAR",,,,"Prime","2018-05-24T14:41:03Z",,,,"Closed",,,"TP"
98,"1",98,13694,1974,"2018-05-23T14:53:03Z",,"low","CR-T","4",,71.0226965951733,,"SAR",,,,"Prime","2018-05-23T14:53:03Z",,,,"Closed",,,"TP"
99,"1",99,13694,1974,"2018-05-23T14:51:03Z",,"low","CR-T","1",,71.3090639561415,,"Escalated",,,,"Prime","2018-05-23T14:51:03Z",,,,"Closed",,,"TP"
100,"1",100,13694,1974,"2018-05-05T10:58:03Z",,"low","CR-C","4",,92.8432575892657,,"Escalated",,,,"Prime","2018-05-05T10:58:03Z",,,,"Closed",,,"TP"
101,"1",101,13694,1974,"2018-04-13T12:08:03Z",,"high","CR-H","2",,85.9823698294349,,"Escalated",,,,"Prime","2018-04-13T12:08:03Z",,,,"Closed",,,"TP"
102,"1",102,13694,1974,"2018-04-05T12:39:03Z",,"low","CR-H","4",,62.1089658234268,,"SAR",,,,"Prime","2018-04-05T12:39:03Z",,,,"Closed",,,"TP"
103,"1",103,13694,1974,"2018-03-16T19:43:03Z",,"low","CR-S","4",,87.6333714229986,,"SAR",,,,"Prime","2018-03-16T19:43:03Z",,,,"Closed",,,"TP"
104,"1",104,13694,1974,"2018-03-01T14:12:03Z",,"medium","CR-C","4",,61.2924954621121,,"Escalated",,,,"Prime","2018-03-01T14:12:03Z",,,,"Closed",,,"TP"
105,"1",105,12415,1055,"2018-06-01T15:11:03Z",,"low","CR-T","2",,76.022892142646,,"Escalated",,,,"Prime","2018-06-01T15:11:03Z",,,,"Closed",,,"TP"
106,"1",106,12415,1055,"2019-02-13T12:32:03Z",,"low","CR-T","3",,57.9997968976386,,"SAR",,,,"Prime","2019-02-13T12:32:03Z",,,,"Closed",,,"TP"
107,"1",107,12415,1055,"2019-01-03T13:44:03Z",,"high","CR-T","4",,69.8266181745566,,"Escalated",,,,"Prime","2019-01-03T13:44:03Z",,,,"Closed",,,"TP"
108,"1",108,12415,1055,"2018-04-06T13:12:03Z",,"high","CR-S","2",,94.2772586713545,,"Escalated",,,,"Prime","2018-04-06T13:12:03Z",,,,"Closed",,,"TP"
109,"1",109,12415,1055,"2018-10-17T13:26:03Z",,"medium","CR-T","4",,64.4520655740053,,"SAR",,,,"Prime","2018-10-17T13:26:03Z",,,,"Closed",,,"TP"
110,"1",110,12415,1055,"2019-02-13T16:22:03Z",,"high","CR-C","4",,59.0950042707846,,"SAR",,,,"Prime","2019-02-13T16:22:03Z",,,,"Closed",,,"TP"
111,"1",111,12415,1055,"2019-02-01T12:26:03Z",,"medium","CR-C","4",,50.3711649565958,,"SAR",,,,"Prime","2019-02-01T12:26:03Z",,,,"Closed",,,"TP"
112,"1",112,12415,1055,"2019-01-31T13:03:03Z",,"high","CR-T","2",,88.4796859580092,,"SAR",,,,"Prime","2019-01-31T13:03:03Z",,,,"Closed",,,"TP"
113,"1",113,12415,1055,"2019-01-03T13:35:03Z",,"high","CR-T","2",,74.7202483587898,,"SAR",,,,"Prime","2019-01-03T13:35:03Z",,,,"Closed",,,"TP"
114,"1",114,12415,1055,"2018-11-30T14:51:03Z",,"low","CR-C","3",,70.3370622242801,,"Escalated",,,,"Prime","2018-11-30T14:51:03Z",,,,"Closed",,,"TP"
115,"1",115,12415,1055,"2018-11-30T14:50:03Z",,"high","CR-S","3",,94.4998745108023,,"Escalated",,,,"Prime","2018-11-30T14:50:03Z",,,,"Closed",,,"TP"
116,"1",116,12415,1055,"2018-11-16T09:51:03Z",,"medium","CR-H","1",,62.7941958606243,,"Escalated",,,,"Prime","2018-11-16T09:51:03Z",,,,"Closed",,,"TP"
117,"1",117,12415,1055,"2018-10-11T16:31:03Z",,"high","CR-H","4",,73.1588017428294,,"SAR",,,,"Prime","2018-10-11T16:31:03Z",,,,"Closed",,,"TP"
118,"1",118,12415,1055,"2018-10-11T16:30:03Z",,"high","CR-H","3",,55.7161939912476,,"Escalated",,,,"Prime","2018-10-11T16:30:03Z",,,,"Closed",,,"TP"
119,"1",119,12415,1055,"2018-09-13T14:37:03Z",,"low","CR-T","4",,90.6972140423022,,"SAR",,,,"Prime","2018-09-13T14:37:03Z",,,,"Closed",,,"TP"
120,"1",120,12415,1055,"2018-08-18T15:13:03Z",,"medium","CR-T","3",,74.7383716050535,,"SAR",,,,"Prime","2018-08-18T15:13:03Z",,,,"Closed",,,"TP"
121,"1",121,12415,1055,"2018-06-30T15:28:03Z",,"high","CR-C","4",,51.6037771827541,,"Escalated",,,,"Prime","2018-06-30T15:28:03Z",,,,"Closed",,,"TP"
122,"1",122,12415,1055,"2018-06-01T12:59:03Z",,"medium","CR-C","4",,71.7713115736842,,"Escalated",,,,"Prime","2018-06-01T12:59:03Z",,,,"Closed",,,"TP"
123,"1",123,14646,2652,"2018-11-29T12:31:03Z",,"medium","CR-S","1",,75.3760488703847,,"Escalated",,,,"Prime","2018-11-29T12:31:03Z",,,,"Closed",,,"TP"
124,"1",124,14646,2652,"2018-05-09T11:44:03Z",,"high","CR-H","3",,90.03307382809,,"SAR",,,,"Prime","2018-05-09T11:44:03Z",,,,"Closed",,,"TP"
125,"1",125,14646,2652,"2019-03-08T14:12:03Z",,"low","CR-H","1",,98.2586211524904,,"Escalated",,,,"Prime","2019-03-08T14:12:03Z",,,,"Closed",,,"TP"
126,"1",126,14646,2652,"2019-03-07T17:19:03Z",,"medium","CR-T","1",,71.9377632951364,,"SAR",,,,"Prime","2019-03-07T17:19:03Z",,,,"Closed",,,"TP"
127,"1",127,14646,2652,"2019-03-07T17:16:03Z",,"high","CR-T","2",,88.5748106637038,,"Escalated",,,,"Prime","2019-03-07T17:16:03Z",,,,"Closed",,,"TP"
128,"1",128,14646,2652,"2019-02-21T13:04:03Z",,"medium","CR-H","3",,83.1687481841072,,"SAR",,,,"Prime","2019-02-21T13:04:03Z",,,,"Closed",,,"TP"
129,"1",129,14646,2652,"2019-02-21T12:58:03Z",,"high","CR-T","2",,59.3912578071468,,"SAR",,,,"Prime","2019-02-21T12:58:03Z",,,,"Closed",,,"TP"
130,"1",130,14646,2652,"2019-02-20T15:47:03Z",,"low","CR-H","3",,97.6377476239577,,"Escalated",,,,"Prime","2019-02-20T15:47:03Z",,,,"Closed",,,"TP"
131,"1",131,14646,2652,"2019-02-16T16:08:03Z",,"high","CR-H","2",,66.2964990362525,,"Escalated",,,,"Prime","2019-02-16T16:08:03Z",,,,"Closed",,,"TP"
132,"1",132,14646,2652,"2019-02-08T19:27:03Z",,"high","CR-S","1",,75.6210153689608,,"Escalated",,,,"Prime","2019-02-08T19:27:03Z",,,,"Closed",,,"TP"
133,"1",133,14646,2652,"2019-02-08T12:33:03Z",,"high","CR-T","3",,54.4633876997978,,"SAR",,,,"Prime","2019-02-08T12:33:03Z",,,,"Closed",,,"TP"
134,"1",134,14646,2652,"2019-02-08T12:32:03Z",,"medium","CR-C","3",,65.8116216538474,,"SAR",,,,"Prime","2019-02-08T12:32:03Z",,,,"Closed",,,"TP"
135,"1",135,14646,2652,"2019-01-31T15:09:03Z",,"medium","CR-C","1",,95.5446337000467,,"SAR",,,,"Prime","2019-01-31T15:09:03Z",,,,"Closed",,,"TP"
136,"1",136,14646,2652,"2019-01-25T13:11:03Z",,"high","CR-H","2",,52.4317980161868,,"SAR",,,,"Prime","2019-01-25T13:11:03Z",,,,"Closed",,,"TP"
137,"1",137,14646,2652,"2019-01-25T13:09:03Z",,"medium","CR-T","2",,86.0119513352402,,"SAR",,,,"Prime","2019-01-25T13:09:03Z",,,,"Closed",,,"TP"
138,"1",138,14646,2652,"2019-01-19T15:42:03Z",,"low","CR-C","2",,76.929053873755,,"SAR",,,,"Prime","2019-01-19T15:42:03Z",,,,"Closed",,,"TP"
139,"1",139,14646,2652,"2019-01-19T15:41:03Z",,"low","CR-T","2",,52.2120386594906,,"Escalated",,,,"Prime","2019-01-19T15:41:03Z",,,,"Closed",,,"TP"
140,"1",140,14646,2652,"2019-01-19T09:40:03Z",,"medium","CR-C","4",,74.834337097127,,"SAR",,,,"Prime","2019-01-19T09:40:03Z",,,,"Closed",,,"TP"
141,"1",141,14646,2652,"2019-01-18T13:26:03Z",,"high","CR-T","4",,59.9887182819657,,"SAR",,,,"Prime","2019-01-18T13:26:03Z",,,,"Closed",,,"TP"
142,"1",142,14646,2652,"2019-01-18T13:24:03Z",,"medium","CR-T","1",,66.3115753792226,,"Escalated",,,,"Prime","2019-01-18T13:24:03Z",,,,"Closed",,,"TP"
143,"1",143,14646,2652,"2019-01-18T13:03:03Z",,"high","CR-T","3",,81.4595952862874,,"Escalated",,,,"Prime","2019-01-18T13:03:03Z",,,,"Closed",,,"TP"
144,"1",144,14646,2652,"2019-01-04T11:34:03Z",,"medium","CR-C","2",,56.0493484372273,,"Escalated",,,,"Prime","2019-01-04T11:34:03Z",,,,"Closed",,,"TP"
145,"1",145,14646,2652,"2019-01-04T10:11:03Z",,"low","CR-T","2",,74.4163376512006,,"Escalated",,,,"Prime","2019-01-04T10:11:03Z",,,,"Closed",,,"TP"
146,"1",146,14646,2652,"2019-01-04T10:10:03Z",,"medium","CR-S","2",,77.1470722160302,,"SAR",,,,"Prime","2019-01-04T10:10:03Z",,,,"Closed",,,"TP"
147,"1",147,14646,2652,"2018-12-18T12:54:03Z",,"high","CR-C","3",,63.174839259591,,"Escalated",,,,"Prime","2018-12-18T12:54:03Z",,,,"Closed",,,"TP"
148,"1",148,14646,2652,"2018-12-18T12:46:03Z",,"high","CR-T","3",,78.5683859954588,,"SAR",,,,"Prime","2018-12-18T12:46:03Z",,,,"Closed",,,"TP"
149,"1",149,14646,2652,"2018-12-12T12:47:03Z",,"high","CR-C","2",,89.440035505686,,"Escalated",,,,"Prime","2018-12-12T12:47:03Z",,,,"Closed",,,"TP"
150,"1",150,14646,2652,"2018-12-07T12:28:03Z",,"low","CR-T","4",,88.4833487216383,,"Escalated",,,,"Prime","2018-12-07T12:28:03Z",,,,"Closed",,,"TP"
151,"1",151,14646,2652,"2018-12-07T12:27:03Z",,"low","CR-T","2",,85.0168815115467,,"Escalated",,,,"Prime","2018-12-07T12:27:03Z",,,,"Closed",,,"TP"
